,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1421185792562956,0.22697531499011228,0.816103266108117,0.27093233404192346,0.10688940692520925,0.7794506020097368,0.4235397481114576,0.028747607634363827,0.7020643302408447,0.5648738504413905,0.00018862036913371952,0.5745579604720837,0.6937366346460074,0.025064688254958476,0.4257396633748651,0.7783021066405996,0.10118422609174797,0.2839399352226117,0.8204921210389259,0.21729036195875046,0.1507848605529543,0.811410330460465,0.3619231954734138,0.05259645401209455,0.7315884968761115,0.5123638941803424,0.005188617457407072,0.6279372680685201,0.6460655197962788,0.009410491653810879,0.4912017607079777,0.7578472250576864,0.06962591877386881,0.3391283361182531,0.8091495979276725,0.1718348999608787,0.19999401719811347,0.8113610864446512,0.30707958751291053,0.08655686224551869,0.7721123194214938,0.4531736226298587,0.017604084584518523,0.68150535261515,0.5942000003208244,0.0013087757273608836,0.5454378146687475,0.7205798425053402,0.039930508191182566,0.3974681520783848,1.0,0.40317120502101855
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.016032146560807273,0.5723028955854838,0.4884340711653429,0.0008837636748492155,0.46203895787149185,0.6002136870108788,0.031360591792332214,0.33464654544344274,0.67473560206047,0.09962335225959223,0.2135864279961359,0.697441814344359,0.2047057037361621,0.11377659738899404,0.6713415606577896,0.3325188321861517,0.034380093427690626,0.6122920428933593,0.4555899360647069,0.001988866680755276,0.5064341610778916,0.5632211331044694,0.014192612590742261,0.3831551217712209,0.6441569066929462,0.07189687943128122,0.2595829648356697,0.6850472958582757,0.16639512391818034,0.14635838453480127,0.6850507156314656,0.28406942722607703,0.0576852088527192,0.6315985464902855,0.40305852498631956,0.00831382247808088,0.5481260540905207,0.5157676342148987,0.003434412555485189,0.439926175044242,0.6234032997153228,0.04428449168398619,0.31157929043064175,0.6738983457205956,0.12104242266477788,0.1900103444467025,0.6975409623298092,0.23696930645329958,0.0886420960246452,0.6697766344222172,1.0,0.34585023576156737
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0858749092255072,0.7259239181234869,0.4037773210699106,0.01852818173420699,0.6294331745581594,0.5513510342069154,0.0006650495717168853,0.5142736156436208,0.6606720353091314,0.030891668757142894,0.38093919707729884,0.7436389514837421,0.1091884364103864,0.24767100854822582,0.7593903045492986,0.22415864435754065,0.12362258113313754,0.7384738454040236,0.3576862367876362,0.04071291339221932,0.6758007807598367,0.49499100380837346,0.0015359001556504426,0.5629515064841515,0.6168995746526109,0.014505933873006336,0.4308418415861487,0.7100750612953359,0.07705776709521658,0.2918086236313573,0.7699461324529692,0.1776198400971866,0.16424154149814313,0.750518803427169,0.2997631686802385,0.06773716007760618,0.7005222941448661,0.44503635630319993,0.010364477752806897,0.6125660265691748,0.577496360330397,0.0030763407698223924,0.48295593287044286,0.6811145239613184,0.04595777385434652,0.3445582794883067,0.7435968081885858,0.13413306636899147,0.21279190448499516,0.7685929460253098,1.0,0.3843186151606175
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.11932663110586682,0.7725531548568472,0.3789610498410846,0.03648921180356712,0.6892118146659901,0.5253856020925952,0.0011259073557710847,0.5810875256890661,0.653768391464305,0.017732960958879895,0.43594327962495866,0.7615119690470905,0.0841649272103947,0.2986475830228697,0.7997510222278834,0.19263987731664672,0.16273183300357844,0.7866228284396324,0.3264849782709117,0.06170533133535609,0.7318169573922308,0.4762288259786891,0.009336955239682372,0.6187305925400435,0.6156276534214056,0.004790078279883406,0.49450892848535094,0.7128848166828375,0.0539200379530701,0.3536964130439353,0.7830374876388667,0.1500117924347457,0.2047519848243243,0.7925591634509678,0.27065767252015355,0.09913998258388117,0.7467470226901368,0.41620470300362933,0.024264739603426188,0.6728511574853852,0.553975842013375,0.00017869392728419827,0.549270328941053,0.6769186473809279,0.028167468717180986,0.4074397684397097,0.7536813626939507,0.11031523322428986,0.2682879134177448,0.8075000236455538,1.0,0.4014669625397401
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1327420006607419,0.7950500108549937,0.36882156345481026,0.045038113455132554,0.7028895932618668,0.523722114131169,0.0025030728836803497,0.605414047420219,0.6550474672495759,0.014841308407385546,0.4591839743315915,0.7608084832743143,0.07864085213540152,0.31329575220323985,0.7977317969306342,0.18113619664217126,0.17879839738319334,0.8014053112532133,0.3213028757686339,0.07151012133456623,0.7389755446507933,0.46763434317425673,0.012244822613854421,0.6444383178960735,0.608779151221177,0.0027181196593470476,0.5173544386938476,0.7169150908818253,0.045762134537138864,0.3711341608505144,0.7920093057975794,0.13881480519226097,0.22735901246229479,0.8082433278916559,0.2637244460261943,0.10810889110706846,0.757753353541413,0.40755721173305764,0.02964852241965529,0.6895347559619007,0.5527406544220135,0.00015995407497928373,0.5712732616604647,0.6743428878528026,0.02271970023332343,0.4304145057673031,0.7675108631083793,0.09762295740419467,0.2786208433716478,0.7978335112270422,1.0,0.407036638969412
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.13175935246787698,0.7978378799507605,0.3669469160813933,0.04798969766809799,0.7148135922553385,0.5207722472747195,0.0031010078350610583,0.6088891297457744,0.6434538119886603,0.012673418319668027,0.4640036549080566,0.7510484622532752,0.0706342046389193,0.319612996099896,0.8094621938084606,0.1847485413102471,0.18160328896737665,0.7976573290077551,0.32034596966490464,0.07734116305943114,0.7494671637174409,0.4667451595246358,0.014245829875074684,0.656990166910573,0.6057456312553295,0.002889596531197199,0.5231529395412639,0.7171272291346975,0.046234543588897795,0.38184896254541056,0.7909482250052661,0.1345150165873525,0.2317961245820879,0.8207901727653938,0.2628937787274963,0.11344711754688729,0.7744867358969579,0.40729908162485,0.03062216456200947,0.692069153792511,0.5434716106449864,0.00027291355742199084,0.5770546609288296,0.6710179207207726,0.02176264031789725,0.4267490532214255,0.7801584705363638,0.09426929524466873,0.2911137941085087,0.7999090388334796,1.0,0.40907578098270714
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.14013595004895057,0.7992096640834259,0.3643750131477841,0.050103712640859985,0.7156701200534907,0.5144602861385787,0.0033567853823179327,0.6055002452815701,0.6446183199612838,0.012083662682517798,0.47353838375511503,0.7447720123283538,0.07071740464932733,0.3265216745003281,0.8046833674963071,0.17643083966382958,0.18278979689631888,0.806760206619161,0.31201088126035853,0.07952144070086938,0.7520310034208207,0.45710573000717813,0.013660430298265584,0.6476670683381597,0.606793077446144,0.0028643130725034332,0.526633709555326,0.7211996019808553,0.043995363472973614,0.3785219347380294,0.7928860701880736,0.13463080282141593,0.23127661599405325,0.8088355491659486,0.2577037999008735,0.12067982947202895,0.7843898733063465,0.4058512746899236,0.03276076202865497,0.7031764866280318,0.5462173218940014,0.0002749826819518383,0.5697492014791579,0.6725308472518775,0.021604349432386927,0.4356081400104366,0.7701487207236122,0.0943424480591206,0.2857017750168192,0.8139878335325539,1.0,0.40920177367796556
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.13996600374504306,0.7949345310908273,0.36872383131272046,0.05223229838780403,0.7177493030513259,0.5137199568997984,0.0035224961645367635,0.6050983633783308,0.6430395379865855,0.012043676401015557,0.4712801627765545,0.734952603439743,0.06920850288490703,0.3263874401032988,0.8079556834394896,0.17722882288185374,0.1862958556246019,0.8070349396783074,0.30886437508973724,0.0799699081800697,0.7500379266512466,0.4542813771349662,0.014112741519813909,0.6536081485227506,0.6036013563939232,0.002206049527814948,0.525944376687793,0.7146851247596896,0.0430974033988721,0.3752273821340866,0.7839919364834823,0.13605383365567428,0.2307094071960221,0.8058693508978573,0.2519914334339613,0.11780243663110132,0.7884322280315311,0.3968934851853962,0.0323067175207133,0.7005472274615722,0.5490981090439421,0.00037858663936724175,0.5718179125920398,0.673728405083682,0.020402834710464966,0.43776930998989594,0.7704749678959881,0.09082512482571987,0.2896120785175352,0.8093804531892059,1.0,0.40830192036465335
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1388585814090561,0.7783399160133455,0.36261293932151556,0.05104169475558378,0.7224871171929966,0.513335178962646,0.003890166538533957,0.6019919520209596,0.6365749178340763,0.01159438515034726,0.4651893789147779,0.7432166764707921,0.07030174354105287,0.3217426876678686,0.7982575804635449,0.17925685656156515,0.1884014109133705,0.7978008140539234,0.31482309907551953,0.07867410455473624,0.7510242508779182,0.4519352382698608,0.014678985661400228,0.6517342071929877,0.6030576101412595,0.0023061926451571155,0.5186561907780848,0.7124779107487437,0.043133796153573496,0.3817263063881036,0.7923375831179144,0.13499033900925547,0.23711872624911243,0.806891300451015,0.2519177857502764,0.11520837786500247,0.7884977417093388,0.4007479193710432,0.034531119694328365,0.701049174942287,0.5394783713455088,0.00038653712185678985,0.5730090783740975,0.6735644076093695,0.022485196844240583,0.43521326891758255,0.7686780324343203,0.09321392053821126,0.2877469710279386,0.8073100949524784,1.0,0.40746995675196956
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1382285998477755,0.792585450563799,0.3633633478223557,0.048859822933990237,0.7218110027167335,0.5153260842278593,0.004090882318402021,0.60277140351203,0.640662054278508,0.010526727653900142,0.4656608110719115,0.7487667589077741,0.07072750565256566,0.3197619325590574,0.8045632831535652,0.1819955227874727,0.18643181241182477,0.8086699431860352,0.3126544341366091,0.07787890276263358,0.7522948106638107,0.4527180029473304,0.014260753221710977,0.6482333123431052,0.5996886552900184,0.0019713371915032235,0.5247546225632221,0.7127299205303078,0.04049430845405368,0.3804902992248825,0.7848204435542931,0.13279554992084971,0.23931837901551561,0.8021624534561455,0.250437666188017,0.11555656767256264,0.7863882859385507,0.39643233008811957,0.03497398446193294,0.6969926646812954,0.5335771798123959,0.00037088446858464703,0.5757023405125645,0.6706624213200328,0.021173823632141722,0.44087113751323276,0.7679031262529348,0.0929940125687493,0.29110482581927793,0.803174868283213,1.0,0.4076077050019032
