,eta,epsilon,mu,K,TMSE,CB
0,0.05,0.35,0.05,1,0.03294513879157422,7
1,0.05,0.35,0.05,2,0.030970499516375875,7
2,0.05,0.35,0.05,4,0.019864608849746345,7
3,0.05,0.35,0.05,6,0.0217516310725928,7
4,0.05,0.35,0.05,8,0.02248233889094911,7
5,0.05,0.35,0.1,1,0.04462995721736205,7
6,0.05,0.35,0.1,2,0.04021497720240932,7
7,0.05,0.35,0.1,4,0.018266242279377516,7
8,0.05,0.35,0.1,6,0.0210220982389816,7
9,0.05,0.35,0.1,8,0.022769249957599255,7
10,0.05,0.35,0.2,1,0.13433640925037793,7
11,0.05,0.35,0.2,2,0.08489628979263124,7
12,0.05,0.35,0.2,4,0.020206208270398176,7
13,0.05,0.35,0.2,6,0.018946604841391698,7
14,0.05,0.35,0.2,8,0.022328433591304903,8
15,0.05,0.35,0.3,1,0.3207607831119191,7
16,0.05,0.35,0.3,2,0.16503827796533763,7
17,0.05,0.35,0.3,4,0.0261017959024425,8
18,0.05,0.35,0.3,6,0.03558780644545788,7
19,0.05,0.35,0.3,8,0.02238043749392461,7
20,0.05,0.35,0.4,1,0.4117284171613758,6
21,0.05,0.35,0.4,2,0.311301515926075,7
22,0.05,0.35,0.4,4,0.0608226360494033,8
23,0.05,0.35,0.4,6,0.02926997080084913,7
24,0.05,0.35,0.4,8,0.037206848952591784,7
25,0.05,0.5,0.05,1,0.0332168713994073,7
26,0.05,0.5,0.05,2,0.030726313569364557,7
27,0.05,0.5,0.05,4,0.020170802238498937,7
28,0.05,0.5,0.05,6,0.0218983016077265,7
29,0.05,0.5,0.05,8,0.022587640914431297,7
30,0.05,0.5,0.1,1,0.06085569700628513,6
31,0.05,0.5,0.1,2,0.040486155131064405,7
32,0.05,0.5,0.1,4,0.019337633745569852,7
33,0.05,0.5,0.1,6,0.02151070167820965,7
34,0.05,0.5,0.1,8,0.022530780823181232,7
35,0.05,0.5,0.2,1,0.2173911847457053,6
36,0.05,0.5,0.2,2,0.08072720880471516,6
37,0.05,0.5,0.2,4,0.04030663797741688,7
38,0.05,0.5,0.2,6,0.01887641567112943,7
39,0.05,0.5,0.2,8,0.02238535811191595,7
40,0.05,0.5,0.3,1,0.3120836256808412,5
41,0.05,0.5,0.3,2,0.16206691967041142,7
42,0.05,0.5,0.3,4,0.03924498832201145,7
43,0.05,0.5,0.3,6,0.018292764298405526,7
44,0.05,0.5,0.3,8,0.02285020915625047,7
45,0.05,0.5,0.4,1,0.4118426671599393,4
46,0.05,0.5,0.4,2,0.27573279180707205,6
47,0.05,0.5,0.4,4,0.04489047300358788,7
48,0.05,0.5,0.4,6,0.021023022656382496,7
49,0.05,0.5,0.4,8,0.024225141266021235,7
50,0.05,1.0,0.05,1,0.5170994345601246,4
51,0.05,1.0,0.05,2,0.5217468911586094,4
52,0.05,1.0,0.05,4,0.5215074906868802,4
53,0.05,1.0,0.05,6,0.5211637520449153,4
54,0.05,1.0,0.05,8,0.5211637520449153,4
55,0.05,1.0,0.1,1,0.5113881919974705,4
56,0.05,1.0,0.1,2,0.52173132134161,4
57,0.05,1.0,0.1,4,0.5218557134315573,4
58,0.05,1.0,0.1,6,0.5211637520449153,4
59,0.05,1.0,0.1,8,0.5211637520449153,4
60,0.05,1.0,0.2,1,0.46957809066330003,4
61,0.05,1.0,0.2,2,0.48111707164791667,4
62,0.05,1.0,0.2,4,0.5225416057748404,4
63,0.05,1.0,0.2,6,0.5211637520449153,4
64,0.05,1.0,0.2,8,0.5211637520449153,4
65,0.05,1.0,0.3,1,0.5210869445423009,4
66,0.05,1.0,0.3,2,0.44235703504566976,4
67,0.05,1.0,0.3,4,0.511876380190942,4
68,0.05,1.0,0.3,6,0.5211637520449153,4
69,0.05,1.0,0.3,8,0.5211637520449153,4
70,0.05,1.0,0.4,1,0.5822777494026892,3
71,0.05,1.0,0.4,2,0.5969851053790466,4
72,0.05,1.0,0.4,4,0.5115367851239195,4
73,0.05,1.0,0.4,6,0.5211637520449153,4
74,0.05,1.0,0.4,8,0.5211637520449153,4
75,0.1,0.35,0.05,1,0.021686061698610534,7
76,0.1,0.35,0.05,2,0.020391489278971043,7
77,0.1,0.35,0.05,4,0.015208200007552037,7
78,0.1,0.35,0.05,6,0.01562177847020928,7
79,0.1,0.35,0.05,8,0.017227248619806255,7
80,0.1,0.35,0.1,1,0.02961545532958401,7
81,0.1,0.35,0.1,2,0.02816466383177832,7
82,0.1,0.35,0.1,4,0.015078173242095164,7
83,0.1,0.35,0.1,6,0.01453235234418065,7
84,0.1,0.35,0.1,8,0.017507582359307647,7
85,0.1,0.35,0.2,1,0.1002318944593176,7
86,0.1,0.35,0.2,2,0.05377207992228879,7
87,0.1,0.35,0.2,4,0.021932875904490952,7
88,0.1,0.35,0.2,6,0.022621561121705956,7
89,0.1,0.35,0.2,8,0.01901413519598223,7
90,0.1,0.35,0.3,1,0.2895337514133971,6
91,0.1,0.35,0.3,2,0.11336825000369995,7
92,0.1,0.35,0.3,4,0.023796831877320842,9
93,0.1,0.35,0.3,6,0.017079174762994302,7
94,0.1,0.35,0.3,8,0.01735391325240873,7
95,0.1,0.35,0.4,1,0.2952991276335353,7
96,0.1,0.35,0.4,2,0.22716771224191948,8
97,0.1,0.35,0.4,4,0.04770332157069466,8
98,0.1,0.35,0.4,6,0.029869023455349305,7
99,0.1,0.35,0.4,8,0.016971066899621405,7
100,0.1,0.5,0.05,1,0.02153895715000943,7
101,0.1,0.5,0.05,2,0.02064817784761746,7
102,0.1,0.5,0.05,4,0.015589268872174404,7
103,0.1,0.5,0.05,6,0.016285221973665245,7
104,0.1,0.5,0.05,8,0.016937052565972534,7
105,0.1,0.5,0.1,1,0.041931374996597805,6
106,0.1,0.5,0.1,2,0.028577871542221116,7
107,0.1,0.5,0.1,4,0.015607698229740627,7
108,0.1,0.5,0.1,6,0.01559138972964552,7
109,0.1,0.5,0.1,8,0.017042935616084973,7
110,0.1,0.5,0.2,1,0.1893521993694859,6
111,0.1,0.5,0.2,2,0.050756093465303714,6
112,0.1,0.5,0.2,4,0.03466824505330861,7
113,0.1,0.5,0.2,6,0.014223518758080301,7
114,0.1,0.5,0.2,8,0.017399498610801267,7
115,0.1,0.5,0.3,1,0.19651873135826223,6
116,0.1,0.5,0.3,2,0.11389235138929302,6
117,0.1,0.5,0.3,4,0.0379227055953006,7
118,0.1,0.5,0.3,6,0.015123924905074793,7
119,0.1,0.5,0.3,8,0.016803220566180235,7
120,0.1,0.5,0.4,1,0.3193752161381777,5
121,0.1,0.5,0.4,2,0.23951017020432033,6
122,0.1,0.5,0.4,4,0.04555864443149889,7
123,0.1,0.5,0.4,6,0.016443191907563465,7
124,0.1,0.5,0.4,8,0.017303420565519687,7
125,0.1,1.0,0.05,1,0.5167971983377594,4
126,0.1,1.0,0.05,2,0.5205477258942245,4
127,0.1,1.0,0.05,4,0.5211061804032687,4
128,0.1,1.0,0.05,6,0.5207407316705343,4
129,0.1,1.0,0.05,8,0.5207407316705343,4
130,0.1,1.0,0.1,1,0.5109663382574197,4
131,0.1,1.0,0.1,2,0.5194757156846787,4
132,0.1,1.0,0.1,4,0.5214762990576545,4
133,0.1,1.0,0.1,6,0.5207407316705343,4
134,0.1,1.0,0.1,8,0.5207407316705343,4
135,0.1,1.0,0.2,1,0.4676209320873012,4
136,0.1,1.0,0.2,2,0.47476716093620724,4
137,0.1,1.0,0.2,4,0.5222061742501254,4
138,0.1,1.0,0.2,6,0.5207407316705343,4
139,0.1,1.0,0.2,8,0.5207407316705343,4
140,0.1,1.0,0.3,1,0.5210319174679491,4
141,0.1,1.0,0.3,2,0.4409291453188244,4
142,0.1,1.0,0.3,4,0.5114621525726977,4
143,0.1,1.0,0.3,6,0.5207407316705343,4
144,0.1,1.0,0.3,8,0.5207407316705343,4
145,0.1,1.0,0.4,1,0.5900555291619678,3
146,0.1,1.0,0.4,2,0.6096051961366705,4
147,0.1,1.0,0.4,4,0.5111343232660177,4
148,0.1,1.0,0.4,6,0.5207407316705343,4
149,0.1,1.0,0.4,8,0.5207407316705343,4
150,0.2,0.35,0.05,1,0.019257566214920748,7
151,0.2,0.35,0.05,2,0.017801152479461763,7
152,0.2,0.35,0.05,4,0.014054169779299719,7
153,0.2,0.35,0.05,6,0.014006992133026155,7
154,0.2,0.35,0.05,8,0.015339358392089393,7
155,0.2,0.35,0.1,1,0.025041734293736847,7
156,0.2,0.35,0.1,2,0.023238470910351406,7
157,0.2,0.35,0.1,4,0.014974994589815821,7
158,0.2,0.35,0.1,6,0.014119944105375972,7
159,0.2,0.35,0.1,8,0.015170103437811716,7
160,0.2,0.35,0.2,1,0.07028000096410866,7
161,0.2,0.35,0.2,2,0.052471125248327824,7
162,0.2,0.35,0.2,4,0.020581234184200704,7
163,0.2,0.35,0.2,6,0.014555879401585236,7
164,0.2,0.35,0.2,8,0.015149999335088558,7
165,0.2,0.35,0.3,1,0.2841805638698623,6
166,0.2,0.35,0.3,2,0.12672698490625942,6
167,0.2,0.35,0.3,4,0.045472033248707626,8
168,0.2,0.35,0.3,6,0.015654881186888563,7
169,0.2,0.35,0.3,8,0.015639710267154716,8
170,0.2,0.35,0.4,1,0.24086549432273974,6
171,0.2,0.35,0.4,2,0.18830330687111968,10
172,0.2,0.35,0.4,4,0.05983589628444039,8
173,0.2,0.35,0.4,6,0.022085723053154028,7
174,0.2,0.35,0.4,8,0.016020055333797464,7
175,0.2,0.5,0.05,1,0.020220977244763,7
176,0.2,0.5,0.05,2,0.0188058347191812,7
177,0.2,0.5,0.05,4,0.014392681219549106,7
178,0.2,0.5,0.05,6,0.014399228384470173,7
179,0.2,0.5,0.05,8,0.014816138561055781,7
180,0.2,0.5,0.1,1,0.04594564281863575,7
181,0.2,0.5,0.1,2,0.03332273479160599,7
182,0.2,0.5,0.1,4,0.014582752342185505,7
183,0.2,0.5,0.1,6,0.01372009738614957,7
184,0.2,0.5,0.1,8,0.0148986833866024,7
185,0.2,0.5,0.2,1,0.17661858864987298,6
186,0.2,0.5,0.2,2,0.04103481782552291,6
187,0.2,0.5,0.2,4,0.019238671201980553,7
188,0.2,0.5,0.2,6,0.014736687557615749,7
189,0.2,0.5,0.2,8,0.015466825940426587,7
190,0.2,0.5,0.3,1,0.1324301496547908,6
191,0.2,0.5,0.3,2,0.10920302645972789,6
192,0.2,0.5,0.3,4,0.02432737012463986,7
193,0.2,0.5,0.3,6,0.013987342313448423,7
194,0.2,0.5,0.3,8,0.014988357977682366,7
195,0.2,0.5,0.4,1,0.2525809767095423,5
196,0.2,0.5,0.4,2,0.23548418806302582,6
197,0.2,0.5,0.4,4,0.03167880614355644,8
198,0.2,0.5,0.4,6,0.030579207628383426,7
199,0.2,0.5,0.4,8,0.014961318573906961,7
200,0.2,1.0,0.05,1,0.5190023535990261,4
201,0.2,1.0,0.05,2,0.5211989822220078,4
202,0.2,1.0,0.05,4,0.5233783161747109,4
203,0.2,1.0,0.05,6,0.5229859513760026,4
204,0.2,1.0,0.05,8,0.5229859513760026,4
205,0.2,1.0,0.1,1,0.5129614776508403,4
206,0.2,1.0,0.1,2,0.5185883457690376,4
207,0.2,1.0,0.1,4,0.5237747929990177,4
208,0.2,1.0,0.1,6,0.5229859513760026,4
209,0.2,1.0,0.1,8,0.5229859513760026,4
210,0.2,1.0,0.2,1,0.467158153638696,4
211,0.2,1.0,0.2,2,0.5093914174369405,4
212,0.2,1.0,0.2,4,0.5245581868556002,4
213,0.2,1.0,0.2,6,0.5229859513760026,4
214,0.2,1.0,0.2,8,0.5229859513760026,4
215,0.2,1.0,0.3,1,0.5267986908928968,4
216,0.2,1.0,0.3,2,0.46396636862191054,4
217,0.2,1.0,0.3,4,0.5138459313769935,4
218,0.2,1.0,0.3,6,0.5229859513760026,4
219,0.2,1.0,0.3,8,0.5229859513760026,4
220,0.2,1.0,0.4,1,0.5944201050498049,3
221,0.2,1.0,0.4,2,0.6738261089956064,4
222,0.2,1.0,0.4,4,0.5136324849415976,4
223,0.2,1.0,0.4,6,0.5229859513760026,4
224,0.2,1.0,0.4,8,0.5229859513760026,4
