,eta,epsilon,mu,K,TMSE,CB,tradeOff
0,0.05,0.35,0.05,1,0.03810749540534647,20,0.03843411513315355
1,0.05,0.35,0.05,2,0.02058606531147561,24,0.021442623090665455
2,0.05,0.35,0.05,4,0.02701844938744962,21,0.027523791659256846
3,0.05,0.35,0.05,6,0.030546590762142497,23,0.0310830614192008
4,0.05,0.35,0.05,8,0.02539116114168793,22,0.025980012781428016
5,0.05,0.35,0.1,1,0.060023153895255775,16,0.060156288146240855
6,0.05,0.35,0.1,2,0.04340150620649902,20,0.0436885653345675
7,0.05,0.35,0.1,4,0.009412075841962256,33,0.012515976656052436
8,0.05,0.35,0.1,6,0.005468697875202929,44,0.012284407045122243
9,0.05,0.35,0.1,8,0.010162465452822133,34,0.013248611401947125
10,0.05,0.35,0.2,1,0.11829332240870616,16,0.11836093158846843
11,0.05,0.35,0.2,2,0.5990525252402771,12,0.5990600370553463
12,0.05,0.35,0.2,4,0.012451732345282079,23,0.013715252035545826
13,0.05,0.35,0.2,6,0.4615642650998604,19,0.4615887057946438
14,0.05,0.35,0.2,8,0.029413725923767675,23,0.02997048168979809
15,0.05,0.35,0.3,1,0.7192483122473147,8,0.719251092922778
16,0.05,0.35,0.3,2,0.6851852581049589,10,0.6851898189001053
17,0.05,0.35,0.3,4,0.3244705634596754,15,0.324492232652554
18,0.05,0.35,0.3,6,0.0924088123153166,30,0.09271266684508331
19,0.05,0.35,0.3,8,0.04025017826323499,23,0.04065881638983351
20,0.05,0.35,0.4,1,0.6613352113822987,7,0.6613375267698557
21,0.05,0.35,0.4,2,0.6270798462983794,13,0.6270882682155672
22,0.05,0.35,0.4,4,0.01486901305048977,24,0.016033949890642513
23,0.05,0.35,0.4,6,0.034084154954445736,23,0.034565765129079204
24,0.05,0.35,0.4,8,0.40604616339947747,18,0.4060710982222635
25,0.05,0.5,0.05,1,0.2792197619004247,11,0.279233303772544
26,0.05,0.5,0.05,2,0.07236337194811199,12,0.07242553140779018
27,0.05,0.5,0.05,4,0.065967149465142,12,0.06603533000263105
28,0.05,0.5,0.05,6,0.04342086009840928,14,0.043561692938700526
29,0.05,0.5,0.05,8,0.032464401851162526,14,0.032652524979758686
30,0.05,0.5,0.1,1,0.019298044145605025,12,0.01952983634969122
31,0.05,0.5,0.1,2,0.06890279105589414,11,0.06895764725751746
32,0.05,0.5,0.1,4,0.24734311340141865,11,0.24735840039729204
33,0.05,0.5,0.1,6,0.07025553079216004,11,0.07030933157759466
34,0.05,0.5,0.1,8,0.02930127801724095,17,0.029607894106870345
35,0.05,0.5,0.2,1,0.376702343696554,7,0.3767064085550931
36,0.05,0.5,0.2,2,0.21953685478962762,8,0.21954596468831314
37,0.05,0.5,0.2,4,0.3394557689462559,11,0.3394669079172429
38,0.05,0.5,0.2,6,0.09495634475230198,12,0.09500372313082277
39,0.05,0.5,0.2,8,0.00489692437894065,36,0.010245968396060142
40,0.05,0.5,0.3,1,0.4579736916808872,7,0.4579770352013519
41,0.05,0.5,0.3,2,0.7766284215446237,9,0.7766316808184519
42,0.05,0.5,0.3,4,0.06961042711784235,10,0.0696553053509095
43,0.05,0.5,0.3,6,0.19087956080929083,12,0.19090313442881904
44,0.05,0.5,0.3,8,0.020932232136537925,19,0.02146440873208277
45,0.05,0.5,0.4,1,0.17411625300531813,9,0.17413079009931573
46,0.05,0.5,0.4,2,0.5840558597251916,8,0.5840592840451495
47,0.05,0.5,0.4,4,0.6792013669205,9,0.6792050937137293
48,0.05,0.5,0.4,6,0.6479031092304549,12,0.6479100546761801
49,0.05,0.5,0.4,8,0.04186006432422695,19,0.04212870144246578
50,0.05,1.0,0.05,1,0.4575592699000694,5,0.4575609773259566
51,0.05,1.0,0.05,2,0.4697368719969677,5,0.4697385351591836
52,0.05,1.0,0.05,4,0.47981909798226624,5,0.47982072619731175
53,0.05,1.0,0.05,6,0.46719283664194855,5,0.4671945088606569
54,0.05,1.0,0.05,8,0.46719283664194855,5,0.4671945088606569
55,0.05,1.0,0.1,1,0.4519433150266412,5,0.451945043669327
56,0.05,1.0,0.1,2,0.47585289370069594,5,0.475854535486766
57,0.05,1.0,0.1,4,0.4929986675603195,5,0.493000252247654
58,0.05,1.0,0.1,6,0.46719283664194855,5,0.4671945088606569
59,0.05,1.0,0.1,8,0.46719283664194855,5,0.4671945088606569
60,0.05,1.0,0.2,1,0.484968914110844,5,0.48497052503616256
61,0.05,1.0,0.2,2,0.5112115108483617,5,0.5112130390784889
62,0.05,1.0,0.2,4,0.5203877512847586,5,0.5203892525669681
63,0.05,1.0,0.2,6,0.46719283664194855,5,0.4671945088606569
64,0.05,1.0,0.2,8,0.46719283664194855,5,0.4671945088606569
65,0.05,1.0,0.3,1,0.585198293217434,5,0.5851996282334754
66,0.05,1.0,0.3,2,0.5270460563135351,6,0.5270481908475257
67,0.05,1.0,0.3,4,0.009693205779850217,8,0.009897385426996448
