,eta,epsilon,sigma_init,mu,K,testing_mse,CB_size,tradeOff_dist
0,0.1,0.01,0.01,0.001,2,0.26104521212078435,2497,0.6766333314810802
1,0.1,0.01,0.01,0.001,5,0.2614418044452509,2497,0.6767864357473403
2,0.1,0.01,0.01,0.001,10,0.26298744128806495,2497,0.6773850136925406
3,0.1,0.01,0.01,0.001,20,0.26326747013570034,2497,0.6774937810280267
4,0.1,0.01,0.01,0.1,2,0.00676557482952925,2497,0.6242866613205619
5,0.1,0.01,0.01,0.1,5,0.006765593578641512,2497,0.6242866615237518
6,0.1,0.01,0.01,0.1,10,0.006769195154642722,2497,0.6242867005655668
7,0.1,0.01,0.01,0.1,20,0.009465091344286247,2497,0.6243217523474219
8,0.1,0.01,0.01,0.1,2,0.00676557482952925,2497,0.6242866613205619
9,0.1,0.01,0.01,0.1,5,0.006765593578641512,2497,0.6242866615237518
10,0.1,0.01,0.01,0.1,10,0.006769195154642722,2497,0.6242867005655668
11,0.1,0.01,0.01,0.1,20,0.009465091344286247,2497,0.6243217523474219
12,0.1,0.01,0.01,1.0,2,0.004145382823823741,2497,0.6242637637239214
13,0.1,0.01,0.01,1.0,5,0.004145636839734757,2497,0.6242637654107492
14,0.1,0.01,0.01,1.0,10,0.004146402052551661,2497,0.6242637704928754
15,0.1,0.01,0.01,1.0,20,0.041612792650176054,2497,0.6256354265961499
16,0.1,0.01,0.1,0.001,2,0.06655897904359497,2497,0.6277883084219757
17,0.1,0.01,0.1,0.001,5,0.06655908697192722,2497,0.627788319864695
18,0.1,0.01,0.1,0.001,10,0.06656026152490957,2497,0.6277884443937021
19,0.1,0.01,0.1,0.001,20,0.06670287247635961,2497,0.6278035805063535
20,0.1,0.01,0.1,0.1,2,0.0067624135537784165,2497,0.6242866270689068
21,0.1,0.01,0.1,0.1,5,0.006762414763013522,2497,0.6242866270820056
22,0.1,0.01,0.1,0.1,10,0.00676242797787334,2497,0.624286627225152
23,0.1,0.01,0.1,0.1,20,0.006763584786133703,2497,0.6242866397570583
24,0.1,0.01,0.1,0.1,2,0.0067624135537784165,2497,0.6242866270689068
25,0.1,0.01,0.1,0.1,5,0.006762414763013522,2497,0.6242866270820056
26,0.1,0.01,0.1,0.1,10,0.00676242797787334,2497,0.624286627225152
27,0.1,0.01,0.1,0.1,20,0.006763584786133703,2497,0.6242866397570583
28,0.1,0.01,0.1,1.0,2,0.0041419876410004695,2497,0.6242637411876635
29,0.1,0.01,0.1,1.0,5,0.004141997890786462,2497,0.6242637412556709
30,0.1,0.01,0.1,1.0,10,0.004142100688325483,2497,0.6242637419377424
31,0.1,0.01,0.1,1.0,20,0.004145576683430559,2497,0.6242637650112637
32,0.1,0.01,2.0,0.001,2,0.004135378826032254,2497,0.6242636973731812
33,0.1,0.01,2.0,0.001,5,0.004135378825992671,2497,0.624263697373181
34,0.1,0.01,2.0,0.001,10,0.004135378825624261,2497,0.6242636973731785
35,0.1,0.01,2.0,0.001,20,0.004135378794854431,2497,0.6242636973729747
36,0.1,0.01,2.0,0.1,2,0.004153485883828589,2497,0.6242638175843505
37,0.1,0.01,2.0,0.1,5,0.004153485879717892,2497,0.624263817584323
