,eta,epsilon,mu,K,testing_mse,CB_size,tradeOff_dist
0,0.05,0.01,0.001,2,0.013081843935286571,245.0,0.06263143891646746
1,0.05,0.01,0.001,5,0.009903106792336604,249.0,0.06303280117637501
2,0.05,0.01,0.001,10,0.008928860679191046,249.0,0.06288709766739442
3,0.05,0.01,0.001,15,0.008715892781451084,249.0,0.0628572134840366
4,0.05,0.01,0.001,20,0.009056669831972156,249.0,0.06290537153888652
5,0.05,0.01,0.1,2,0.3928718873159615,175.0,0.3953003697736767
6,0.05,0.01,0.1,5,5.7235848690832654e-21,226.0,0.0565
7,0.05,0.01,0.1,10,2.3389211763553563e-18,248.0,0.062
8,0.05,0.01,0.1,15,3.115162186977548e-25,227.0,0.05675
9,0.05,0.01,0.1,20,7.172023752668922e-25,251.0,0.06275
10,0.05,0.01,0.1,2,0.3928718873159615,175.0,0.3953003697736767
11,0.05,0.01,0.1,5,5.7235848690832654e-21,226.0,0.0565
12,0.05,0.01,0.1,10,2.3389211763553563e-18,248.0,0.062
13,0.05,0.01,0.1,15,3.115162186977548e-25,227.0,0.05675
14,0.05,0.01,0.1,20,7.172023752668922e-25,251.0,0.06275
15,0.05,0.01,1.0,2,,,
16,0.05,0.01,1.0,5,1.0224927451376502,10.0,1.0224958013894863
17,0.05,0.01,1.0,10,,,
18,0.05,0.01,1.0,15,1.0212183044102294,24.0,1.0212359302641598
19,0.05,0.01,1.0,20,0.8652531972005147,76.0,0.8654617815164993
20,0.05,0.1,0.001,2,0.016625498522959865,90.0,0.027976011172734055
21,0.05,0.1,0.001,5,0.015839783964214385,90.0,0.027516336166593533
22,0.05,0.1,0.001,10,0.015195470395091781,90.0,0.027150549175442306
23,0.05,0.1,0.001,15,0.014904137029239553,91.0,0.02719734914631111
24,0.05,0.1,0.001,20,0.014700306716401112,91.0,0.027086186840459246
25,0.05,0.1,0.1,2,0.5571088275307969,33.0,0.5571699096440325
26,0.05,0.1,0.1,5,0.0367988930387567,62.0,0.039930045440468215
27,0.05,0.1,0.1,10,6.9740834472885345e-09,95.0,0.023750000000001024
28,0.05,0.1,0.1,15,0.0006275091695656417,90.0,0.02250874869373882
29,0.05,0.1,0.1,20,0.0012386888366721018,70.0,0.01754378380036918
30,0.05,0.1,0.1,2,0.5571088275307969,33.0,0.5571699096440325
31,0.05,0.1,0.1,5,0.0367988930387567,62.0,0.039930045440468215
32,0.05,0.1,0.1,10,6.9740834472885345e-09,95.0,0.023750000000001024
33,0.05,0.1,0.1,15,0.0006275091695656417,90.0,0.02250874869373882
34,0.05,0.1,0.1,20,0.0012386888366721018,70.0,0.01754378380036918
35,0.05,0.1,1.0,2,,,
36,0.05,0.1,1.0,5,0.933091806601239,13.0,0.9330974665308892
37,0.05,0.1,1.0,10,1.0105521109225148,16.0,1.0105600273560946
38,0.05,0.1,1.0,15,,,
39,0.05,0.1,1.0,20,0.8973464432722803,43.0,0.8974108322019585
40,0.05,1.0,0.001,2,0.39605640479467397,5.0,0.39605837736233107
41,0.05,1.0,0.001,5,0.3957159458098181,5.0,0.3957179200745891
42,0.05,1.0,0.001,10,0.3957159458098181,5.0,0.3957179200745891
43,0.05,1.0,0.001,15,0.3957159458098181,5.0,0.3957179200745891
44,0.05,1.0,0.001,20,0.3957159458098181,5.0,0.3957179200745891
45,0.05,1.0,0.1,2,0.37269207287490896,6.0,0.37269509144043805
46,0.05,1.0,0.1,5,0.3957159458098181,5.0,0.3957179200745891
47,0.05,1.0,0.1,10,0.3957159458098181,5.0,0.3957179200745891
48,0.05,1.0,0.1,15,0.3957159458098181,5.0,0.3957179200745891
49,0.05,1.0,0.1,20,0.3957159458098181,5.0,0.3957179200745891
50,0.05,1.0,0.1,2,0.37269207287490896,6.0,0.37269509144043805
51,0.05,1.0,0.1,5,0.3957159458098181,5.0,0.3957179200745891
52,0.05,1.0,0.1,10,0.3957159458098181,5.0,0.3957179200745891
53,0.05,1.0,0.1,15,0.3957159458098181,5.0,0.3957179200745891
54,0.05,1.0,0.1,20,0.3957159458098181,5.0,0.3957179200745891
55,0.05,1.0,1.0,2,0.6196276728360491,5.0,0.6196289336725795
56,0.05,1.0,1.0,5,0.3957159458098181,5.0,0.3957179200745891
57,0.05,1.0,1.0,10,0.3957159458098181,5.0,0.3957179200745891
58,0.05,1.0,1.0,15,0.3957159458098181,5.0,0.3957179200745891
59,0.05,1.0,1.0,20,0.3957159458098181,5.0,0.3957179200745891
60,0.05,1.5,0.001,2,0.8908543132531666,3.0,0.8908546289612975
61,0.05,1.5,0.001,5,0.8906571973181319,3.0,0.8906575130961338
62,0.05,1.5,0.001,10,0.8906571973181319,3.0,0.8906575130961338
63,0.05,1.5,0.001,15,0.8906571973181319,3.0,0.8906575130961338
64,0.05,1.5,0.001,20,0.8906571973181319,3.0,0.8906575130961338
65,0.05,1.5,0.1,2,0.9089484944022008,3.0,0.9089488038256213
66,0.05,1.5,0.1,5,0.8906571973181319,3.0,0.8906575130961338
67,0.05,1.5,0.1,10,0.8906571973181319,3.0,0.8906575130961338
68,0.05,1.5,0.1,15,0.8906571973181319,3.0,0.8906575130961338
69,0.05,1.5,0.1,20,0.8906571973181319,3.0,0.8906575130961338
70,0.05,1.5,0.1,2,0.9089484944022008,3.0,0.9089488038256213
71,0.05,1.5,0.1,5,0.8906571973181319,3.0,0.8906575130961338
72,0.05,1.5,0.1,10,0.8906571973181319,3.0,0.8906575130961338
73,0.05,1.5,0.1,15,0.8906571973181319,3.0,0.8906575130961338
74,0.05,1.5,0.1,20,0.8906571973181319,3.0,0.8906575130961338
75,0.05,1.5,1.0,2,,,
76,0.05,1.5,1.0,5,0.8906571973181319,3.0,0.8906575130961338
77,0.05,1.5,1.0,10,0.8906571973181319,3.0,0.8906575130961338
78,0.05,1.5,1.0,15,0.8906571973181319,3.0,0.8906575130961338
79,0.05,1.5,1.0,20,0.8906571973181319,3.0,0.8906575130961338
80,0.05,2.0,0.001,2,0.8601634430388888,3.0,0.8601637700115692
81,0.05,2.0,0.001,5,0.8603236108637698,3.0,0.8603239377755773
82,0.05,2.0,0.001,10,0.8603236108637698,3.0,0.8603239377755773
83,0.05,2.0,0.001,15,0.8603236108637698,3.0,0.8603239377755773
84,0.05,2.0,0.001,20,0.8603236108637698,3.0,0.8603239377755773
