,eta,epsilon,mu,K,testing_mse,CB_size,tradeOff_dist
0,0.05,0.01,0.001,2,0.6326171303796941,1390,0.7217760619817195
1,0.05,0.01,0.001,5,0.19881703869303746,1593,0.4451193967630132
2,0.05,0.01,0.001,10,0.07504089087408361,1838,0.4655871403971293
3,0.05,0.01,0.001,15,0.010569258116160876,2146,0.5366040991430516
4,0.05,0.01,0.001,20,0.007300828840737345,2241,0.5602975679063419
5,0.05,0.01,0.1,2,0.5024275332945453,105,0.5031127991936215
6,0.05,0.01,0.1,5,1.2254479179415745,303,1.2277868960399194
7,0.05,0.01,0.1,10,0.47986227828533323,251,0.48394769203002774
8,0.05,0.01,0.1,15,0.25060164257346157,150,0.25339185713143386
9,0.05,0.01,0.1,20,1.2667351219685856,1016,1.2919496388128942
10,0.05,0.01,0.1,2,0.5024275332945453,105,0.5031127991936215
11,0.05,0.01,0.1,5,1.2254479179415745,303,1.2277868960399194
12,0.05,0.01,0.1,10,0.47986227828533323,251,0.48394769203002774
13,0.05,0.01,0.1,15,0.25060164257346157,150,0.25339185713143386
14,0.05,0.01,0.1,20,1.2667351219685856,1016,1.2919496388128942
15,0.05,0.01,1.0,2,0.7292404695322773,335,0.7340338717686373
16,0.05,0.01,1.0,5,1.1492028077048566,2210,1.275116991980236
17,0.05,0.01,1.0,10,0.6630256361565565,141,0.663962014501437
18,0.05,0.01,1.0,15,1.0653344222827312,2127,1.1906701868277716
19,0.05,0.01,1.0,20,0.7494095247961918,143,0.7502617532270014
20,0.05,0.01,1.5,2,,3962,
21,0.05,0.01,1.5,5,,3983,
22,0.05,0.01,1.5,10,,3945,
23,0.05,0.01,1.5,15,,3923,
24,0.05,0.01,1.5,20,,3951,
25,0.05,0.01,2.0,2,,3995,
26,0.05,0.01,2.0,5,,3995,
27,0.05,0.01,2.0,10,,3995,
28,0.05,0.01,2.0,15,,3995,
29,0.05,0.01,2.0,20,,3995,
30,0.05,0.1,0.001,2,0.00832160468905986,354,0.0888903768953703
31,0.05,0.1,0.001,5,0.008267748507731605,363,0.09112583698044753
32,0.05,0.1,0.001,10,0.008078842234969446,367,0.09210499547721354
33,0.05,0.1,0.001,15,0.00802022395211851,369,0.09259798319748727
34,0.05,0.1,0.001,20,0.007967718856801788,373,0.09358978065890013
35,0.05,0.1,0.1,2,1.297488505048137,30,1.2975101813596877
36,0.05,0.1,0.1,5,0.9048478050402713,39,0.9049003330677897
37,0.05,0.1,0.1,10,0.7386348124709424,28,0.7386679810266479
38,0.05,0.1,0.1,15,0.4119224013614698,42,0.4120562033793446
39,0.05,0.1,0.1,20,0.5529013166365025,45,0.5530157578572044
40,0.05,0.1,0.1,2,1.297488505048137,30,1.2975101813596877
41,0.05,0.1,0.1,5,0.9048478050402713,39,0.9049003330677897
42,0.05,0.1,0.1,10,0.7386348124709424,28,0.7386679810266479
43,0.05,0.1,0.1,15,0.4119224013614698,42,0.4120562033793446
44,0.05,0.1,0.1,20,0.5529013166365025,45,0.5530157578572044
45,0.05,0.1,1.0,2,0.8236441200636787,61,0.823785286962247
46,0.05,0.1,1.0,5,1.4900607892392235,620,1.498100849618682
47,0.05,0.1,1.0,10,0.467553168408867,237,0.47129240158225594
48,0.05,0.1,1.0,15,0.14879099574231708,69,0.14978759265703626
49,0.05,0.1,1.0,20,1.003800632169881,666,1.0175155817699562
50,0.05,0.1,1.5,2,,3508,
51,0.05,0.1,1.5,5,0.0371338901023875,61,0.04014334682280729
52,0.05,0.1,1.5,10,,2861,
53,0.05,0.1,1.5,15,,3599,
54,0.05,0.1,1.5,20,,3768,
55,0.05,0.1,2.0,2,,3985,
56,0.05,0.1,2.0,5,,3981,
57,0.05,0.1,2.0,10,,3981,
58,0.05,0.1,2.0,15,,3981,
59,0.05,0.1,2.0,20,,3981,
60,0.05,1.0,0.001,2,0.019944980302821002,15,0.020294450947978805
61,0.05,1.0,0.001,5,0.019947799464594736,15,0.020297221570443724
62,0.05,1.0,0.001,10,0.020014271910237493,15,0.020362553378614423
63,0.05,1.0,0.001,15,0.020061293691898168,15,0.020408772736070956
64,0.05,1.0,0.001,20,0.020061293691898168,15,0.020408772736070956
65,0.05,1.0,0.1,2,0.023770613631314264,9,0.023876862700305153
66,0.05,1.0,0.1,5,0.02302102099542098,11,0.02318469123520116
67,0.05,1.0,0.1,10,0.012855964378046156,15,0.013391725806989616
68,0.05,1.0,0.1,15,0.020061293691898168,15,0.020408772736070956
69,0.05,1.0,0.1,20,0.020061293691898168,15,0.020408772736070956
70,0.05,1.0,0.1,2,0.023770613631314264,9,0.023876862700305153
71,0.05,1.0,0.1,5,0.02302102099542098,11,0.02318469123520116
72,0.05,1.0,0.1,10,0.012855964378046156,15,0.013391725806989616
73,0.05,1.0,0.1,15,0.020061293691898168,15,0.020408772736070956
74,0.05,1.0,0.1,20,0.020061293691898168,15,0.020408772736070956
75,0.05,1.0,1.0,2,0.47556397119083693,7,0.47556719104118106
76,0.05,1.0,1.0,5,0.39824402902276573,9,0.39825038499954457
77,0.05,1.0,1.0,10,0.0200731783759989,19,0.02062752990822386
78,0.05,1.0,1.0,15,0.020061293691898168,15,0.020408772736070956
79,0.05,1.0,1.0,20,0.020061293691898168,15,0.020408772736070956
80,0.05,1.0,1.5,2,0.011095663706023629,15,0.011712226648983958
81,0.05,1.0,1.5,5,0.8147408730062595,7,0.8147427524360078
82,0.05,1.0,1.5,10,,1491,
83,0.05,1.0,1.5,15,0.020061293691898168,15,0.020408772736070956
84,0.05,1.0,1.5,20,0.020061293691898168,15,0.020408772736070956
85,0.05,1.0,2.0,2,,3960,
86,0.05,1.0,2.0,5,,3932,
87,0.05,1.0,2.0,10,,3926,
88,0.05,1.0,2.0,15,0.020061293691898168,15,0.020408772736070956
89,0.05,1.0,2.0,20,0.020061293691898168,15,0.020408772736070956
90,0.05,1.5,0.001,2,0.014040463042156377,7,0.014149102531191126
91,0.05,1.5,0.001,5,0.014038075031310458,7,0.014146732859027985
92,0.05,1.5,0.001,10,0.014031218075622822,7,0.014139928595494554
93,0.05,1.5,0.001,15,0.014031218075622822,7,0.014139928595494554
94,0.05,1.5,0.001,20,0.014031218075622822,7,0.014139928595494554
95,0.05,1.5,0.1,2,0.02457932433722599,6,0.024625051977093363
96,0.05,1.5,0.1,5,0.015410608104946771,7,0.015509653192907027
97,0.05,1.5,0.1,10,0.014031218075622822,7,0.014139928595494554
98,0.05,1.5,0.1,15,0.014031218075622822,7,0.014139928595494554
99,0.05,1.5,0.1,20,0.014031218075622822,7,0.014139928595494554
100,0.05,1.5,0.1,2,0.02457932433722599,6,0.024625051977093363
101,0.05,1.5,0.1,5,0.015410608104946771,7,0.015509653192907027
102,0.05,1.5,0.1,10,0.014031218075622822,7,0.014139928595494554
103,0.05,1.5,0.1,15,0.014031218075622822,7,0.014139928595494554
104,0.05,1.5,0.1,20,0.014031218075622822,7,0.014139928595494554
105,0.05,1.5,1.0,2,0.06409197746190522,5,0.06410416581609471
106,0.05,1.5,1.0,5,0.024315621317808022,6,0.024361843938237513
107,0.05,1.5,1.0,10,0.014031218075622822,7,0.014139928595494554
108,0.05,1.5,1.0,15,0.014031218075622822,7,0.014139928595494554
109,0.05,1.5,1.0,20,0.014031218075622822,7,0.014139928595494554
110,0.05,1.5,1.5,2,0.020335054150092725,26,0.021348639939986886
111,0.05,1.5,1.5,5,0.012807904043604882,7,0.012926906280707317
112,0.05,1.5,1.5,10,0.014031218075622822,7,0.014139928595494554
113,0.05,1.5,1.5,15,0.014031218075622822,7,0.014139928595494554
114,0.05,1.5,1.5,20,0.014031218075622822,7,0.014139928595494554
115,0.05,1.5,2.0,2,,3936,
116,0.05,1.5,2.0,5,,3797,
117,0.05,1.5,2.0,10,0.014031218075622822,7,0.014139928595494554
118,0.05,1.5,2.0,15,0.014031218075622822,7,0.014139928595494554
119,0.05,1.5,2.0,20,0.014031218075622822,7,0.014139928595494554
120,0.05,2.0,0.001,2,0.014600178098848875,5,0.014653590021496656
121,0.05,2.0,0.001,5,0.014598364805126803,5,0.014651783337995581
122,0.05,2.0,0.001,10,0.014598364805126803,5,0.014651783337995581
123,0.05,2.0,0.001,15,0.014598364805126803,5,0.014651783337995581
124,0.05,2.0,0.001,20,0.014598364805126803,5,0.014651783337995581
125,0.05,2.0,0.1,2,0.01594430101468178,5,0.015993224654421087
126,0.05,2.0,0.1,5,0.014598364805126803,5,0.014651783337995581
127,0.05,2.0,0.1,10,0.014598364805126803,5,0.014651783337995581
128,0.05,2.0,0.1,15,0.014598364805126803,5,0.014651783337995581
129,0.05,2.0,0.1,20,0.014598364805126803,5,0.014651783337995581
130,0.05,2.0,0.1,2,0.01594430101468178,5,0.015993224654421087
131,0.05,2.0,0.1,5,0.014598364805126803,5,0.014651783337995581
132,0.05,2.0,0.1,10,0.014598364805126803,5,0.014651783337995581
133,0.05,2.0,0.1,15,0.014598364805126803,5,0.014651783337995581
134,0.05,2.0,0.1,20,0.014598364805126803,5,0.014651783337995581
135,0.05,2.0,1.0,2,0.04326310484731637,5,0.043281159192307794
136,0.05,2.0,1.0,5,0.014598364805126803,5,0.014651783337995581
137,0.05,2.0,1.0,10,0.014598364805126803,5,0.014651783337995581
138,0.05,2.0,1.0,15,0.014598364805126803,5,0.014651783337995581
139,0.05,2.0,1.0,20,0.014598364805126803,5,0.014651783337995581
140,0.05,2.0,1.5,2,,1508,
141,0.05,2.0,1.5,5,0.014598364805126803,5,0.014651783337995581
142,0.05,2.0,1.5,10,0.014598364805126803,5,0.014651783337995581
143,0.05,2.0,1.5,15,0.014598364805126803,5,0.014651783337995581
