,eta,epsilon,sigma,testing_mse,CB_size,tradeOff_dist
0,0.1,0.01,0.01,0.7799183301382633,2497,0.9989798117007456
1,0.1,0.01,0.1,0.1016498108449577,2497,0.6324719334048078
2,0.1,0.01,0.0,0.9967220847343098,2497,1.1760709913509084
3,0.1,0.01,2.0,0.004135200002766967,2497,0.6242636961886082
4,0.1,0.01,4.0,0.014555258270608998,2497,0.624419665003693
5,0.1,0.1,0.01,1.1393065420525503,404,1.1437746267354156
6,0.1,0.1,0.1,0.10999620375908836,404,0.1493323971595276
7,0.1,0.1,0.0,0.9967220847343098,404,1.0018262894320096
8,0.1,0.1,2.0,0.004193178611125164,404,0.10108700582599527
9,0.1,0.1,4.0,0.014809727651685207,404,0.10208000799920175
10,0.1,1.0,0.01,0.9967220691532287,15,0.9967291235020143
11,0.1,1.0,0.1,5.3768522968569465,15,5.376853604545675
12,0.1,1.0,0.0,0.9967220847343101,15,0.9967291390829854
13,0.1,1.0,2.0,1.9247924231150144,15,1.9247960761028606
14,0.1,1.0,4.0,1.8404870069111954,15,1.8404908272275988
15,0.5,0.01,0.01,0.5501392206546493,2497,0.8320704444952391
16,0.5,0.01,0.1,0.0198671468182191,2497,0.6245660621765297
17,0.5,0.01,0.0,0.9967220847343098,2497,1.1760709913509084
18,0.5,0.01,2.0,0.011478451282156112,2497,0.6243555215931359
19,0.5,0.01,4.0,0.028552750640214897,2497,0.6249026500736913
20,0.5,0.1,0.01,2.227170550272098,404,2.2294594995198547
21,0.5,0.1,0.1,0.024268291016397502,404,0.1038746838688646
22,0.5,0.1,0.0,0.9967220847343098,404,1.0018262894320096
23,0.5,0.1,2.0,0.011673860513918876,404,0.10167241031518057
24,0.5,0.1,4.0,0.025313937230086465,404,0.10412394257849036
25,0.5,1.0,0.01,0.9967220128048077,15,0.996729067153992
26,0.5,1.0,0.1,4.094972572063489,15,4.094974289107597
27,0.5,1.0,0.0,0.9967220847343101,15,0.9967291390829854
28,0.5,1.0,2.0,1.9935242449384958,15,1.993527771980516
29,0.5,1.0,4.0,1.5367179079245892,15,1.5367224834159636
30,0.9,0.01,0.01,0.4848920126032881,2497,0.7904481807091894
31,0.9,0.01,0.1,0.01840499714928295,2497,0.6245212617838284
32,0.9,0.01,0.0,0.9967220847343098,2497,1.1760709913509084
33,0.9,0.01,2.0,0.1738325789439346,2497,0.6480014104940661
34,0.9,0.01,4.0,0.08439385601961107,2497,0.6299288733133757
35,0.9,0.1,0.01,3.88644593817434,404,3.887758098229856
36,0.9,0.1,0.1,0.03330844635681581,404,0.10635061165176662
37,0.9,0.1,0.0,0.9967220847343098,404,1.0018262894320096
38,0.9,0.1,2.0,0.18351257166084228,404,0.20947043695370424
39,0.9,0.1,4.0,0.0625230774802917,404,0.11878609016886851
40,0.9,1.0,0.01,0.9967219658275566,15,0.9967290201770734
41,0.9,1.0,0.1,3.587567958330282,15,3.587569918222934
42,0.9,1.0,0.0,0.9967220847343101,15,0.9967291390829854
43,0.9,1.0,2.0,2.323395323928375,15,2.3233983502086417
44,0.9,1.0,4.0,1.4955904846737693,15,1.495595185986743
