,eta,epsilon,sigma,testing_mse,CB_size,tradeOff_dist
0,0.05,0.01,0.01,4.0173082556683265e-19,31,0.00775
1,0.05,0.01,0.1,1.7494303447857405e-25,31,0.00775
2,0.05,0.01,0.0,1.0006449929566916,31,1.0006750043991792
3,0.05,0.01,2.0,0.15036836246403323,31,0.15056794788438502
4,0.05,0.01,4.0,0.47227339191440426,31,0.47233697633187316
5,0.05,0.1,0.01,0.07846228986547218,15,0.07855546802058644
6,0.05,0.1,0.1,3.456032674580133e-21,15,0.0038250000000000003
7,0.05,0.1,0.0,1.0006449929566916,15,1.0006523035272028
8,0.05,0.1,2.0,0.15144905599475755,15,0.15149735042799664
9,0.05,0.1,4.0,0.47306367689421674,15,0.4730791403366628
10,0.05,1.0,0.01,0.9008432089243297,4,0.9008437920583587
11,0.05,1.0,0.1,0.899074868181288,4,0.8990754524622505
12,0.05,1.0,0.0,1.0006449929566916,4,1.0006455179304494
13,0.05,1.0,2.0,0.420399927103347,4,0.4204011766557028
14,0.05,1.0,4.0,0.6394473666816282,4,0.6394481881912472
15,0.05,2.0,0.01,0.8437302304320966,3,0.8437305637731745
16,0.05,2.0,0.1,0.8408363659621493,3,0.84083670045047
17,0.05,2.0,0.0,1.0006449929566916,3,1.0006452740253649
18,0.05,2.0,2.0,0.8297771948770357,3,0.8297775338233749
19,0.05,2.0,4.0,0.852733832779777,3,0.8527341626012697
20,0.1,0.01,0.01,8.242561074565904e-28,31,0.00775
21,0.1,0.01,0.1,1.3162313011372209e-30,31,0.00775
22,0.1,0.01,0.0,1.0006449929566916,31,1.0006750043991792
23,0.1,0.01,2.0,0.07752521203411805,31,0.07791162301566412
24,0.1,0.01,4.0,0.33638520642521796,31,0.336474470950972
25,0.1,0.1,0.01,0.07711050895630138,15,0.07720531857650634
26,0.1,0.1,0.1,3.070303530275911e-30,15,0.0038250000000000003
27,0.1,0.1,0.0,1.0006449929566916,15,1.0006523035272028
28,0.1,0.1,2.0,0.07848436395808397,15,0.07857751593748043
29,0.1,0.1,4.0,0.3372200593184817,15,0.33724175161412073
30,0.1,1.0,0.01,0.8842247752561819,4,0.8842253693498312
31,0.1,1.0,0.1,0.8808851428993691,4,0.8808857392453586
32,0.1,1.0,0.0,1.0006449929566916,4,1.0006455179304494
33,0.1,1.0,2.0,0.4125011333104734,4,0.41250240678985733
34,0.1,1.0,4.0,0.5317668250259878,4,0.5317678128875605
35,0.1,2.0,0.01,0.8273252640789142,3,0.8273256040297828
36,0.1,2.0,0.1,0.8218949911646641,3,0.8218953333615926
37,0.1,2.0,0.0,1.0006449929566916,3,1.0006452740253649
38,0.1,2.0,2.0,0.8291370684987767,3,0.8291374077067957
39,0.1,2.0,4.0,0.8490981702770093,3,0.8490985015107289
40,0.5,0.01,0.01,1.2905424469780545e-28,31,0.00775
41,0.5,0.01,0.1,1.5593907273793232e-30,31,0.00775
42,0.5,0.01,0.0,1.0006449929566916,31,1.0006750043991792
43,0.5,0.01,2.0,0.017514709265695337,31,0.01915274237966548
44,0.5,0.01,4.0,0.2467525400035034,31,0.24687421594443706
45,0.5,0.1,0.01,0.06968804320518315,15,0.06979293653921917
46,0.5,0.1,0.1,3.197246248105413e-30,15,0.0038250000000000003
47,0.5,0.1,0.0,1.0006449929566916,15,1.0006523035272028
48,0.5,0.1,2.0,0.017962801450316646,15,0.01836553459454687
49,0.5,0.1,4.0,0.2480354720856365,15,0.2480649633417516
50,0.5,1.0,0.01,0.7847790554227699,4,0.7847797247987839
51,0.5,1.0,0.1,0.7767302717182799,4,0.7767309480306246
52,0.5,1.0,0.0,1.0006449929566916,4,1.0006455179304494
53,0.5,1.0,2.0,0.4482628301153647,4,0.4482640019988626
54,0.5,1.0,4.0,0.4004550007919902,4,0.40045631257892894
55,0.5,2.0,0.01,0.7353201458505215,3,0.7353205283368827
56,0.5,2.0,0.1,0.7180402855274413,3,0.7180406772184493
57,0.5,2.0,0.0,1.0006449929566916,3,1.0006452740253649
58,0.5,2.0,2.0,0.9892328668480124,3,0.9892331511591882
59,0.5,2.0,4.0,1.0890426030859603,3,1.0890428613402892
60,0.9,0.01,0.01,8.180304706130681e-29,31,0.00775
61,0.9,0.01,0.1,2.7356634042700364e-30,31,0.00775
62,0.9,0.01,0.0,1.0006449929566916,31,1.0006750043991792
63,0.9,0.01,2.0,0.008306283835686153,31,0.011360319148641076
64,0.9,0.01,4.0,0.2996071038078264,31,0.2997073224866447
65,0.9,0.1,0.01,0.06601548342335346,15,0.06612620264780865
66,0.9,0.1,0.1,5.203568018378696e-30,15,0.0038250000000000003
67,0.9,0.1,0.0,1.0006449929566916,15,1.0006523035272028
68,0.9,0.1,2.0,0.008484536069655088,15,0.00930687795757945
69,0.9,0.1,4.0,0.30161981728146453,15,0.30164406972772406
70,0.9,1.0,0.01,0.7448920013890029,4,0.7448927066083506
71,0.9,1.0,0.1,0.7399615908514257,4,0.7399623007696896
72,0.9,1.0,0.0,1.0006449929566916,4,1.0006455179304494
73,0.9,1.0,2.0,0.7318586353632535,4,0.7318593531415469
74,0.9,1.0,4.0,0.7089126418333126,4,0.7089133828445381
75,0.9,2.0,0.01,0.7130654500173808,3,0.7130658444410936
76,0.9,2.0,0.1,0.691186925227229,3,0.691187332135848
77,0.9,2.0,0.0,1.0006449929566916,3,1.0006452740253649
78,0.9,2.0,2.0,1.8652723775163147,3,1.8652725282985767
79,0.9,2.0,4.0,2.567035738545722,3,2.5670358481078877
