,eta,epsilon,sigma_init,mu,K,testing_mse,CB_size,tradeOff_dist
0,0.1,0.01,0.01,0.001,2,0.22222083639427598,64,0.46031713606248853
1,0.1,0.01,0.01,0.001,5,0.22222083639427598,64,0.46031713606248853
2,0.1,0.01,0.01,0.001,10,0.22222083639427598,64,0.46031713606248853
3,0.1,0.01,0.01,0.001,20,0.22222083639427598,64,0.46031713606248853
4,0.1,0.01,0.01,0.1,2,0.22222083639427598,64,0.46031713606248853
5,0.1,0.01,0.01,0.1,5,0.22222083639427598,64,0.46031713606248853
6,0.1,0.01,0.01,0.1,10,0.22222083639427598,64,0.46031713606248853
7,0.1,0.01,0.01,0.1,20,0.22222083639427598,64,0.46031713606248853
8,0.1,0.01,0.01,0.1,2,0.22222083639427598,64,0.46031713606248853
9,0.1,0.01,0.01,0.1,5,0.22222083639427598,64,0.46031713606248853
10,0.1,0.01,0.01,0.1,10,0.22222083639427598,64,0.46031713606248853
11,0.1,0.01,0.01,0.1,20,0.22222083639427598,64,0.46031713606248853
12,0.1,0.01,0.01,1.0,2,0.22222083639427598,64,0.46031713606248853
13,0.1,0.01,0.01,1.0,5,0.22222083639427598,64,0.46031713606248853
14,0.1,0.01,0.01,1.0,10,0.22222083639427598,64,0.46031713606248853
15,0.1,0.01,0.01,1.0,20,0.22222083639427598,64,0.46031713606248853
16,0.1,0.01,0.1,0.001,2,0.07604286012518147,64,0.41023442347152916
17,0.1,0.01,0.1,0.001,5,0.07622640404380121,64,0.41026848562672813
18,0.1,0.01,0.1,0.001,10,0.07636125937761828,64,0.41029356265817274
19,0.1,0.01,0.1,0.001,20,0.07638825201914745,64,0.410298587216116
20,0.1,0.01,0.1,0.1,2,0.0436050685870494,64,0.40547646988633174
21,0.1,0.01,0.1,0.1,5,0.05142346235424634,64,0.40639160683446524
22,0.1,0.01,0.1,0.1,10,0.07323608433094436,64,0.4097234307104357
23,0.1,0.01,0.1,0.1,20,0.07630068819348912,64,0.4102822938463224
24,0.1,0.01,0.1,0.1,2,0.0436050685870494,64,0.40547646988633174
25,0.1,0.01,0.1,0.1,5,0.05142346235424634,64,0.40639160683446524
26,0.1,0.01,0.1,0.1,10,0.07323608433094436,64,0.4097234307104357
27,0.1,0.01,0.1,0.1,20,0.07630068819348912,64,0.4102822938463224
28,0.1,0.01,0.1,1.0,2,0.048889345230052166,64,0.40607872845302206
29,0.1,0.01,0.1,1.0,5,0.04940646686239541,64,0.4061413111132934
30,0.1,0.01,0.1,1.0,10,0.04972792542153859,64,0.4061805413750517
31,0.1,0.01,0.1,1.0,20,0.07544026264586948,64,0.4101231508377426
32,0.1,0.01,2.0,0.001,2,0.4980635805411216,64,0.6407629014592233
33,0.1,0.01,2.0,0.001,5,0.4980530363941357,64,0.6407547055515225
34,0.1,0.01,2.0,0.001,10,0.49804215439397537,64,0.6407462471044153
35,0.1,0.01,2.0,0.001,20,0.49803266234457766,64,0.6407388691089593
36,0.1,0.01,2.0,0.1,2,0.5069059460015651,64,0.647659944505403
37,0.1,0.01,2.0,0.1,5,0.5058549574529255,64,0.6468376949472727
38,0.1,0.01,2.0,0.1,10,0.5047681581812778,64,0.6459881261592348
39,0.1,0.01,2.0,0.1,20,0.5038582719108047,64,0.6452774006564482
40,0.1,0.01,2.0,0.1,2,0.5069059460015651,64,0.647659944505403
41,0.1,0.01,2.0,0.1,5,0.5058549574529255,64,0.6468376949472727
42,0.1,0.01,2.0,0.1,10,0.5047681581812778,64,0.6459881261592348
43,0.1,0.01,2.0,0.1,20,0.5038582719108047,64,0.6452774006564482
44,0.1,0.01,2.0,1.0,2,0.5730833055395532,64,0.700666997020083
45,0.1,0.01,2.0,1.0,5,0.5629163095490521,64,0.6923760085252263
46,0.1,0.01,2.0,1.0,10,0.5522261963973003,64,0.6837130521003892
47,0.1,0.01,2.0,1.0,20,0.5469710910069971,64,0.6794756360771038
48,0.1,0.01,4.0,0.001,2,0.8213470524940175,64,0.9149430289726297
49,0.1,0.01,4.0,0.001,5,0.8213462979954336,64,0.9149423516570886
50,0.1,0.01,4.0,0.001,10,0.8213454518180193,64,0.9149415920413424
51,0.1,0.01,4.0,0.001,20,0.8213449019373441,64,0.9149410984120592
52,0.1,0.01,4.0,0.1,2,0.8220313412589932,64,0.9155573666554485
53,0.1,0.01,4.0,0.1,5,0.821956026332244,64,0.9154897459004621
54,0.1,0.01,4.0,0.1,10,0.8218715581900579,64,0.9154139084516651
55,0.1,0.01,4.0,0.1,20,0.8218177739512206,64,0.9153656205075322
56,0.1,0.01,4.0,0.1,2,0.8220313412589932,64,0.9155573666554485
57,0.1,0.01,4.0,0.1,5,0.821956026332244,64,0.9154897459004621
58,0.1,0.01,4.0,0.1,10,0.8218715581900579,64,0.9154139084516651
59,0.1,0.01,4.0,0.1,20,0.8218177739512206,64,0.9153656205075322
60,0.1,0.01,4.0,1.0,2,0.8277638882552394,64,0.9207077822655961
61,0.1,0.01,4.0,1.0,5,0.8270225570149903,64,0.9200413444169848
62,0.1,0.01,4.0,1.0,10,0.8261911805937766,64,0.919294094681315
63,0.1,0.01,4.0,1.0,20,0.8257457904153348,64,0.9188938328303472
64,0.1,0.1,0.01,0.001,2,0.36486283695747973,35,0.4270285768161897
65,0.1,0.1,0.01,0.001,5,0.36486283695747973,35,0.4270285768161897
66,0.1,0.1,0.01,0.001,10,0.36486283695747973,35,0.4270285768161897
67,0.1,0.1,0.01,0.001,20,0.36486283695747973,35,0.4270285768161897
68,0.1,0.1,0.01,0.1,2,0.36486283695747973,35,0.4270285768161897
69,0.1,0.1,0.01,0.1,5,0.36486283695747973,35,0.4270285768161897
70,0.1,0.1,0.01,0.1,10,0.36486283695747973,35,0.4270285768161897
71,0.1,0.1,0.01,0.1,20,0.36486283695747973,35,0.4270285768161897
72,0.1,0.1,0.01,0.1,2,0.36486283695747973,35,0.4270285768161897
73,0.1,0.1,0.01,0.1,5,0.36486283695747973,35,0.4270285768161897
74,0.1,0.1,0.01,0.1,10,0.36486283695747973,35,0.4270285768161897
75,0.1,0.1,0.01,0.1,20,0.36486283695747973,35,0.4270285768161897
76,0.1,0.1,0.01,1.0,2,0.36486283695747973,35,0.4270285768161897
77,0.1,0.1,0.01,1.0,5,0.36486283695747973,35,0.4270285768161897
78,0.1,0.1,0.01,1.0,10,0.36486283695747973,35,0.4270285768161897
79,0.1,0.1,0.01,1.0,20,0.36486283695747973,35,0.4270285768161897
80,0.1,0.1,0.1,0.001,2,0.08143130418046862,35,0.23634629873457297
81,0.1,0.1,0.1,0.001,5,0.08163452926092818,35,0.23641639535500353
82,0.1,0.1,0.1,0.001,10,0.082018335813733,35,0.23654919791589712
83,0.1,0.1,0.1,0.001,20,0.08201875263144659,35,0.23654934243877834
84,0.1,0.1,0.1,0.1,2,0.04742486171128508,35,0.22688682891109946
85,0.1,0.1,0.1,0.1,5,0.05368797152442787,35,0.22827815031537244
86,0.1,0.1,0.1,0.1,10,0.08194628766522408,35,0.23652422642746695
87,0.1,0.1,0.1,0.1,20,0.0819883040626975,35,0.23653878673079673
88,0.1,0.1,0.1,0.1,2,0.04742486171128508,35,0.22688682891109946
89,0.1,0.1,0.1,0.1,5,0.05368797152442787,35,0.22827815031537244
90,0.1,0.1,0.1,0.1,10,0.08194628766522408,35,0.23652422642746695
91,0.1,0.1,0.1,0.1,20,0.0819883040626975,35,0.23653878673079673
92,0.1,0.1,0.1,1.0,2,0.04638890692599152,35,0.2266725530601098
93,0.1,0.1,0.1,1.0,5,0.04692549087064401,35,0.226782974048871
94,0.1,0.1,0.1,1.0,10,0.08125667654154592,35,0.23628618899033735
95,0.1,0.1,0.1,1.0,20,0.08170938659835786,35,0.23644225401412478
96,0.1,0.1,2.0,0.001,2,0.49959747598288035,35,0.5466499370103912
97,0.1,0.1,2.0,0.001,5,0.49958693393970544,35,0.5466403023819919
98,0.1,0.1,2.0,0.001,10,0.4995760535410487,35,0.5466303585574522
99,0.1,0.1,2.0,0.001,20,0.49956771641110187,35,0.5466227391036739
100,0.1,0.1,2.0,0.1,2,0.5038422160468579,35,0.5505320102373781
101,0.1,0.1,2.0,0.1,5,0.5027906208241555,35,0.5495697626450528
