,eta,epsilon,sigma_init,mu,K,testing_mse,CB_size,tradeOff_dist
0,0.1,0.01,0.01,0.001,2,0.044792841842945436,3177,0.7956119161880163
1,0.1,0.01,0.01,0.001,5,0.044995835558049084,3177,0.795623370519976
2,0.1,0.01,0.01,0.001,10,0.04530902935947399,3177,0.7956411443870268
3,0.1,0.01,0.01,0.001,20,0.04541333009159797,3177,0.7956470907695248
4,0.1,0.01,0.01,0.1,2,0.009442100864571567,3177,0.794406115138055
5,0.1,0.01,0.01,0.1,5,0.009854443306285432,3177,0.7944111231301314
6,0.1,0.01,0.01,0.1,10,0.009765353710284747,3177,0.7944100229938486
7,0.1,0.01,0.01,0.1,20,0.009053500885816164,3177,0.7944015913744694
8,0.1,0.01,0.01,0.1,2,0.009442100864571567,3177,0.794406115138055
9,0.1,0.01,0.01,0.1,5,0.009854443306285432,3177,0.7944111231301314
10,0.1,0.01,0.01,0.1,10,0.009765353710284747,3177,0.7944100229938486
11,0.1,0.01,0.01,0.1,20,0.009053500885816164,3177,0.7944015913744694
12,0.1,0.01,0.01,1.0,2,0.007117939651769517,3177,0.7943818902548612
13,0.1,0.01,0.01,1.0,5,0.009507540537548115,3177,0.7944068956316235
14,0.1,0.01,0.01,1.0,10,0.007103814814934372,3177,0.7943817638169478
15,0.1,0.01,0.01,1.0,20,0.031051273843971362,3177,0.7949566680689792
16,0.1,0.01,0.1,0.001,2,0.025427316433202653,3177,0.7947568627706175
17,0.1,0.01,0.1,0.001,5,0.025476777827302975,3177,0.7947584467676087
18,0.1,0.01,0.1,0.001,10,0.02557526023882245,3177,0.794761609815348
19,0.1,0.01,0.1,0.001,20,0.025844046142700257,3177,0.7947703046925105
20,0.1,0.01,0.1,0.1,2,0.009553575058192324,3177,0.7944074479109524
21,0.1,0.01,0.1,0.1,5,0.009563636680364682,3177,0.7944075689761233
22,0.1,0.01,0.1,0.1,10,0.009582452881623451,3177,0.7944077957215857
23,0.1,0.01,0.1,0.1,20,0.009636979047055943,3177,0.7944084553081956
24,0.1,0.01,0.1,0.1,2,0.009553575058192324,3177,0.7944074479109524
25,0.1,0.01,0.1,0.1,5,0.009563636680364682,3177,0.7944075689761233
26,0.1,0.01,0.1,0.1,10,0.009582452881623451,3177,0.7944077957215857
27,0.1,0.01,0.1,0.1,20,0.009636979047055943,3177,0.7944084553081956
28,0.1,0.01,0.1,1.0,2,0.005574289433477845,3177,0.7943695583308114
29,0.1,0.01,0.1,1.0,5,0.005584153473701678,3177,0.7943696276104834
30,0.1,0.01,0.1,1.0,10,0.00669055812116732,3177,0.7943781757248701
31,0.1,0.01,0.1,1.0,20,0.005118894090092892,3177,0.7943664932364063
32,0.1,0.01,2.0,0.001,2,0.007192987080957272,3177,0.7943825662507623
33,0.1,0.01,2.0,0.001,5,0.0071929838950610505,3177,0.7943825662219146
34,0.1,0.01,2.0,0.001,10,0.007192978874852167,3177,0.7943825661764576
35,0.1,0.01,2.0,0.001,20,0.007192976324303107,3177,0.7943825661533629
36,0.1,0.01,2.0,0.1,2,0.007227612380693147,3177,0.7943828805309978
37,0.1,0.01,2.0,0.1,5,0.007227295266262817,3177,0.7943828776458275
38,0.1,0.01,2.0,0.1,10,0.0072267951549139925,3177,0.794382873095972
39,0.1,0.01,2.0,0.1,20,0.007226541508200032,3177,0.7943828707884945
