,eta,epsilon,mu,K,testing_mse,CB_size,tradeOff_dist
0,0.05,0.01,0.1,5,2.026344311161302,225,2.0271283649539242
1,0.05,0.01,0.1,10,0.825907632236006,513,0.8358173978870539
2,0.05,0.01,0.1,15,0.6471806955174878,576,0.6630074303131898
3,0.05,0.01,0.1,20,0.6946047467269095,727,0.7179894265764324
4,0.05,0.01,0.1,5,2.026344311161302,225,2.0271283649539242
5,0.05,0.01,0.1,10,0.825907632236006,513,0.8358173978870539
6,0.05,0.01,0.1,15,0.6471806955174878,576,0.6630074303131898
7,0.05,0.01,0.1,20,0.6946047467269095,727,0.7179894265764324
8,0.05,0.01,1.0,5,1.022611527864495,1497,1.088951841242925
9,0.05,0.01,1.0,10,1.034981061761038,1590,1.1087520930437993
10,0.05,0.01,1.0,15,1.0764903387622404,2081,1.1956569624890088
11,0.05,0.01,1.0,20,1.2245690341026545,3022,1.4389628295783419
12,0.05,0.01,1.5,5,,3908,
13,0.05,0.01,1.5,10,,3933,
14,0.05,0.01,1.5,15,,3802,
15,0.05,0.01,1.5,20,,3942,
16,0.05,0.1,0.1,5,0.5820358151342278,48,0.5821620957465068
17,0.05,0.1,0.1,10,0.46931222943923945,57,0.4695292795196369
18,0.05,0.1,0.1,15,0.4491669831125583,86,0.44968364570933334
19,0.05,0.1,0.1,20,0.41927299815928815,73,0.41967655043554486
20,0.05,0.1,0.1,5,0.5820358151342278,48,0.5821620957465068
21,0.05,0.1,0.1,10,0.46931222943923945,57,0.4695292795196369
22,0.05,0.1,0.1,15,0.4491669831125583,86,0.44968364570933334
23,0.05,0.1,0.1,20,0.41927299815928815,73,0.41967655043554486
24,0.05,0.1,1.0,5,0.8824001428943076,278,0.8851466645731059
25,0.05,0.1,1.0,10,0.8374343903554493,175,0.8385855733167623
26,0.05,0.1,1.0,15,0.8810010743423302,820,0.9045827397161301
27,0.05,0.1,1.0,20,0.4580813780279161,262,0.46275115291153474
28,0.05,0.1,1.5,5,0.03525746525394318,2298,0.5756058238770113
29,0.05,0.1,1.5,10,0.03297957927349144,2304,0.5769433704004722
30,0.05,0.1,1.5,15,0.05583018561966428,2182,0.5484987986553171
31,0.05,0.1,1.5,20,,3352,
32,0.05,1.0,0.1,5,0.02310890426347439,9,0.023223080249149226
33,0.05,1.0,0.1,10,0.02280226817269031,11,0.022979685241954154
34,0.05,1.0,0.1,15,0.02338055511906987,11,0.023547618938564982
35,0.05,1.0,0.1,20,0.02338055511906987,11,0.023547618938564982
36,0.05,1.0,0.1,5,0.02310890426347439,9,0.023223080249149226
37,0.05,1.0,0.1,10,0.02280226817269031,11,0.022979685241954154
38,0.05,1.0,0.1,15,0.02338055511906987,11,0.023547618938564982
39,0.05,1.0,0.1,20,0.02338055511906987,11,0.023547618938564982
40,0.05,1.0,1.0,5,0.3135796172095525,13,0.31359777893711155
41,0.05,1.0,1.0,10,0.026066736235706645,16,0.02637948517279861
42,0.05,1.0,1.0,15,0.02338055511906987,11,0.023547618938564982
43,0.05,1.0,1.0,20,0.02338055511906987,11,0.023547618938564982
44,0.05,1.0,1.5,5,0.31492829521790044,742,0.36555053156691353
45,0.05,1.0,1.5,10,0.08499163338584857,37,0.08549893417811996
46,0.05,1.0,1.5,15,0.02338055511906987,11,0.023547618938564982
47,0.05,1.0,1.5,20,0.02338055511906987,11,0.023547618938564982
48,0.05,2.0,0.1,5,0.036514206026994823,5,0.03653645941770802
49,0.05,2.0,0.1,10,0.03659961664706124,5,0.036621818137714604
