,MSE
0,0.9656471817602117
1,0.8969608039518218
2,0.861862443701334
3,0.8460962502320069
4,0.8357577163868853
5,0.8189557658882938
6,0.7971351307814833
7,0.7758150691552725
8,0.7681744875228411
9,0.7585701812053433
10,0.7331431631469473
11,0.6995928253858473
12,0.6682156522966045
13,0.6418835096272499
14,0.6250536257758617
15,0.6122883564137308
16,0.6010356845749464
17,0.5871296422341201
18,0.5684029463154837
19,0.5508430501189805
20,0.5319427476311415
21,0.5152992391098714
22,0.5000303079730529
23,0.48785000510010584
24,0.47424534169442695
25,0.4626008542510383
26,0.4518947992114043
27,0.4431758940880757
28,0.43180754198558324
29,0.4231958172450353
30,0.41891295601134343
31,0.4144645067398195
32,0.4066679586579728
33,0.40029652174199076
34,0.3953969598111887
35,0.38725746047709475
36,0.3770519913532235
37,0.3623799735517349
38,0.3460442598898184
39,0.3343318228778471
40,0.32906920044266014
41,0.3237619964253894
42,0.3141273769138805
43,0.3062453459168609
44,0.30251022056526794
45,0.299028864348785
46,0.2958146223275818
47,0.29334269285800607
48,0.2901867728218533
49,0.28530777084855463
50,0.2795711532107482
51,0.27403729472164723
52,0.26940555648576736
53,0.26841739843582313
54,0.2696770493941926
55,0.2668770207690974
56,0.2629219893169181
57,0.25883021363840814
58,0.25464248372892095
59,0.24648883937014557
60,0.23448369324796864
61,0.22094964410645046
62,0.21331905899205608
63,0.21204254323015564
64,0.20990312616983448
65,0.20695387184182307
66,0.2056136589118264
67,0.2030016026585709
68,0.19886632834244528
69,0.19855956181019507
70,0.19858758979340319
71,0.1967927525147853
72,0.18804231551110498
73,0.17865491926795538
74,0.17208936901254654
75,0.16686899040322586
76,0.16364211357121938
77,0.162661607281342
78,0.16292497807299786
79,0.1633343698982514
80,0.16302609675762
81,0.1631882589229679
82,0.16606632485103012
83,0.16758228261515878
84,0.16718737061838768
85,0.16048506157420922
86,0.15203022183761022
87,0.1434175597693504
88,0.1381800453331309
89,0.1350532637229406
90,0.13333061376675384
91,0.132338435129742
92,0.13152691803414782
93,0.13151790739499306
94,0.13221859379847803
95,0.13363887723405152
96,0.1347852757339878
97,0.13454800206696613
98,0.13016931723412678
99,0.12700934875577072
100,0.12426978798492823
101,0.12037016829257434
102,0.11855464512727927
103,0.10940037076857201
104,0.10025521643420261
105,0.09425231362819383
106,0.09012729717588532
107,0.08540378059001165
108,0.07932336998072585
109,0.07677209576055646
110,0.07821810604005422
111,0.08046710720513953
112,0.08053859400960085
113,0.07860141911937679
114,0.07450959184296072
115,0.07173093915089665
116,0.0714178295511321
117,0.07173116746188166
118,0.07194662236812527
119,0.07222064696609726
120,0.07215195452175652
121,0.07159162257395171
122,0.0722963037213738
123,0.07403748071727828
124,0.07738548239926717
125,0.07931557281700632
126,0.07457262731448251
127,0.06617909180800656
128,0.06270473999253807
129,0.06182049756221762
130,0.06187037102579325
131,0.06152068044904058
132,0.061338513934237913
133,0.06151728415194983
134,0.06157719928233096
135,0.061689353219074025
136,0.06267921948443043
137,0.06521212411270919
138,0.065384518774902
139,0.06167952986648867
140,0.06186928933277486
141,0.06374934484420063
142,0.060471498123365795
143,0.05657567907690293
144,0.05478906977618623
145,0.05441760542968328
146,0.05430992611818303
147,0.054208941305067634
148,0.054123902199037996
149,0.054196002030922306
150,0.05488214747216219
151,0.056188575088850626
152,0.0568245173585171
153,0.054968750516728324
154,0.054681762358029865
155,0.05596518015298686
156,0.05654011218465051
157,0.056493226454558454
158,0.05618566321434123
159,0.05572088126518006
160,0.055231215599594416
161,0.054648873943519805
162,0.05395048965608436
163,0.053159467089237446
164,0.05231525924277876
165,0.051767568907718754
166,0.05254906883578871
167,0.05453682714438005
168,0.056177555444791596
169,0.05573691718834517
170,0.05486109681209541
171,0.05373786854017122
172,0.05292056503411371
173,0.052440680409362395
174,0.0519913414783293
175,0.05151450686914695
176,0.05096386440335989
177,0.05060882036275577
178,0.05075492289638833
179,0.05135324411124879
180,0.05149557698495747
181,0.05050258674945253
182,0.04966104537730283
183,0.04990993867893702
184,0.05028156694689989
185,0.05071319260684505
186,0.05009298238597235
187,0.04836697085939912
188,0.048405917644593496
189,0.04827346659891572
190,0.04770027581972652
191,0.04746377076596748
192,0.04741514741588442
193,0.04773482690339618
194,0.048822019238927
195,0.0478468229660032
196,0.04536093594137165
197,0.04552400061312779
198,0.04597739953506134
199,0.04656008535380595
200,0.046206251116216374
201,0.044488564406576545
202,0.04377868266560951
203,0.04364917339224964
204,0.04379511237109077
205,0.043681079505387306
206,0.04386952382841929
207,0.04406906500294262
208,0.044030459356747056
209,0.045872691372437595
210,0.047003452778471046
211,0.04429718408351717
212,0.0420121268354706
213,0.04230548455235282
214,0.04307625266118894
215,0.042627313075307816
216,0.04073707161618396
217,0.040005107595820245
218,0.040000017463569744
219,0.040397658333175726
220,0.04067307168695851
221,0.04074062749205062
222,0.04112294833401808
223,0.04180199748187371
224,0.04198645554731632
225,0.04082201833002963
226,0.04024063933011942
227,0.04019079156027702
228,0.040324137299387115
229,0.04020203564216931
230,0.03983357803532398
231,0.0394781902641571
232,0.03961741164063122
233,0.03999512784954618
234,0.0407909892568378
235,0.041253035694933854
236,0.040160401771301514
237,0.03909000181187229
238,0.039386111400964555
239,0.03985573600023025
240,0.04033820335589865
241,0.04007087080807722
242,0.04045481813118677
243,0.0423507989179454
244,0.043064287615918184
245,0.04039623387268362
246,0.039782094955096894
247,0.039021165547914294
248,0.03753658154855022
249,0.03718418697297407
250,0.03733585942221285
251,0.03771905697301613
252,0.03795196843014294
253,0.038074913373786615
254,0.03796832549154578
255,0.03752696891124181
256,0.03857006579606945
257,0.040524127519095524
258,0.03848262138533688
259,0.036102743939717304
260,0.036424727138187125
261,0.036189717673811406
262,0.035267146664927036
263,0.035407118698504596
264,0.03569468353895557
265,0.03463617756520201
266,0.034373762813055306
267,0.03475198610707334
268,0.03544290744106054
269,0.03579577555890212
270,0.03480138594422436
271,0.034105379741632906
272,0.034017181002576426
273,0.03404653667992885
274,0.03414332939123157
275,0.0343141046709564
276,0.03457805710189884
277,0.035268189611837884
278,0.038157409151420144
279,0.039785286950914274
280,0.036743689718243926
281,0.03434974149893852
282,0.034203550165142406
283,0.034188105448158305
284,0.0341777482297186
285,0.03418835553753517
286,0.034209612297397454
287,0.03406350844247767
288,0.03378862779659681
289,0.03390225177011127
290,0.0341595536382268
291,0.033972296892325095
292,0.0338653372400085
293,0.03428297391338539
294,0.03491448225358285
295,0.03529720650518372
296,0.03502357852221305
297,0.034558625525287795
298,0.03448691493236643
299,0.034636408932354486
300,0.03451550529188834
301,0.03421864070402496
302,0.0343176061410229
303,0.03448236215285981
304,0.034729641066580566
