,MSE
0,0.9744650863880195
1,0.8563762500880716
2,0.7563074170417797
3,0.6593992935441767
4,0.5783260490103662
5,0.5164903318487776
6,0.4575595497168281
7,0.40332606200140697
8,0.3613328987793945
9,0.3263160954877847
10,0.2925261942475398
11,0.2635761842737974
12,0.239996799001014
13,0.21707722059207119
14,0.1981678668519875
15,0.18112302736272656
16,0.1612214792085143
17,0.14946287945974712
18,0.13773047003085134
19,0.1216503516784692
20,0.11362815358851583
21,0.09971957826399708
22,0.09383367067379308
23,0.08952162884964066
24,0.08498817480751249
25,0.07965600526256056
26,0.07693904547657263
27,0.06912555009654137
28,0.06681661538323427
29,0.06421634805171747
30,0.058135985638586324
31,0.05626458482376362
32,0.05433062191523554
33,0.051554405511486545
34,0.050623685677902985
35,0.049371924854868666
36,0.048705236436224285
37,0.04815764953447297
38,0.04715687331828593
39,0.04639690300897204
40,0.046038207881013364
41,0.04534136652542623
42,0.04172323340756617
43,0.04147279041288599
44,0.040891364263118464
45,0.04017367971377764
46,0.03955167102419567
47,0.03745714813490925
48,0.03732263208865842
49,0.03708302166348356
50,0.03682906149664519
51,0.03675415416366726
52,0.036478677460252934
53,0.0351364246809862
54,0.035073639623112135
55,0.03502034399540206
56,0.034902940221036814
57,0.03469853621079817
58,0.0343777889120004
59,0.03318758506500271
60,0.02813570900285606
61,0.02339484969271348
62,0.021273033634960296
63,0.018921126100073554
64,0.015925140883178177
65,0.013395583745544237
66,0.012684357625003395
67,0.010758275081473007
68,0.008970214358911214
69,0.008101500400991878
70,0.00726948176021627
71,0.006124370050198419
72,0.005150448722038721
73,0.004879688609468914
74,0.0041540313306694405
75,0.003465976280407436
76,0.003110729742660482
77,0.0028170910662375444
78,0.0023741875469547335
79,0.0019967560472951584
80,0.00189262042160833
81,0.0016170063512619683
82,0.0013502379855087664
83,0.0012043326352009665
84,0.0011006495572453128
85,0.0009279161281436294
86,0.0007804540127008715
87,0.0007399716089499366
88,0.00063453518463361
89,0.0005302700920888383
90,0.0004701265496091934
91,0.00043350182684902825
92,0.00036557202850572853
93,0.00030750221595634804
94,0.0002915907789298103
95,0.00025096427064681725
96,0.00020989063350378669
97,0.00018501637751354934
98,0.0001720736302399023
99,0.0001451432258799194
100,0.0001221001530712681
101,0.0001157767355961626
102,0.00010001137698616097
103,8.370716445092417e-05
104,7.338845867245194e-05
105,6.88125545221214e-05
106,5.805372428633072e-05
107,4.8842798317969535e-05
108,4.630230336837463e-05
109,4.014232699051468e-05
110,3.362298989165934e-05
111,2.9330622721510213e-05
112,2.7712022591936085e-05
113,2.3382569127447332e-05
114,1.967523041638742e-05
115,1.8643798384532586e-05
116,1.622107393705866e-05
117,1.359625943307214e-05
118,1.1806234938623123e-05
119,1.1233399886641792e-05
120,9.479402937032815e-06
121,7.977577734542386e-06
122,7.5546457028049105e-06
123,6.595867675681892e-06
124,5.532242028025394e-06
125,4.78404372428786e-06
126,4.581199073432741e-06
127,3.866175758974473e-06
128,3.2541575292563402e-06
129,3.079133237369538e-06
130,2.6975068436900396e-06
131,2.2639311944916775e-06
132,1.9505406479217785e-06
133,1.8786686497463313e-06
134,1.5855317815647563e-06
135,1.334757801329801e-06
136,1.2617157995573976e-06
137,1.1090056548009373e-06
138,9.312951273041091e-07
139,7.997750104253472e-07
140,7.742927398812905e-07
141,6.534985168718822e-07
142,5.502315490396595e-07
143,5.19518610763728e-07
144,4.581137952314493e-07
145,3.8491193701019077e-07
146,3.296189080045128e-07
147,3.205778157734012e-07
148,2.7057164892985235e-07
149,2.2785504581301666e-07
150,2.1485427202731603e-07
151,1.9005508358490873e-07
152,1.5976588223340498e-07
153,1.3648156625612694e-07
154,1.3327136305851547e-07
155,1.124843101719196e-07
156,9.474259565274137e-08
157,8.920715169373926e-08
158,7.915235331757889e-08
159,6.65683744175631e-08
160,5.674813973199017e-08
161,5.560736443940692e-08
162,4.693452231211129e-08
163,3.953881525908537e-08
164,3.71700092698554e-08
165,3.307910257574093e-08
166,2.7831819594983682e-08
167,2.3684166385719947e-08
168,2.327842085636596e-08
169,1.9648018610124705e-08
170,1.655497154589518e-08
171,1.553687850807288e-08
172,1.3867335608745501e-08
173,1.1672131321517488e-08
174,9.917976781060705e-09
175,9.773523676830482e-09
176,8.249410391845483e-09
177,6.952022356831848e-09
178,6.51283904952047e-09
179,5.829647024285253e-09
180,4.908575849786639e-09
181,4.16575209400994e-09
182,4.1142699386404714e-09
183,3.4727477273317983e-09
184,2.927115867877426e-09
185,2.7370705408924624e-09
186,2.456846471836198e-09
187,2.069357706969876e-09
188,1.754417392768468e-09
189,1.7360484279696586e-09
190,1.4653921019820462e-09
191,1.2353743469909297e-09
192,1.1529213436243948e-09
193,1.0377483048649424e-09
194,8.743460935580195e-10
195,7.40664678239941e-10
196,7.341023665217485e-10
197,6.196742451609744e-10
198,5.224992625840589e-10
199,4.866476461475084e-10
200,4.3922792683253826e-10
201,3.7017387963922475e-10
202,3.13368026352559e-10
203,3.110204240990143e-10
204,2.6255121288532163e-10
205,2.214180797289498e-10
206,2.0580076262956142e-10
207,1.8624728968203464e-10
208,1.5700810331107847e-10
209,1.3284369847569358e-10
210,1.320026042859167e-10
211,1.114370196825483e-10
212,9.399495909493441e-11
213,8.718152113574934e-11
214,7.910819256808265e-11
215,6.67056528031316e-11
216,5.6415920822357886e-11
217,5.611407833594464e-11
218,4.737445609421258e-11
219,3.9966347695239356e-11
220,3.69900499987472e-11
221,3.365298953017105e-11
222,2.8383606014057286e-11
223,2.3997664151758116e-11
224,2.3889146201357745e-11
225,2.0169813068028696e-11
226,1.701869731360292e-11
227,1.5717201125161902e-11
228,1.4336537389139276e-11
229,1.2094429268490341e-11
230,1.0223143890498653e-11
231,1.0184052128881583e-11
232,8.599118778615573e-12
233,7.256908031926783e-12
234,6.687284688434937e-12
235,6.115591000441706e-12
236,5.160263084069305e-12
237,4.361120391065071e-12
238,4.347007506901685e-12
239,3.670784024938102e-12
240,3.09833739225789e-12
241,2.848851459771295e-12
242,2.6119660980648586e-12
243,2.2043925895718975e-12
244,1.862802174750411e-12
245,1.857694946341036e-12
246,1.5688474317670291e-12
247,1.3244077968590025e-12
248,1.2150716183186757e-12
249,1.1168589438224913e-12
250,9.42766002315556e-13
251,7.966240901304585e-13
252,7.947710129121109e-13
253,6.712567717069502e-13
254,5.667607245535917e-13
255,5.188208761505535e-13
256,4.78081634368072e-13
257,4.036346352525752e-13
258,3.410564341703392e-13
259,3.403821426465057e-13
260,2.8751199705680136e-13
261,2.4279288948611005e-13
262,2.2176442977782868e-13
263,2.0485839906615619e-13
264,1.7298875211155258e-13
265,1.4616975786677586e-13
266,1.4592362934439428e-13
267,1.2327053244011935e-13
268,1.0411349811393075e-13
269,9.488638555902301e-14
270,8.786818547244742e-14
271,7.421141539360485e-14
272,6.27080383797818e-14
273,6.261789033720926e-14
274,5.290273703560516e-14
275,4.468816315378142e-14
276,4.0638242450271864e-14
277,3.772389428951287e-14
278,3.1866034227815426e-14
279,2.6927883974622387e-14
280,2.6894743748506578e-14
281,2.2724509629239984e-14
282,1.9198808140771458e-14
283,1.7420820460752552e-14
284,1.621031010071427e-14
285,1.3695343867056681e-14
286,1.1573799225533994e-14
287,1.1561567522314943e-14
288,9.769949119907926e-15
289,8.255363536748187e-15
290,7.474643508568178e-15
291,6.9717339717833e-15
292,5.891018451610634e-15
293,4.9788355716965585e-15
294,4.974301603409847e-15
295,4.203944586234494e-15
296,3.552742868370088e-15
297,3.2098708781689265e-15
298,3.000897518909397e-15
299,2.536101673721554e-15
300,2.1435954454037785e-15
301,2.141907121612382e-15
302,1.810403470684818e-15
303,1.5301843829547457e-15
304,1.3795836630123233e-15
305,1.2927357587435956e-15
306,1.0926705901703278e-15
307,9.23650158513483e-16
308,9.230184178877841e-16
309,7.802528042315412e-16
310,6.595747451707127e-16
311,5.934185103222595e-16
312,5.573203705089997e-16
313,4.71136300139377e-16
314,3.982991640977233e-16
315,3.980615686194872e-16
316,3.3653140183455546e-16
317,2.8452028395360706e-16
318,2.554563035632788e-16
319,2.4045053085804356e-16
320,2.0329549555909979e-16
321,1.7188458709121837e-16
322,1.7179475067279263e-16
323,1.4525650178194514e-16
324,1.228233097154724e-16
325,1.1005382780613578e-16
326,1.0381543866399561e-16
327,8.778546473511862e-17
328,7.422997150835651e-17
329,7.4195815717998e-17
330,6.274155282813733e-17
331,5.3058709942373326e-17
332,4.7447971718337026e-17
333,4.48542625449964e-17
334,3.7933366692066187e-17
335,3.2079403418597794e-17
336,3.2066343679631865e-17
337,2.711908534108196e-17
338,2.2936719242977393e-17
339,2.0471301468458135e-17
340,1.9392854335887013e-17
341,1.640267538706144e-17
342,1.387292795999862e-17
343,1.3867905627150455e-17
344,1.1729668786396997e-17
345,9.921911793107498e-18
346,8.838531780891274e-18
347,8.390095750387318e-18
348,7.097307000345357e-18
349,6.003374376986705e-18
350,6.0014317207703806e-18
351,5.076664339619204e-18
352,4.294771225802345e-18
353,3.818681910924064e-18
354,3.6322053704348304e-18
355,3.0729059287188674e-18
356,2.5995565308555983e-18
357,2.598800757065407e-18
358,2.198590657247737e-18
359,1.8601869620138307e-18
360,1.6509636848961994e-18
361,1.573416746849041e-18
362,1.3312911588653184e-18
363,1.126343331971528e-18
364,1.1260476225576917e-18
365,9.527418232843719e-19
366,8.061880721198527e-19
367,7.142399709383283e-19
368,6.819908578639936e-19
369,5.7710766451929e-19
370,4.883163508565942e-19
371,4.882000003168641e-19
372,4.1310706710898056e-19
373,3.495999945704289e-19
374,3.091901216791789e-19
375,2.957782849613361e-19
376,2.50318121385996e-19
377,2.118277220651816e-19
378,2.11781696487165e-19
379,1.7922478426630006e-19
380,1.5168876118874493e-19
381,1.3392888877509028e-19
382,1.2835104425304431e-19
383,1.0863528816003416e-19
384,9.194052427111193e-20
385,9.192222294051585e-20
386,7.779905478906296e-20
387,6.585273303909274e-20
388,5.804729759027633e-20
389,5.572752210466092e-20
390,4.717215130587908e-20
391,3.992684870908202e-20
392,3.991953502065219e-20
393,3.3789599539244365e-20
394,2.860394447471155e-20
395,2.5173369071972336e-20
396,2.4208532658649094e-20
397,2.0494076872566764e-20
398,1.7348047766079966e-20
399,1.734511178796891e-20
400,1.4683018951723644e-20
401,1.2430864157850014e-20
402,1.0923083551432287e-20
403,1.0521799605854126e-20
404,8.90819969916804e-21
405,7.541459183523893e-21
406,7.540275468306374e-21
407,6.383610100835014e-21
408,5.404938372380883e-21
409,4.7422547305054224e-21
410,4.575363943325188e-21
411,3.874051351363424e-21
412,3.2799618842850014e-21
413,3.2794825693734795e-21
414,2.7766853728886865e-21
415,2.351204101963297e-21
416,2.0599322955988806e-21
417,1.990512290529868e-21
418,1.6855699914463479e-21
419,1.4272145220459015e-21
420,1.4270198068811788e-21
421,1.2083301213855662e-21
422,1.0232721583548945e-21
423,8.95250674861656e-22
424,8.663775337590204e-22
425,7.337033946167915e-22
426,6.21307995917616e-22
427,6.212286273990326e-22
428,5.260707652502522e-22
429,4.455319739507817e-22
430,3.892672042015748e-22
431,3.772607201671876e-22
432,3.1951490771879333e-22
433,2.705860165066989e-22
434,2.705535295935662e-22
435,2.291347229155436e-22
436,1.9407124683808563e-22
437,1.693387457476719e-22
438,1.6434286134955712e-22
439,1.3920206109362175e-22
440,1.1789476014304059e-22
441,1.1788144754175826e-22
442,9.98399017263995e-23
443,8.457126500127399e-23
444,7.370061244496685e-23
445,7.162267046695117e-23
446,6.066830941074499e-23
447,5.1388516128014447e-23
448,5.1383045560738175e-23
449,4.352225039183901e-23
450,3.686717957638368e-23
451,3.209024752506956e-23
452,3.122673738195854e-23
453,2.6452646352692124e-23
454,2.240669735678498e-23
455,2.2404437187634998e-23
456,1.8979645593315642e-23
457,1.6078540138062444e-23
458,1.3978267061156864e-23
459,1.3618637831729487e-23
460,1.1538328915640633e-23
461,9.774208932945003e-24
462,9.773277345893789e-24
463,8.278970724902377e-24
464,7.014835839382245e-24
465,6.09158539779352e-24
466,5.941936397076695e-24
467,5.033981603521947e-24
468,4.2652577545941936e-24
469,4.264873025065095e-24
470,3.61308711863272e-24
471,3.0610598037822085e-24
472,2.6555874458112623e-24
473,2.593567955421071e-24
474,2.1974298800105746e-24
475,1.8616148279456253e-24
476,1.86145398347092e-24
477,1.5774337870006554e-24
478,1.3365092837298576e-24
479,1.1581245621369913e-24
480,1.1321878589352988e-24
481,9.596130045791957e-25
482,8.130086197191926e-25
483,8.129423592237223e-25
484,6.8870177271125645e-25
485,5.837999716515712e-25
486,5.053627716818021e-25
487,4.9456805699091945e-25
488,4.190102075589717e-25
489,3.55201817566375e-25
490,3.551745148792238e-25
491,3.009147978458452e-25
492,2.5493482614216775e-25
493,2.205536528047096e-25
494,2.1612263386714016e-25
495,1.8312564466042205e-25
496,1.5511836592903797e-25
497,1.5510664171232647e-25
498,1.3151580676816182e-25
499,1.1143794664041045e-25
500,9.626821617440213e-26
501,9.438294186611901e-26
502,8.005923137020436e-26
503,6.783263421571037e-26
504,6.782790286262726e-26
505,5.745048685579676e-26
506,4.87360200406582e-26
507,4.205976045227502e-26
508,4.127766163479313e-26
509,3.496370716440081e-26
510,2.966727575580928e-26
511,2.966533921908498e-26
512,2.5127276654308196e-26
513,2.1278657883970036e-26
514,1.837459013129248e-26
515,1.8062954183712703e-26
516,1.530060591720829e-26
517,1.2952630494051305e-26
518,1.295174902580137e-26
519,1.1000370970606914e-26
520,9.31701688543787e-27
521,8.023352409102353e-27
522,7.884783506672914e-27
523,6.70005478801567e-27
524,5.672674388577128e-27
525,5.672340990791492e-27
526,4.7990234412909505e-27
527,4.0818427302672754e-27
528,3.511651344607475e-27
529,3.4548600062250596e-27
530,2.921381511250943e-27
531,2.4876314545350944e-27
532,2.4875012161129814e-27
533,2.105818049121595e-27
534,1.7790880355753905e-27
535,1.5368032554530556e-27
536,1.517295678631152e-27
537,1.2834246423182046e-27
538,1.0836739154755816e-27
539,1.0836009775571002e-27
