,MSE
0,0.5202384384173785
1,0.5113123867939808
2,0.506664358118269
3,0.5042440830384621
4,0.5025050488579089
5,0.4993903904559927
6,0.4930239429501023
7,0.48656646929214437
8,0.48513276998265037
9,0.48496331257467207
10,0.48521004234446197
11,0.48404688637255944
12,0.4803110859709977
13,0.47600293716226333
14,0.4723888439338171
15,0.4710026432881893
16,0.47099347454823803
17,0.4712220690870213
18,0.46854167347429126
19,0.4630560317245382
20,0.4543922631073335
21,0.4427635612062614
22,0.4309525248062441
23,0.4199066215982028
24,0.4074542582441401
25,0.39733953185427506
26,0.3917854172033138
27,0.3838612851986831
28,0.366586091493662
29,0.35190823712906333
30,0.34366231299226424
31,0.34067866710669775
32,0.33719947716426885
33,0.33236084045084746
34,0.3293959562279774
35,0.3260611943920947
36,0.32349320237955637
37,0.3186517781095609
38,0.3104758743383546
39,0.3020888032451692
40,0.29412117842322905
41,0.2878680260910268
42,0.2772160505301585
43,0.26827467897843654
44,0.2639041952640032
45,0.2610818653140495
46,0.25917133777381995
47,0.2561162890236766
48,0.2529324892707381
49,0.2513854761961199
50,0.24931437330623143
51,0.24827280527532092
52,0.24592657531783715
53,0.24330099719279677
54,0.24099183127014562
55,0.2368110796270476
56,0.23324139036882033
57,0.23160727430367073
58,0.23069920499398658
59,0.22541240146782968
60,0.2160705515951947
61,0.20291809839970062
62,0.1917510782074273
63,0.18662965994812733
64,0.18481110300633385
65,0.182963239472843
66,0.18062554557711344
67,0.17660211260359193
68,0.16967832370243302
69,0.1671474918393945
70,0.1672817573318887
71,0.16749918812964004
72,0.16528830040927933
73,0.1627631147289001
74,0.1607171746940173
75,0.1593359673893187
76,0.15837169002339255
77,0.15779153330350548
78,0.1573396584457171
79,0.15651542827156348
80,0.1547565746974929
81,0.15104281377282253
82,0.14929541714797698
83,0.14681567499150838
84,0.14693835862351418
85,0.14609509269275966
86,0.14351107353755208
87,0.1422639464624483
88,0.1418060785517184
89,0.1413056749508324
90,0.14090386491993662
91,0.1408676759120476
92,0.14114464707878707
93,0.14160702122420687
94,0.14150102905623768
95,0.1403550413819489
96,0.13882884784823357
97,0.13622547849709446
98,0.13208441182084413
99,0.13040082111098097
100,0.13000937194256362
101,0.1300153689141146
102,0.12929163074952357
103,0.12529699182727808
104,0.12101530680122422
105,0.1154777966232043
106,0.11111606684942625
107,0.10741174189704823
108,0.09781474646290803
109,0.09032133907164827
110,0.08749534696401548
111,0.08783930880546843
112,0.08815683793835634
113,0.08764338102305061
114,0.08449739295997757
115,0.08186164540028132
116,0.0807278491161437
117,0.08047737550247172
118,0.08033324958691741
119,0.0803445422412151
120,0.080334540898169
121,0.07949528813831784
122,0.07861863323136312
123,0.07650654435192515
124,0.0759290861776534
125,0.07789833055868255
126,0.07695287674704308
127,0.07220513060022217
128,0.07022609779193222
129,0.06954581111384664
130,0.06923800834600288
131,0.06872367763398514
132,0.06834831226110379
133,0.06836797516237783
134,0.06861500056933514
135,0.06900796808417867
136,0.06931539482035445
137,0.06975088227959557
138,0.06986714374861855
139,0.06831563711625464
140,0.06796559687572187
141,0.06833400841348958
142,0.06640835600667112
143,0.06485749939751137
144,0.0642475016747157
145,0.06411749343451015
146,0.06391941794198631
147,0.06364405711598611
148,0.06349459480092998
149,0.06362610781050881
150,0.06387778821001276
151,0.0639084937265353
152,0.06398230670868779
153,0.06421781037964697
154,0.06447141349990085
155,0.06505766006992325
156,0.06525579405709714
157,0.06522064478402943
158,0.06514199749133484
159,0.06507020068676832
160,0.06500999268140067
161,0.06495338386822165
162,0.06485283454889082
163,0.06454867578406333
164,0.06398086853743383
165,0.06288334388306824
166,0.06213471986727768
167,0.06244669462888234
168,0.06276215007071205
169,0.06251773354469913
170,0.06251751137932166
171,0.06254948302197719
172,0.06251055857708486
173,0.06262947668485436
174,0.06285251583314522
175,0.06278880215088081
176,0.06191654875491852
177,0.059981440537244336
178,0.05909609111591495
179,0.05939127646956159
180,0.05883056877954927
181,0.05694028335755221
182,0.055969255906537715
183,0.05607199851786969
184,0.05559143536593055
185,0.05526094601662061
186,0.05526059902670326
187,0.05510783199166321
188,0.05515890285152505
189,0.05543823448664716
190,0.05492752057470718
191,0.05395445509789169
192,0.052952950579949
193,0.05181841264369821
194,0.05154360718833102
195,0.051034254208125705
196,0.04907512452749687
197,0.048783896216974
198,0.048892900251661674
199,0.04931957316331766
200,0.04924173705615144
201,0.04879043061246419
202,0.04879696559636099
203,0.04873076631483797
204,0.04851436554029616
205,0.04757928896040954
206,0.04710064091466663
207,0.04684296209746394
208,0.046321672956200495
209,0.046975558196991694
210,0.04753930739143773
211,0.04628608553200366
212,0.044816727511410484
213,0.04394460129163772
214,0.04488676363917392
215,0.04437679721833109
216,0.04319146280181377
217,0.043253394724767774
218,0.04381767130382963
219,0.04394330670670372
220,0.04365782142311645
221,0.04320605981973065
222,0.042981543890856594
223,0.04289267800843075
224,0.04288311397141738
225,0.04269396776710419
226,0.04261063777658511
227,0.04257438235089164
228,0.0425740363161521
229,0.04262361781884677
230,0.04266230173457103
231,0.04269574385597804
232,0.0428453213011442
233,0.04281844448100867
234,0.04269159150616304
235,0.04260466354993034
236,0.04243680378896804
237,0.04207102182670106
238,0.04186197471453615
239,0.04150174873470301
240,0.04134255617411548
241,0.041203919142612566
242,0.04108871040164298
243,0.04179345524069021
244,0.042651567998110054
245,0.04151381141062737
246,0.041627875733232636
247,0.04125362033827828
248,0.040586141382247296
249,0.040575500047610354
250,0.0407943550399611
251,0.04083357643855936
252,0.04075166390577145
253,0.040520976436148194
254,0.03985241702572002
255,0.038404474397922925
256,0.041374786997925114
257,0.04276558865855039
258,0.04157224708638871
259,0.03555266663363242
260,0.03555246347987316
261,0.0351236561766016
262,0.034455707560419255
263,0.034002763315060476
264,0.03402625521542547
265,0.03327543307472026
266,0.03315616932713468
267,0.03320829700256594
268,0.033469732799253596
269,0.033733327883390216
270,0.033383026955990644
271,0.0332689526686241
272,0.03328725420979113
273,0.03338280697487836
274,0.03348618477623908
275,0.03368622168427832
276,0.03393581557290279
277,0.034055844102989355
278,0.0352945413468508
279,0.04095931406609486
280,0.0383019084255452
281,0.03561381678820489
282,0.03515832822807673
283,0.03511888982399823
284,0.035112469238811395
285,0.035056736194945114
286,0.03506415807006673
287,0.035077596485620116
288,0.03503449144102997
289,0.034887736644079834
290,0.034821211498574256
291,0.03471867514258735
292,0.034705806274652085
293,0.034813927795181145
294,0.0348800211128622
295,0.03494165508040936
296,0.03495233605558278
297,0.03483228006621124
298,0.03481742407960915
299,0.03504254402190164
300,0.035085014088788946
301,0.03511163090030055
302,0.035277645100728505
303,0.035282781828969524
304,0.0353319547169951
305,0.03587506234784356
306,0.03619739593399575
307,0.035123961960929664
308,0.03485977807857828
309,0.034873030214744624
310,0.03496026705068391
311,0.035115303240389084
312,0.035390964147884
313,0.03527053270260332
314,0.03650518338655924
315,0.037262696798448035
316,0.03656097427089709
317,0.036377175195296485
318,0.036437407554334764
319,0.03640131797490036
320,0.03643289415169148
321,0.036200864765455254
322,0.03596204243672069
323,0.035975587457140454
324,0.03599215108860891
325,0.037192783742479876
326,0.037694718631093735
327,0.036154717103234965
328,0.03563598209698299
329,0.03549509146954683
330,0.035309516469063426
331,0.035230731842280906
332,0.03519859591236878
333,0.03518523388596552
334,0.035210190330058726
335,0.03529222188717811
336,0.03540608738746724
337,0.035634737705068927
338,0.03576216243379932
339,0.03589133304659503
340,0.03610191307267938
341,0.0359903180454914
342,0.03571168072657861
343,0.035284285596938095
344,0.035302224374974794
345,0.035552033401499386
346,0.03426483451293261
347,0.033575179029061965
348,0.03346781283269866
349,0.032725824675069105
350,0.03267744262403634
351,0.03274422217446266
352,0.03286903466811644
353,0.03300371949129953
354,0.03308414394185464
355,0.033029352242574465
356,0.03307574691531664
357,0.03287187585261291
358,0.03275648472338656
359,0.0326203416444322
360,0.032601342185076654
361,0.03260674808201129
362,0.03270561878687041
363,0.03273198598394532
364,0.03269169334402922
365,0.03269924327264505
366,0.032786049645017905
