,Unnamed: 0,eta,epsilon,mu,K,TMSE,CB
0,0,0.05,0.35,0.05,1,0.03294513879157422,7
1,1,0.05,0.35,0.05,2,0.030970499516375875,7
2,2,0.05,0.35,0.05,4,0.019864608849746345,7
3,3,0.05,0.35,0.05,6,0.0217516310725928,7
4,4,0.05,0.35,0.05,8,0.02248233889094911,7
5,5,0.05,0.35,0.1,1,0.04462995721736205,7
6,6,0.05,0.35,0.1,2,0.04021497720240932,7
7,7,0.05,0.35,0.1,4,0.01826624227937752,7
8,8,0.05,0.35,0.1,6,0.0210220982389816,7
9,9,0.05,0.35,0.1,8,0.02276924995759925,7
10,10,0.05,0.35,0.2,1,0.13433640925037793,7
11,11,0.05,0.35,0.2,2,0.08489628979263124,7
12,12,0.05,0.35,0.2,4,0.020206208270398176,7
13,13,0.05,0.35,0.2,6,0.018946604841391698,7
14,14,0.05,0.35,0.2,8,0.022328433591304903,8
15,15,0.05,0.35,0.3,1,0.3207607831119191,7
16,16,0.05,0.35,0.3,2,0.16503827796533765,7
17,17,0.05,0.35,0.3,4,0.0261017959024425,8
18,18,0.05,0.35,0.3,6,0.03558780644545788,7
19,19,0.05,0.35,0.3,8,0.02238043749392461,7
20,20,0.05,0.35,0.4,1,0.4117284171613758,6
21,21,0.05,0.35,0.4,2,0.311301515926075,7
22,22,0.05,0.35,0.4,4,0.0608226360494033,8
23,23,0.05,0.35,0.4,6,0.029269970800849133,7
24,24,0.05,0.35,0.4,8,0.03720684895259178,7
25,25,0.05,0.5,0.05,1,0.0332168713994073,7
26,26,0.05,0.5,0.05,2,0.030726313569364564,7
27,27,0.05,0.5,0.05,4,0.020170802238498937,7
28,28,0.05,0.5,0.05,6,0.0218983016077265,7
29,29,0.05,0.5,0.05,8,0.022587640914431297,7
30,30,0.05,0.5,0.1,1,0.060855697006285125,6
31,31,0.05,0.5,0.1,2,0.040486155131064405,7
32,32,0.05,0.5,0.1,4,0.019337633745569845,7
33,33,0.05,0.5,0.1,6,0.02151070167820965,7
34,34,0.05,0.5,0.1,8,0.022530780823181232,7
35,35,0.05,0.5,0.2,1,0.2173911847457053,6
36,36,0.05,0.5,0.2,2,0.08072720880471516,6
37,37,0.05,0.5,0.2,4,0.04030663797741688,7
38,38,0.05,0.5,0.2,6,0.01887641567112943,7
39,39,0.05,0.5,0.2,8,0.02238535811191595,7
40,40,0.05,0.5,0.3,1,0.3120836256808412,5
41,41,0.05,0.5,0.3,2,0.16206691967041142,7
42,42,0.05,0.5,0.3,4,0.03924498832201145,7
43,43,0.05,0.5,0.3,6,0.01829276429840553,7
44,44,0.05,0.5,0.3,8,0.022850209156250467,7
45,45,0.05,0.5,0.4,1,0.4118426671599393,4
46,46,0.05,0.5,0.4,2,0.27573279180707205,6
47,47,0.05,0.5,0.4,4,0.04489047300358788,7
48,48,0.05,0.5,0.4,6,0.021023022656382496,7
49,49,0.05,0.5,0.4,8,0.02422514126602124,7
50,50,0.05,1.0,0.05,1,0.5170994345601246,4
51,51,0.05,1.0,0.05,2,0.5217468911586094,4
52,52,0.05,1.0,0.05,4,0.5215074906868802,4
53,53,0.05,1.0,0.05,6,0.5211637520449153,4
54,54,0.05,1.0,0.05,8,0.5211637520449153,4
55,55,0.05,1.0,0.1,1,0.5113881919974705,4
56,56,0.05,1.0,0.1,2,0.5217313213416099,4
57,57,0.05,1.0,0.1,4,0.5218557134315573,4
58,58,0.05,1.0,0.1,6,0.5211637520449153,4
59,59,0.05,1.0,0.1,8,0.5211637520449153,4
60,60,0.05,1.0,0.2,1,0.4695780906633,4
61,61,0.05,1.0,0.2,2,0.4811170716479167,4
62,62,0.05,1.0,0.2,4,0.5225416057748404,4
63,63,0.05,1.0,0.2,6,0.5211637520449153,4
64,64,0.05,1.0,0.2,8,0.5211637520449153,4
