,eta,epsilon,sigma,TMSE,CB
0,0.05,0.35,0.2,0.007374556540134181,7
1,0.05,0.35,0.4,0.005330430828447735,7
2,0.05,0.35,0.6,0.007982077001734473,7
3,0.05,0.5,0.2,0.008890964343008416,7
4,0.05,0.5,0.4,0.0054571109677528954,7
5,0.05,0.5,0.6,0.008010026232480729,7
6,0.05,1.0,0.2,0.8487318101751518,4
7,0.05,1.0,0.4,0.700525747485633,4
8,0.05,1.0,0.6,0.6178044517438834,4
9,0.1,0.35,0.2,0.007591278003032098,7
10,0.1,0.35,0.4,0.005510465204824658,7
11,0.1,0.35,0.6,0.008252096673037597,7
12,0.1,0.5,0.2,0.009078052865312497,7
13,0.1,0.5,0.4,0.0056449524737745,7
14,0.1,0.5,0.6,0.00828562371437669,7
15,0.1,1.0,0.2,0.8351577508986595,4
16,0.1,1.0,0.4,0.6964002286841102,4
17,0.1,1.0,0.6,0.6183744382713261,4
18,0.2,0.35,0.2,0.007999690814410376,7
19,0.2,0.35,0.4,0.005824532685296722,7
20,0.2,0.35,0.6,0.008735607553001607,7
21,0.2,0.5,0.2,0.009475435211319178,7
22,0.2,0.5,0.4,0.005983188990115554,7
23,0.2,0.5,0.6,0.0087863821076722,7
24,0.2,1.0,0.2,0.8105231677643746,4
25,0.2,1.0,0.4,0.6896182285358404,4
26,0.2,1.0,0.6,0.6213799130992738,4
