,eta,epsilon,sigma_init,mu,K,TMSE,CB
0,0.05,0.35,0.2,0.05,1,0.007737866581997965,7
1,0.05,0.35,0.2,0.05,2,0.007740462496440456,7
2,0.05,0.35,0.2,0.05,4,0.007768430614290428,7
3,0.05,0.35,0.2,0.05,6,0.007743546031206792,7
4,0.05,0.35,0.2,0.05,8,0.007733293730953109,7
5,0.05,0.35,0.2,0.1,1,0.007773358403650905,7
6,0.05,0.35,0.2,0.1,2,0.007771015814257155,7
7,0.05,0.35,0.2,0.1,4,0.007797250007672555,7
8,0.05,0.35,0.2,0.1,6,0.007744773897903719,7
9,0.05,0.35,0.2,0.1,8,0.007723779442594161,7
10,0.05,0.35,0.2,0.2,1,0.007911310607142525,7
11,0.05,0.35,0.2,0.2,2,0.007889752140026414,7
12,0.05,0.35,0.2,0.2,4,0.007869087090192805,7
13,0.05,0.35,0.2,0.2,6,0.007752107484338527,7
14,0.05,0.35,0.2,0.2,8,0.007708097241011385,7
15,0.05,0.35,0.2,0.3,1,0.00810293230374171,7
16,0.05,0.35,0.2,0.3,2,0.008055533835748616,7
17,0.05,0.35,0.2,0.3,4,0.007961853042546367,7
18,0.05,0.35,0.2,0.3,6,0.007765441641432622,7
19,0.05,0.35,0.2,0.3,8,0.007696261576883547,7
20,0.05,0.35,0.2,0.4,1,0.008340284868040884,7
21,0.05,0.35,0.2,0.4,2,0.008261363005243107,7
22,0.05,0.35,0.2,0.4,4,0.008078921568535992,7
23,0.05,0.35,0.2,0.4,6,0.007784225925688123,7
24,0.05,0.35,0.2,0.4,8,0.007687574532418379,7
25,0.05,0.35,0.4,0.05,1,0.005346387645747779,7
26,0.05,0.35,0.4,0.05,2,0.005351523494351355,7
27,0.05,0.35,0.4,0.05,4,0.005357524939261211,7
28,0.05,0.35,0.4,0.05,6,0.0053623039911526536,7
29,0.05,0.35,0.4,0.05,8,0.005369821548430722,7
30,0.05,0.35,0.4,0.1,1,0.005324796092178621,7
31,0.05,0.35,0.4,0.1,2,0.005334982215588318,7
32,0.05,0.35,0.4,0.1,4,0.005346391498962338,7
33,0.05,0.35,0.4,0.1,6,0.005355405260998385,7
34,0.05,0.35,0.4,0.1,8,0.005370406692373684,7
35,0.05,0.35,0.4,0.2,1,0.005286674382966597,7
36,0.05,0.35,0.4,0.2,2,0.005307442472210846,7
37,0.05,0.35,0.4,0.2,4,0.0053270955795434016,7
38,0.05,0.35,0.4,0.2,6,0.0053427449374319905,7
39,0.05,0.35,0.4,0.2,8,0.005371565335776482,7
40,0.05,0.35,0.4,0.3,1,0.005257500583988109,7
41,0.05,0.35,0.4,0.3,2,0.005291169649406137,7
42,0.05,0.35,0.4,0.3,4,0.005314176381203299,7
43,0.05,0.35,0.4,0.3,6,0.005333912965220296,7
44,0.05,0.35,0.4,0.3,8,0.005372707476954043,7
45,0.05,0.35,0.4,0.4,1,0.005239990473056056,7
46,0.05,0.35,0.4,0.4,2,0.005291537502534527,7
47,0.05,0.35,0.4,0.4,4,0.005311065859559975,7
