,eta,epsilon,mu,K,TMSE,CB
0,0.05,0.35,0.05,1,0.032945139,7
1,0.05,0.35,0.05,2,0.0309705,7
2,0.05,0.35,0.05,4,0.019864609,7
3,0.05,0.35,0.05,6,0.021751631,7
4,0.05,0.35,0.05,8,0.022482339,7
5,0.05,0.35,0.1,1,0.044629957,7
6,0.05,0.35,0.1,2,0.040214977,7
7,0.05,0.35,0.1,4,0.018266242,7
8,0.05,0.35,0.1,6,0.021022098,7
9,0.05,0.35,0.1,8,0.02276925,7
10,0.05,0.35,0.2,1,0.134336409,7
11,0.05,0.35,0.2,2,0.08489629,7
12,0.05,0.35,0.2,4,0.020206208,7
13,0.05,0.35,0.2,6,0.018946605,7
14,0.05,0.35,0.2,8,0.022328434,8
15,0.05,0.35,0.3,1,0.320760783,7
16,0.05,0.35,0.3,2,0.165038278,7
17,0.05,0.35,0.3,4,0.026101796,8
18,0.05,0.35,0.3,6,0.035587806,7
19,0.05,0.35,0.3,8,0.022380437,7
20,0.05,0.35,0.4,1,0.411728417,6
21,0.05,0.35,0.4,2,0.311301516,7
22,0.05,0.35,0.4,4,0.060822636,8
23,0.05,0.35,0.4,6,0.029269971,7
24,0.05,0.35,0.4,8,0.037206849,7
25,0.05,0.5,0.05,1,0.033216871,7
26,0.05,0.5,0.05,2,0.030726314,7
27,0.05,0.5,0.05,4,0.020170802,7
28,0.05,0.5,0.05,6,0.021898302,7
29,0.05,0.5,0.05,8,0.022587641,7
30,0.05,0.5,0.1,1,0.060855697,6
31,0.05,0.5,0.1,2,0.040486155,7
32,0.05,0.5,0.1,4,0.019337634,7
33,0.05,0.5,0.1,6,0.021510702,7
34,0.05,0.5,0.1,8,0.022530781,7
35,0.05,0.5,0.2,1,0.217391185,6
36,0.05,0.5,0.2,2,0.080727209,6
37,0.05,0.5,0.2,4,0.040306638,7
38,0.05,0.5,0.2,6,0.018876416,7
39,0.05,0.5,0.2,8,0.022385358,7
40,0.05,0.5,0.3,1,0.312083626,5
41,0.05,0.5,0.3,2,0.16206692,7
42,0.05,0.5,0.3,4,0.039244988,7
43,0.05,0.5,0.3,6,0.018292764,7
44,0.05,0.5,0.3,8,0.022850209,7
45,0.05,0.5,0.4,1,0.411842667,4
46,0.05,0.5,0.4,2,0.275732792,6
47,0.05,0.5,0.4,4,0.044890473,7
48,0.05,0.5,0.4,6,0.021023023,7
49,0.05,0.5,0.4,8,0.024225141,7
50,0.05,1,0.05,1,0.517099435,4
51,0.05,1,0.05,2,0.521746891,4
52,0.05,1,0.05,4,0.521507491,4
53,0.05,1,0.05,6,0.521163752,4
54,0.05,1,0.05,8,0.521163752,4
55,0.05,1,0.1,1,0.511388192,4
56,0.05,1,0.1,2,0.521731321,4
57,0.05,1,0.1,4,0.521855713,4
58,0.05,1,0.1,6,0.521163752,4
59,0.05,1,0.1,8,0.521163752,4
60,0.05,1,0.2,1,0.469578091,4
61,0.05,1,0.2,2,0.481117072,4
62,0.05,1,0.2,4,0.522541606,4
63,0.05,1,0.2,6,0.521163752,4
64,0.05,1,0.2,8,0.521163752,4
65,0.05,1,0.3,1,0.521086945,4
66,0.05,1,0.3,2,0.442357035,4
67,0.05,1,0.3,4,0.51187638,4
68,0.05,1,0.3,6,0.521163752,4
69,0.05,1,0.3,8,0.521163752,4
70,0.05,1,0.4,1,0.582277749,3
71,0.05,1,0.4,2,0.596985105,4
72,0.05,1,0.4,4,0.511536785,4
73,0.05,1,0.4,6,0.521163752,4
74,0.05,1,0.4,8,0.521163752,4
75,0.1,0.35,0.05,1,0.021686062,7
76,0.1,0.35,0.05,2,0.020391489,7
77,0.1,0.35,0.05,4,0.0152082,7
78,0.1,0.35,0.05,6,0.015621778,7
79,0.1,0.35,0.05,8,0.017227249,7
80,0.1,0.35,0.1,1,0.029615455,7
81,0.1,0.35,0.1,2,0.028164664,7
82,0.1,0.35,0.1,4,0.015078173,7
83,0.1,0.35,0.1,6,0.014532352,7
84,0.1,0.35,0.1,8,0.017507582,7
85,0.1,0.35,0.2,1,0.100231894,7
86,0.1,0.35,0.2,2,0.05377208,7
87,0.1,0.35,0.2,4,0.021932876,7
88,0.1,0.35,0.2,6,0.022621561,7
89,0.1,0.35,0.2,8,0.019014135,7
90,0.1,0.35,0.3,1,0.289533751,6
91,0.1,0.35,0.3,2,0.11336825,7
92,0.1,0.35,0.3,4,0.023796832,9
93,0.1,0.35,0.3,6,0.017079175,7
94,0.1,0.35,0.3,8,0.017353913,7
95,0.1,0.35,0.4,1,0.295299128,7
96,0.1,0.35,0.4,2,0.227167712,8
97,0.1,0.35,0.4,4,0.047703322,8
98,0.1,0.35,0.4,6,0.029869023,7
99,0.1,0.35,0.4,8,0.016971067,7
100,0.1,0.5,0.05,1,0.021538957,7
101,0.1,0.5,0.05,2,0.020648178,7
102,0.1,0.5,0.05,4,0.015589269,7
103,0.1,0.5,0.05,6,0.016285222,7
104,0.1,0.5,0.05,8,0.016937053,7
105,0.1,0.5,0.1,1,0.041931375,6
106,0.1,0.5,0.1,2,0.028577872,7
107,0.1,0.5,0.1,4,0.015607698,7
108,0.1,0.5,0.1,6,0.01559139,7
109,0.1,0.5,0.1,8,0.017042936,7
110,0.1,0.5,0.2,1,0.189352199,6
111,0.1,0.5,0.2,2,0.050756093,6
112,0.1,0.5,0.2,4,0.034668245,7
113,0.1,0.5,0.2,6,0.014223519,7
114,0.1,0.5,0.2,8,0.017399499,7
115,0.1,0.5,0.3,1,0.196518731,6
116,0.1,0.5,0.3,2,0.113892351,6
117,0.1,0.5,0.3,4,0.037922706,7
118,0.1,0.5,0.3,6,0.015123925,7
119,0.1,0.5,0.3,8,0.016803221,7
120,0.1,0.5,0.4,1,0.319375216,5
121,0.1,0.5,0.4,2,0.23951017,6
122,0.1,0.5,0.4,4,0.045558644,7
123,0.1,0.5,0.4,6,0.016443192,7
124,0.1,0.5,0.4,8,0.017303421,7
125,0.1,1,0.05,1,0.516797198,4
126,0.1,1,0.05,2,0.520547726,4
127,0.1,1,0.05,4,0.52110618,4
128,0.1,1,0.05,6,0.520740732,4
129,0.1,1,0.05,8,0.520740732,4
130,0.1,1,0.1,1,0.510966338,4
131,0.1,1,0.1,2,0.519475716,4
132,0.1,1,0.1,4,0.521476299,4
133,0.1,1,0.1,6,0.520740732,4
134,0.1,1,0.1,8,0.520740732,4
135,0.1,1,0.2,1,0.467620932,4
136,0.1,1,0.2,2,0.474767161,4
137,0.1,1,0.2,4,0.522206174,4
138,0.1,1,0.2,6,0.520740732,4
139,0.1,1,0.2,8,0.520740732,4
140,0.1,1,0.3,1,0.521031917,4
141,0.1,1,0.3,2,0.440929145,4
142,0.1,1,0.3,4,0.511462153,4
143,0.1,1,0.3,6,0.520740732,4
144,0.1,1,0.3,8,0.520740732,4
145,0.1,1,0.4,1,0.590055529,3
146,0.1,1,0.4,2,0.609605196,4
147,0.1,1,0.4,4,0.511134323,4
148,0.1,1,0.4,6,0.520740732,4
149,0.1,1,0.4,8,0.520740732,4
150,0.2,0.35,0.05,1,0.019257566,7
151,0.2,0.35,0.05,2,0.017801152,7
152,0.2,0.35,0.05,4,0.01405417,7
153,0.2,0.35,0.05,6,0.014006992,7
154,0.2,0.35,0.05,8,0.015339358,7
155,0.2,0.35,0.1,1,0.025041734,7
156,0.2,0.35,0.1,2,0.023238471,7
157,0.2,0.35,0.1,4,0.014974995,7
158,0.2,0.35,0.1,6,0.014119944,7
159,0.2,0.35,0.1,8,0.015170103,7
160,0.2,0.35,0.2,1,0.070280001,7
161,0.2,0.35,0.2,2,0.052471125,7
162,0.2,0.35,0.2,4,0.020581234,7
163,0.2,0.35,0.2,6,0.014555879,7
164,0.2,0.35,0.2,8,0.015149999,7
165,0.2,0.35,0.3,1,0.284180564,6
166,0.2,0.35,0.3,2,0.126726985,6
167,0.2,0.35,0.3,4,0.045472033,8
168,0.2,0.35,0.3,6,0.015654881,7
169,0.2,0.35,0.3,8,0.01563971,8
170,0.2,0.35,0.4,1,0.240865494,6
171,0.2,0.35,0.4,2,0.188303307,10
172,0.2,0.35,0.4,4,0.059835896,8
173,0.2,0.35,0.4,6,0.022085723,7
174,0.2,0.35,0.4,8,0.016020055,7
175,0.2,0.5,0.05,1,0.020220977,7
176,0.2,0.5,0.05,2,0.018805835,7
177,0.2,0.5,0.05,4,0.014392681,7
178,0.2,0.5,0.05,6,0.014399228,7
179,0.2,0.5,0.05,8,0.014816139,7
180,0.2,0.5,0.1,1,0.045945643,7
181,0.2,0.5,0.1,2,0.033322735,7
182,0.2,0.5,0.1,4,0.014582752,7
183,0.2,0.5,0.1,6,0.013720097,7
184,0.2,0.5,0.1,8,0.014898683,7
185,0.2,0.5,0.2,1,0.176618589,6
186,0.2,0.5,0.2,2,0.041034818,6
187,0.2,0.5,0.2,4,0.019238671,7
188,0.2,0.5,0.2,6,0.014736688,7
189,0.2,0.5,0.2,8,0.015466826,7
190,0.2,0.5,0.3,1,0.13243015,6
191,0.2,0.5,0.3,2,0.109203026,6
192,0.2,0.5,0.3,4,0.02432737,7
193,0.2,0.5,0.3,6,0.013987342,7
194,0.2,0.5,0.3,8,0.014988358,7
195,0.2,0.5,0.4,1,0.252580977,5
196,0.2,0.5,0.4,2,0.235484188,6
197,0.2,0.5,0.4,4,0.031678806,8
198,0.2,0.5,0.4,6,0.030579208,7
199,0.2,0.5,0.4,8,0.014961319,7
200,0.2,1,0.05,1,0.519002354,4
201,0.2,1,0.05,2,0.521198982,4
202,0.2,1,0.05,4,0.523378316,4
203,0.2,1,0.05,6,0.522985951,4
204,0.2,1,0.05,8,0.522985951,4
205,0.2,1,0.1,1,0.512961478,4
206,0.2,1,0.1,2,0.518588346,4
207,0.2,1,0.1,4,0.523774793,4
208,0.2,1,0.1,6,0.522985951,4
209,0.2,1,0.1,8,0.522985951,4
210,0.2,1,0.2,1,0.467158154,4
211,0.2,1,0.2,2,0.509391417,4
212,0.2,1,0.2,4,0.524558187,4
213,0.2,1,0.2,6,0.522985951,4
214,0.2,1,0.2,8,0.522985951,4
215,0.2,1,0.3,1,0.526798691,4
216,0.2,1,0.3,2,0.463966369,4
217,0.2,1,0.3,4,0.513845931,4
218,0.2,1,0.3,6,0.522985951,4
219,0.2,1,0.3,8,0.522985951,4
220,0.2,1,0.4,1,0.594420105,3
221,0.2,1,0.4,2,0.673826109,4
222,0.2,1,0.4,4,0.513632485,4
223,0.2,1,0.4,6,0.522985951,4
224,0.2,1,0.4,8,0.522985951,4
