,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9879002077756931,0.9589163422413682,0.9607318613731249,0.9625865914079015,0.9551620330834399,0.9554852659890472,0.9549570208820248,0.959730195441129,0.9667457947848567,0.954312542505225,0.9647542107087201,0.9543806227212488,0.954654136785704,0.9525810490584244,0.9644549885300137,0.956146165953694,0.9570965198872302,0.9573895367624852,0.9542900712113377,0.9472287074609699,0.9523391403697948,0.9549797740853068,0.9550043735930935,0.9562958390181413,0.9560358682685092,0.9602048521645262,0.9575633046270318,0.9579997371098963,0.9553386685883514,0.9474047110599446,0.9570856130243279,0.9651086977923592,0.9646130168342064,0.9598073274900145,0.9643309093682311,0.9540625998006214,0.9582879551018237,0.9630914824402277,0.9625589161462951,0.9585753210356788,0.9569667235333152,0.962316877719368,0.9537729937735273,0.9554293844521056,0.9563996258696276,0.9596536564193504,0.9576880935439124,0.9686447178896768,0.95371592877808,0.9493703940615427,1.0,0.9582830073704507
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.9800894836635848,0.9278884458106412,0.9326796840945434,0.9341217394597602,0.9276177552885108,0.9242709129330925,0.923556835179354,0.930472387835657,0.9359896166047684,0.9242805333898255,0.93735140248699,0.9232526640680184,0.9310703096991092,0.925578386166244,0.9306526083212584,0.9279421786278392,0.9293163744420103,0.9262054397930234,0.9249300464758237,0.9204697859857061,0.9223038765562771,0.9271775119243053,0.92954416473629,0.9311540165220726,0.9256514235663473,0.9277460959874285,0.9381181971445232,0.9297358221781671,0.9255823409034906,0.9268252425014293,0.9279680830096549,0.9357951876685026,0.936450876189694,0.9323854196078455,0.9357395570423185,0.9257008600319037,0.9310817860604397,0.9346228172518363,0.935473868244419,0.926872414996663,0.9303380596241067,0.9375279548576665,0.924118895175801,0.9271552917137569,0.9269852948826309,0.9297583826313737,0.9240662656630217,0.9396045985797921,0.9232358431606617,0.9204234161106686,1.98,0.930137603096977
2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.9635432009577357,0.9131266511184686,0.9227341779270362,0.9203150996521674,0.9134149019774569,0.9170057774027955,0.9128884946647245,0.9203947727904058,0.9194349927728971,0.9140224832735799,0.9261893676504371,0.9110315017229804,0.9197718176943641,0.9131829707265379,0.9180174012677234,0.9131081166423669,0.9173583462107142,0.9106661087793535,0.9176883097051285,0.9075446175832029,0.9151869759941255,0.9100383830020256,0.9111563495213779,0.9195563922874479,0.9181455199212911,0.9179138601841302,0.9224776904044538,0.9196072348569015,0.9135557736808146,0.9105831860870052,0.9152975210711796,0.9262479025779754,0.9237632516070383,0.9218259062979763,0.9236144416847695,0.9148784498378206,0.917376334899917,0.920729150138612,0.9229858389302034,0.9146727001408081,0.9166218227637885,0.924357890193413,0.9095263502728856,0.9158636292595083,0.9168733584168998,0.9159638009756367,0.9127205370344902,0.9230386291946518,0.9095100812197978,0.9105188959414163,2.98,0.9177209393783687
3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.9427755687339027,0.8883108151417435,0.8982942272956901,0.896858347900114,0.8892360316934582,0.8947945062559325,0.8891803352456086,0.8970692451888331,0.8925813175063237,0.8898725560404871,0.9024491541634589,0.8858870712948544,0.8959004902674274,0.8896530819913397,0.8928390439024224,0.8893099400202934,0.8938727437821293,0.8844864233370637,0.8929486444514885,0.8829876703498288,0.8901211524282232,0.8842192760897697,0.8854593941527963,0.8961151211903252,0.8934977113291664,0.8913225377164602,0.8992113515197104,0.8941782220798256,0.8890109916405963,0.8854729805539497,0.8894365959257633,0.9030209296619585,0.8976897103630296,0.8959890253347457,0.8988846470207454,0.890320680312812,0.8933588532167847,0.896936463329465,0.8982129802016319,0.8892620821824953,0.8923134066517754,0.9006550485688101,0.8859858685156172,0.8912630987222542,0.8929720243021407,0.8909885213804073,0.8887985199537306,0.8959679855239118,0.8842538279171547,0.8857674652686631,3.96,0.8931998737523423
4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.937481364125028,0.8852687138785025,0.894880988841955,0.8941295702423028,0.886079259680337,0.8919156486695402,0.8864551649211372,0.8940105094309811,0.8888908875529308,0.8867527444583473,0.8999338213609858,0.8828881059441904,0.8931792493320736,0.8867899131875713,0.8890479253815041,0.8860862365686498,0.8912647057669184,0.879960389209179,0.8899785959058959,0.8802680897107584,0.887854629937383,0.8806661054549975,0.88234883750704,0.8929624849814672,0.889665769891377,0.8881638456650063,0.8961637588708219,0.8910272430684006,0.8855905424837487,0.8820988422624098,0.8864635649758498,0.9003461853983014,0.894115600657683,0.8923937508979717,0.8955102352606061,0.8870114337515952,0.8906140401190926,0.8936614296647483,0.8952556750924979,0.8857046966733807,0.8891785227269294,0.8975186944635469,0.8828622522843128,0.888132078330299,0.8901039525652166,0.8877031749890868,0.8860378002527773,0.8925203652138086,0.8807211401294417,0.8824169954871792,4.94,0.890001510664515
5,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.936281290723077,0.8860478365647382,0.8956024055857418,0.8956437644693103,0.8866488714585066,0.8933166818551882,0.887533055803785,0.8941110058825497,0.889184049070719,0.8879235527085007,0.9015397154996154,0.8844266947891896,0.8937521184069172,0.8867133941032671,0.8893696873924238,0.8862032525827631,0.8927636756578314,0.880511839607781,0.8912759009038902,0.8815913569327214,0.8885247852209087,0.8815402603245811,0.8819746156779706,0.893525494894568,0.8905973477157255,0.8895476314461562,0.8965881082137807,0.891614791478826,0.8864972552464061,0.8840869102330022,0.8866160375603629,0.9024408545316375,0.8952876088564454,0.8936483770284334,0.896224291549849,0.887097033596843,0.8906662063071127,0.8937704512994532,0.8960243645287204,0.8859083577097642,0.8899569294676826,0.8976462188726637,0.8837275079045197,0.8887402439303921,0.8918013833068721,0.8893975689006001,0.8867056424614975,0.8933413253831678,0.8808501359093078,0.8841432639246662,5.92,0.8907786230696085
6,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9314034331582556,0.8750175454445825,0.8807365802583533,0.8825138926148784,0.8728134391743868,0.8799560534590357,0.8719510766063351,0.8817290018395938,0.8757349183346014,0.873050833591509,0.885119573050837,0.871588865986057,0.8807336927663266,0.8738166449195208,0.8750647172821466,0.8709145877398238,0.8787699594011884,0.8682462738913752,0.8779966981627065,0.8664073266850386,0.8750806055453465,0.8684124116791242,0.8711115592561037,0.8767934868755124,0.8776169861656985,0.8752255765533405,0.881468618953968,0.8782603049656947,0.8756902553629131,0.8713754901142052,0.8718178851504246,0.8860976446773172,0.8817349514485886,0.8802435469815544,0.8826169469264085,0.8708402551254938,0.8757802000682942,0.8800857438849721,0.8816963936231871,0.8735486737173366,0.8755096777406408,0.8834886211165147,0.8695120884347776,0.8743033291857231,0.8799438640790375,0.8752982914302229,0.8729196076902642,0.8795975397102136,0.8658424306964903,0.8705656143682695,6.9,0.8771208743178838
7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9247004952275606,0.8356924021044986,0.8406884914676813,0.8431651598067412,0.8360987115612498,0.8411157734571014,0.8340892253443769,0.8446527725697317,0.8397566172927944,0.8303599405779376,0.8461255941832344,0.831676502824081,0.8409363129027182,0.833023905404674,0.8370218807972097,0.8334559747139653,0.8378785438785497,0.8313354379841756,0.8388423313708853,0.8279456622079698,0.8351843036314491,0.8293894769534467,0.8363513273766426,0.8369919251521324,0.8350898248583886,0.8374536305469777,0.8409716612469467,0.8392997091374127,0.835489076751487,0.8334888451911014,0.8344781813568423,0.8493367802178838,0.8413660229306811,0.838840503802279,0.8435906303998633,0.8341817462263167,0.8387418237113906,0.8428397877909749,0.8446454372865353,0.8327970688920753,0.8375403440711788,0.8428356441685345,0.8315264307877396,0.8369197201862972,0.8401865682410833,0.8376147633569712,0.8350996009012676,0.8416712380782255,0.8287626373971332,0.8322884759609223,6.9,0.8390706984457463
8,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9253210336449261,0.8151093345468537,0.8195201913159067,0.8235708493470831,0.8164381566813199,0.8165758616468218,0.8122549190020504,0.8237939811392008,0.8203424553442281,0.8102220420757744,0.8267766729791984,0.8099292733974548,0.8241066760816272,0.8142733889675889,0.8137605551805612,0.8166821768889164,0.8187913093438637,0.8099891582157468,0.817109132787666,0.8077634061353757,0.8142202947530692,0.811652224129989,0.8205608922574913,0.8204536987853109,0.8112761149484043,0.8149610370323692,0.8297419948585479,0.8177726683460435,0.8136858849687277,0.8202085580833293,0.815439594156536,0.8282153047706424,0.821317957182857,0.819144448339292,0.823371138460065,0.8129245152031576,0.8203672967547426,0.8237314845685433,0.825765500855015,0.8101088098408912,0.8192318189131794,0.8256523228016042,0.8103984175863883,0.8161935606726454,0.8197486265751458,0.8159649458333985,0.8129601218824078,0.8242944294713146,0.8087703127920497,0.809406000029644,6.9,0.8195974109914994
9,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9265841914252814,0.797244129971252,0.8052818475519533,0.8071224898775804,0.7990228775218162,0.8052282793699047,0.7969295530456627,0.8092912872728628,0.8010626401597889,0.795546769923582,0.8105411272724513,0.793964583922249,0.8078157972739993,0.797852597157362,0.7980080597789544,0.798168243422635,0.8025354630890073,0.791214937625856,0.8063361049373501,0.7910753403471077,0.8027563842600227,0.7910711176191699,0.7991486739916651,0.8049503417659519,0.8004154816145171,0.8020715230682669,0.8105771352541135,0.8048471464810639,0.7973213970945133,0.7999317759150827,0.7991274604245183,0.8144094326952651,0.8053073659702588,0.8038757069054817,0.8071044297545181,0.7983999789447964,0.8018968754094848,0.8059790666360022,0.8092254896621429,0.7951380187024674,0.8022404952263278,0.8089154143154381,0.7929842885920003,0.8004405356612219,0.8059500802097148,0.7989512370383661,0.798442886578903,0.8054232436825447,0.7922888813111902,0.7962500716320672,6.9,0.8039253651472746
