,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0030764371543375,0.9807086959734929,0.9867233929221552,0.9737167564370789,0.9846502774517867,0.9725153804647124,0.9616372249531,0.976748542037804,0.9748090848488178,0.9720428624799428,0.9669143258322762,0.9710823789078151,0.9757556964189843,0.9682956784000625,0.9836603412941827,0.9770929219810459,0.9804890266402242,0.9660692281376322,0.9672452262190854,0.9829914619276061,0.9778284344847161,0.9808815897695752,0.9792611415208066,0.9774664417455203,0.9746916181261236,0.9707932477854284,0.9766911295715395,0.9752248829535171,0.9789344258006979,0.983483072057241,0.9762285511854278,0.9686354543992423,0.9816035437951706,0.9752398364786847,0.9792590591595978,0.9837896153494422,0.9792896377194389,0.9752309044017093,0.9730289072583864,0.9668453618058745,0.9811128351121633,0.9766309143688929,0.9711771685246721,0.9857767717769684,0.9722192645610656,0.9810673132203885,0.9668094395092018,0.9757838223257995,0.9710236212140663,0.9833923732873996,1.0,0.976512506395018
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.9944606095367591,0.9307502464175559,0.9360932672268847,0.9278126646249655,0.9391200845887869,0.9292191363999488,0.916831549085726,0.9284387149614013,0.9254362661667708,0.92810992764465,0.9191202481975697,0.9241926334317366,0.9246161673636004,0.9216756701066825,0.935411824953049,0.9240228242269626,0.9344594895905582,0.9182122661376211,0.9208602115957268,0.9343190717670697,0.9348141969203415,0.9374190284410738,0.9314073331290446,0.9294651416398119,0.92700273952216,0.9228408096212841,0.926707126320262,0.9265595463654702,0.9302978566124201,0.9301654201747123,0.9291851867997561,0.9246446688906758,0.9372228130208683,0.9267783802349513,0.9291610026044325,0.9376852988819379,0.9299924983959135,0.9303114741001068,0.9244090706143439,0.9189375466735399,0.9363465412497868,0.9301858287905137,0.9266818860373155,0.9355744199908628,0.9254090499284316,0.9340450051253031,0.9200061707719652,0.9297072692866017,0.925329272019842,0.940647646956721,1.98,0.9300420620628895
2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.9853269584078889,0.8828284223280554,0.8808450410047081,0.8670139568310097,0.8849092299878388,0.8687848317060002,0.8644089786735717,0.8746037380958884,0.868373615077511,0.8746950517902085,0.8603891007743409,0.8652322264361427,0.8653383276587089,0.8633997998441449,0.8858506297400066,0.8693952916248392,0.8863054704951128,0.8654568713402016,0.8628504790206617,0.873689837674813,0.8757822905128724,0.8767293809318213,0.8725451778555421,0.8720947116332993,0.8764491008851314,0.8645445662071946,0.869008210015918,0.8679317882333254,0.8720935227818863,0.8750898255203253,0.8764358902378788,0.8688317144441016,0.8760255761576358,0.8675815095241418,0.8695453697773801,0.887175881124722,0.8759327119408432,0.8811176073635398,0.8670111950883811,0.8620278567235679,0.8754222785461887,0.8763105576740355,0.865644848924866,0.880921775587974,0.8723941774270559,0.8767821317297426,0.8614330415786086,0.8770518945767304,0.8668275189961588,0.8836428903568398,2.98,0.8748016572173873
3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.9745630900439921,0.8574917648817728,0.8548326640555056,0.8422094386468182,0.8589049632101858,0.8426319846404471,0.8400740287103484,0.8487494566605114,0.842064653936153,0.8496401577486986,0.8362469053157233,0.8398745687161984,0.8383523181218047,0.8372794169129679,0.8600571723437134,0.8451414515411666,0.8607168366166806,0.8405764552467648,0.8395795892623497,0.846540459819879,0.8522470891250694,0.851223506951984,0.8467765890493645,0.8458743826791458,0.849853698646884,0.8377528641517522,0.8439208301403158,0.8421892744353758,0.8440647995491731,0.8496497856311549,0.8524112589945995,0.8435821561657534,0.8495123907117837,0.8439526048037128,0.8422975828618735,0.8632773044589618,0.8486053394529379,0.8558515381146404,0.8412234224572736,0.835083394924921,0.8495470961753796,0.8518064782123349,0.8408043775173603,0.8546345474267604,0.8475573826219729,0.851474005594184,0.8349413182141879,0.8522755071935009,0.840412540980028,0.8559353243766856,3.96,0.8494853153610151
4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.9647848910377524,0.8517789343130326,0.8492795218499356,0.8368199712673748,0.853564131075931,0.8366758567770017,0.8346899553672984,0.8432249925554846,0.8368315204142251,0.8445849161274026,0.8302885075111456,0.8344118738586943,0.8328085100228728,0.8317526504728218,0.8540754526788732,0.8402647637104249,0.8556737303346208,0.8353466815648082,0.834590795032754,0.8409650035712096,0.8466929165610506,0.8445368844942213,0.8408117888399819,0.8408691948412745,0.8454722332583238,0.8320294700129202,0.8385843757558439,0.8364651228408703,0.8382571790717458,0.8442108907960182,0.8478014114482094,0.8377717546582371,0.8446634807140475,0.8376343685421677,0.8365653952369421,0.8577459288647995,0.8437992598252392,0.8498591641462889,0.8355082619351571,0.8294876576582927,0.8440392257147263,0.846253576717046,0.8351579991888199,0.8482981545277879,0.841696037604832,0.8461578852133738,0.8300416078997006,0.8468034461639797,0.8350624491736741,0.8500290123331434,4.94,0.8438943758716476
5,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.9611222916808799,0.851774787916286,0.8492780034137205,0.8368319800685896,0.8536101534999344,0.8365780103619087,0.8347214280762028,0.8432315633477113,0.836843539146501,0.8445874881273946,0.8302879733696885,0.8345003607119129,0.8327912541351071,0.8317886807706705,0.8540572490801531,0.8402702360705802,0.8556751321054166,0.8353618340204272,0.8345809311245638,0.840936078855587,0.8466603810068589,0.844527493933914,0.840779222807161,0.8408780873769744,0.8454803757538033,0.8320021931529064,0.8386512641229915,0.8364659061389637,0.838187808039445,0.8442127574559513,0.8479442311088681,0.8377897011678069,0.844645579563508,0.8376354456288437,0.836526045157467,0.8577537591306391,0.8438049648256726,0.8498728128234654,0.835517624116176,0.8294302919506856,0.8440382659290762,0.8462988697818452,0.8351680198067526,0.8483108545344836,0.84169795711347,0.8461891563662773,0.8300655066553159,0.8468100538192955,0.8350763588238083,0.8499614343539043,5.92,0.8438242279665913
6,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9566224379600683,0.8430144483513504,0.8423230362141726,0.8303419447057627,0.8460878088485052,0.8293014376106672,0.8275023145836967,0.8359393814877152,0.8290895321781676,0.836033358984954,0.8235165014002213,0.8283064427696607,0.8251320768265612,0.8236447463948258,0.8456771370304103,0.8328490671531877,0.8481876594082736,0.8272244438347357,0.8254923890621849,0.833005787754346,0.8381415320178397,0.8365854444034347,0.8346485313972964,0.8319358230302811,0.8366908511265971,0.8244183360412053,0.8312453328011492,0.827729588963565,0.8309285009071778,0.836330316267098,0.8400692337405229,0.829757476657179,0.8364564916288305,0.8305021053251553,0.8302062859223375,0.8494050233227617,0.8355170641761979,0.8423268054168261,0.8274040255641615,0.8221665531637786,0.8362842861643723,0.8381954103794794,0.8272877126188081,0.8413364270308038,0.83379065558851,0.8390544990267185,0.8215839175866663,0.8393761167298669,0.8276131054998492,0.8431774547154347,6.9,0.8361891371954675
7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9486173980173597,0.8119244142093797,0.8159641331135669,0.799142386909644,0.8162985657631,0.7984575345606848,0.7977957823714067,0.8071281312733132,0.7991438868708428,0.8082435568015178,0.7921242205876926,0.7966651001185971,0.7966633022091162,0.7952525980713108,0.8162453874230436,0.8032312276921022,0.8170141377436902,0.7971742996366412,0.794112191766038,0.80371630338944,0.8090494143325967,0.8104910048525372,0.8059408812663608,0.8027391962223704,0.8072371939633277,0.7919893970229148,0.803073475666271,0.7955348645204308,0.7990086926450405,0.8075729145513115,0.8086664154252144,0.7992372204033953,0.8076781510697394,0.8008701065271978,0.8007881588888361,0.8193929230006427,0.8058268339100039,0.8123305692871707,0.7999200662476545,0.794608268300362,0.8068501911932927,0.8079314421659888,0.7968452795095071,0.8146727939494335,0.8056626391961345,0.8081013612089157,0.7885423755237245,0.8105919440234735,0.7971740219608912,0.8118695447330908,6.9,0.8069022380019264
8,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9396107604400761,0.767250502519326,0.7727823980038844,0.7642059525646557,0.7772763364634541,0.765321735207537,0.7553180552709976,0.7676245113623961,0.761217845837993,0.7684642726760644,0.7546493062163846,0.7558556023683748,0.7559147026824823,0.7560249067232658,0.7749637522424073,0.7620468151069951,0.7763374629247227,0.7575282832005829,0.7553154449616083,0.7633004066854582,0.7723455564478692,0.7731380089375857,0.7672910858427879,0.7601791353988651,0.7674787807252968,0.7538138030901842,0.7605398388700791,0.7542763950732998,0.7581074399222564,0.7645582498672813,0.7646612457198846,0.7631447129788549,0.7703498521075768,0.7609073995699965,0.7609015152083155,0.7783237064145037,0.7631999633941695,0.7691751302414929,0.7577430914398648,0.7557718393597181,0.766911268281975,0.7687319993303435,0.7617147203134546,0.7707098838966252,0.7635069781084561,0.7703844997073729,0.7487288049016909,0.7716145863899846,0.7607460793775596,0.7737965358696295,6.9,0.7676752232049128
9,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9355010430987022,0.7245441539485589,0.7278215746660709,0.7150777878264255,0.7316170146101268,0.7152361101404882,0.7115652718243234,0.722435907162333,0.7140894910481567,0.7201010239998794,0.7073672911716942,0.7065238424061754,0.7087654414247357,0.7064650513522795,0.734491327428525,0.7180518766208204,0.7337189589621532,0.7134390697151154,0.7070484284593079,0.7135130043038984,0.7251153789598576,0.7226092510545657,0.7192564476105937,0.7135753546760458,0.7249366374480948,0.7049829240265119,0.7126476868478596,0.7051196015042774,0.7119132804852305,0.7188678728494386,0.7180293636423738,0.7153786378644682,0.717663933309197,0.7134438094686044,0.7127404146269317,0.7336859297829195,0.7182447319673723,0.7251819226653836,0.7102417046282946,0.7060821224648121,0.7162692365521605,0.7219412808247754,0.7125981055052136,0.7238239610422887,0.7164297531720473,0.7213872593296523,0.6999854770411005,0.7255517296878935,0.7134091949289432,0.7259785874837118,6.9,0.7214893052324078
