,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9810506161079755,0.9615394389298813,1.0079919136321565,0.9745886199714918,1.0016618294987352,0.9984872727610672,0.9848152914879925,0.9470682903709813,0.9649894424691841,1.0066630193783628,0.9807672970047097,0.9981035985435451,1.000878929310059,0.9767564695999388,0.9508047075531526,0.9671292816059722,1.008284512415977,0.9787578365004652,1.0033724397589674,1.0043822845763544,0.9854299591824572,0.9553169075777604,0.9630881491455634,1.0058100899492697,0.9761377375883462,0.9949569495449802,0.9979080375914299,0.9826975131412369,0.9487416597382698,0.961587730838261,1.0037773528829288,0.9820973057003383,0.9949626744565786,1.0044570774105182,0.9801775465262571,0.9474159975519547,0.9593865809599896,1.007671435386653,0.9803604331737624,0.9914477513544419,0.9991922146806889,0.9816869173436703,0.939911550720457,0.9614614597691524,0.9997377474645939,0.9738844611355628,0.9975212058498011,1.0024289950607423,0.9825623014253563,0.9476900259683219,1.0,0.9821519772119263
1,1,5,3,4,5,3,3,4,5,3,4,4,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,5,5,3,3,4,0.9304835441634765,0.9241886097609182,1.0193599643437714,0.9420363709092144,0.8690822713475179,0.9445363996714905,0.9608641043035666,0.8981551784901626,0.9337851124809735,1.0197187162878156,0.9446918144612384,0.9443331686106203,0.9415779386027132,0.9541007265015692,0.9277814937330147,0.9314613914683889,1.0204027588801379,0.951745385570522,0.8416234274735459,0.9441710802379921,0.960473423352728,0.935345486204458,0.9287248893185075,1.0244542034324053,0.9496055037739761,0.839273315778712,0.9400123993069285,0.9565765977068774,0.9237755026879055,0.9266001869717356,1.0180833116096233,0.9469273888008943,0.8414885096742066,0.9409508540720953,0.9532817164475673,0.9188934072084824,0.921481968322925,1.0180141466037482,0.94352696348101,0.8413857343081833,0.9400720716251119,0.9583902453540452,0.8958686819319313,0.9222342614508742,1.0135650575495907,0.9076396903221625,0.8571069093832193,0.9413031163427877,0.959945293459802,0.9234706758056477,3.8,0.9378514193917359
2,1,5,3,4,5,3,3,4,5,3,4,4,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,5,5,3,3,4,0.9188039219199838,0.8647391351593351,0.9945835215701766,0.907869408991793,0.7814166054158761,0.9374482096225737,0.9445389356628879,0.8533646549467867,0.873437317207873,0.9937828399101923,0.9115114504192359,0.9167938755057085,0.9375152071203958,0.9347220176542215,0.8847819751418236,0.8714522163445181,0.9953861443480674,0.920449259233279,0.7812473136604047,0.9379914355642442,0.9390685532987841,0.9097510409414767,0.8663895760073264,1.0005708688293757,0.9176967893228104,0.731107507025084,0.9341946031368416,0.9375126427765258,0.8981377143192735,0.8669813956332878,0.9967220959744518,0.9121342517979523,0.7370798883457913,0.9333950246350039,0.9339142907596322,0.8900520110894283,0.8621833772934976,0.9964890679787416,0.906578807703945,0.6932834674368641,0.93385886841622,0.9415527791987546,0.8708997546190168,0.8664481318794356,0.9928612044757681,0.8559791810177836,0.7209407169233845,0.9365168547857704,0.940201558215609,0.8980443503771263,3.8,0.899647636392287
3,1,5,3,4,5,3,3,4,5,3,4,4,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,5,5,3,3,4,0.9180559252062007,0.8275278955923054,1.001217665346967,0.8789795111822594,0.7114981226260209,0.9121870863355636,0.9096487644519096,0.8268910206470326,0.8363320911700188,1.0021669044700192,0.8823551510225074,0.8898158667553565,0.9087642847755999,0.9067332208818258,0.8550048164011061,0.8378766594961696,1.0075884735731955,0.895399151503637,0.6959513339959633,0.9131377250040787,0.9094375496374578,0.8799404630683455,0.8272375623264879,1.0137556977620057,0.890319954673818,0.6529080030989504,0.9085672979319163,0.9042407072400362,0.8669950574419053,0.8337122197194972,1.004789672215675,0.8822455299813857,0.6996260861657946,0.9063339687120253,0.8997079162921358,0.8577756818161117,0.825626246013435,1.0063762680142445,0.8752605612442831,0.625369857091505,0.905172716773506,0.9146432191609841,0.8422257133033125,0.8330439025352961,1.0011412082220021,0.8220684523037511,0.6905443888477105,0.9080201489207418,0.9087455714645523,0.8673769468606419,3.8,0.871606804785545
4,1,5,3,4,5,3,3,4,5,3,4,4,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,5,5,3,3,4,0.9227453414087934,0.7974138141185659,0.989808272445028,0.8389604384257943,0.6429387275931313,0.8975921955529238,0.9037846801636858,0.7869750849861298,0.8040031475503221,0.9894880050222574,0.8398411201919598,0.8613380693494203,0.8958733816542899,0.8979939654279916,0.836027977157243,0.8060093258934872,0.9949078023830732,0.8532064837128157,0.6162830250673977,0.8980825891164463,0.8975611508046021,0.8627540040830279,0.7991659257218848,1.0040890733892296,0.8513163613314673,0.5456935815103467,0.8954066785469246,0.8963431623441086,0.8481038615316796,0.8033478211125114,0.9933126262253201,0.8398450889622797,0.6577692992971247,0.892717044339162,0.8919492609981409,0.8156894990957531,0.7969093416110584,0.9959400699922254,0.833159042206625,0.5240480604150698,0.8917245564667308,0.9030767510487483,0.8226966616255716,0.8054543487910959,0.9885683936870541,0.7851899775033266,0.5897657662096122,0.8926723453035447,0.9038657681387959,0.8495267048195085,3.8,0.8430187134866657
5,1,5,3,4,5,3,3,4,5,3,4,4,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,5,5,3,3,4,0.9258614511651376,0.7658265792777024,0.9898346248963558,0.8267164973425293,0.589041481695986,0.889517137511185,0.881714638793665,0.7568208322767411,0.7749349412680222,0.9913488029943036,0.8271889244833119,0.8409817119614837,0.8875721599312353,0.8774143201669854,0.815911918136994,0.7741519206840608,0.996507689908621,0.84622543139556,0.5564967144842137,0.8894379344892128,0.8776577190112751,0.8389168232417783,0.7653513305014074,1.0074667080756734,0.840894405678034,0.5255536452031476,0.8874330078776389,0.8767118968614925,0.829081291118415,0.7703107820548227,0.9951551232545801,0.829110280235155,0.627780774459474,0.8838318225311327,0.8674359625846455,0.778567255700494,0.7655484432321634,1.0000703338308337,0.8181168908109672,0.5025293284084673,0.8840060797485059,0.8805753935448075,0.8036419153952801,0.7753590505769985,0.9899341379552704,0.7490458628607264,0.5390617719933843,0.8852845553057709,0.88252655361727,0.829259685922199,3.8,0.8241944908891022
6,3,5,3,4,5,3,3,4,5,3,4,4,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,5,5,3,3,4,0.9272511872034986,0.7416457860944644,0.9870450594751712,0.8036690874288771,0.5490967834423826,0.8802519217037088,0.8676022058017743,0.7156958520448318,0.753167390505364,0.9887575414489418,0.8031986581140798,0.804445086701237,0.8748809805264535,0.8651056313926307,0.7925570886691625,0.7478904595886913,0.9944592463074129,0.822499673231488,0.5477531817321742,0.8792722253882951,0.8644198351451909,0.815568929213881,0.7413024893905954,1.0031914022725643,0.8166774590317009,0.49098380176675266,0.8755919407123254,0.8622323664812264,0.8036021526612972,0.743827850953217,0.99330663039371,0.8037071829100176,0.6104546598344511,0.8724199434707266,0.854167814318907,0.7313896954852291,0.740667669386597,0.9967333332035141,0.7944024140814635,0.44547995376433025,0.8741580619860879,0.8677665588144119,0.7768627076114287,0.7496917378992107,0.9898808648120205,0.7136582812492079,0.48200504777159586,0.8756045105150235,0.8688331761002731,0.8044463472929713,3.84,0.8041855973066114
7,6,5,3,4,5,3,3,4,5,3,4,4,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,5,5,3,3,4,0.8914372456340992,0.7125779006837074,0.9846798921582194,0.7868256302842788,0.5261113599561761,0.8716175557501956,0.8648861958333892,0.6983749472569589,0.7217197766125489,0.9859973038266286,0.78790005576394,0.7983498356955365,0.8662036345964529,0.8614015265321638,0.7670106070842295,0.7163347031111844,0.9903719062924033,0.8097351089579952,0.49343933432248027,0.8701815271198151,0.8624655150673249,0.7885952149742449,0.7076353072907563,0.9956419295660591,0.8019340118463107,0.4408978125915715,0.8680538869059494,0.8617220703691214,0.7789967162516734,0.7103664160304458,0.990677096734537,0.7912217272179611,0.5430153633015372,0.8657411382339523,0.8504078552749227,0.6955812259585568,0.7102554991256806,0.9913483419406186,0.776936784037668,0.40317062871097875,0.8648609981562465,0.8633950097346887,0.7523232958622103,0.7189674007028277,0.9855763331187304,0.6906671170655427,0.439559221272869,0.867824135318034,0.8676507544794667,0.7778004009617203,3.9,0.7853689051114924
8,6,5,3,4,5,3,3,4,5,3,4,4,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,5,5,3,3,4,0.8227027393399096,0.6991523442262106,0.9883393497893542,0.7698387876637602,0.49048907653284085,0.8568213714556109,0.8497545099154363,0.6708070477864571,0.7085066922029413,0.9900177794180866,0.7711353537074735,0.7749527908150872,0.8446356534094144,0.8470731342703203,0.7539815717921317,0.7027071314300808,0.9935969622977964,0.795101040192019,0.4587957539102937,0.8547845959443066,0.8498528144519337,0.7746544069668904,0.6953941352928543,0.9981716301008735,0.7908374482726972,0.4311608867969145,0.8503713494978926,0.8464148107374403,0.7626206010613992,0.6972137672564129,0.9951256015397928,0.7740920678230618,0.5258727408153918,0.8459176321045694,0.8354206259142575,0.6526747565398231,0.6940148916282616,0.9958300402611737,0.7623262010715841,0.3759193634781173,0.847361626955191,0.8488140538882003,0.737455440601803,0.705515301796681,0.9892935605112483,0.6709145524248166,0.4141495994226952,0.8482327328460308,0.8519267882942142,0.7628524890380549,3.9,0.7694719120697961
9,6,5,3,4,5,3,3,4,5,3,4,4,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,5,5,3,3,4,0.8012366211359166,0.6789892299755301,0.9835983423878607,0.7559362534033152,0.4470054262378998,0.8547450768870757,0.8520190145200711,0.6582385799970438,0.6885734145173757,0.9862814618471071,0.7585552442681444,0.7622765730810962,0.8486908051793082,0.8468217485034834,0.7379241316414824,0.6827995918775001,0.9872540359373327,0.7808782820675749,0.45201357054444313,0.8551669001940677,0.8499446105554238,0.7595456633188177,0.6755122641384494,0.990267822029353,0.7784551584750385,0.40585487837263123,0.8523663079177145,0.8468937278337908,0.7452545791356402,0.6746997850767086,0.991278085064125,0.7596688913490514,0.4894077936668235,0.8477435339635834,0.8353696279512597,0.6410443827508954,0.6725922460174523,0.9883723530926435,0.7462635097821092,0.3417110551455317,0.8534226601393673,0.846812304776066,0.7226172284517559,0.6850598379276732,0.983691039472043,0.6449413143592583,0.3787542398623792,0.8512218089722454,0.8503103375341075,0.7464215708839533,3.9,0.7574900584443902
