,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9939178960896989,0.9723537649945098,0.9707690185287468,0.9862296214180437,0.993450119325552,0.9943411061168651,0.999966115583657,0.9856350062987633,0.9775016041428489,0.9718800778279375,0.9927088352073228,0.9997405468105098,1.002816854600094,0.9961353430580627,0.9848349198909707,0.9832092022909924,0.9680445826783869,0.9821268964625978,0.9913464677410263,1.0037439324836726,1.0012928657369975,0.9847442964806928,0.9726705411915323,0.9633102817101133,0.9855395897738763,0.9969032880472432,1.006553585186226,0.9967235012525573,0.9828697980625868,0.9720431672026315,0.9716833150059149,0.9853342613816374,0.9993533908254965,0.999443334915773,0.9984836762577974,0.9852736882217834,0.9722341780583165,0.9708265773524443,0.988849788086228,0.9940626589864955,1.0017092182493792,0.9989242988813956,0.9893813337247707,0.9756485754386692,0.9667888934969631,0.9892930707142864,1.0021948980764728,1.0023568077722311,0.9996833996565031,0.9805296221100297,1.0,0.9877091562681461
1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.9565911332223802,0.9652930725530906,0.9283226578623065,0.9576637079871143,0.9637463139029464,0.9259653407023763,0.9765981542570542,0.8917118314435001,0.9673919743421389,0.9313406325344203,0.964325961501565,0.969435199697119,0.9336934447450289,0.9733167511482882,0.8937917115851128,0.9739086856906339,0.9268644719531048,0.9543739474076383,0.9609239764319396,0.8973842478919739,0.9765806885126577,0.8834034910559153,0.9663213309816138,0.9239039967198409,0.958928050350345,0.9699204316904013,0.9398796805563054,0.9693773071957751,0.8875112680456559,0.965295570333092,0.9335908050810646,0.9600080921682602,0.9714721889299814,0.9351961735759237,0.9603096405518671,0.8908931072213717,0.9667184514901657,0.9254275336776222,0.9641178570858702,0.9622094735191659,0.9333927934376621,0.9753504431686857,0.895663440056778,0.9652315155763163,0.9242544530199801,0.9618585816080835,0.9712151619069181,0.9435390757702553,0.9767975998186373,0.8804588700078286,3.94,0.9450294057994754
2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.9248191077641853,0.9252691192074315,0.9290464032036213,0.9381269920751932,0.9377236836618866,0.8564480678092445,0.9488498070425483,0.855877500759293,0.9427357977535548,0.931432091632458,0.9420482439929733,0.9444003708260775,0.8620611713466442,0.9439516494271288,0.8546154535021414,0.950585569953329,0.926279653764396,0.9338069931342089,0.9339062567172054,0.8008547263670038,0.9474592911572707,0.843353508035067,0.9412352686566992,0.9232038518242063,0.9236801241756002,0.9450414320807019,0.8752972158609652,0.940244391634285,0.849742439743921,0.9386889715379035,0.9318850521843015,0.9407820422004195,0.9449916344464253,0.8643521796838848,0.9261099764850124,0.8508734997053803,0.944747996102439,0.9240899803064526,0.9465178145893859,0.9362369334389464,0.8616611221322662,0.9455297992174105,0.8572472052287043,0.9392962120176803,0.9264487276702967,0.942945265279493,0.9464115562727184,0.8772895239598516,0.9490900113815972,0.8393768316830473,3.94,0.9141333703726572
3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.8940778744812817,0.9079359703956082,0.8696285101091992,0.9154201014115861,0.9214016692146834,0.8263602402402975,0.9042355542706393,0.7789382450651107,0.9222115864609013,0.8683076119221773,0.9198285391179631,0.9313926682174926,0.8256365272673349,0.9031454073977359,0.8170495426207397,0.9249106622770051,0.8658706866308294,0.8927994304715694,0.9177367789227167,0.7720973522273502,0.9054084269688571,0.7674540156222684,0.9187162911118165,0.8640036786734983,0.8996381151723584,0.9296992667918962,0.840611069803693,0.8966073342494657,0.8103774834409965,0.9184342503700095,0.8733635374871727,0.9172052615149928,0.929939214827497,0.831489530205554,0.8738553165125609,0.8140367674382051,0.9264538177473918,0.8660077571055337,0.9233762103309536,0.9192077020852103,0.8183991400615382,0.8735725468731036,0.8227054184360274,0.9192121758850695,0.8692216983382581,0.9167992986160461,0.9306673974001249,0.8490394106156964,0.9081100121450031,0.7999644379864688,3.94,0.8782512308507898
4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.8673701668132524,0.8786775079828839,0.8524432541521212,0.8793439747110217,0.9107638858866549,0.7926828324684362,0.9127036176269693,0.7115800781906664,0.9105736553320315,0.850900078153806,0.8807888355880645,0.9221790019831534,0.7992777456455998,0.9086370069727772,0.786309669447804,0.9114534267177992,0.8498430609131457,0.853544196617545,0.9050458604309493,0.7134303762513055,0.9111138661633155,0.7386328771437993,0.9073462149524264,0.846077140619306,0.848175039523479,0.9169407965075734,0.8095115737309999,0.9054731014909876,0.7767595962395842,0.9083528415943372,0.854160053670646,0.8471287648584805,0.9204338971997577,0.8024400885791311,0.8630444677830634,0.7810865394464097,0.9138072852737694,0.8501510995181089,0.8814401229952097,0.9071374126731766,0.7864991051183192,0.8641866184463263,0.7902338327808937,0.9047415682815825,0.8539736803665863,0.8792376793102494,0.901733005604674,0.8204511693566976,0.9150374728363083,0.7675187849699294,3.94,0.8554074785784225
5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.8483739093499393,0.8721905899275195,0.8347793398010479,0.8918344270912437,0.8931398828614749,0.7787570723903261,0.905582944228422,0.7157894272492926,0.9057072445868016,0.831598200428893,0.8932586598036277,0.9039499590403363,0.7791801290377719,0.8814933053030898,0.7168235804390906,0.9029818767221004,0.8301061962524824,0.8496631098544032,0.8849963974858401,0.6714889649593724,0.9038672280309072,0.7416439866971353,0.8993820424117025,0.8272245707105474,0.8567361769944518,0.8991218986586719,0.7948339176730265,0.8981942326874391,0.7754093637281715,0.8827981509545098,0.8349738373007736,0.8600743880207562,0.8839194005341169,0.7776838352123545,0.8509107922395712,0.7814219825826411,0.9069411746728947,0.8295533648727437,0.8945052304157902,0.8910810862287692,0.7674893638942998,0.8532807766047067,0.7859216175662485,0.896449918375962,0.8340669026195062,0.8729564632915754,0.8849858202478795,0.8046054707099113,0.9065405898098305,0.7634535153146274,3.96,0.8430344463174917
6,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.8343799762266476,0.8583088521313632,0.8242088517166178,0.8862939500185882,0.8624203262608733,0.7523884563214692,0.8956505164317707,0.6703588937353008,0.8920163486186108,0.8224278583623092,0.8861990490412729,0.8689370482718045,0.7597171725103463,0.8558262507828815,0.6735985778909473,0.8913465363283072,0.8196559478434997,0.8423239336460386,0.8493912631165894,0.6048778622935597,0.8938347348331317,0.6938821507975627,0.8836295591737023,0.8163423636927956,0.8314710122983847,0.8653313397580501,0.7753199562146156,0.8884504812917282,0.7223458509611135,0.8715188328758754,0.8238676769899764,0.8356747936693197,0.8323080891151953,0.752427430253342,0.841459287525081,0.7283513490438615,0.8939548364106911,0.8189649943157857,0.8877884801412651,0.839180067238285,0.7142998719304406,0.8463067489310617,0.731809920334508,0.8823647343275175,0.8235614403712852,0.8296957487515831,0.8536167139562754,0.7797759982520794,0.895386783139675,0.7139382979808099,3.98,0.818343744322476
7,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.8194456523127536,0.8305733285934446,0.8171918843348972,0.8790669799156672,0.8802033653418985,0.7333834867051422,0.8894755807519041,0.6548148497084084,0.8586657787907557,0.8134313878569874,0.8822996753787851,0.8877985320859011,0.7397463790859988,0.8519514918061516,0.6586913846975285,0.8633589482359996,0.8122397895770762,0.838964655964697,0.8678569398501409,0.5970728555203803,0.8891315977003299,0.6459504382917751,0.8526011640642748,0.8097273119304871,0.8259695391450457,0.8839291662008781,0.7566291855242658,0.883606742150485,0.7006858167758132,0.8397318420737966,0.8171452802392339,0.8139387039120901,0.8512765118989155,0.7337957384093402,0.8341275153468269,0.7089292518043768,0.861981809043276,0.8110890946211562,0.879914852921975,0.8565407088839544,0.6939870145202995,0.8401807289485775,0.7095999695241075,0.8540949842373284,0.8142353810036864,0.8099591899800974,0.8706770941363775,0.7544301542083142,0.8905017122357601,0.6930126526382471,4.02,0.807272281977712
8,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.8097025253641008,0.8499591272991618,0.8055854179742714,0.8769011389723305,0.8776853155237938,0.743477743001015,0.8924902519705719,0.6412483431469818,0.8780302171556413,0.8007462576826595,0.8799478774099878,0.8647122586147548,0.7481097905645677,0.8514967403177568,0.6449689376671,0.8850908424579839,0.8029532244898724,0.8354042161041766,0.8650645847618346,0.5903873362837908,0.8863645062406041,0.6340595775111999,0.8734095640214339,0.7971104552548801,0.8229186742039144,0.8803069275116283,0.7319195621756018,0.8880616301760218,0.6809669828820535,0.8596120027389988,0.8069583333018507,0.8110254961674198,0.8481849056784359,0.7391112279123545,0.8173549890697613,0.6899573771567478,0.8838321281803395,0.8014121115871963,0.8742845948551333,0.8556663576802253,0.7070615744560931,0.823110403682999,0.6918536580945476,0.8725493785299334,0.8013880256814939,0.7914163790255931,0.8686641952816798,0.7653189041376477,0.8944413889002035,0.6768956863253324,4.02,0.8043835829036736
9,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.7929398100101164,0.8275454496969883,0.8286919646132377,0.8800680536370861,0.8741346945441019,0.7048088759247044,0.886299299855067,0.6328796484377442,0.8805269528972661,0.827052309272688,0.8857891660233256,0.8625559831210905,0.7037305198963445,0.8449254745103568,0.6349811283005558,0.8853490463888538,0.8287809910693587,0.8392227227148444,0.8592194603600468,0.5676976699733745,0.8806784408386354,0.6250311155107077,0.8752627013618196,0.8214746080678675,0.8075557304557426,0.87710972324865,0.6914770426853384,0.8801301469655957,0.6678550112437636,0.8370538547968631,0.8305838524653173,0.8157142112716651,0.8471042641141225,0.699652065790134,0.8124388343710491,0.6751969652608609,0.8832814371047948,0.8292017994089447,0.8778053349507668,0.8511377740047972,0.671183730110979,0.8181093377911236,0.6792177773732605,0.8741255265325135,0.8269382780225769,0.7959946685339597,0.8663467212761493,0.7192164536932912,0.8868560531893265,0.665349044623739,4.02,0.7987256345262301
