,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0011434436879563,0.9734550944052446,0.9688529179386528,0.9877433031873135,0.9965258193484887,0.9997282066692681,0.9981173216371718,0.9840128315106356,0.9740458544583089,0.9691729383961758,0.989933798516021,0.994621863364898,1.0030177278792092,0.9979232519018296,0.9847261937703393,0.9725059932020544,0.9687440833092753,0.9852015630791623,0.9953603012498049,0.9974944146216281,0.9963750655231857,0.9850619853878965,0.9692079213290506,0.9622865492032722,0.9847897927090711,0.9987067216699247,0.9983092422891265,0.9992211820072151,0.9906453600764246,0.9787807512632867,0.9633562098101323,0.986452137024221,0.9954646529436731,1.0073637726486848,1.0010128302021764,0.9879364367003327,0.9781138796634348,0.9691119421210594,0.9876741080427608,0.9957976550635639,0.998811569736471,0.995373180735845,0.9859757834222669,0.9766838178505082,0.9714311521186698,0.9927348293467194,0.9977920798192583,1.0017342733686165,0.9967229825457616,0.9862686005239605,1.0,0.9876304677456003
1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.9626975903282878,0.9718874305192449,0.9276583371037543,0.9609312391810334,0.9682811518460162,0.9299903898710451,0.9578075600693862,0.8444696472959194,0.9663371650110201,0.9288453337038077,0.9619700526582058,0.9651161919322019,0.9390470905011082,0.9742458911700888,0.8874235983791323,0.967004195281957,0.9276480403081651,0.9641818198848817,0.9659394715237454,0.8907438019874043,0.9748739031253714,0.8900284516923368,0.9625313073523288,0.9239939843883718,0.9575238837770748,0.969197217804982,0.93093886436485,0.9738412751149869,0.896510319631955,0.9710090635183242,0.9251056759398816,0.9611284970905745,0.9659179099459646,0.9357971740103377,0.9780671276675271,0.8866100059657445,0.9694140292169521,0.9282953763290978,0.9614230750598242,0.96597160998264,0.9358148560105595,0.9761203146688653,0.8865845440540782,0.9708225949155883,0.9345678842070281,0.9681860698786641,0.9669651033915705,0.934634286683257,0.9734809907659665,0.8886695165519946,3.94,0.9445250182332621
2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.9335944196768422,0.9477888949542469,0.925788363545639,0.9415847028283929,0.9444305450761532,0.8577940749556736,0.9285249912407842,0.8085675123861462,0.9441099562859055,0.9264768123334586,0.9389547080021003,0.9243863682232529,0.8700942672302956,0.9427794167875561,0.8497185057751965,0.9425248952734931,0.9282582393372238,0.946194426584352,0.9431300718147004,0.8280532383029595,0.9427750099690938,0.8503460189968942,0.9375902323029622,0.9284787180209654,0.9406690234373729,0.9323641566235331,0.8623700395447036,0.9410432511115341,0.8566352351999906,0.9482732578547954,0.9265660479532832,0.9421571594429562,0.9416476714785155,0.8637281527823476,0.9483092499110166,0.8445027767066133,0.9465972611502654,0.9260906616297696,0.943906678239208,0.9388313978306912,0.8729215840675126,0.9299145647998875,0.8477196697928878,0.946604583430315,0.9335118051947585,0.9487934188421366,0.9402721996822381,0.8653204908843455,0.9433523162594722,0.8486101662228149,3.94,0.9142531441995451
3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.902117143926793,0.930262955888956,0.8695907084585064,0.916575031191296,0.9272408710090767,0.8172982826432744,0.8836392346402733,0.7745908319087255,0.9257587490325371,0.8682582268150297,0.9157276321719889,0.9078373248683583,0.7885428008423405,0.8997133161859205,0.8114233655242671,0.9213832364101344,0.8715100783909907,0.9068707504338922,0.9271852638953266,0.7980445935171945,0.899103071702032,0.8134034073162562,0.9177325772634282,0.8740232650497671,0.9177398270680667,0.9157988668341763,0.8242043428399356,0.9010739036592375,0.750528336466174,0.9271445015145562,0.8695947308189849,0.9175594449921153,0.9248401496172548,0.8302666532520333,0.9023979806840371,0.807529512283037,0.9233899417961634,0.8681298897833326,0.9237624416898373,0.9239953317803031,0.8390682488618926,0.8875721016957775,0.809145399190963,0.9064310994979408,0.8758137399963236,0.9246027258643513,0.9246664266198628,0.8306775981137089,0.90033031503641,0.8105230048895523,3.94,0.878092384678648
4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.8763887043379315,0.9170361921212241,0.8533823393848388,0.8611335828792906,0.9167768998427168,0.7914809585672494,0.8925544555701628,0.74715302490978,0.9149422778657509,0.8473135735849288,0.8753860793027116,0.8969310573444758,0.7607482685585374,0.9098408659892727,0.7797898835129747,0.9089927496243263,0.8531278920381073,0.8660780801264025,0.914606639638351,0.7710067589429516,0.9044818339509683,0.7802504357125792,0.9040296625050349,0.8554051118943939,0.8788307423868053,0.904550598132961,0.7979156006891354,0.9095405555732161,0.7245623491655917,0.8972146628495209,0.8523747031231228,0.8799789632726291,0.9148241711066476,0.7954575828131338,0.9074629883672395,0.7757318005984403,0.9089175241132064,0.8521280822610036,0.8822736387453559,0.9147444668290383,0.8055373142861415,0.8785811143323138,0.7774678216545926,0.8930293964740218,0.8567253309727186,0.8696749309115981,0.9119335024990485,0.7972647541179229,0.9075137116600647,0.7756748893874239,3.94,0.8573749704905569
5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.8529690963892959,0.909823700924474,0.8324891680313491,0.8724682036742867,0.8982005990350148,0.7693447393509818,0.8826319592840414,0.7497575268659936,0.9043651338617936,0.8235498534598997,0.8909678622764615,0.8635429008079861,0.7094518418468102,0.9009123589863786,0.7808775111642169,0.900569371849396,0.8335767812194168,0.8797039229925381,0.8991946651554403,0.7504996314582738,0.8953660966799962,0.7793048648565559,0.8928367972588844,0.83644952362184,0.8914700640306528,0.8880982280746493,0.7443462381598709,0.9029115759115919,0.7239971110971151,0.8888687998608072,0.8320207458271963,0.8914655004676988,0.8975144935433778,0.7722560736789397,0.8990106025017103,0.7754375020341835,0.9022501397775919,0.8300679972596402,0.8969404948663903,0.8997159868621051,0.7884780033126273,0.8690209634178807,0.7756008698184552,0.851514997901721,0.8367394253329548,0.8805811456502538,0.8958988819945369,0.7741515906316053,0.8983153085066999,0.7698683809416915,3.94,0.8457079046502659
6,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.8437192109236105,0.896123210329465,0.8236673608668099,0.8668234369071529,0.8665639753037772,0.7477546209378386,0.8732915475628559,0.7018109641104104,0.8904883791573379,0.8134117331319722,0.8864907365834451,0.8191325330854509,0.664626108009365,0.8918760209021784,0.7265408124634272,0.8890852745346486,0.8246482201245188,0.871524058108825,0.8683841012520168,0.7326530529595828,0.88461037479968,0.72915213718118,0.8782214761008947,0.8260162735779759,0.8851403480203976,0.8560691355185032,0.7280526668195082,0.8946336626666003,0.6794846393787914,0.8755808067373599,0.8201142370364446,0.885442927887571,0.8644408122086162,0.7512233909502886,0.8905273864021744,0.6843874514086236,0.887367355844806,0.8218353800781265,0.8908887045418812,0.8691967243688189,0.7301684091838185,0.8642830896800179,0.7225210261266461,0.8400737564561882,0.8269537833877865,0.8763655384809623,0.8630129848639864,0.7166201228111078,0.8703832098035058,0.7161722033024025,3.98,0.8225511074575869
7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.8350281450363961,0.8660937101376212,0.8137163847737298,0.8583887441996094,0.8824954892694586,0.7297008169063364,0.8689252558194089,0.6837007867688563,0.857981105501922,0.8061226401058522,0.8822791088829496,0.8350715500616407,0.6542178521361701,0.8851644359679528,0.7060931605263838,0.8578886985167953,0.816447898834753,0.8651829713793995,0.8859543228926375,0.7196234376343578,0.8792890574629789,0.7067082135663918,0.8484381487488342,0.8179450894272217,0.8774870377023842,0.8754585867391639,0.7110609223168675,0.8884180443652866,0.6369138103061711,0.8461916240513573,0.8132424680898891,0.8801698147538617,0.8837705745371618,0.733668017111338,0.8863315261006688,0.6686516118137174,0.8557665383402789,0.8162792410960755,0.8882341365265789,0.8882340004164176,0.7156366909124114,0.8560050834905513,0.702272824932584,0.7940845349042642,0.8162873804839407,0.873998587573006,0.8809651664906565,0.6999255189232274,0.863737289277839,0.6936863017826345,4.0,0.81217868715192
8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.8279927139613682,0.8886699560048205,0.8023212962646082,0.8542326496037317,0.8829798731636254,0.7068601471836641,0.867324861080645,0.6644006438988488,0.8797899676959677,0.7951163886105578,0.878539070916202,0.8347668388587595,0.6693957740708293,0.886615426038129,0.6805380402906094,0.8752340397394207,0.8057201605356032,0.8617360604018527,0.8850211253974863,0.7325087228586411,0.8759320446039753,0.6858713840873721,0.870352683659281,0.804726334442339,0.8739138330782402,0.8741151487207901,0.6889399219614133,0.889529165574229,0.6012464758354331,0.8681051794230207,0.8033624918209271,0.8778183050975349,0.8818366901608374,0.743897097163378,0.8855843340781115,0.6247780590866833,0.8560854939868411,0.8050651585003806,0.8863722382427294,0.8859153375155461,0.7273871763428412,0.8592829940571726,0.6849229081881972,0.8104672994830642,0.8048871096666215,0.8703586318330282,0.8800269413718407,0.7128439570443127,0.8646495946130811,0.6763177478259909,4.0,0.8090871098808118
9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.8116393643722662,0.8897549448020977,0.8281163727588904,0.8578289850113778,0.8778069711304417,0.670025427188868,0.8615001087390701,0.6530986927355623,0.8817178337440401,0.8194140409466465,0.8831615104766878,0.833535904621901,0.6374878475194642,0.8802579627710627,0.6677639134907607,0.8763610316269085,0.8327964878838886,0.8263471476054656,0.8793719577603306,0.6913671105715165,0.8703466160089948,0.6726751390499606,0.8713260613458477,0.8281965503764736,0.8761220628027734,0.8718379268088832,0.6254353956915405,0.8834173621161023,0.5949836998571281,0.8670206755968993,0.8244214926948435,0.8794254707650453,0.8815307312004116,0.6703787565883221,0.8805115173485552,0.6158023000844607,0.8548468640605936,0.8281319012540684,0.8902083624901305,0.8829109224922201,0.6896602330181375,0.8557474021662157,0.670453706326997,0.7903316646641972,0.8310553867005105,0.8491810057015085,0.8787000427478132,0.6727723777383824,0.8582063252180653,0.663002089228653,4.0,0.8017598731580197
