,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9839826787151321,0.9692694891193475,1.011848608883243,0.9777304898700326,0.9932265819104873,0.9952613922268752,0.9832114081434784,0.9449218598978649,0.9648536568164405,0.9981118668433648,0.9752302587427782,1.0017905794200217,1.0006590694517643,0.9884752673141299,0.9451152154333767,0.9651391511009875,1.0079542864211153,0.9731517429097615,0.9984877380659186,1.0028032985580289,0.9869400012027868,0.949774226631847,0.9678036974303934,1.0137370497400322,0.9765222537460343,1.0033198344629124,1.0017243996336005,0.979309834216121,0.9514942729876007,0.9630295839474482,1.0006687712209559,0.9768249993494139,0.9937233993511779,1.0019520881294601,0.9894183459697371,0.9512059571657584,0.9644955002260024,1.0095201735961692,0.9768095461720827,0.9977128168089716,1.0047667140119423,0.9786964243291603,0.9500161304090332,0.9635876707975322,0.9982944570064439,0.9735779415088825,0.9999777200764361,1.0016589533083853,0.9807825328162705,0.9465602971234316,1.0,0.9827026046644035
1,1,5,3,4,4,3,3,4,5,3,4,4,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,0.9497324433700471,0.9330675454628186,1.0240138590215508,0.9440448408204355,0.9382780144333067,0.933826591803384,0.9591168032176506,0.9210305180191456,0.925909687899943,1.0122305433763388,0.9480983206850128,0.9446915090564254,0.9442558576667106,0.9646658826534921,0.9214070040475424,0.9292595732898292,1.0163758593110492,0.9403948952580855,0.8608321027110237,0.9410423514583235,0.9598818392158619,0.9265228185049182,0.9292448041766381,1.0197842856622799,0.9406118828946943,0.8502549436966483,0.9428435577882051,0.9558837395107639,0.9275823445884018,0.9323312037700678,1.01305761441139,0.9384820060462918,0.8484383655388039,0.9435975824357439,0.9609152290572406,0.9297754350837233,0.9292834801876658,1.020637339688775,0.9491661537156856,0.8408654772428585,0.9474235208601719,0.9572428511738783,0.9268875990620811,0.9268636442559036,1.0118187538613537,0.9423503650115831,0.8761537381781502,0.9403148443548908,0.9546294134221524,0.9240023679243484,3.76,0.9423824280976657
2,1,5,3,4,4,3,3,4,5,3,4,4,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,0.9458263499158512,0.8735541258814444,1.0050661160727956,0.9068239817430711,0.9082851451220263,0.9259646103610826,0.9441832993304657,0.8956055331459458,0.8649748846735984,0.9866361494882001,0.9121602466526617,0.9147130164218195,0.9393889231712963,0.9486688710719196,0.8944008319759841,0.8709554455503775,0.9931600362895859,0.9050630964441488,0.7318110779126548,0.9322703342239513,0.9402290602697135,0.9005044011054372,0.8650639204155213,0.9920462502705197,0.9057103693080092,0.699336091941613,0.9393650027579115,0.9371819286001299,0.8999688616416454,0.8734677189464467,0.9882872135304042,0.9008930632546671,0.710734524134647,0.9357733890730567,0.942305659692697,0.8862739175004355,0.872431371304662,0.9965205171761596,0.9164025481434317,0.6909984466037229,0.94017222097677,0.9370566036801877,0.9009982992736377,0.8681632085807262,0.9923086664837784,0.9097850859252244,0.7569935878765006,0.9362613604214342,0.9401233834496099,0.879744858348503,3.76,0.9030922721227216
3,1,5,3,4,4,3,3,4,5,3,4,4,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,0.9521913361018222,0.839732590395551,1.0161010166521929,0.8784203804399778,0.8840624415198212,0.9003301659456668,0.9101891020704768,0.8429814399807308,0.8268114175003173,0.9940337693606179,0.8845753337300453,0.8863582379751967,0.9105364909380023,0.9113784739693898,0.8644634249816394,0.8363323710061483,1.0030467913962833,0.8738370880720719,0.6674513646989754,0.9055889864569722,0.9070331579134879,0.8713833945790931,0.8281789678059611,1.0010128493864814,0.8771268537321771,0.6686956703989194,0.9114179485141554,0.9021401267290353,0.8506447535390579,0.8397967533782708,0.9973102705918914,0.871035635473859,0.6441700445176964,0.9086998372593686,0.9056075799081683,0.8599010235320925,0.8375726800135302,1.0085879062190963,0.8899222623763944,0.6599160884855669,0.9130172495205893,0.9010858649977173,0.8699963190518849,0.8335560980128837,1.0000405115025637,0.8842441677944265,0.6955530509158192,0.9085561788842633,0.9045346561793028,0.851662966674967,3.76,0.8758164618216122
4,1,5,3,4,4,3,3,4,5,3,4,4,3,3,4,5,3,4,5,3,3,4,5,3,4,6,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,0.9620652153570075,0.8083174108242577,1.006016758629752,0.8376095348046038,0.8514014264515493,0.8837283183087434,0.9066581336853275,0.8059574906446335,0.7957835711198077,0.9829555597715032,0.8477922515141102,0.8535175821880425,0.8963044346165115,0.9039054964860184,0.8454399275567485,0.8059211223922562,0.9892813339344966,0.834355699155798,0.5749228649917788,0.890176518073745,0.8995232623874513,0.8534455599184327,0.795973196220758,0.9872538107634938,0.8375284039851077,0.6143870427742436,0.8959808938610571,0.8930131014256955,0.8337487890853249,0.8072641598999167,0.9857731612242082,0.8272897548502023,0.5521290340562568,0.8970694257193927,0.9007397628860146,0.8423958607380037,0.8079119680082616,0.9959303737117562,0.849329639903885,0.5514098117784308,0.8994090162694801,0.8920973085660742,0.8518855637447672,0.8051465544532274,0.9908474166860024,0.8472900077907025,0.6133168035170485,0.895603690968788,0.8988098409995949,0.8328128980562668,3.78,0.8487485352951307
5,2,5,3,4,4,3,3,4,5,3,4,4,3,3,4,5,3,4,5,3,3,4,5,3,4,6,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,1.06065684060926,0.7770269450314707,1.0055731049756556,0.8272784819528205,0.8278738709904689,0.8788007817940081,0.8827189762076857,0.788752169561307,0.7615676834030264,0.9847275282008234,0.8372871091573584,0.8292627318916626,0.8900025793422085,0.8826221102947188,0.8253460721954827,0.7728143893689862,0.9916344056099383,0.8225069756010467,0.5264827612528715,0.8838041895795623,0.8775851972047558,0.8314808833459335,0.7647865607968827,0.9876018478328635,0.8245946063520809,0.5637031584935898,0.8875999078725629,0.8705298630150085,0.8154526886860136,0.772670832878778,0.9876843274373314,0.8125259676707849,0.5047395076116173,0.8889900311440535,0.876748835899527,0.824599061033311,0.7769772565543156,0.9981310433510718,0.8415939028730702,0.5346613507985435,0.8929001263829052,0.8709084136944734,0.8301227569297489,0.7733101003452181,0.9908975834951657,0.8387242352428,0.5877493025990281,0.8882251585850798,0.8773562321164995,0.8130998030812342,3.8,0.8332538050068922
6,3,5,3,4,4,3,3,4,5,3,4,4,3,3,4,5,3,4,5,3,3,4,5,3,4,6,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,1.0176478439098593,0.7483159114402428,1.0054110569263734,0.8032313056025139,0.7929199693014461,0.8679949411458069,0.8700584495748447,0.764327021824327,0.7358811326017873,0.9838220555939663,0.8149531678177179,0.7892896910900076,0.8783068223513671,0.8703640913682711,0.79937571910703,0.7470640274888963,0.9884809787605129,0.7998582163822682,0.4990289947132537,0.8693777333248921,0.8636115846415842,0.8077532378155734,0.7380542407405187,0.9845840862693568,0.800208531388292,0.5127331063290776,0.8773797066885054,0.8595047258857678,0.7908593852696131,0.7457844649618594,0.9847824871529126,0.7883663777117249,0.4508843978743945,0.8774070855548917,0.863251890274667,0.7989982851307925,0.7489824291021594,0.9955253977241969,0.8153483431814472,0.5246206829538708,0.8835578895062629,0.8566071409948529,0.8041958091801911,0.7472745228822147,0.9872552519367719,0.8151302710993243,0.5585602851582613,0.8767434038153893,0.8643521522389843,0.7890557314434172,3.82,0.8131416407046452
7,3,5,3,4,4,3,3,4,5,3,4,4,3,3,4,5,3,4,5,3,3,4,5,3,4,6,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,0.9918469407984201,0.7149021534027138,1.0016983539336124,0.7876401443704508,0.7843503168171264,0.8589156387585204,0.8660455821392036,0.7425511144048842,0.7069266812449805,0.9801396294938653,0.8017643736931703,0.7764076383851907,0.8692468330084432,0.8701576706157746,0.7740451674848312,0.7135230301686177,0.9851838813323922,0.7857689476213614,0.458097793089251,0.8613108020088511,0.8599824349708579,0.7816160349975487,0.7042312769312865,0.9812150099543158,0.785437709869491,0.462745008831168,0.8704749897414296,0.8577822757770709,0.767464992668471,0.710577917209273,0.9821840808202241,0.7726858904045286,0.4147113170497527,0.8694429426269891,0.8595912901744741,0.7743667289723268,0.7162242370165297,0.9914726489795846,0.8029404807131607,0.49664972509438665,0.8774539584218779,0.8518019917391395,0.777821239867447,0.7173260851921707,0.9839971279182751,0.8031208510315928,0.5116201731518513,0.8690839817864575,0.8602014255937288,0.7643763243724611,3.82,0.7961824568929907
8,4,5,3,4,4,3,3,4,5,3,4,4,3,3,4,5,3,4,5,3,3,4,5,3,4,6,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,0.9651325467600463,0.6991722845571622,1.0063314401887888,0.7755061079158752,0.7632302868228484,0.8408004485642553,0.8489359408683774,0.7280722674802097,0.6908562052481333,0.9841066040249851,0.7874089233173364,0.7575030457021273,0.8532793505864162,0.8541269839858898,0.7586899923342451,0.6999285951896567,0.9894932667263239,0.7706940524151176,0.43115317981052875,0.8444082890321268,0.8457580935721285,0.7669767973602427,0.6908909935825277,0.985383726011703,0.7714030254786328,0.4332420532878002,0.8509329054022767,0.8437930635692948,0.753719701959531,0.6954931747465204,0.9862899858999638,0.7583309101061427,0.39089203517388377,0.8530288727784109,0.8442414250746344,0.7589068163465625,0.7015019445554799,0.9966493002589691,0.7889147250420467,0.456854881471182,0.8564221679023172,0.8370661980882428,0.7633951999311411,0.7028097606962946,0.9876168204480869,0.7913174611924332,0.48280802500444286,0.8504522811737601,0.8453981613321307,0.7487126470659022,3.84,0.7817606593208626
9,4,5,3,4,4,3,3,4,5,3,4,4,3,3,4,5,3,4,5,3,3,4,5,3,4,6,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,3,4,0.95726858034575,0.6758015581429052,0.9996946959666939,0.7609454732707497,0.750439502737353,0.8433609733328666,0.8460413700703843,0.7115286335873159,0.6687853302593266,0.9814509993674035,0.77298552751477,0.7444708035329767,0.8550910912947078,0.8531884801925523,0.7430049220395454,0.6774433173506472,0.984965045233884,0.7577934984473864,0.40815413146743534,0.8472420467401032,0.8440126969204682,0.750867411073095,0.6687718315055357,0.9780244720435092,0.756549702115318,0.3865548428884906,0.8560839837749591,0.8429212502122445,0.7377049640673454,0.6698269690149526,0.982839103304191,0.7428407684167835,0.3595912695794521,0.8533554805582029,0.8423701188366598,0.7440511619515776,0.6789181678107457,0.9889061671877555,0.7749258633773005,0.4257103554031293,0.8586253535574049,0.8367807086783219,0.7476420764699073,0.6827670306313591,0.9835626992554982,0.7780532737129743,0.4442997603772649,0.8530078062085512,0.8443890555096566,0.7333762531757925,3.84,0.7697397315702641
