,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.996169870292244,0.9729409263522223,0.9708248977887561,0.9871830994629688,0.994583152740353,0.99692447120725,0.9974877624707923,0.9837701176074485,0.9771586248818955,0.9700366912456605,0.983366335874575,0.9937609932931957,1.0007543916081516,0.995930649882639,0.9807712912122725,0.979068071250224,0.9789433322791085,0.9854479689525053,0.9966310530034131,0.9999542632262786,0.9959993773406818,0.9772688227245464,0.9775214800594226,0.9765609791265942,0.9891129581398408,0.9932306860964841,0.9979585524390461,0.9933029332848596,0.9819565217118569,0.9773728042831223,0.9722881942405918,0.9885710556279866,0.9988568122255904,0.9985908299044322,0.9954026614885079,0.9809979437764096,0.9750365193416687,0.9717889780226174,0.9893354155418429,0.9926640396242972,0.9992793485214757,0.9971814693145119,0.9788986908142534,0.9784882501635458,0.9803367930875445,0.9890257966674296,0.9954827490223519,1.0006283747554958,0.9924947709358025,0.9767627983991369,1.0,0.9870820914262777
1,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9509405184378504,0.8423646475722342,0.8663401796697819,0.8929265249141649,0.8816305924992581,0.8638463234554813,0.8438648144097857,0.8335834840121977,0.8512575957743322,0.8652783461160268,0.8866616067411328,0.8785139011678726,0.8632232276103653,0.836567216691017,0.8357932899134612,0.8499954295006426,0.8761042045227841,0.8922335988398511,0.8807777519818201,0.8674258790944055,0.8369251680748191,0.8308883019568963,0.8506831627384441,0.8734943516528865,0.8952039601336601,0.8832914348284097,0.8622129875185478,0.8373874421569765,0.839399443213526,0.847227483288248,0.8694846753470467,0.8931674578802247,0.880611413313185,0.8665205515924802,0.8411285928280263,0.8351930479347212,0.8480818439403126,0.868797481536644,0.8952559487839881,0.8805367408452253,0.8644021775537026,0.8499495970113994,0.8349620400590392,0.8523980757809863,0.8811124287095019,0.8919806622850519,0.883284732246557,0.8628081796667093,0.8352284315653226,0.8292699493689801,6.9,0.8636043379347197
2,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9108422088100001,0.7440189183558124,0.7441005498040295,0.7551637987092222,0.7535686996580635,0.7526605967717862,0.7549240323589963,0.751775697029163,0.7551126657087158,0.7443106723889993,0.7495015415363956,0.749561879268542,0.7471115344807409,0.749764364781437,0.7550531798173646,0.7537574286825548,0.7634010319652206,0.7548679261002957,0.7455469958665637,0.7538592421148951,0.7458929693831785,0.7508748486202478,0.7542421670617057,0.7571304333012315,0.7634526361542844,0.7508669483955336,0.7444728428100953,0.7473938964745916,0.7549889463873992,0.7501818430938446,0.7503434083400016,0.7581895223011741,0.7510052430089019,0.7574924709760581,0.7509643578765197,0.7542879136001229,0.7521567976300603,0.753146419515064,0.762577888460731,0.747977296354918,0.751930764380266,0.7644965467779048,0.7537303290098627,0.757028813429989,0.7687241346645112,0.7546329856580675,0.7527240481725576,0.7478255821299737,0.7468002822547839,0.74966091915982,6.94,0.7558819243918441
3,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.8680671083294713,0.6345222945594428,0.6467886332070074,0.678287580349353,0.681067565464265,0.6685008977545833,0.654395720444155,0.637249241999054,0.6443435077458383,0.6472243434335779,0.6717530694584436,0.6757992573664622,0.6628358170294703,0.6474978906928095,0.642192061148767,0.6443550021709791,0.6674008945480588,0.6762624244206622,0.6715647235023673,0.6703638000341469,0.6464545043535836,0.6369513571249474,0.6441987386979982,0.6618945386395667,0.6867093010741511,0.6797435527224743,0.6614166474365963,0.6481134892003364,0.6404367629636009,0.6394518355402992,0.6546883331591978,0.6813291645550315,0.677589416032345,0.6775041043324865,0.6470133878969193,0.6369856930802122,0.6423589656775335,0.6546516125704266,0.6837992581074893,0.6778406086195298,0.666812502833163,0.6637447921533033,0.641136792735841,0.6412744548453441,0.6752243873866944,0.6778104653112491,0.6808996908206043,0.6664547538278577,0.6515899350555837,0.6327832555779879,6.98,0.6633466827198253
4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.8310191533451812,0.5723974830857563,0.576361732804087,0.5871808338693556,0.5762681817208363,0.5675406952343415,0.5702495784398982,0.570497982342073,0.5836618591311462,0.5733915071430197,0.5809752081215265,0.5718118956950968,0.5624190647679409,0.5609937764647708,0.5741598565455731,0.5835570827717133,0.5970092808031592,0.5897741400545183,0.5661074855037993,0.5681509193690438,0.56181478094202,0.5717100209531631,0.580347267092486,0.5913558530706952,0.6035931208797899,0.578855872669823,0.5614891473387313,0.5627297117228484,0.5763562518006563,0.578072962466613,0.5817271190263382,0.5939426818557586,0.5740766899771385,0.581663914503438,0.566118786409621,0.5713505673619342,0.5811008012736014,0.5848850369926397,0.6004603168974602,0.5749917491139471,0.5693209497177124,0.5817312924357068,0.5762441675318523,0.5790573444178774,0.6043436974122055,0.5943283800023262,0.5774767481193406,0.5671796547499081,0.5648366467581162,0.5660407402554845,7.0,0.5824145998192415
5,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.8071566453813891,0.48236372654443327,0.49165438422200614,0.5135591670101578,0.5168186502637243,0.5172208727229056,0.5089205150085281,0.4974322622857564,0.4968239130499601,0.4849756176667371,0.5086103891630315,0.5140620667091247,0.5089317129080436,0.5010094255924996,0.5002775515673039,0.4948019352202614,0.5096333989236784,0.5140737796722576,0.5054282537487534,0.5138397845514567,0.5028627865533604,0.4975125881070251,0.4935688880232235,0.5064841430424106,0.5248768255351338,0.5203622992786422,0.5073263020639519,0.5015585206845408,0.5053450807200822,0.4889008197289882,0.4962087714377358,0.516967804346874,0.5154934586504774,0.5283994723284748,0.5070515789059685,0.5008082336842251,0.4915659940017402,0.5001952448643511,0.5235560945401986,0.5156452327865333,0.5169126810215069,0.5226095032879197,0.5025763392125755,0.4892137685857814,0.52236753474813,0.5165976064439906,0.5180163986519258,0.5140176794018416,0.5019786792956131,0.4927535624475296,7.02,0.5125865588918551
6,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.7713614619772339,0.43190568079134295,0.4456637627536302,0.46037548253145494,0.4522206957335784,0.4391468400577985,0.43571251717524795,0.43277224674743625,0.4468958168648634,0.43858888939349994,0.4561170841118173,0.44840917398863994,0.42972467197907477,0.42524658643620833,0.4351954551699656,0.44652210096774103,0.464185870093736,0.4608657743685363,0.43996953597551225,0.4357528380509822,0.425736045823146,0.43431768192032144,0.44221964256973423,0.46033274742477215,0.4700804709185447,0.45262991343636594,0.4316642169607016,0.42715468983386834,0.43921880821773945,0.4398876782844756,0.4480589797700648,0.46273145987195435,0.452202819623582,0.4484675277534636,0.43128236637867545,0.43588877846206264,0.44110291352353354,0.45348806418120036,0.4710350761907233,0.4488814953052519,0.4379889413168778,0.446536531751174,0.4386277739791387,0.4405189544217087,0.47772390944393767,0.46163629132164324,0.4523249949057173,0.43568396083316246,0.42671901111150884,0.42635257169856483,7.1,0.4511425360480383
7,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.733599106486924,0.3757559236154604,0.3759436300984864,0.3931551616634339,0.3921765249172035,0.3949903679288829,0.39174954757575814,0.38898193748718035,0.38969970799756354,0.3728486767334077,0.38714243722847425,0.3909773027420777,0.385845856476753,0.38633111450838853,0.3895460402647749,0.3880405479156791,0.39611724385717256,0.394073224594218,0.3833339919852293,0.3907310270243544,0.3871028879216252,0.39154710249337515,0.3852989319998496,0.39116549617429625,0.40002995812584424,0.3966457845869052,0.38816119221268075,0.3863234064963319,0.3942293208379544,0.3841531739560238,0.38154819211899793,0.394120244140957,0.3933378622169612,0.4041865389782439,0.3922529427767483,0.39155541211177625,0.3841110706824923,0.387008046501615,0.40435579111432324,0.38976774376522566,0.3917165276140874,0.4082250795977552,0.39380109102307087,0.38573319245526433,0.40826028115154067,0.3920477220934306,0.39461290140122846,0.39106915624198607,0.3859655492281945,0.3824526808181588,7.18,0.39723649303876746
8,17,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.690849668254894,0.32683120093253853,0.33674210855097403,0.35956133163177983,0.35102619546562885,0.34674884496239095,0.33064436579242656,0.3321078182311937,0.3410115263286705,0.33484512737097055,0.3522546730670033,0.3492434840262919,0.3335330964814448,0.3282387758010713,0.33148383621410976,0.3381680942748282,0.3568298935413802,0.3578042722426178,0.3436220266026711,0.3424967450038821,0.32649549745101464,0.33569108787051427,0.33546312563977476,0.3531882420124509,0.3642329708473444,0.3591970279486243,0.3396809132835558,0.3266094834071132,0.3371706760911715,0.33352624002505454,0.3464976026662662,0.357452744799285,0.35358583329948506,0.35474043881525547,0.3345389012387309,0.3349651275650622,0.3342869818645667,0.35017631936764565,0.36836792591616196,0.35161328528126234,0.3428316551791521,0.3499055155312832,0.33670303040331434,0.33547515831617825,0.36912856222685825,0.3570099799847909,0.3553458841526491,0.3424627073697334,0.3264432364079808,0.32662922886671175,7.2,0.3504691693721152
9,17,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.6697594496098331,0.293618754008774,0.29306536189011817,0.3083757993586659,0.29961409000538775,0.2998141135047989,0.2979317758446078,0.3006201443512976,0.3058057698633759,0.29356268435861077,0.29644833776350826,0.29637961577679595,0.29336404082602574,0.2948528954208948,0.3023618488296753,0.30520402566762733,0.3152695680830884,0.3031170326995723,0.2917261934696685,0.29832397723570786,0.29373289172422584,0.3046563995990671,0.30181552689634533,0.3126312929379079,0.31195591913065795,0.309060626226104,0.29415543321204973,0.2940314307437201,0.30658377819043564,0.2990995798221495,0.3044416025690307,0.3048020011476517,0.30248648909992004,0.3098027218935868,0.30189093114520815,0.3026251851344269,0.30240440967169563,0.30943204708014266,0.31529443212145075,0.2981820137646434,0.29981255496591164,0.31497873125049464,0.3068575506915196,0.3014032407683074,0.3258088670547871,0.3018931821136582,0.3033096161488711,0.2992776968423818,0.29432826158633796,0.29601913282429415,7.2,0.3096397804985004
