,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9965256731870953,0.9744971955961571,0.9768412659158016,0.9830453293416366,0.9953344839616164,0.9944452838507193,0.9920755688434545,0.9826045435272229,0.9799471975408176,0.9760709666410985,0.9850617082479439,0.9943946215993593,0.9986938546016544,0.998069050408649,0.9814600567648528,0.9728054677396062,0.9806779202772843,0.9834091925538542,0.9952612912628099,1.0032715991946581,0.9990184879671258,0.9758558705670773,0.9760790224949686,0.9739239058458602,0.9917836163747087,1.0009718586942293,1.001532769988726,0.9953540706512372,0.9788488400611355,0.9775776258950248,0.9727034875697721,0.9870427645439454,0.9948582942692942,1.0011496040636716,0.9946495562449017,0.9754488894675294,0.9788497237645398,0.9737400322929695,0.9851070169599074,0.9944615660167143,0.9997750805210623,0.9963668156581766,0.9765763436207767,0.9833496772412325,0.9680100020244863,0.9826494952286953,0.9960235275463148,1.0004611163966652,0.992999760965176,0.9867459589889859,1.0,0.987128141059624
1,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9359258546039217,0.8430613759021767,0.8761820991954384,0.8842078431978678,0.882314784899445,0.8617543584138682,0.8385520162026862,0.833603921133531,0.849207009199096,0.8738115006675967,0.8895077891895024,0.8792006519373418,0.8615757670357186,0.8403915217237361,0.8326604029026372,0.8411182984932204,0.8825358853547671,0.8878729844773275,0.8812795568107249,0.8694515552791411,0.8495385098393503,0.8308152133395249,0.8411122010570923,0.8724416335411982,0.8932558017947286,0.8845541039486914,0.8641556555820585,0.845207849499024,0.8357701577558132,0.8484098973177872,0.8734905596394449,0.8937915322694681,0.8808774570620137,0.8713605387313083,0.8416293286119219,0.8309175930394815,0.8499362721877803,0.8746094429377362,0.8895427037278989,0.8792953246041625,0.8630327882714821,0.8502643702799821,0.8360013995061965,0.8549436790554593,0.8685072103466871,0.88590565621421,0.8838902732926753,0.869065379266099,0.8382335627921556,0.8403425004217336,6.92,0.8637022754510584
2,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.8929216849559766,0.7457343849809766,0.7571035627640438,0.7484743774232161,0.7552859769230335,0.7505193764153302,0.7494672086654186,0.7536357846223474,0.7559331004212022,0.7532071264002751,0.7514065796321059,0.7438329945071978,0.7465174493487395,0.75267056797997,0.7505065142699736,0.7429633061278725,0.7666000313454053,0.7515852524486958,0.7503145217025228,0.7557651952524703,0.7615362619994271,0.7452978057909765,0.7454546998312023,0.7468612298142822,0.7539666591734716,0.7517503023324679,0.7504708738940885,0.7577240334881731,0.7559544402631259,0.753317903989059,0.7553914091227435,0.7584763027556828,0.7523884949890691,0.7565943302583819,0.7506039058441192,0.7499053710589832,0.7518340011967923,0.7599328009484364,0.7550574797574099,0.7442483292015168,0.7473879282508062,0.7661882672375658,0.7548960061730298,0.7605694766249061,0.7500519250101979,0.7458863928904125,0.7526268749498815,0.7566237503847435,0.7489800047128451,0.7577914669195909,6.94,0.7554442745010035
3,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.8555619741512653,0.6315830420030263,0.6636970120115392,0.6701591073587769,0.6846945546262225,0.6652249963832592,0.6528435723302087,0.6357405311308265,0.6445446126337682,0.6630581535337967,0.673073661714049,0.6705969886225286,0.6625061733083536,0.6531589943538317,0.632605044636671,0.6282148994975334,0.6739689259399207,0.6743695112137462,0.6805211159279653,0.6748792485697818,0.6627969439561382,0.6339077430322817,0.6287981746196623,0.6528263614541197,0.6751008861973138,0.6787625278109829,0.6641942764775172,0.6563986565598261,0.6413335064257227,0.6393346536648911,0.6637654463042992,0.6806226955850588,0.679777517485167,0.6751091774797594,0.6480433065328066,0.6335887809105993,0.6366839227269027,0.6676794845989128,0.6804338407953392,0.6699714077887675,0.6638637154890873,0.675438907969273,0.6424205327062051,0.6467393754344268,0.6560716573788373,0.6693258345873166,0.6821339072136745,0.6766202507014553,0.6520859396900085,0.6406078731442706,6.96,0.6633087884933537
4,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.819247841395901,0.5711708326268499,0.5939588336577741,0.5824692695617425,0.5802758461883379,0.567159441216471,0.5675186273981708,0.567853888733442,0.5845607032267104,0.5912785826102698,0.5855053851092712,0.5675840001083163,0.559192586214733,0.5701921157554133,0.5669932232463565,0.5654933601105531,0.6030161821314589,0.5895859303016671,0.5760348638769951,0.5722001862882298,0.576596036740194,0.566804239708326,0.5682557219017097,0.5797238122412814,0.585223415255888,0.57632214214844,0.5623771475969281,0.5746402166971527,0.5753830647407843,0.5794038526093769,0.5906334683197358,0.5922652488015447,0.5789838702471951,0.5762654350060673,0.5648003487929755,0.5645701003050972,0.5709321832008113,0.5973702474425773,0.5905026842509186,0.5657420221208791,0.5639839593281524,0.5884429294808904,0.5770584711014289,0.5845357746764263,0.5865193897702041,0.5823916084718403,0.5799993164178946,0.576996190775885,0.5666512660366432,0.5743068760287062,6.98,0.5819794547994922
5,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.796856774247217,0.48047202498174874,0.5098688101880803,0.5058254270094414,0.5208979672069259,0.5154269838545349,0.5076264766271109,0.49133529368962936,0.49573391336503453,0.5051318504081704,0.5091653748536544,0.508430008035678,0.5056795198849703,0.5102390709915501,0.49097808668648885,0.4766237270523614,0.5209892944462471,0.5122475679208189,0.5182217321345405,0.517130362652923,0.514204245764028,0.49087336317092334,0.4768403595490283,0.49339588324633243,0.5080629771643725,0.517551187869727,0.509998913242304,0.5151901546820439,0.5025837381268835,0.49114197260089587,0.5070314801893189,0.5162734427791285,0.5179807625372225,0.5243835629399152,0.5037116033973286,0.4913649718325837,0.4796720650527555,0.5167197909884619,0.5152964774997929,0.5047931036251367,0.5097998858872371,0.5276920452825927,0.500424532322684,0.49360138218797706,0.5009231253176882,0.5090762708705373,0.5216155555922545,0.5237647077895582,0.506331774184287,0.49761002274874194,7.02,0.511735792493577
6,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.7740185688921773,0.4291888370769975,0.46313134767967806,0.4515613684462706,0.4591486826979289,0.43723382832421964,0.43300418497570076,0.42620225980606485,0.4462161937604263,0.46008780155351736,0.45488063954209595,0.44155448358466437,0.42599087501934313,0.4328870973215352,0.4257846587903762,0.42658539000406004,0.47554644301147314,0.4582821793056373,0.4539086101048165,0.43616445637440104,0.43793235884752624,0.42568085443351755,0.4255591043144701,0.44640145924968144,0.45430802600987674,0.4512647216450933,0.43242536553326016,0.43823123445714873,0.4405937027924299,0.43893660511543825,0.4607561047010915,0.4627199743579612,0.4547771785544411,0.44494114828508297,0.4277740896235307,0.4248247388011574,0.4301889440348581,0.4708718417083587,0.4632751400952668,0.4382519871014576,0.43115945568916325,0.4551920070677395,0.4353812984836205,0.4430549515101318,0.4540325594173925,0.4545062471955651,0.45805090006034666,0.44663752354023756,0.42968830260077423,0.434784559098378,7.04,0.45047160581192747
7,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.7363318880011763,0.372766353639806,0.3964619871661681,0.38476152402276836,0.3984131939465849,0.39313670289212677,0.39240381230512245,0.380778581615005,0.3906337636772049,0.39159403272144866,0.3877802894337949,0.38345110672343935,0.38250190665492756,0.3929806081717817,0.37909250795663774,0.3671803347399838,0.40982421917524,0.38969013185172435,0.3943616508403194,0.3926327440377107,0.39760701199011894,0.3833799281120444,0.3657473421953166,0.3819636017914269,0.3869725452846805,0.3919349634627412,0.38694283856424433,0.3979975277371877,0.3945660984999085,0.3832670350457809,0.3927745300856088,0.39508852593539995,0.3964791195240127,0.40154333405545045,0.38785864624908595,0.3808128052969489,0.3730227362329909,0.4031183362240911,0.3964587248648251,0.38286718770291356,0.3881816761550987,0.4156827599234229,0.3914115370738631,0.3878951889222284,0.3869574737962594,0.3889556204986983,0.3986445296550065,0.4022029879307979,0.3902149867802374,0.38912307201626095,7.16,0.3967290002235924
8,17,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.6834422816721502,0.322533918041582,0.3590167976745254,0.348367528223263,0.3584965586974307,0.34442251381634004,0.33392162461822994,0.32172227720427443,0.33998210478851765,0.35370956699350525,0.3528852355056738,0.34349903295940576,0.3335143463444998,0.3326202928068688,0.31973725398236275,0.3154072710881552,0.37391749780377503,0.35353618695866834,0.35378806957157594,0.34272804095004594,0.3376780769838007,0.3223564738407759,0.31518697299904136,0.3440335784581369,0.35136471618912346,0.34984765379911587,0.3364363590979546,0.3400399591295064,0.335934824214228,0.3327238415994707,0.3561537187391342,0.3605847424826127,0.3577996027537361,0.3537824255857649,0.3280821861454983,0.3218117177405194,0.3221680663403683,0.36621853305115404,0.36108769791433715,0.3431974002818115,0.34264542785530766,0.35578674436502594,0.33335490163652526,0.33554807107854207,0.3502962202880979,0.35350804485681747,0.35618788814959074,0.35006788043592424,0.332166516865022,0.3285648682831736,7.2,0.3492372702172193
9,17,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.6650853410340576,0.2877437991824364,0.3147436135962086,0.29465844921932594,0.30646039576197887,0.2984070034656132,0.29936367072350606,0.28964129734068766,0.304993299916437,0.3103735460042048,0.29868321342253273,0.2900264474148205,0.29104445404983653,0.29749896718931296,0.2903342103873663,0.28150951123359086,0.3336209783493867,0.3007100144401329,0.30289451995004585,0.2998761709530879,0.30328592138055716,0.2911852610200846,0.28082289774954744,0.3025860904628297,0.2970735055112126,0.2968341028873657,0.29454808882715633,0.30619406095171975,0.3066199601107704,0.29925294686598547,0.3147269502106247,0.3083766410963234,0.30645090738180875,0.3069780985777455,0.2955752617193216,0.29109180610884083,0.28682741292260433,0.3243720606581904,0.3072182173066678,0.29109191440465626,0.29781920609893175,0.3204429231891636,0.30253119158656255,0.29925541598941197,0.30849882506908416,0.29955724854129023,0.3036793776923866,0.3065206386571146,0.29909315177512114,0.29663350527510396,7.2,0.3080562498732551
10,17,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.624612414770013,0.24346454771734755,0.27793251287685045,0.265443662895856,0.2788264978213132,0.2696079166623231,0.2626785416615959,0.24660484651901124,0.25972133644441964,0.27603948158671004,0.2679686444558433,0.2632709107930691,0.26140235697874414,0.2594612316991985,0.24429790775010402,0.2347033694782568,0.29628640974605325,0.2708408812626625,0.277021914243887,0.27108044628713296,0.26867035505963816,0.24832401737390705,0.23741692934871464,0.2664596129617562,0.26705091290491245,0.2710550372024427,0.2655143324544059,0.26845523459927356,0.26113215954325913,0.2536528048728314,0.2759785404165009,0.2739605424934572,0.27833874515102097,0.276009264767237,0.25653713943949563,0.24743034178150872,0.2426191056902701,0.28573332745514374,0.2772433708116026,0.26357001759366205,0.2669079285556968,0.28431307788881943,0.2530879377994718,0.2550948063784186,0.2696816755856887,0.2706646755226443,0.2762427166676714,0.2793544399954096,0.2634118882327357,0.25336664733493,7.2,0.2721708683506584
11,18,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.5838298347250672,0.22003220844921065,0.2515141468181299,0.23328667426596886,0.23720655840604063,0.2282921065518767,0.2267528117856736,0.22211010641578943,0.23667250754556035,0.2526512715461565,0.2350874410585725,0.22369794436530607,0.2203029362078298,0.22811943654422112,0.2170655223900193,0.21395617153519378,0.2707745368667315,0.23797143729099152,0.2363126350728523,0.2307177371548732,0.23551231805284448,0.22530961902340207,0.2141138517074336,0.24389646183101255,0.23452339156157728,0.23016528879099518,0.22636596315951985,0.2359375083253254,0.23582140127034854,0.23092588898486377,0.250616297794479,0.23950295967724808,0.23656362287456278,0.2380758177598099,0.22492822011580305,0.22069258109080708,0.21990323059288097,0.2592575067819379,0.24210510924741718,0.22431604485468448,0.22744487698276628,0.24867883402066387,0.22796133409159697,0.2309644891232358,0.2457489379004336,0.2397748037053998,0.23420845644067376,0.240671593394873,0.2305495022983932,0.22937859470931585,7.22,0.24060537062320736
12,18,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.584383325302751,0.18224874359936888,0.21825386571332941,0.20500599086927682,0.21530990140916356,0.20889205543733733,0.20574932503195056,0.19302762925800276,0.20225624754802998,0.2160317779269821,0.20493493551786912,0.2012340096235554,0.20025559013303343,0.20659386751553127,0.18909254197755024,0.18072285192305537,0.23583311429776035,0.2066279151882188,0.21278567289373063,0.21015052743482346,0.21264158485042126,0.1966727774468287,0.1803499994197528,0.20936523486207356,0.20389216283509998,0.2080502788717643,0.20617658625896695,0.2127116263268555,0.20702980819783437,0.19795980653830234,0.21725269791270851,0.2102999911584722,0.21448461055683357,0.2169012057121169,0.20420414684002475,0.1930608020812448,0.1853531033879384,0.22657429348651584,0.21134323927922377,0.2022354566724343,0.20748942094558556,0.225932856420634,0.20047955028603498,0.1957132171250986,0.21211108812277932,0.2062470431462369,0.21118254534649544,0.22084736330562174,0.20798955020013116,0.20023569659801638,7.22,0.21368355265586725
