,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9632323600228819,0.9220234648712115,1.0414795217421435,0.9296147191398002,0.9977340084897247,0.9986595151421978,0.9456781129092713,0.8442720124575296,0.9332327102914064,1.0638787145379716,0.9251165611730778,0.9932054304077533,1.0049710155711191,0.9516462711074376,0.8472921981655956,0.9120402940992007,1.058383692125189,0.9288342046186749,0.9979197113832686,1.0092504311323638,0.9371016206149317,0.8462456052407258,0.9168110596120086,1.074918057664929,0.9266604952413576,0.9964714383335133,1.0087112676613672,0.9438700128612422,0.8434684935721949,0.9281327940640164,1.0756153827321577,0.9298057861657207,0.9970842854596214,1.0000937576188493,0.943977204315434,0.8348088976030211,0.9305690742007702,1.0850287408905541,0.9203513767100021,0.9975517573322288,0.9983132121367505,0.9447510332004865,0.8475065113134816,0.9338231100216754,1.0649915269315777,0.9327908470113526,0.9996077970053745,0.9993132162338609,0.9496204087415193,0.8477606449843446,1.0,0.9584844072972579
1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9647693813035804,0.5920455787576642,0.6205020903764968,0.6511258098304871,0.6677894449539787,0.6561404707389429,0.5970336118664167,0.583361850019701,0.5986677326247553,0.650745063409022,0.6660855269653847,0.6645755541995139,0.6566161724696657,0.6069932187264622,0.5908305944667513,0.58005970540262,0.6453630105144191,0.6450106635115972,0.6760823650872064,0.6554918437284909,0.6105506525210206,0.5899696007402265,0.5834240028794095,0.6604562482111302,0.6495565094490046,0.6903351210663252,0.6512945640692336,0.6061492474594565,0.5879090617361492,0.6064330133185486,0.6612506989749033,0.653219865371402,0.6771494384188297,0.6558714365590435,0.6106706291813861,0.5691951681672056,0.6176849581703341,0.6799978171416562,0.6461131683277133,0.6727481409534617,0.6521062136267634,0.6106717483614452,0.5760975108428387,0.6047764430691225,0.6650957881458283,0.6579453452432852,0.6794065096872949,0.664295673438637,0.5984927850394672,0.5891980455383351,6.88,0.6389471018932521
2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9630478097042303,0.45663453219903266,0.39921881243994356,0.4376020770897648,0.48026410095010524,0.4612960218340102,0.4509010987700327,0.471271970240776,0.4486828772133775,0.4169127600396364,0.45055369773001736,0.46739612457635576,0.44877368268946666,0.4544577357553602,0.47994166902733815,0.4456212043975568,0.4248566095108827,0.42753847233332615,0.4918750756096922,0.45123299341367246,0.4553990042534117,0.4785039392099514,0.4422158596257008,0.43697842042702706,0.42076350593880624,0.5154546864250182,0.4542689766520791,0.4571838778790746,0.4761749533417232,0.46236952716971397,0.4362977901061157,0.44003367382222175,0.49219634574675064,0.4516107107228513,0.46536587699412724,0.455471394868976,0.4763254391587542,0.4575267768027264,0.4230828193013935,0.48481772434304654,0.4447056289927436,0.45373361826097686,0.46043245311173236,0.4714932569828385,0.44285063817206927,0.42872080179942745,0.4915832487385943,0.4527916957319973,0.44024585198217514,0.47648999275644666,6.9,0.46546335629686086
3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9318294408327497,0.33697554022959186,0.29363563152261196,0.35631356246302837,0.40416310793646404,0.3758633788365692,0.36071140876987534,0.3574530699759774,0.3286806460825021,0.3166959406559568,0.36952805826901397,0.39562192032390836,0.36560418047087445,0.3587600991919974,0.3703848372429559,0.32301201592561224,0.32419235693569454,0.34348029352271736,0.41416077342765617,0.36749060717098475,0.37586823189572927,0.36911821573949977,0.32065685238504715,0.33410867030323516,0.33843696495046743,0.4406752733287515,0.37204093563288415,0.36215326328391695,0.36855105090827167,0.34567389854588726,0.34276834552327423,0.35392639025736417,0.4159429714263107,0.3660600369374946,0.3611135423280224,0.34039366936243903,0.3585074924122523,0.3593857662804384,0.34331198398960394,0.4086338559826636,0.36495736405747403,0.36704696817529975,0.350823911675682,0.35135373022829786,0.3385968343228115,0.34495534112011705,0.4145366039399796,0.3675671875218438,0.35018306037288927,0.3676954906873882,6.92,0.3717920154672415
4,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9034840595698027,0.2913032214511584,0.24777452859553842,0.2965845305894934,0.318182443594551,0.2877480601562329,0.27514873140186275,0.3036824234382902,0.2804046351703025,0.27181465688112794,0.3173372093096932,0.31063882386012376,0.2784034994944359,0.2803180224889802,0.31918741068500583,0.278509326012629,0.2760928714106542,0.29282939138836295,0.3262415613896387,0.27935609236354697,0.2919330652376428,0.31495396000549974,0.27322914199759485,0.2868044296342671,0.2843002261059156,0.3549206865452269,0.28494046541980256,0.27879955526630906,0.31540647619098616,0.2989986978953325,0.2913433125687941,0.30439801182860876,0.3279586690188937,0.2783781885460827,0.2881855016641365,0.28727477058449175,0.31403649018301055,0.30696254307748505,0.2886545335751688,0.31983569081684005,0.27421071984307244,0.28052360953445266,0.2971283155832374,0.30126234124837,0.28830951591715925,0.28810595202144645,0.3272658357333064,0.27604127304899584,0.2634188996247833,0.3140145386526052,6.92,0.30673273833241893
5,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.846626585014458,0.24151304223453338,0.19376166764098435,0.23795523637319727,0.28095230949958516,0.2554640368398352,0.24667439772256303,0.26575940371670187,0.22173313221310917,0.2187735896190844,0.25261849108029144,0.27317007468372984,0.2459240037503381,0.24620854478399368,0.2805742812065629,0.22381172204714378,0.21871211252047867,0.22706654525936057,0.2884494379395587,0.24671295140894545,0.2584627533088299,0.2801915797843102,0.21616010637425412,0.22934850102854437,0.22367044666299993,0.31680888363143567,0.2510156235693753,0.24728122889601253,0.2852724744834049,0.24279111300631065,0.2320860656207136,0.23786409286121601,0.2895181807431186,0.24794910981604812,0.2556851026027851,0.26507089208335555,0.25559234954346927,0.24915603887697949,0.2289230092221914,0.28050513880172856,0.24092361759376207,0.2514234834942849,0.2566453740528001,0.24343345228084187,0.22944228881505566,0.23311288073577932,0.2860319869053284,0.2429901766203267,0.2291710472480645,0.2811213233170473,6.94,0.2620021977506965
6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.7631865600567198,0.21654454756714822,0.17425356389750443,0.21637364112053284,0.2536114369280128,0.2123410277939928,0.1997406641124488,0.22420630636596006,0.1989831939937135,0.19743736966245612,0.22973831553309138,0.2443852622149494,0.19961272613101866,0.20270793146413457,0.2415168548301821,0.20095364315097675,0.19617709248434137,0.2040819077029938,0.2617013189225383,0.20356772204801843,0.2150910144912354,0.23826294097507156,0.1960663388936535,0.20626395618646934,0.2030406873095827,0.2916642686138165,0.20799084861142866,0.20241008851940787,0.24260773001230473,0.2190921574806094,0.21084035771121268,0.214258567768713,0.27164494425034547,0.20356669480932696,0.20898803704543553,0.21455605755014687,0.23135967718499925,0.22693912192661156,0.20602588734337576,0.2571476596417027,0.19793821907274253,0.2045222566559783,0.222356195341072,0.21775669771750542,0.20885735692537324,0.21296012594456745,0.25940889975414266,0.19774426086393357,0.18268750008251283,0.23720915607948923,6.96,0.22900757581487008
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.6103812118353692,0.1972307646716563,0.1449364112623104,0.17788569422548495,0.216790891828536,0.1926294693918983,0.18571738302737167,0.2070348602281852,0.182429352970926,0.1690303765370731,0.19360614454951156,0.20961853581570392,0.18009262689359595,0.1853019771198448,0.22334464854888603,0.18109378506770119,0.16492080133487855,0.1663311585476303,0.2273196331159193,0.18670666845400546,0.19811774407685645,0.22180797512177794,0.17476981453824975,0.17521880171393264,0.16640010042293296,0.2548406251927271,0.19095341290310813,0.18659080956136337,0.2253559330936361,0.19809629232927392,0.17986390269524208,0.17660227412651544,0.22645910481383988,0.18539641078103264,0.1930611442569991,0.19880819155666365,0.21755965846514153,0.1953439581842284,0.16941860519684576,0.22026571039846446,0.18015585897046293,0.18825901448667887,0.20450605130144014,0.19985586367499097,0.17614825060582615,0.17051650883144084,0.22110575606592806,0.1793452319768837,0.16519487536919467,0.221797279066005,7.0,0.20128435110408344
8,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.49158992349697495,0.1750849435617429,0.13324996375992068,0.16767136003382802,0.20388687476239917,0.17700802528028356,0.15694011594921914,0.18184286152097945,0.15449297498045236,0.15711499724524491,0.17875192270337378,0.19613438808727077,0.16402770295475663,0.1600308741229625,0.19734760414200708,0.16356101014951296,0.15359751853438894,0.15266279495747342,0.21131492046894113,0.16706792904695864,0.17240467633403186,0.19392063950133034,0.15246169897320566,0.16343288715647714,0.15208459304047625,0.2407377204975535,0.17160321642106993,0.16045923358539843,0.19751811161497984,0.1755936527441164,0.16714758215707054,0.1622831533773341,0.21214831579426913,0.16852258888441077,0.1667621294750223,0.16953346128292401,0.18862749678674917,0.18359454586027799,0.15469579829656274,0.20701232648249138,0.158532418830224,0.1608058257868838,0.17795627068017938,0.17296390204357326,0.1622893015479156,0.15616786498112278,0.20685360531019298,0.17067961346185,0.13792128656845687,0.19483116828633176,7.04,0.18005847583042345
9,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.5020119526312463,0.16621041032537168,0.12136035614717862,0.1432676289826059,0.1793866447540104,0.1572210331142828,0.14493303789602174,0.16936007842960715,0.14529803369121325,0.14525828389665382,0.15533673375871726,0.17223935637892135,0.1424616185700341,0.1498913396072051,0.18506033653397078,0.15456926027430273,0.1430831843679244,0.13085948064666694,0.1892144677339138,0.1480664334398534,0.15944242108302029,0.18355073268571637,0.145947636074298,0.1471845632014435,0.13109690051983675,0.21854282456980462,0.1515437539935321,0.1482861599818681,0.18626301735476763,0.16386211389324326,0.15689480411541473,0.141261647299673,0.18764257600496934,0.1482550495979201,0.15690773035963052,0.1589847889335655,0.17956343739621405,0.16954347808662068,0.13402630466252854,0.1830964489438957,0.1382518047992903,0.15028040138089135,0.16608795769848697,0.16441791374513118,0.14822323354029007,0.1350960865954087,0.17982237802543893,0.144179278587959,0.12642420865095227,0.18571940322548033,7.06,0.16470977452373992
