,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9593542072202517,0.9360117240964455,1.0891197179749166,0.9234753384493235,0.9983409930907963,1.0052195150858572,0.9412205056468679,0.8560451289180091,0.9179836317892258,1.0864779129553985,0.9301983688156147,0.9946582326693448,0.9950500439227896,0.9309533400344001,0.8424082139149642,0.9380677832784511,1.0557301081844532,0.9332393708665679,0.9979232394167235,1.0023569144499334,0.9436707785537878,0.8397003108258323,0.9228656282624411,1.0722989834352945,0.9288284551818455,0.9982166454078979,1.0061093341716179,0.9432719878665003,0.845715820592717,0.9384095539938487,1.0651683048432574,0.9298755884630834,0.9991182524996025,1.0039558394388817,0.93426256944748,0.8395910413000022,0.9439474828988432,1.0831057533860227,0.9187612219566486,0.9961358022654876,0.9990471876848126,0.9400332590489773,0.8463340171511294,0.9359812121333829,1.0504177960626844,0.9258880140343502,0.9975499997692102,0.9988480515878023,0.9355916716132026,0.8393767445452401,1.0,0.9591182319840444
1,2,7,7,7,6,7,6,6,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,7,6,6,7,7,6,7,7,6,7,7,5,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,0.9441512052273161,0.6790142156269611,0.8487482134400113,0.7087534009843565,0.7961649790417159,0.7211614084283153,0.7199385616000628,0.693782115545986,0.6636311000300448,0.8551469954588479,0.7119826375478103,0.7081468287815553,0.7165645822739457,0.7517848498524201,0.6153429235658691,0.6530913196918744,0.8359425867462228,0.8088841523097702,0.7001608757956805,0.7396430203634431,0.7469852347164061,0.6583578658870698,0.6490934259090204,0.822703194174868,0.8123542954583458,0.8042898015080946,0.7026554022792473,0.752279216637526,0.673066275303968,0.6625544552037125,0.8319470874627976,0.814369516675843,0.7101363636636266,0.7211848729075341,0.8447757872228163,0.609326424531067,0.6620998714237671,0.852423633477245,0.7169204213690414,0.6880976304453261,0.7174718293870035,0.7520891949535032,0.6902848810738588,0.6525172668873672,0.8237901546982569,0.7251490817959911,0.7030883888451068,0.7185211537642405,0.7664896327891679,0.6645654797251243,6.64,0.7364324762497831
2,2,7,7,7,6,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,6,7,7,6,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,0.9302979535907473,0.5412221311684466,0.6388729112463918,0.5326615084224617,0.7272752401432937,0.5256047653366561,0.6417330071214452,0.5911276075946239,0.5363599723662809,0.6407891369725401,0.5345198952965206,0.523949537102521,0.5194951005568517,0.6226865735462463,0.5092612370972516,0.5178593225024358,0.6247863975973584,0.7366787393459365,0.5163576597774711,0.5280311171019604,0.6207687127300793,0.557043111786685,0.5153238407246001,0.6147990971957885,0.5902679030888405,0.6833117889601225,0.5071288126547594,0.6207813349628234,0.5751346432547491,0.5245687405165582,0.6332479804346888,0.739027272883435,0.5248702545125222,0.5282416582825302,0.7653159408566431,0.49486744075618366,0.532551009341972,0.6502900169260708,0.5456677054831348,0.49667055590064046,0.5176380510043539,0.6363389710771994,0.6541735931097659,0.5208829984877675,0.6315555234998238,0.552081469075057,0.5179374163221151,0.5161659521006511,0.6484177837011996,0.5658939076580242,6.72,0.5884106660235244
3,3,7,7,7,6,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,6,7,7,6,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,0.9132875551645806,0.43341426573223757,0.5402370781948328,0.45080095309257806,0.6796538157002157,0.4409846667239394,0.577955164921995,0.48534523759688397,0.42324725468078545,0.5361222786950507,0.45601956373943314,0.44596996987133436,0.4312948092412077,0.5668380486625236,0.3945510567225901,0.40162459426665814,0.5150265081501397,0.6990232023974684,0.44211679144662197,0.444675267973137,0.5599968624195539,0.4433556278430285,0.3999369587078937,0.5106366909637927,0.5047221947368498,0.5923984518333195,0.42491769169462223,0.5651260106533068,0.4693327669737954,0.40676750508678194,0.5253812478209587,0.6997985211685949,0.44997638466531564,0.4399399313032616,0.6945722084230342,0.38254490510398603,0.4081980378321268,0.5406272389095407,0.47007095407791527,0.42501553372659073,0.4310841385644234,0.570193447292152,0.5534063676383214,0.40181138682217843,0.5130306560762223,0.4731625561079405,0.4409688634447159,0.4237819804957129,0.5795082157689884,0.45894520238999853,6.74,0.5007479324303827
4,3,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,0.9136603588524876,0.3818322868026576,0.480736198783972,0.39760160178693094,0.5495286294580204,0.3536849039143395,0.4809300407768169,0.4249901937853158,0.37947186805629246,0.4755477761361134,0.4007486741749532,0.3560422819932786,0.3418304125915663,0.46221862380313916,0.3350615040873296,0.347974283095865,0.4561880575593603,0.6505816838131047,0.35294682561271223,0.35654184419204865,0.45161120960418905,0.38525297775851575,0.3545939223957471,0.4492321965355182,0.4497108906067251,0.48601845799818005,0.33921515256137524,0.45654433693335283,0.40895377130283833,0.3563136184759767,0.4702114039414126,0.6888829168453797,0.36050930845421286,0.3588529870192097,0.6569479337951204,0.3247553413571262,0.35559486807844964,0.4817345428824043,0.41851528749541844,0.33173958027514766,0.3458652723892566,0.46428614259727724,0.4960230604997846,0.34747230290364667,0.4572234963067763,0.421301697481879,0.35667046124065904,0.33600126663857793,0.4876948199709145,0.4006389705101409,6.78,0.4319297248826304
5,3,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,0.8718608946018737,0.319927565847797,0.4285573308020876,0.33143449172892436,0.4901533214256603,0.3154974950523738,0.4350529369508515,0.39486626775266687,0.31358938759401733,0.4233913155962574,0.33324076951769216,0.3107195412202193,0.3088082359487751,0.41882591363103683,0.30741636437073727,0.2853704832990149,0.40265450759533233,0.6254876166040216,0.31037149663000263,0.3225252457997867,0.408327074461993,0.34605811713941115,0.29075146356472675,0.3930437396565118,0.3728694591726931,0.43416860047073763,0.30424874129247786,0.4121459490219136,0.37223938344748425,0.29520966438244384,0.41014769191300127,0.5917041234864225,0.31809956066966577,0.32308320231034987,0.6044088174902026,0.2947662510839333,0.2936264152732296,0.43149723334874857,0.3508787114516037,0.28963899035512325,0.3069422917778907,0.42217874900377117,0.4665849651171721,0.28377070051831516,0.401355667811683,0.35164592056268146,0.31410879887843507,0.29942553953012807,0.43986379710011775,0.3669544687648547,6.78,0.38278990542053704
6,5,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,0.7865393721987665,0.2911438032360993,0.40010239659279173,0.301098173540108,0.4448168690353713,0.2682010156519092,0.3897701741007861,0.34079320412740616,0.2889230429479083,0.3934407529950161,0.30445470834906746,0.28479594690877924,0.2604891620427831,0.37403732718469745,0.25786003029587634,0.2572306762691453,0.36487810411970084,0.6170802616061978,0.28734755238306203,0.27381070696103144,0.3615024078518824,0.2936205183535158,0.26326941987485497,0.3602588499356703,0.34045197467726224,0.4009066457328452,0.25543298977564566,0.36673320317924085,0.32335799698674594,0.26694085085244934,0.3800401705395455,0.5402776079091955,0.2908394862382665,0.2746127171695066,0.5969290728150319,0.24917106948650572,0.2647801827661404,0.40690878632081157,0.3210869352663303,0.2620762689839041,0.25948064773420926,0.37575899642004446,0.39982282767058724,0.2555194756737049,0.3700312241214188,0.32154377301281695,0.2835695555333497,0.25384641132781005,0.3955961458736954,0.31013440836707046,6.84,0.3446262780199313
7,9,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,0.6230767594113055,0.27574082098631797,0.35992753362353275,0.26441454281763105,0.37655079476295755,0.2455338675960019,0.3663925118101784,0.31937832889283835,0.26588937514125804,0.3498531900487189,0.27054552339550136,0.24653331528001957,0.23846441507654378,0.35032691256490744,0.23897749283655167,0.24024470759125036,0.3252081239802604,0.5600248447898226,0.24529766714505483,0.2501216915579464,0.3408545132547142,0.27555597179183455,0.23602524898798777,0.3195513083924358,0.30175475783382993,0.3431910611020774,0.23432378698528486,0.3454903215958788,0.3064063107021658,0.2529868574335043,0.3373229112921047,0.49480020531557695,0.2506971716454227,0.25221057459119073,0.5853999241318648,0.2327898295946747,0.2523326392260509,0.3631170541448872,0.28474494503051107,0.23127488356266174,0.23927863391450835,0.3514915710907335,0.37256158946476425,0.23862449624504672,0.3326008720604728,0.2848415617500047,0.2502886917906506,0.2324028734937974,0.3723879959001423,0.288858259223693,6.92,0.3123333848171414
8,12,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,0.5586388759421491,0.24054100429289696,0.3424292619780121,0.24754435019730514,0.3479465460324239,0.2321388727636877,0.32905028807630926,0.2911356957389745,0.23670694716213087,0.33104566814096975,0.2556188277264204,0.23071399701855894,0.221765047023193,0.31330930149940905,0.21362912600103567,0.20828174868667607,0.3070432446069912,0.5273603833859802,0.22951206882039657,0.23461205613605043,0.3070455959742009,0.2508556300176884,0.214403846258934,0.30114951670859097,0.2847020338321015,0.31909023092953614,0.22111439400723928,0.30616476871263865,0.37470517400045494,0.21763942256555385,0.31929445684596924,0.46557790464549004,0.23536225994488683,0.23635461677541886,0.5644738672807903,0.20285600102846235,0.21248371661784904,0.3447381779157298,0.27001775805166656,0.21669267892650343,0.22235759599234511,0.3158527191739629,0.34393767382147156,0.20664886727521806,0.31420499111495154,0.2710675876921247,0.23299827427151315,0.22117656695689397,0.3374348936170021,0.2583426673735312,7.0,0.2897553439911658
9,12,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,0.5498241084550841,0.22763408540163727,0.338484630237297,0.22341651945459182,0.31515413231546235,0.20881235310195434,0.31180451258325736,0.2799514949827634,0.22547115986239466,0.3212211055108843,0.2286391807772973,0.20704554840209863,0.19861527760883518,0.296442512995982,0.201552807031263,0.1976695776517856,0.2937712389649305,0.48223308839440676,0.20563771112508386,0.2101279831040664,0.29136896770476844,0.24019595888156625,0.20165480008936262,0.29697523752745963,0.25782644790146486,0.2893439872503438,0.1958752340349532,0.2904712873672205,0.3530615358858736,0.20585468949879535,0.3086186261665285,0.4234687892348402,0.21191513433140793,0.21112092144008082,0.5538579656313071,0.19153472786408968,0.20078565802290133,0.3406238156561322,0.24329544442763673,0.1908484807090249,0.20079613043264113,0.2986048203035902,0.33076260165664784,0.1936365209439839,0.3062309166771554,0.2407272514154763,0.20888833037991686,0.19434652397274607,0.3200363305246585,0.24523918462651056,7.0,0.2712295069704032
