,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0185842162055299,1.0066277336647012,0.9868981566849278,0.977915139712521,0.9645267376079328,0.9505383793649175,0.9718453909563403,0.975801080443392,0.9895707266617358,0.9763711032130535,0.9855415920216928,0.9598531999448014,0.95916894069015,0.9524187943751327,0.978035455418129,0.9893786284004527,0.9872255949587085,0.9820102215746179,0.9565713804757888,0.9583076625992567,0.9534648644922925,0.9872934638395455,0.984222478340937,0.9813503580313443,0.9823710953229902,0.9633350897756542,0.9554790530453212,0.9518774118616865,0.9797453665025918,0.9920135880282345,0.9827330220299026,0.9786395857398463,0.9699439111477927,0.9495615090811853,0.9482829777435131,0.9870421702045789,0.9987240061262537,0.9823952188580258,0.9902995482395986,0.9490298406131835,0.9499470362760581,0.9589936544963383,0.9787018091920533,0.9915416034802612,0.9876388240844832,0.9714604021746953,0.9736320820424332,0.9609987337967518,0.9485919152622765,0.9810090083282332,1.0,0.9739501952626369
1,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1.0185841348251095,0.8638010711608815,0.8173142700988234,0.807456231517848,0.8243054763610079,0.8525626581225373,0.9040153339862829,0.879841848494447,0.8422621547413864,0.8105177285813372,0.8109637528055427,0.8224845203931201,0.8634280549745916,0.8897110858161793,0.8783713746733522,0.8470208659468434,0.8171949997918247,0.8136826997181151,0.8226725656342211,0.8636081592562194,0.8963081838590395,0.8902104378251892,0.8360889154780221,0.8084172911293288,0.8093251562925877,0.8200522478710326,0.8625358333869144,0.8860409777364502,0.8847783838060153,0.8481043671337889,0.8124630517235826,0.810694924060839,0.8342872330359483,0.8518184788311289,0.8863030661572843,0.8905767395664348,0.8518059653922953,0.8134817568783896,0.8195656600189811,0.8154581092382946,0.8531622167290627,0.8921105749392187,0.8831142079864966,0.8473744166842784,0.8193366313546336,0.7994020824913518,0.8362396435729206,0.865977264025476,0.8928965501899959,0.8882451610634068,5.94,0.851119490307161
2,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.0185841348251095,0.8016942416537014,0.7414624712861335,0.682165364443989,0.684802660465199,0.7079083884239519,0.7738190133258372,0.7933729158428292,0.7820946271638166,0.7330862626883701,0.6921181862443551,0.6795585230558739,0.7147856396955364,0.7562454383916262,0.7949918406410277,0.7870156728801878,0.7409056764832747,0.6913858401039599,0.6853989685728308,0.7151878947202204,0.7633081009904694,0.8059143983670524,0.7703020448286247,0.72931815082853,0.6933587754608093,0.6783228140590459,0.7132133583429517,0.7533656474558365,0.7946308221757097,0.785590225575389,0.7376231400542338,0.6923670212730327,0.6889558753936764,0.695499539058396,0.7497926266606626,0.7959031388555304,0.7862535928041177,0.7335897425345198,0.7021986279917566,0.6789068035202525,0.7106414810173871,0.760668099141622,0.7942000950947802,0.7837138712008184,0.7423076424699157,0.6816535846243567,0.6939495467943737,0.7207480023715422,0.7559135385884894,0.7971269907109325,6.92,0.7433184211830529
3,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.018584134827801,0.6886508561994853,0.6645467993135863,0.6289442617554318,0.6199032075379768,0.602488460563881,0.6445168378550951,0.6571889580549481,0.6711751344028744,0.6601300649665609,0.641998092615191,0.6139951484777249,0.6094170981012693,0.6241217921707164,0.6615274384879248,0.6734490348291741,0.6614754297090765,0.6390808898227459,0.6201555587192666,0.6093583755755138,0.6332632584260212,0.6650878988609503,0.6572556808912292,0.6531869615344087,0.6411157241711336,0.6118291681965343,0.6049038438929809,0.62294771448516,0.6580159903905246,0.6712844533565547,0.6586803612091097,0.6409487095902107,0.6218825072998933,0.5898709721540234,0.6158281468973543,0.6599188717135414,0.6735968248172582,0.6591981676418948,0.6515716331728395,0.6171824472889184,0.6001421827166874,0.6315671301471205,0.652884699628661,0.671537350544543,0.6636379796654868,0.6299724659809799,0.6229090405632765,0.6128019583672615,0.6250826638930329,0.6635527100270358,6.96,0.6478473018302175
4,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.018584134857026,0.5715749503360816,0.5519947988506163,0.538639924508573,0.5559908623198215,0.5602714771357633,0.5783735504116363,0.5547567363126462,0.5555100399213218,0.5450809706411173,0.547952374813774,0.5519618949899132,0.5620045833514203,0.5606893513853142,0.5624271379908984,0.5558579549968353,0.5462880139663492,0.5470716468796961,0.5556958010942051,0.5624201378403106,0.5649513595290278,0.5603326089317983,0.5418900309940389,0.5397052678649357,0.550508873266114,0.5450530496705853,0.5581944796357139,0.5587049588654124,0.553464168570783,0.5544452799180122,0.5428352180525681,0.5526478293337516,0.5601660905726544,0.5432311433792113,0.5515494983744121,0.5584208340726362,0.5569545148826963,0.5437052955393983,0.5517287575284884,0.5534854801769946,0.5561613949434914,0.5659481079688032,0.5527740341687424,0.5564794154687932,0.5525632899119653,0.5394224532528527,0.561151075793399,0.5695332790590836,0.5601356775766332,0.5663175804013797,6.98,0.5641121478061538
5,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.0185841363931616,0.5233808706309321,0.4707168106036423,0.44801167785593227,0.45860798303245487,0.48553439246291086,0.5234943352015382,0.5184464442734653,0.4993074846245777,0.46196626633276244,0.4549072504220153,0.4571036716737579,0.48445152097491145,0.5080015410928902,0.5269721600315429,0.5022709525851994,0.46637045107272374,0.45355022944796064,0.4626763257484488,0.4866892429235959,0.5099850676408334,0.5220219277144104,0.4916157252115172,0.4589091127863289,0.46023578597792236,0.45118966173928116,0.4828111746542136,0.5059005158318816,0.5153960734641443,0.5028838215865398,0.46316697725678324,0.4592576231512237,0.459106463271067,0.4666785340734259,0.4970883024200933,0.5191243487875817,0.5023010794293341,0.46427188895264954,0.4558981743272206,0.46104692339952136,0.48090926493458674,0.5109755811349808,0.5156073166675202,0.5043998339334231,0.47294853991991487,0.4445011728290019,0.4625947381634657,0.4944842031284065,0.5096265438889712,0.5281377794100939,7.04,0.4956823580614153
6,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.0185841363955004,0.4679535735474636,0.43584155788405277,0.4042181113162839,0.3915926544033183,0.4023865799260524,0.4348885753235247,0.4438511781450319,0.4459687680149021,0.4268654865216989,0.4119298116823809,0.3896114098755086,0.4034878552856088,0.42068719617426864,0.45183711389844705,0.45281959247545056,0.43447725018201483,0.41060728045311135,0.39752379646025526,0.4054080796105144,0.4246644917327877,0.44679365798688164,0.4347805981241885,0.42354639932715044,0.41846730694816114,0.3821841779313304,0.39658110667086943,0.41730598851459666,0.43970877714413137,0.4508162256067302,0.4273290904096138,0.4183353210421503,0.3929093797293177,0.3831719061457601,0.4111570410579497,0.44457823717165823,0.44905576385523405,0.4303388277094844,0.41334974321577966,0.39339762524208366,0.3997409201375757,0.42251801216796314,0.43730489545303924,0.451679510909419,0.4386188786322546,0.4022112135621307,0.3960891011294349,0.41279975726484575,0.4197200421921309,0.45101075980534006,7.1,0.43361409528790756
7,14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.0185841500005397,0.38642797467953666,0.37228332721160273,0.3613102171523597,0.36439968171810355,0.3567462566925006,0.3704576906753316,0.3644686980247806,0.3697073471190585,0.36588484224708706,0.36816947429807745,0.3632006971338823,0.3665471653046765,0.3596516566979039,0.37701176366240263,0.37330212552228936,0.369650275066019,0.36886492809205973,0.36867726698221176,0.36731594117998445,0.3569005713963655,0.3714361662992307,0.3588761134763702,0.3618513649347452,0.37558564158969376,0.3548209214686605,0.3560658236785821,0.35668507321840975,0.3633921962488803,0.3762315858654545,0.3651458786352197,0.3754403932737165,0.36403144573542107,0.3465339774605623,0.3491180650459404,0.3684298382994918,0.36990745255235796,0.3685246621735658,0.37175699253948274,0.3650829591512097,0.36235289983655833,0.3578791275993062,0.36051390472319156,0.3730761393954564,0.37054872130652233,0.3597158133338027,0.3659537118404955,0.37176676799777864,0.35632781106729394,0.37349260521760214,7.14,0.3788021220964357
8,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.0185841499961041,0.331782972992834,0.31036818388090526,0.3002780506117415,0.312938264565361,0.32118244208340835,0.3456482196445391,0.33102197969585545,0.314032251619012,0.30526724732541793,0.30429573922975517,0.31148551761812654,0.3285368466989981,0.33468722817937374,0.3403755579701199,0.31778262288230535,0.3053095275572078,0.3083929163501416,0.31765951845052703,0.32683830769206823,0.33244864747414854,0.33502048692365805,0.30325620677429144,0.2978790935661214,0.3130475065403603,0.3049672408941554,0.3221852656419959,0.3322396931646276,0.3288299910492374,0.32304670796271623,0.30297394752686596,0.3097740852881801,0.31157030257360074,0.3099342518908089,0.3256572058409343,0.3343280789635642,0.3130680409052157,0.3069145998228538,0.3075580192095603,0.3112083369501332,0.3240958295333766,0.32991428341913887,0.3249492058600047,0.3177414162621931,0.30670078412388696,0.2972575216393561,0.31134196059386804,0.3365536125645117,0.3313056226271715,0.33933178217556303,7.16,0.33263134545611805
9,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.0185841208383095,0.3102743518979939,0.2839167874845609,0.2567839993009528,0.26000788441510453,0.2678362803848428,0.29802041181074573,0.29735124847196837,0.29318492352106384,0.2761529701398971,0.2604935977012577,0.2549962510451349,0.2710640666164169,0.28775890731646375,0.31018664483813596,0.2965563467137601,0.2778859112675591,0.26371197223038206,0.2638104530423134,0.27204906256915334,0.2835406670030134,0.29898489257709454,0.2844526755052825,0.269814792207006,0.2662774695199915,0.2531078172113883,0.2637521287932632,0.28700980665208964,0.29341341651911756,0.3014521869735159,0.27534278661389366,0.2643716231142167,0.25848550161975653,0.25524503796167847,0.2799811480942908,0.29888384201921897,0.2905658873465247,0.2771783070818645,0.26430294105315644,0.25829952813742263,0.26758038851729393,0.2851583841996199,0.2907636491065354,0.2953476719254546,0.279196624947721,0.25071983328645914,0.2599357706162834,0.27937092676044145,0.28233268169676895,0.3033187688655445,7.16,0.29277626695063846
