,eta,epsilon,sigma,TMSE,CB,tradeOff
0,0.05,0.35,0.2,0.009044510764632667,24,0.010853717103902984
1,0.05,0.35,0.4,0.005732324205491118,24,0.008298164905378741
2,0.05,0.35,0.6,0.007969686249971793,24,0.009975765580795765
3,0.05,0.5,0.2,0.1092232744761671,12,0.1092644667185821
4,0.05,0.5,0.4,0.023414345032032022,12,0.023605752546340113
5,0.05,0.5,0.6,0.024606986601947555,12,0.024789186949725206
6,0.05,1.0,0.2,0.8768183586476992,5,0.8768192496527693
7,0.05,1.0,0.4,0.7361135946483865,5,0.7361146559647955
8,0.05,1.0,0.6,0.6380904061068532,5,0.6380916304619649
9,0.1,0.35,0.2,0.014098369078157088,24,0.015322010659960264
10,0.1,0.35,0.4,0.0065965033048641115,24,0.008917054213757094
11,0.1,0.35,0.6,0.008187713308755612,24,0.010150795497219605
12,0.1,0.5,0.2,0.11130760482350019,12,0.11134802598853957
13,0.1,0.5,0.4,0.023500632848427634,12,0.02369134323495812
14,0.1,0.5,0.6,0.020601707828897836,12,0.02081899050067679
15,0.1,1.0,0.2,0.8752117472498785,5,0.8752126398905499
16,0.1,1.0,0.4,0.7412715825700523,5,0.7412726365015169
17,0.1,1.0,0.6,0.6427137121686788,5,0.6427149277165136
18,0.2,0.35,0.2,0.015592124146572349,24,0.016706715278657396
19,0.2,0.35,0.4,0.007682992167808039,24,0.009748249517251785
20,0.2,0.35,0.6,0.008786788306922234,24,0.010639908305557211
21,0.2,0.5,0.2,0.11071419019169844,12,0.1107548279299985
22,0.2,0.5,0.4,0.023635918991670876,12,0.02382554651169261
23,0.2,0.5,0.6,0.021851285440122402,12,0.02205626159134193
24,0.2,1.0,0.2,0.8823259318846065,5,0.8823268173279328
25,0.2,1.0,0.4,0.7521424434792204,5,0.7521434821780298
26,0.2,1.0,0.6,0.6535709647410479,5,0.6535721600959944
