,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9832030805707482,0.9667661028460682,1.0059129425887543,0.9740243908846764,0.9936430841986202,1.0027736142652206,0.9822340155679232,0.9492210961559874,0.96708020399025,0.9998160878007167,0.9723023024324982,0.997903341872322,0.9976880541315697,0.9811738894810905,0.9451361290844181,0.9633654219238654,1.0013457602635099,0.9809834217431853,0.9964231647154816,0.9999336339860961,0.9827930780522836,0.9441282098698075,0.9612855954049976,1.0045973094105483,0.9756615075310876,0.9995336451968772,1.0057785270727544,0.9785049954227943,0.9502289547870509,0.971771205293542,1.0061265064646958,0.9769227141686222,0.992470970349465,0.997275618266102,0.9837383386809087,0.9470002087537387,0.9612092950250255,0.9980642820761552,0.9760310057991058,0.9987512044672674,1.003008167718664,0.9825836765879796,0.9467545660311054,0.9739005628684151,1.0076840782598153,0.9730722795697996,0.9940917576334712,1.0007822245596172,0.9875458712199785,0.9452550158352675,1.0,0.9817496222175989
1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.9447179147899597,0.9368498889844732,0.9424077707500935,0.9262330220325965,0.928263239447405,0.905931479610779,0.9315343323439677,0.8610232237620917,0.9397755335342827,0.9419618854510977,0.9247881915551177,0.9330536185495605,0.8953675455551576,0.9361302711802554,0.8551522888067175,0.9318506091563011,0.9403227343651046,0.9324276723333257,0.9283693865049035,0.8993770572308875,0.9399306832688221,0.8511940205138928,0.934787213283541,0.9444171033768209,0.9286327438610071,0.9338677447966809,0.8991775778596489,0.9297186073611576,0.8623907814338707,0.9372085069479881,0.9502969152527763,0.9275817988361982,0.9292204671775003,0.866459788876691,0.936027866195544,0.8579306081685536,0.9327564250850263,0.9359970494138377,0.932526033555281,0.9333407072397613,0.9050417476074358,0.936537406402249,0.86060315602812,0.9435894185632339,0.9482147178430428,0.9230653716659076,0.9319981761409794,0.9038537437669966,0.937651485822024,0.8544792730595206,3.94,0.9188806961069637
2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.9389132433650091,0.8855945463424082,0.8744940462269767,0.8809375822059946,0.8916977660163372,0.8555783020672562,0.8896458462731205,0.8141226861408452,0.8911378976754731,0.8804959278384203,0.8836076698814289,0.8968817771136527,0.8242133748065255,0.8975341800957704,0.8087574597221715,0.8792793718576916,0.8785556608078187,0.8846404276954224,0.8843698664997862,0.8564991074650925,0.9009323673456733,0.8087613372899887,0.8848715333877103,0.8805470204447515,0.890778031227147,0.8948606474232069,0.85010717365946,0.8885222825659223,0.8163727615841971,0.8834601882125371,0.8863453247899071,0.8879665087842737,0.8909859591409827,0.8236821129998837,0.8975458927584005,0.8108624622736713,0.8850134657294265,0.8789229896334034,0.8866016284830497,0.8949001963836452,0.8533147524657803,0.8963883561179818,0.8174987093636799,0.8945997726966831,0.8872812939108153,0.877492643195381,0.8978852580391211,0.8315271868413997,0.898102046709526,0.7838283582928182,3.94,0.8715383000369524
3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.9432664000023643,0.8600688497144268,0.8363965072691315,0.8491358584286612,0.86046882899991,0.8045298781972715,0.83409911788025,0.7426438501543436,0.8657027418240342,0.8381069122170148,0.8498005315544791,0.8673539314012826,0.7813025812015817,0.8470092275071378,0.7376754429655347,0.8499250152023282,0.840229545437251,0.851958527765134,0.8517079335806587,0.8106492817884056,0.8493129339883928,0.7604709393338612,0.8563767953460669,0.8400394069491245,0.8603820116131915,0.8624867133144392,0.7925682317184823,0.8408000904505739,0.7674289737725679,0.8550398649549463,0.8468570415304535,0.8568815661364396,0.8594315189786211,0.7502195968268945,0.8434251394759177,0.7620741756147804,0.8557237697599869,0.8335611874650347,0.8567151673123785,0.8654872662302399,0.7810955989672644,0.8407454660097227,0.7452586898211498,0.8665397959038886,0.8470980674419878,0.8485156419364116,0.8690393264627335,0.7872374923281329,0.845547943358122,0.7365460444573145,3.94,0.8300987484110065
4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.9516992948165094,0.8345281907265977,0.7950367458829208,0.8017436578941228,0.8304837909653878,0.7707835959842771,0.8239636566240903,0.7059928280406343,0.8426228096683376,0.8017911597841811,0.8015265614196369,0.8367017879776386,0.7445712382544575,0.8358471001549913,0.7000081026909815,0.8242936884150166,0.7961614328309667,0.8051064710548926,0.8220505152569817,0.7719384283047557,0.8340041279814314,0.6994799486418745,0.8279946954220025,0.8004618840444542,0.8108152177145309,0.8337035530198332,0.7550410560920334,0.8188784773617204,0.7286168385377235,0.8316574361324109,0.8112085872989337,0.8106893279513201,0.8295424274803249,0.7194295172769641,0.831745297092765,0.7212867420709098,0.8333554209278818,0.7912147003068948,0.8053079472922144,0.8314253176385513,0.7487731901790364,0.8223920644515128,0.7084877376097941,0.8377475693632684,0.8106151868980549,0.8017746261928471,0.8425928115994444,0.7560489887173313,0.8326317759869206,0.7002885600496792,3.94,0.7976812417616008
5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.9564134254418127,0.8114269735531933,0.7676826978158104,0.792830562398679,0.8054869455698563,0.7443101568849416,0.7958441341243845,0.6774121350114739,0.8235353215402004,0.7762849137522252,0.7902144679744664,0.8129304522577476,0.7253779956946059,0.8089104473811518,0.6519308058262749,0.8003751866605379,0.7715052590419176,0.7889638046673771,0.7950510342410746,0.746895458023039,0.8074300932204037,0.6746260952439648,0.8053634396031832,0.7767336652984598,0.8043405766397375,0.8095035235396124,0.7303419874435146,0.7927431105256008,0.6978532623796618,0.8046462161497879,0.7837723720640118,0.8003980551508726,0.806868901193438,0.6957303178211665,0.8030648272955679,0.6928684910700555,0.8098373878574306,0.765629374721669,0.7980587809632027,0.7983529965837917,0.7237812890389012,0.7918242148989523,0.6812539753806759,0.8143432870478675,0.7836846271710117,0.7902170219342306,0.8150828681042515,0.7352131956307327,0.8069504940133927,0.673414306898604,3.94,0.7743462186548905
6,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.9393815907960316,0.7907145785527666,0.7428235161134795,0.7682985440691825,0.7657459052465861,0.7097231555078163,0.7807005996465917,0.6410664715611296,0.804341850305717,0.7592134696352191,0.7697428284782668,0.771450756355294,0.6900205364892393,0.7902340652012559,0.6173621285803709,0.7793813362327221,0.7521700623824413,0.770380168682123,0.7591343420062407,0.7146990317629915,0.7916576625553698,0.6381617676841486,0.7803048189114087,0.7578921917531727,0.7792106173064752,0.7714395904737812,0.6981175957851145,0.7757854604835425,0.6600437375089591,0.7840903879795462,0.760612149745738,0.7781718744421472,0.7674233367123683,0.6646503938239464,0.7864960839078472,0.6547647653107124,0.789762858653544,0.7452793219131367,0.7759520058137525,0.757062992629034,0.6882005488995877,0.7760917946550938,0.6436541948218615,0.7923557005454256,0.7647777003664429,0.7640920983069107,0.7762959683667868,0.6819353737656957,0.7872083562108008,0.6363132616334154,3.98,0.7468877909714245
7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.9144143542865634,0.758788233290765,0.7200282774924456,0.754711291216847,0.7605053686559866,0.6876874723995474,0.7671321836533899,0.6152490502712574,0.7729073837550933,0.7369054948477946,0.75722933864999,0.7696442773169349,0.6644975487354113,0.7772594077152868,0.5929778469493666,0.7441816473544405,0.7289016208999576,0.7560921975132575,0.7507407477461957,0.6936581693251348,0.7768483633311466,0.6135712634511025,0.7450237042426754,0.7361159484289621,0.767116413441855,0.7652548859070268,0.6768663416676258,0.7613093998141055,0.6302554471279925,0.7545405162176563,0.7383367015074501,0.7634434788128026,0.762781067189725,0.6432927745763952,0.7707212696702984,0.6259811686356731,0.7555367247600969,0.7221105104554423,0.7630644100725326,0.7509034231831871,0.6643504092621983,0.7563972641373805,0.6177351971043175,0.758211190960874,0.7438895681581612,0.7496412919630447,0.7732203624240431,0.6560111432035758,0.771980656059239,0.608178041399912,4.0,0.7269240169848433
8,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.8781452248456111,0.7526538667361258,0.7008852725811031,0.7440276849210288,0.7456513072302965,0.662916437131536,0.752225913467709,0.5921565380450795,0.7658563630307647,0.7187055272222582,0.745014070083315,0.7520669490862705,0.6428874527384953,0.7617872580764505,0.5556370896420578,0.7386811176322333,0.7109311992941484,0.7401214233870278,0.7350275157285399,0.6705251917968387,0.7598459591922889,0.5910018029934367,0.7410777270655132,0.7196925000273466,0.7578697484945504,0.7485909599498095,0.6529377202623796,0.7400698542821371,0.6078818103216042,0.7493595392128878,0.7176596223635906,0.751806805319334,0.7465840125609379,0.6059127056050232,0.7553639021663643,0.5842254235781875,0.7539010571545623,0.703901007240786,0.7486864896913612,0.7310379621610735,0.6227019104043945,0.7419966587681369,0.5960736999043131,0.7483112134489477,0.7214950359867259,0.7370416773420534,0.7545852335224482,0.6374362716369936,0.7591603007737443,0.5873026319746225,4.02,0.7087882929216489
9,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.8701364631275886,0.7399667248336549,0.6882876231881823,0.7257643538334807,0.7383593847411265,0.6367566496358106,0.7364232732347552,0.5767800730147578,0.7506622769663204,0.7061296992180224,0.7316298999947701,0.742418337667328,0.6160999561035804,0.7466437224349081,0.5273329336541822,0.725979260250846,0.6958230840868319,0.727284962906977,0.7224425152931745,0.6448087586540476,0.744581390891054,0.575333919827615,0.7289132245338309,0.7041589303261214,0.745970959589092,0.7379352730978156,0.6266750043951644,0.7272994445976774,0.5921970327835816,0.7371554592891605,0.7051219867351481,0.7371598110599925,0.7323077090657641,0.5617752358658444,0.7412938682184395,0.5693280203916509,0.7408546344146437,0.6924653498671118,0.7356175445029046,0.7200455145832929,0.5975922947597855,0.7244030464708681,0.5810444276582107,0.736581887635296,0.704770220640834,0.726456557876472,0.7446564112650185,0.6121208903300372,0.7455565689150834,0.5711476323343734,4.02,0.6930050040952446
