,eta,epsilon,mu,K,TMSE,CB
0,0.05,0.35,0.05,1,0.03332171387025055,7
1,0.05,0.35,0.05,2,0.03145850651388737,7
2,0.05,0.35,0.05,4,0.01942155852101034,7
3,0.05,0.35,0.05,6,0.021846015282832535,7
4,0.05,0.35,0.05,8,0.022598857254433037,7
5,0.05,0.35,0.1,1,0.04539428045377398,7
6,0.05,0.35,0.1,2,0.04239678427376269,7
7,0.05,0.35,0.1,4,0.01828911606221368,7
8,0.05,0.35,0.1,6,0.02267418812255809,7
9,0.05,0.35,0.1,8,0.02249786802158236,7
10,0.05,0.35,0.2,1,0.1254472835460278,7
11,0.05,0.35,0.2,2,0.08525256584156737,7
12,0.05,0.35,0.2,4,0.021280274887299715,7
13,0.05,0.35,0.2,6,0.02073535148903932,7
14,0.05,0.35,0.2,8,0.02371388270297814,7
15,0.05,0.35,0.3,1,0.32092804647636447,7
16,0.05,0.35,0.3,2,0.15630877561323125,10
17,0.05,0.35,0.3,4,0.03210576643623812,8
18,0.05,0.35,0.3,6,0.028914687336674287,7
19,0.05,0.35,0.3,8,0.022553773891479664,7
20,0.05,0.35,0.4,1,0.4115541340374601,6
21,0.05,0.35,0.4,2,0.32556928486670755,6
22,0.05,0.35,0.4,4,0.09715307562779021,9
23,0.05,0.35,0.4,6,0.04255393737232265,7
24,0.05,0.35,0.4,8,0.022870009250630208,7
25,0.05,0.5,0.05,1,0.03275351446779929,7
26,0.05,0.5,0.05,2,0.031223207835820284,7
27,0.05,0.5,0.05,4,0.01899620259095373,7
28,0.05,0.5,0.05,6,0.0219734527290596,7
29,0.05,0.5,0.05,8,0.022736309124228093,7
30,0.05,0.5,0.1,1,0.0629680630382588,6
31,0.05,0.5,0.1,2,0.05142089028813033,7
32,0.05,0.5,0.1,4,0.017172306687480817,7
33,0.05,0.5,0.1,6,0.021755817704941272,7
34,0.05,0.5,0.1,8,0.022680822362501615,7
35,0.05,0.5,0.2,1,0.20827679429323154,6
36,0.05,0.5,0.2,2,0.12846504236998912,6
37,0.05,0.5,0.2,4,0.020190381744721573,7
38,0.05,0.5,0.2,6,0.02225834288953937,7
39,0.05,0.5,0.2,8,0.022577156105483217,7
40,0.05,0.5,0.3,1,0.3463996010544191,5
