,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9990672034116928,0.979681136965996,0.9749338697035275,0.9937971607421398,0.9921964994304648,0.9942304525569717,0.9961673219012352,0.9795714407766916,0.9719949872715806,0.9736295707067433,0.9869775552205607,0.998136740373508,0.9986409280793986,0.9951500509413757,0.9840636058460243,0.9801347216573534,0.9743216519606053,0.9923200127726232,0.9999470000730876,1.0030784685997005,0.9950954440330702,0.9799912778300941,0.9802026484988638,0.9784272425529724,0.9842929165608983,1.0004162709843374,0.9991474254899786,0.9952604222732113,0.98055071471003,0.9853359158088234,0.9779275428989572,0.9849618406987909,0.9927375972747643,1.0012115372572588,0.9972332213029029,0.9807653890107664,0.9724871445231233,0.9723945728406981,0.9851072965327421,0.9976526342448073,0.9963125697366424,0.9905780843701,0.9819881880267389,0.9791067711735709,0.9737036242239341,0.9845629170879622,0.9969114413009361,1.0000215537708903,0.9986093585689731,0.9751944415374747,1.0,0.9877245676823121
1,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9635708932600642,0.8471468109214768,0.8704830087422467,0.9025557694363872,0.878988811912846,0.8619194443172649,0.8457836381099313,0.8382667576978635,0.8420359808839101,0.866963517140707,0.8901202325833576,0.8839977915541172,0.868029999080818,0.843963387649431,0.8390742430562105,0.8528791508296879,0.8737883002214262,0.8945311101529039,0.887440229877591,0.8698388582455764,0.8428395002949227,0.8397020000271395,0.8596919425131107,0.8775604680444954,0.8859223195142406,0.8841013652651998,0.8706949903654363,0.8472309234631805,0.8375430822907042,0.8599507709136806,0.8746885289199045,0.8886447284866865,0.8778875220154603,0.8667681046484065,0.8449213737854001,0.8400471016644023,0.8453662003303737,0.8692369338089673,0.8872324344077915,0.8858132043259326,0.8579360552680191,0.8374547209250289,0.8344283944666779,0.853182609606106,0.87410497349188,0.8882421424538298,0.8845051988540897,0.8667525848879091,0.8448564442463619,0.8256629399784001,6.9,0.8654869498987513
2,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9336750018899196,0.7497726472531159,0.7489367517362139,0.7690980055272221,0.7489478566611163,0.7525203911591978,0.7571177667990193,0.7582175883423988,0.740583181313531,0.7447338445548939,0.748344267547006,0.7566981832026897,0.7561694784572764,0.7545630503415303,0.7592555032499767,0.7546669489205609,0.7537919118344112,0.7510956563503587,0.7538962276878748,0.7535574776577396,0.7541528265021671,0.7587363836291081,0.7633738024284897,0.7644924552851968,0.74629663908828,0.7517118413228842,0.7636559850259039,0.7627184876549701,0.7566856057451018,0.7649804869763861,0.7542892479234172,0.7538152693321959,0.7479462330853999,0.7500581494041247,0.7545037580402345,0.7620044320093411,0.7505776308708275,0.7500740107485715,0.7490665203656193,0.763607135811313,0.744006742808337,0.7507303853897699,0.7522462908808752,0.7557899126529705,0.7584614668524603,0.747313516160804,0.7536344380330652,0.7574847333805904,0.7526978357449015,0.744753454045941,6.92,0.7577101483537062
3,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.8860846103739339,0.6402713743534736,0.652583383904665,0.6920834147556167,0.6774949981086199,0.669908048698319,0.6574966789908037,0.6477941929078048,0.6254086423091251,0.6471485704139589,0.6701738485555786,0.6868151818520876,0.6740580160237528,0.6564552939369694,0.6432608340120346,0.6441897999315312,0.6611793125774411,0.6703070509706892,0.6811399140000558,0.6667260136069053,0.6563809977430369,0.6456590846899025,0.6538018618645037,0.6725396788236756,0.6657971055872822,0.6787785236041886,0.6803817542222569,0.6705683782341914,0.6412754893674468,0.6585005119249316,0.6554412121465737,0.6765316395899753,0.6781984991503982,0.6667930650753532,0.659463629115069,0.6463463142896171,0.6408546991774756,0.6537491086600673,0.6692113183265153,0.6950422916012114,0.6614679637817564,0.655268547611857,0.635042167625088,0.6440414640486225,0.666642656277215,0.6706153912393928,0.6798569049160345,0.6751517086764955,0.652925257949585,0.6249605858728501,6.96,0.6656373398295186
4,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.8407501623646205,0.5768153039125093,0.5797891452879289,0.6053785271880063,0.5757751347005325,0.5727052917827311,0.5733275142437486,0.5826548806663215,0.5626131156971818,0.5750395510338058,0.5845199778000322,0.5844885608181105,0.5754254823509237,0.5720544778216381,0.5770760856404915,0.5825890649153614,0.5901146495307192,0.5811140810879428,0.5744314878430796,0.5655577367913611,0.5696681038159583,0.5806088181259166,0.592342789451541,0.6014078380616424,0.5787839733964502,0.5757426247074894,0.5844637261732153,0.5824772225723684,0.5743759309741854,0.5979743589917899,0.581276679137894,0.5878013853837317,0.5749139793327566,0.5726913577262522,0.5718598259599796,0.5806017164860507,0.5774837717084204,0.5830990427149304,0.5824094220762047,0.5942040853880883,0.5633841027401219,0.5691781349777585,0.5700510832658765,0.5808919799388155,0.596165292977854,0.579218983703629,0.5740813995967757,0.5774909658877697,0.5689271780485764,0.5600417233947799,7.02,0.5843167545638773
5,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.8090940654922972,0.4902407267597313,0.48773397031258875,0.5320740875805686,0.5158685603494828,0.5192606912338931,0.5136052737226003,0.5086951059589471,0.4735079726669303,0.48796471576019407,0.5075523754987303,0.5268370806367806,0.5200632150051533,0.5103756926387798,0.49988221608045286,0.49478552946093274,0.5045800481219361,0.5043069836805907,0.5142580496854642,0.5129203618083548,0.5093836972046036,0.507596192560086,0.5062078628854206,0.5190232193200702,0.5068688214971716,0.5153162570311713,0.531836739542171,0.5226926432024624,0.49682815702507893,0.5109930478339229,0.494843927318186,0.5114354239100399,0.5161170862248666,0.519900431562407,0.510016691010388,0.5051154556301489,0.4896735945748968,0.49704863559660356,0.5069908834976415,0.5357882500375786,0.5078166089097729,0.5094541706612834,0.49364948136316317,0.48991977336693837,0.5134224460401006,0.503809091441674,0.5126084619504322,0.5231030643632296,0.5077662463751722,0.48567941708580836,7.06,0.513890250029538
6,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.7750718348326978,0.4383438040807522,0.4408018779840448,0.4767779117076067,0.4501645368514826,0.4401113369554859,0.4376446582044308,0.4439551567720713,0.42293531900104925,0.44133083821650293,0.45347516674489485,0.46287238532467867,0.4410453412178335,0.43386026599111993,0.4357152944133735,0.4448290407135138,0.4581140966759469,0.45266356110867134,0.4491680904521223,0.4359356276926258,0.4361699728749152,0.4424581258323459,0.4557396955496196,0.4733989603535534,0.454442909002142,0.4475450915970523,0.45340897722161805,0.450348843787635,0.43399727647465275,0.46115046834214085,0.4496343916617088,0.4588248867690905,0.4524879805117362,0.4397574591858143,0.4336420815090943,0.44305800509787197,0.4384831076936452,0.45178208179929935,0.4560494941515492,0.4737109500095853,0.4288686527065863,0.43385198963819926,0.4289141623296008,0.4400230686279508,0.46596775645585126,0.4499798292297546,0.4467891000166586,0.4456157481213586,0.4311501084650894,0.4210798791800264,7.08,0.452662943982741
7,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.7302291167985638,0.383836823489978,0.3747032315612794,0.4119712261998326,0.39364478873314807,0.3949816453515637,0.3967068148980922,0.4004798349442821,0.367104716882559,0.3725579980827946,0.38516380455103055,0.40468977319263794,0.3976923591353523,0.3950102226438842,0.3918806456894343,0.39039971352033376,0.38931071458747907,0.383641707210023,0.39021242296832875,0.3917462344126235,0.39724829973927805,0.3974536664277818,0.40189588229682727,0.40744888261340484,0.38557670672740935,0.38874947132798293,0.4092463021047611,0.4108725000980161,0.38719639577272025,0.4062423883217917,0.3828979615615351,0.389780121642668,0.39306089231820424,0.3960130897293953,0.3953438150288191,0.3981829479423102,0.38049309103480267,0.38287804447468227,0.3883541679026555,0.41410768088958083,0.38491190496381844,0.39492740065484017,0.3852736460337353,0.3844986232863661,0.3964516608204174,0.383113539329453,0.39143687543830696,0.39908795600446306,0.3909682026662863,0.37540982167876175,7.16,0.3989017146736859
8,17,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.6849520926688256,0.3356534267862219,0.33398407758209053,0.3738043448453445,0.35362228375564125,0.34576275020722647,0.3360564619172959,0.34298485160311104,0.3164236222302969,0.3354096767765147,0.35002724393165535,0.3639908798198277,0.3490066262424688,0.3357923422743088,0.33156576414792266,0.33944139880814717,0.34871384941425343,0.34746975284925213,0.35063830104903937,0.34311010918722407,0.3383349965789049,0.3400940274489495,0.35282440776562884,0.3689039528866251,0.34837100358401607,0.35008993554004086,0.3622878315248363,0.35281554099580953,0.33061577448963175,0.35662235616484,0.34420846621908346,0.3539041649130552,0.35508232756971836,0.3485318317619457,0.33527097732978084,0.34248911366910784,0.33304359521250326,0.34460334745865334,0.352285852072642,0.3720301352109386,0.33735326886441386,0.33651935650353654,0.32667422479849983,0.33424115013939404,0.3565691388703024,0.34614159590275745,0.35149285206784336,0.348442572776292,0.33280859044773053,0.3185941591860895,7.2,0.3517931280810048
9,17,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.6639115669312708,0.30123164054397517,0.2911978666199924,0.3224975032341807,0.3010243408987701,0.3014688285899836,0.3016428771802082,0.3131136321767853,0.2817205959459675,0.29440588160300013,0.2959919563167822,0.31348447998660095,0.3052239289030544,0.30213538509734855,0.30194578147902673,0.3049319640292495,0.30444352466446134,0.29598114142676246,0.2976368230074934,0.3000153850911161,0.3030940048074441,0.3077072011202897,0.3192273576139645,0.3265727494572433,0.2968251390967741,0.29893795524051364,0.3161140300042341,0.317931821549735,0.30109413924826617,0.3218593104701398,0.299204958566775,0.3002471028337188,0.300954751696834,0.3030948438943932,0.30313608934137265,0.309951703871502,0.3006083165245215,0.30157993037543807,0.29949367603045585,0.3203567741567487,0.2941125623427791,0.302759250226696,0.297687593253591,0.29991273267338614,0.314122887442367,0.29394985132907925,0.29870542092550695,0.30456852275257607,0.29850797157011866,0.287971704823359,7.2,0.31068590913931704
