,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9950620577257828,0.9813184789895552,0.9714581185696308,0.9858836470399268,0.9922317698808311,0.998492596609009,0.9971815574819416,0.9792282853894279,0.977966347596669,0.9760085312631968,0.9903494510466354,0.9906260113411979,0.9996435736699386,1.0042715595569212,0.9824671901831146,0.981137738830154,0.9736278158814137,0.9859923566840594,0.9996220637729852,1.0046824439034119,0.9979479953601221,0.9794743569256031,0.9782059454672154,0.9751967316787827,0.9908824555406975,0.99816133069328,1.0018664389192928,0.9946724369973194,0.9853422300532683,0.9798479497418471,0.971010433250527,0.9895857570709363,0.999786770799882,0.9987946490342233,0.9985995781009358,0.9802701022912196,0.9738608081050587,0.9727640794096453,0.9872860353113713,0.9950466829211203,1.0003492877818794,0.9930054665315244,0.9856414519270075,0.976036429378198,0.973737455409823,0.9850378664015399,0.993341549237705,1.0003118864636968,0.9953760746389994,0.9782480054170734,1.0,0.987938796725512
1,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9409295710341731,0.8517704650796776,0.8646867934827553,0.8867862491870028,0.8781331298070115,0.8626470020383099,0.8441700040885416,0.8358930468749017,0.850987128339503,0.8737497018522984,0.8976030911495861,0.8782126634428523,0.8680641494139912,0.8483459360673068,0.8356185356937585,0.8512861734056764,0.871770828941425,0.887908006093123,0.8837284703278501,0.8681645767433704,0.8458630655599757,0.8293189777014434,0.8490891245265527,0.8721977746040748,0.8965044626995371,0.8845761822020795,0.8666646163962675,0.835790047256529,0.8387894726687607,0.8560556692670848,0.8679504665265666,0.8980111726484045,0.8840771692700657,0.8671884807782921,0.8448016560277707,0.8329925656922493,0.8466559367702152,0.8687286645012805,0.8929229136237042,0.8841082820874222,0.8686699331842321,0.8361487841209471,0.8420964586855559,0.8513277378749103,0.8706286253086223,0.8883531930871466,0.882469850482521,0.8649985648956153,0.8416396149750738,0.8364243391460738,6.94,0.8645099865126415
2,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9035321974308169,0.7579035339407615,0.7406673574106578,0.7520872121632886,0.7480879992075093,0.7439229421202378,0.7533904059446468,0.7539910998560316,0.7551900822905602,0.7552884929199208,0.762157570460053,0.7501174663767084,0.7574580765250842,0.7582741007726939,0.7568660509842389,0.7561337345144292,0.7572451860707556,0.7455369952575377,0.7539803594716938,0.7539844955982504,0.7570158479833028,0.7477470102814918,0.7528070825162219,0.7572910769084809,0.7601517984817231,0.7538380258389673,0.7505420171826054,0.7453133497264014,0.7576176342967885,0.7583707205023443,0.7472829218140942,0.7615772365423558,0.7515779158247076,0.7553686405961936,0.7581382398073977,0.7523218170014571,0.7498163537664966,0.7494110884126415,0.7580544988619453,0.7559537197769566,0.7558645126093372,0.7487759828402779,0.7616947329641394,0.755373562216708,0.7477767993348287,0.7522884333764972,0.7538683107879005,0.7543012733208234,0.7532246880912751,0.7563008126949224,6.94,0.7567096292735033
3,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.8564874140730205,0.6500761781613439,0.6431543531373582,0.6759104654745673,0.6749952431262644,0.6636843795279833,0.6532858827004832,0.6387157136094498,0.6421838010955387,0.6599333700300748,0.685835361325305,0.6781240157466725,0.6743114805300119,0.6580157273599215,0.6416627262677268,0.6435584048663555,0.6621175877697011,0.6667825249753742,0.6809154391144489,0.6708130978954193,0.6588489827258212,0.6316379442696348,0.6407573532620683,0.6608640871399764,0.681657831750968,0.6799276556620482,0.6690083683044454,0.6473608649437351,0.637772654459937,0.6501170699551463,0.653174564336082,0.6857006426722798,0.6807082441618324,0.6734911292418644,0.6617600824824268,0.6363723181461551,0.6382354830944541,0.6543186564425436,0.6782190870920719,0.6850125397289295,0.6753748828832828,0.6488087013131721,0.6462405661294044,0.6420662149557953,0.6526730788664895,0.6761757111884789,0.6834518294509171,0.6695487008931279,0.6559331503608208,0.6431143213489976,6.98,0.6643779176809985
4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.8152857123569649,0.5897491249805361,0.5671913358760651,0.5893248929604895,0.5693009726423464,0.5638991965030626,0.5703172553945567,0.5735753782443476,0.5825264245899625,0.5868784856913314,0.6007963054203747,0.5758337421521579,0.5764652815032727,0.5746638956735489,0.5740119096692968,0.5848439345918246,0.5908266636396995,0.5771737768037949,0.5767341092899464,0.5713047240802198,0.575363379732531,0.5643270970142074,0.5786187642199768,0.5911488276363914,0.5941444927569958,0.5777556156262893,0.570101881834745,0.5588626071399169,0.5718676869865124,0.5875251167366087,0.5817647673786973,0.595828393868104,0.5746756401371008,0.5764536253183503,0.5783665815843542,0.5723740607299018,0.5756683154037814,0.5818692069510323,0.5875670987072105,0.5821622391231993,0.5767234587178238,0.5668149280028337,0.5811168919952738,0.5811227513591228,0.5802948465320703,0.5871829218475314,0.5811356925228254,0.5670659384645504,0.5720995121548591,0.5758530068313176,7.0,0.5831311693875583
5,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.7843745820915384,0.5026723190319204,0.47940231148448165,0.510687059278724,0.5081128029638686,0.5100017711486257,0.5098380355945504,0.5006585925689427,0.49545092969512466,0.5000991655879987,0.5261874404126624,0.5151237972803584,0.5227941118179646,0.5145220397046258,0.4971940746901317,0.496356482483567,0.504296939654588,0.50204923002362,0.5174745255847947,0.5166592855027377,0.5155031907823052,0.4930475862638558,0.4893923948626232,0.5082660350172105,0.5220551426491713,0.5178938570570664,0.5168218164955543,0.49892062517446767,0.5000507069939681,0.5025350587320792,0.4954424568728236,0.5238424955726785,0.5139085902180333,0.5233533361268073,0.5184529311784365,0.49773079744361315,0.485950489186408,0.49602475754167974,0.515701840554325,0.5244631232887272,0.5221165602082031,0.5043479024207794,0.508227620190405,0.4917106142496328,0.4921006321096603,0.510907771565262,0.5203787164978928,0.5123027147234099,0.5098844600484654,0.5050427368491872,7.02,0.513006649149511
6,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.7440918981880048,0.4520263084956754,0.43393954475439633,0.4553089740245428,0.4456781595047824,0.4352730944074119,0.4336808373537147,0.43687085706656853,0.4433744216903579,0.4537218811978532,0.4710939803599101,0.44794049510089506,0.4466155089073844,0.43778690853128704,0.4332349728573426,0.444331807757247,0.4592761506597707,0.44865462694514274,0.45104380311595127,0.4369111265357412,0.44063423922088807,0.42776509375681926,0.43885685146184483,0.46150802868188223,0.46849884459879576,0.45288619648282413,0.4363099250119759,0.42379668428308653,0.43565758341433686,0.4527844204090493,0.4501761846032176,0.4695100708892515,0.44688686542203243,0.44632615131639225,0.4444292949017306,0.43415697293260047,0.4353771844552075,0.44912698292803954,0.46268629799114774,0.4618374016608891,0.4437075116857812,0.4284064994852152,0.4421388990683102,0.4405751199433411,0.44543612862226734,0.4564682224663933,0.45513008426797447,0.43536256180085264,0.4351767791534969,0.4391901891340422,7.04,0.45143317255007337
7,14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.7003766461403672,0.39664556805822704,0.3642153065060177,0.3860062873732217,0.3867690505708702,0.3902350445968947,0.39247061142100087,0.3894483691645453,0.3850899001089477,0.3849555790277178,0.4032005654911853,0.3904194633019714,0.40226295296484066,0.3983921929337953,0.38934673271771836,0.38894332585496033,0.3914248211714265,0.38175620938340327,0.3908240573438794,0.392025446595481,0.4009988850654687,0.3826920834736682,0.38055087187293735,0.39181894991008936,0.39932672225876154,0.39392752824757155,0.39109204330292857,0.3828733021500126,0.38972349274220547,0.397792059804572,0.38088756563069287,0.4031171766371508,0.3871801048198762,0.4040534677559325,0.405139187159626,0.3898715154148705,0.3781195272397332,0.38336013419932835,0.39508319171160794,0.4032073003123522,0.3981707218637938,0.38645249281996336,0.3965453814411096,0.3869270134045534,0.3786987989055372,0.3891788807102638,0.39732070633801103,0.38965390953312157,0.39302904042472864,0.39360029155293175,7.14,0.3971040095485974
8,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.6543357511680296,0.3471113102387773,0.3265266791120741,0.35121730832625486,0.34645801216940175,0.3422588193997342,0.33358035621786314,0.331754176285591,0.33598599094540166,0.34857455862513315,0.366674756145607,0.35039132294425623,0.35074325172450477,0.33824334143639073,0.33097604106614653,0.33974009133527816,0.3537011569594182,0.34555327224521354,0.350557237747388,0.34514572437559127,0.34267228163879226,0.32321685208210865,0.33000494268013697,0.35364626417081435,0.3638347917636643,0.3538905367874114,0.34316516664375357,0.3244344920542862,0.33335969162744183,0.34595234269784625,0.3426760481333272,0.3678334372795573,0.3463185969275286,0.3528451367596944,0.34577801753027776,0.332465932210201,0.32961999642873696,0.3451446041792458,0.35985356115190825,0.36249432712711394,0.3494202204640782,0.32700072759376747,0.3409700633119677,0.3363753532215782,0.33961794990826377,0.35188136351215415,0.35623745050488376,0.33918656901079075,0.3330934981111341,0.3367980090838355,7.16,0.34998634766128717
9,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.6371937512684486,0.3127183630643283,0.28434973972665484,0.299043914568696,0.29457688776337076,0.2974209270440641,0.3000983740903425,0.302226985005073,0.2987823246979248,0.3021519151254907,0.31562469532581816,0.2990168368440251,0.3062315563938055,0.30489972774290003,0.30065480962779567,0.3055848910856052,0.3118988756630621,0.2916168950167905,0.29776758104193773,0.3000571949808034,0.30876058236544507,0.2923613098986525,0.29728083879370215,0.3111710774864001,0.31082133064011563,0.3010994222012134,0.2975196752046012,0.2914425922318643,0.3036627512683549,0.3089293358003577,0.30215464230644246,0.3129924799486664,0.2942599471134018,0.3114456476626456,0.3123457490247343,0.3032672327489067,0.2935266183967549,0.3019317083544455,0.3069140280006052,0.31123801078376767,0.3039414783165225,0.29352180418622414,0.3092916578477991,0.3025794373263602,0.29541505267733487,0.29769774125225545,0.30514353276430956,0.2957022576747089,0.2985282406586638,0.30458958075710624,7.16,0.308829040195386
