,eta,epsilon,sigma_init,mu,K,testing_mse,CB_size,tradeOff_dist
0,0.1,0.01,0.01,0.001,2,8.242561074565904e-28,31,0.00775
1,0.1,0.01,0.01,0.001,5,8.242561074565904e-28,31,0.00775
2,0.1,0.01,0.01,0.001,10,8.242561074565904e-28,31,0.00775
3,0.1,0.01,0.01,0.001,20,8.242561074565904e-28,31,0.00775
4,0.1,0.01,0.01,0.1,2,8.242561074565904e-28,31,0.00775
5,0.1,0.01,0.01,0.1,5,8.242561074565904e-28,31,0.00775
6,0.1,0.01,0.01,0.1,10,8.242561074565904e-28,31,0.00775
7,0.1,0.01,0.01,0.1,20,8.242561074565904e-28,31,0.00775
8,0.1,0.01,0.01,0.1,2,8.242561074565904e-28,31,0.00775
9,0.1,0.01,0.01,0.1,5,8.242561074565904e-28,31,0.00775
10,0.1,0.01,0.01,0.1,10,8.242561074565904e-28,31,0.00775
11,0.1,0.01,0.01,0.1,20,8.242561074565904e-28,31,0.00775
12,0.1,0.01,0.01,1.0,2,8.242561074565904e-28,31,0.00775
13,0.1,0.01,0.01,1.0,5,8.242561074565904e-28,31,0.00775
14,0.1,0.01,0.01,1.0,10,8.242561074565904e-28,31,0.00775
15,0.1,0.01,0.01,1.0,20,8.242561074565904e-28,31,0.00775
16,0.1,0.01,0.1,0.001,2,1.306811539260624e-30,31,0.00775
17,0.1,0.01,0.1,0.001,5,1.3237066489567893e-30,31,0.00775
18,0.1,0.01,0.1,0.001,10,1.3153730297168042e-30,31,0.00775
19,0.1,0.01,0.1,0.001,20,1.3271012738174666e-30,31,0.00775
20,0.1,0.01,0.1,0.1,2,1.3218743529114733e-30,31,0.00775
21,0.1,0.01,0.1,0.1,5,1.3358007812282864e-30,31,0.00775
22,0.1,0.01,0.1,0.1,10,1.327339564314661e-30,31,0.00775
23,0.1,0.01,0.1,0.1,20,1.3196480934515583e-30,31,0.00775
24,0.1,0.01,0.1,0.1,2,1.3218743529114733e-30,31,0.00775
25,0.1,0.01,0.1,0.1,5,1.3358007812282864e-30,31,0.00775
26,0.1,0.01,0.1,0.1,10,1.327339564314661e-30,31,0.00775
27,0.1,0.01,0.1,0.1,20,1.3196480934515583e-30,31,0.00775
28,0.1,0.01,0.1,1.0,2,1.4033737714788875e-30,31,0.00775
29,0.1,0.01,0.1,1.0,5,1.3714773912232459e-30,31,0.00775
30,0.1,0.01,0.1,1.0,10,1.3409358449055825e-30,31,0.00775
31,0.1,0.01,0.1,1.0,20,1.3275966374436378e-30,31,0.00775
32,0.1,0.01,2.0,0.001,2,0.07754122427169881,31,0.0779275558551267
33,0.1,0.01,2.0,0.001,5,0.07753696166306975,31,0.07792331437984622
34,0.1,0.01,2.0,0.001,10,0.07753296126125445,31,0.07791933381349704
35,0.1,0.01,2.0,0.001,20,0.07753295485835651,31,0.07791932744234865
36,0.1,0.01,2.0,0.1,2,0.07917509488645426,31,0.07955349238266686
37,0.1,0.01,2.0,0.1,5,0.07874506600641741,31,0.07912552003213018
38,0.1,0.01,2.0,0.1,10,0.07834241977591984,31,0.07872481969713514
39,0.1,0.01,2.0,0.1,20,0.07834172450051308,31,0.0787241277990064
40,0.1,0.01,2.0,0.1,2,0.07917509488645426,31,0.07955349238266686
41,0.1,0.01,2.0,0.1,5,0.07874506600641741,31,0.07912552003213018
42,0.1,0.01,2.0,0.1,10,0.07834241977591984,31,0.07872481969713514
43,0.1,0.01,2.0,0.1,20,0.07834172450051308,31,0.0787241277990064
44,0.1,0.01,2.0,1.0,2,0.09558590866154054,31,0.09589957473655643
45,0.1,0.01,2.0,1.0,5,0.09099475808755977,31,0.09132419449090982
46,0.1,0.01,2.0,1.0,10,0.08676169180176542,31,0.08710713899735502
47,0.1,0.01,2.0,1.0,20,0.08675592886973459,31,0.08710139892131726
48,0.1,0.01,4.0,0.001,2,0.3363902028208061,31,0.33647946602106804
49,0.1,0.01,4.0,0.001,5,0.3363891633287412,31,0.33647842680476636
50,0.1,0.01,4.0,0.001,10,0.33638814183695775,31,0.3364774055839726
51,0.1,0.01,4.0,0.001,20,0.3363881411266241,31,0.3364774048738274
52,0.1,0.01,4.0,0.1,2,0.33688516955240266,31,0.336974301637901
53,0.1,0.01,4.0,0.1,5,0.3367811777357168,31,0.33687033733627614
54,0.1,0.01,4.0,0.1,10,0.33667897885534565,31,0.33676816551312905
55,0.1,0.01,4.0,0.1,20,0.33667890783561244,31,0.3367680945122041
56,0.1,0.01,4.0,0.1,2,0.33688516955240266,31,0.336974301637901
57,0.1,0.01,4.0,0.1,5,0.3367811777357168,31,0.33687033733627614
58,0.1,0.01,4.0,0.1,10,0.33667897885534565,31,0.33676816551312905
59,0.1,0.01,4.0,0.1,20,0.33667890783561244,31,0.3367680945122041
60,0.1,0.01,4.0,1.0,2,0.3413917920899175,31,0.341479747871474
61,0.1,0.01,4.0,1.0,5,0.34034813152104393,31,0.3404363569448272
62,0.1,0.01,4.0,1.0,10,0.33932170665285366,31,0.33941019888301127
63,0.1,0.01,4.0,1.0,20,0.33932101264558384,31,0.3394095050566859
64,0.1,0.1,0.01,0.001,2,0.07711050895630138,15,0.07720531857650634
65,0.1,0.1,0.01,0.001,5,0.07711050895630138,15,0.07720531857650634
66,0.1,0.1,0.01,0.001,10,0.07711050895630138,15,0.07720531857650634
67,0.1,0.1,0.01,0.001,20,0.07711050895630138,15,0.07720531857650634
68,0.1,0.1,0.01,0.1,2,0.07711050895630138,15,0.07720531857650634
69,0.1,0.1,0.01,0.1,5,0.07711050895630138,15,0.07720531857650634
70,0.1,0.1,0.01,0.1,10,0.07711050895630138,15,0.07720531857650634
71,0.1,0.1,0.01,0.1,20,0.07711050895630138,15,0.07720531857650634
72,0.1,0.1,0.01,0.1,2,0.07711050895630138,15,0.07720531857650634
73,0.1,0.1,0.01,0.1,5,0.07711050895630138,15,0.07720531857650634
74,0.1,0.1,0.01,0.1,10,0.07711050895630138,15,0.07720531857650634
75,0.1,0.1,0.01,0.1,20,0.07711050895630138,15,0.07720531857650634
76,0.1,0.1,0.01,1.0,2,0.07711050895630138,15,0.07720531857650634
77,0.1,0.1,0.01,1.0,5,0.07711050895630138,15,0.07720531857650634
78,0.1,0.1,0.01,1.0,10,0.07711050895630138,15,0.07720531857650634
79,0.1,0.1,0.01,1.0,20,0.07711050895630138,15,0.07720531857650634
80,0.1,0.1,0.1,0.001,2,3.0078538025668714e-30,15,0.0038250000000000003
81,0.1,0.1,0.1,0.001,5,3.104487337526501e-30,15,0.0038250000000000003
82,0.1,0.1,0.1,0.001,10,3.1041653846325223e-30,15,0.0038250000000000003
83,0.1,0.1,0.1,0.001,20,3.085592332546435e-30,15,0.0038250000000000003
84,0.1,0.1,0.1,0.1,2,1.3302141254976306e-30,15,0.0038250000000000003
85,0.1,0.1,0.1,0.1,5,1.3791106749279036e-30,15,0.0038250000000000003
86,0.1,0.1,0.1,0.1,10,3.045920963475652e-30,15,0.0038250000000000003
87,0.1,0.1,0.1,0.1,20,3.0680768471114083e-30,15,0.0038250000000000003
88,0.1,0.1,0.1,0.1,2,1.3302141254976306e-30,15,0.0038250000000000003
89,0.1,0.1,0.1,0.1,5,1.3791106749279036e-30,15,0.0038250000000000003
90,0.1,0.1,0.1,0.1,10,3.045920963475652e-30,15,0.0038250000000000003
91,0.1,0.1,0.1,0.1,20,3.0680768471114083e-30,15,0.0038250000000000003
92,0.1,0.1,0.1,1.0,2,1.4660139736594268e-30,15,0.0038250000000000003
93,0.1,0.1,0.1,1.0,5,1.4076381077838511e-30,15,0.0038250000000000003
94,0.1,0.1,0.1,1.0,10,2.4080997322884746e-30,15,0.0038250000000000003
95,0.1,0.1,0.1,1.0,20,2.8921109451429645e-30,15,0.0038250000000000003
96,0.1,0.1,2.0,0.001,2,0.07849505996547713,15,0.0785881992667083
97,0.1,0.1,2.0,0.001,5,0.07849079660840429,15,0.078583940962654
98,0.1,0.1,2.0,0.001,10,0.0784868022432707,15,0.0785799513322214
99,0.1,0.1,2.0,0.001,20,0.07848679416404528,15,0.07857994326257313
100,0.1,0.1,2.0,0.1,2,0.0795636955135095,15,0.07965558529548604
