,eta,epsilon,mu,K,testing_mse,CB_size,tradeOff_dist
0,0.05,0.01,0.001,2,0.011847906899053063,30,0.014116604509889379
1,0.05,0.01,0.001,5,0.011306713912588,31,0.013721967952925376
2,0.05,0.01,0.001,10,0.011284179640876538,31,0.013703405969596485
3,0.05,0.01,0.001,15,0.011252000452702306,31,0.013691147292597976
4,0.05,0.01,0.001,20,0.011284548629674707,31,0.013717909380641545
5,0.05,0.01,0.1,2,0.04991324660456289,24,0.05028158521375304
6,0.05,0.01,0.1,5,0.011067727085939,32,0.013729901960641519
7,0.05,0.01,0.1,10,0.01035484278552572,33,0.013270748626696012
8,0.05,0.01,0.1,15,0.01035484278552572,33,0.013270748626696012
9,0.05,0.01,0.1,20,0.0657261590096713,25,0.06604188427176041
10,0.05,0.01,0.1,2,0.04991324660456289,24,0.05028158521375304
11,0.05,0.01,0.1,5,0.011067727085939,32,0.013729901960641519
12,0.05,0.01,0.1,10,0.01035484278552572,33,0.013270748626696012
13,0.05,0.01,0.1,15,0.01035484278552572,33,0.013270748626696012
14,0.05,0.01,0.1,20,0.0657261590096713,25,0.06604188427176041
15,0.05,0.01,1.0,2,0.0074362051425444714,402,0.10087446231292638
16,0.05,0.01,1.0,5,0.12240196337437396,7,0.12241556789437194
17,0.05,0.01,1.0,10,0.011505380872806356,401,0.1010322444273527
18,0.05,0.01,1.0,15,0.11023589432295647,8,0.11025685873079291
19,0.05,0.01,1.0,20,0.11026030892856915,11,0.1102977848826689
20,0.05,0.1,0.001,2,0.012167117836175717,15,0.012754190740277694
21,0.05,0.1,0.001,5,0.011924765989598381,15,0.01252320521698348
22,0.05,0.1,0.001,10,0.011926965936757588,15,0.012525300054552617
23,0.05,0.1,0.001,15,0.011902818159262852,15,0.012502307992225976
24,0.05,0.1,0.001,20,0.01188595930095548,15,0.012486258587101666
25,0.05,0.1,0.1,2,0.045930168744183895,11,0.04601392208744227
26,0.05,0.1,0.1,5,0.00666695313316618,13,0.007495257772740998
27,0.05,0.1,0.1,10,0.050961612021655646,11,0.05104692351009762
28,0.05,0.1,0.1,15,0.010853384572922248,15,0.011499389404996539
29,0.05,0.1,0.1,20,0.010354842785525724,19,0.0114556871951426
30,0.05,0.1,0.1,2,0.045930168744183895,11,0.04601392208744227
31,0.05,0.1,0.1,5,0.00666695313316618,13,0.007495257772740998
32,0.05,0.1,0.1,10,0.050961612021655646,11,0.05104692351009762
33,0.05,0.1,0.1,15,0.010853384572922248,15,0.011499389404996539
34,0.05,0.1,0.1,20,0.010354842785525724,19,0.0114556871951426
35,0.05,0.1,1.0,2,0.1556084364899813,8,0.15562434299252975
36,0.05,0.1,1.0,5,0.11375512954921023,7,0.11377099585903958
37,0.05,0.1,1.0,10,0.10953261913016617,7,0.109550423452007
38,0.05,0.1,1.0,15,0.08702575651594886,14,0.08710331751531177
39,0.05,0.1,1.0,20,0.06645760339974982,18,0.06660978193657775
40,0.05,1.0,0.001,2,0.5337833425112636,4,0.5337843266409168
41,0.05,1.0,0.001,5,0.5338235659159253,4,0.5338245499714248
42,0.05,1.0,0.001,10,0.5338235659159253,4,0.5338245499714248
43,0.05,1.0,0.001,15,0.5338235659159253,4,0.5338245499714248
44,0.05,1.0,0.001,20,0.5338235659159253,4,0.5338245499714248
45,0.05,1.0,0.1,2,0.5274413771254569,4,0.527442373088282
46,0.05,1.0,0.1,5,0.5338235659159253,4,0.5338245499714248
47,0.05,1.0,0.1,10,0.5338235659159253,4,0.5338245499714248
48,0.05,1.0,0.1,15,0.5338235659159253,4,0.5338245499714248
49,0.05,1.0,0.1,20,0.5338235659159253,4,0.5338245499714248
50,0.05,1.0,0.1,2,0.5274413771254569,4,0.527442373088282
51,0.05,1.0,0.1,5,0.5338235659159253,4,0.5338245499714248
52,0.05,1.0,0.1,10,0.5338235659159253,4,0.5338245499714248
53,0.05,1.0,0.1,15,0.5338235659159253,4,0.5338245499714248
54,0.05,1.0,0.1,20,0.5338235659159253,4,0.5338245499714248
55,0.05,1.0,1.0,2,0.4701182735918522,5,0.47012000254188674
56,0.05,1.0,1.0,5,0.5338235659159253,4,0.5338245499714248
57,0.05,1.0,1.0,10,0.5338235659159253,4,0.5338245499714248
58,0.05,1.0,1.0,15,0.5338235659159253,4,0.5338245499714248
59,0.05,1.0,1.0,20,0.5338235659159253,4,0.5338245499714248
60,0.05,1.5,0.001,2,0.7595126101092072,3,0.7595129804123828
61,0.05,1.5,0.001,5,0.7595392472514644,3,0.7595396175416534
62,0.05,1.5,0.001,10,0.7595392472514644,3,0.7595396175416534
63,0.05,1.5,0.001,15,0.7595392472514644,3,0.7595396175416534
64,0.05,1.5,0.001,20,0.7595392472514644,3,0.7595396175416534
65,0.05,1.5,0.1,2,0.7342906857158751,3,0.7342910946988871
66,0.05,1.5,0.1,5,0.7595392472514644,3,0.7595396175416534
67,0.05,1.5,0.1,10,0.7595392472514644,3,0.7595396175416534
68,0.05,1.5,0.1,15,0.7595392472514644,3,0.7595396175416534
69,0.05,1.5,0.1,20,0.7595392472514644,3,0.7595396175416534
70,0.05,1.5,0.1,2,0.7342906857158751,3,0.7342910946988871
71,0.05,1.5,0.1,5,0.7595392472514644,3,0.7595396175416534
72,0.05,1.5,0.1,10,0.7595392472514644,3,0.7595396175416534
73,0.05,1.5,0.1,15,0.7595392472514644,3,0.7595396175416534
74,0.05,1.5,0.1,20,0.7595392472514644,3,0.7595396175416534
75,0.05,1.5,1.0,2,0.7271403681714071,396,0.7338488366308483
76,0.05,1.5,1.0,5,0.7595392472514644,3,0.7595396175416534
77,0.05,1.5,1.0,10,0.7595392472514644,3,0.7595396175416534
78,0.05,1.5,1.0,15,0.7595392472514644,3,0.7595396175416534
79,0.05,1.5,1.0,20,0.7595392472514644,3,0.7595396175416534
80,0.05,2.0,0.001,2,0.7572039559915017,3,0.7572043274237015
81,0.05,2.0,0.001,5,0.7572388543986017,3,0.7572392258136835
82,0.05,2.0,0.001,10,0.7572388543986017,3,0.7572392258136835
83,0.05,2.0,0.001,15,0.7572388543986017,3,0.7572392258136835
84,0.05,2.0,0.001,20,0.7572388543986017,3,0.7572392258136835
85,0.05,2.0,0.1,2,0.7540866122173258,3,0.7540869851850007
86,0.05,2.0,0.1,5,0.7572388543986017,3,0.7572392258136835
87,0.05,2.0,0.1,10,0.7572388543986017,3,0.7572392258136835
88,0.05,2.0,0.1,15,0.7572388543986017,3,0.7572392258136835
89,0.05,2.0,0.1,20,0.7572388543986017,3,0.7572392258136835
