,MSE
0,0.9871567503535388
1,0.926560339673564
2,0.8709303165393081
3,0.8134832259170233
4,0.7618482539046467
5,0.7180665203705264
6,0.6738859725703157
7,0.6303514368767535
8,0.5936602495025319
9,0.560290324445393
10,0.5259008716418816
11,0.49462604852533426
12,0.46744370006451513
13,0.43972195646453427
14,0.413752585775312
15,0.39055419779703593
16,0.3664908647836041
17,0.34591212753771533
18,0.32619886601167397
19,0.3054693375615582
20,0.28910483356869704
21,0.26881248477352004
22,0.25524715930832975
23,0.24326377069546135
24,0.23061540249466977
25,0.21823798734917732
26,0.20883041458862514
27,0.19534462051470428
28,0.18605070323809936
29,0.1774195548163704
30,0.16651928537984687
31,0.1587962359616503
32,0.15135387217681792
33,0.1442731743483864
34,0.13854696136399053
35,0.13248107684877547
36,0.12776842398857216
37,0.12345930831032963
38,0.11842439354125994
39,0.114006904390407
40,0.1106309958519383
41,0.10663291236482231
42,0.10016638229799885
43,0.09733418808553136
44,0.09428089233763204
45,0.09121746940065564
46,0.08822053667990362
47,0.08415816809296257
48,0.08209320006466746
49,0.07993357158825774
50,0.07792870814892978
51,0.07637950857239206
52,0.0743582047936855
53,0.07141716348617817
54,0.07018530320092373
55,0.06894703153945304
56,0.06761836306028966
57,0.06629302107379295
58,0.06494028974090743
59,0.06258780523157385
60,0.05840282734489896
61,0.053708860335227225
62,0.05046007075247669
63,0.047928167639091634
64,0.04440643512917689
65,0.04089151089983959
66,0.03923245449526944
67,0.03661426063232644
68,0.033682245295035905
69,0.031612818488693836
70,0.030085383311608854
71,0.027873642005722135
72,0.02566422733263896
73,0.02463228046412741
74,0.023007689546512805
75,0.02116403468953163
76,0.01984584351083091
77,0.018925131746180626
78,0.017531228583816925
79,0.01614050347643248
80,0.015497095321955137
81,0.014486960697331373
82,0.013325588919627223
83,0.012484334241266916
84,0.011929255814245187
85,0.0110489319647229
86,0.01017176020016831
87,0.009769635405279656
88,0.009140489461760302
89,0.00840744826154278
90,0.007869633568296593
91,0.007534943289311379
92,0.006977777648423351
93,0.006423414438317547
94,0.006171465221997346
95,0.005778935522428431
96,0.005315332873876727
97,0.004970921913286048
98,0.0047690891475213985
99,0.004415703561569115
100,0.004064655208714443
101,0.003906395839218073
102,0.003661068452790057
103,0.003367290494453919
104,0.0031463678800133766
105,0.00302463681395675
106,0.00280002937801939
107,0.0025772908736844437
108,0.002477623747642146
109,0.0023240302078786764
110,0.0021375036422909086
111,0.00199556490933641
112,0.0019221348710360036
113,0.0017790824767337841
114,0.0016374803637965972
115,0.0015745475351100025
116,0.0014782197266279802
117,0.001359560900103054
118,0.0012682259780564618
119,0.0012239253299383152
120,0.0011326310054879988
121,0.0010424369637040995
122,0.001002593537401571
123,0.0009420764460098845
124,0.000866448137984801
125,0.000807587511492936
126,0.0007808567181599968
127,0.0007224787011336997
128,0.000664920821851177
129,0.0006396280844959857
130,0.0006015438399254226
131,0.0005532514805289455
132,0.0005152639268672117
133,0.000499132212125521
134,0.0004617307393464216
135,0.000424931959165879
136,0.0004088331205778675
137,0.00038482575879232746
138,0.00035393242908300806
139,0.0003293818233112377
140,0.0003196449921575153
141,0.00029563805647724804
142,0.00027206886813354247
143,0.0002617946960966923
144,0.0002466359294124303
145,0.00022683781258849673
146,0.00021095002583511788
147,0.00020507209197417528
