,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0104821769923984,0.9888344842397193,0.9991312863703432,0.9858112321096373,0.9701675694119817,0.9618203589270135,0.9501205535460485,0.9895643829790521,0.9846926594169298,0.9848662305959083,0.982525575544378,0.9720050393222053,0.9638820544472345,0.949666314295583,0.9743259609309025,1.0043835489400785,0.9876495060632948,0.9892281024482372,0.9705149754518064,0.9606489370501639,0.9573631557109974,0.970707573854988,0.9973583843971332,0.9802049234944363,0.9821177571643619,0.9653186994268347,0.9659547722968281,0.9538057328127014,0.9822924680552666,0.9911351204792463,0.9951403158473298,0.9828709640353742,0.9597654726250652,0.9630383567231702,0.9519380280915831,0.9792359837440253,0.996581931048158,0.9894650849466052,0.984403017669781,0.9588979038735203,0.9540329337008459,0.9469775952480656,1.0006214738804982,0.9857392405805738,0.9919523154832024,0.9834857963549757,0.9708131227020658,0.9559511389563786,0.9556201776277411,0.9895690079856787,1.0,0.9764535879580069
1,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1.0104820721598498,0.8470913611912505,0.828442567641974,0.8140600890357171,0.8332820965011619,0.8660319160693716,0.8916863975499956,0.8927894113373621,0.8356505702708732,0.8178073421962327,0.8146277487642,0.829706600519531,0.8712179879674565,0.8955648573242996,0.8817135124227897,0.8617578952449836,0.8188484725185652,0.8205399176022823,0.8344284086772958,0.8668737449551795,0.8964728545002019,0.8808996571287318,0.8543942322269253,0.8170910982051512,0.8124250872026465,0.8265263486316925,0.8715522916369771,0.8963227917736627,0.8894840074718284,0.8428300988861936,0.8237845368525893,0.8160981945287118,0.8152456014205908,0.8703333506789502,0.8938362011139489,0.8844144807335801,0.850995985193845,0.8246756770424184,0.8136306261587728,0.8173550603512593,0.8583972908406945,0.8920024758299968,0.9102598497321995,0.840975448252762,0.8249485574057716,0.8166821277637889,0.8307025787278477,0.8614348915849953,0.8983918132641002,0.8918140024749994,5.94,0.8551316037513242
2,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.010482072160937,0.7825502686456872,0.7454555896801756,0.6975893881644426,0.6911300766516085,0.72042155211957,0.7603773833711182,0.8005534432920877,0.7724179240185164,0.7422009046248267,0.6947651159401491,0.6843301891984376,0.7201086367908368,0.7558805668821992,0.7940595943799731,0.7999524708752443,0.7435709009516291,0.6995169751991722,0.6932014743539833,0.724546561854085,0.7591063617146093,0.7907928551326129,0.7916251219445438,0.7401309426110595,0.690433720502767,0.6825433013091876,0.7242365021818118,0.7622929307878933,0.8014194354955603,0.7805533625687624,0.7452178499251779,0.7004166137475756,0.6754513562924975,0.7171493335843473,0.7568189716229347,0.7923785384763258,0.7883490107063483,0.747409345609459,0.696019563068155,0.6705237353756346,0.7054253351708561,0.7521453749505983,0.8184334894941281,0.7757933394743531,0.7461274494539802,0.6968747706664575,0.6841830537431386,0.7155099467713677,0.762738362015518,0.8048753277366969,6.92,0.7461617278257807
3,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.0104820721594037,0.6686259285548981,0.6666112536040606,0.6429878574287778,0.6228984249881542,0.6116334427809699,0.6312208253560709,0.6544355637443483,0.6590984266723648,0.6632889867200319,0.6416281042199751,0.6189557830772359,0.6103991279238586,0.6253403590723721,0.6588317583977842,0.6851265176317729,0.6651736527284976,0.6460014428594347,0.6269616193176144,0.6177817577311424,0.6247060338179344,0.6572922443991075,0.677082981168897,0.6676723552131767,0.6411103569094629,0.6170265335003763,0.6168028732183862,0.6303944397656561,0.6613726715810918,0.6690785713406748,0.6682957176255911,0.6490933838129399,0.6118943970530835,0.610418818221079,0.631746792511637,0.658459635393885,0.6705410540887905,0.6711830339091109,0.643005192465345,0.6068217053274132,0.5946050425569802,0.619172948322085,0.6791788549423157,0.6631739227090617,0.6719079498278782,0.6417653495592515,0.6197872759859797,0.6053308739218677,0.6304745605130502,0.6649452823270634,6.96,0.6500364751391587
4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.0104820721594037,0.5490888822963502,0.5492248882436787,0.5535741198960388,0.5591920169078282,0.5660873043445165,0.5639461761329845,0.5540762325014108,0.5406129995353992,0.5491993354592065,0.5525502403871945,0.5570287287359486,0.564842884122262,0.5632180524448012,0.5564313234067306,0.5682304645642795,0.5496071458423851,0.5545150859421704,0.5639257279713398,0.5700043490687954,0.5577977693120502,0.5585721887632137,0.5632182365107101,0.5520325663685456,0.5467083508449276,0.5512243165802925,0.5669636344488438,0.5631469669679806,0.5594636712335876,0.5523891010063651,0.5499708135372611,0.5519671726368439,0.5480722917163421,0.563191628223198,0.5678670414954522,0.5544426671563476,0.5515441210877811,0.5561145715571976,0.5545450211936349,0.5434095170812632,0.5481552610738821,0.5515398916765668,0.5803341834427781,0.5482780856837768,0.552648619265415,0.5522511349563963,0.5550369834109448,0.5559772661670266,0.5665137319038661,0.5666431205348589,7.0,0.5657171591160015
5,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.0104820762425828,0.49761788595693374,0.4682216527875332,0.4586203881758314,0.4624275303851344,0.4885479075827957,0.5106230068246613,0.5146473006232839,0.4918871611687075,0.46735503302389425,0.45906484925886576,0.4610700748184695,0.4840677593419025,0.5092578449273145,0.5183809472486826,0.517700042302925,0.4702544210443919,0.4619806204147936,0.46606530072792074,0.49192689856304456,0.5068334617229641,0.520757869858203,0.5103771350926809,0.47464504788629674,0.45303654876475774,0.4578171246008851,0.48726491350061885,0.5100098558662003,0.5219155576434056,0.5006142404063689,0.4670001578445779,0.460055004306039,0.4547706257002144,0.4877551841558473,0.5131688411806375,0.5155978990498848,0.49926960905393825,0.4758090933530339,0.4593674572355283,0.44845573341703643,0.47044845816836284,0.4983602315046069,0.5406839362643153,0.49926997821776153,0.47354670926611886,0.4574976519944769,0.4604579460950948,0.47909514087746585,0.5135778962697792,0.5279599926237651,7.06,0.49711236006681064
6,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.010482076242583,0.4456784249669427,0.4350520511482592,0.41404202829264464,0.39342683865083444,0.40585341017024573,0.4202196632165187,0.4409127773180845,0.4415766679263966,0.43460928147203637,0.4172247106893948,0.3894608757025662,0.400816353759963,0.423519717634275,0.4438715971617818,0.46499720025064845,0.4362738633991941,0.42037420795199176,0.3941465838167876,0.41129347038224107,0.41627263554436955,0.4456078109806414,0.46120369164030267,0.44120731573935223,0.4083066092562307,0.39098995506800327,0.4047363060165123,0.4224229376952762,0.4466115666139905,0.4497271488836866,0.43082034198163455,0.41489162994722073,0.38627911920863445,0.40395813217131704,0.42604419259554305,0.44013643234053396,0.44665229350226776,0.44329817536436567,0.4183551398629689,0.3813985584094921,0.38833232964873643,0.41133228330236,0.465426910202573,0.4474053416885291,0.4389614101697237,0.4160542937371065,0.389819185439424,0.3981617166884671,0.42425552523172344,0.4503960857139053,7.08,0.4350579374959656
7,13,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.0104820765608022,0.3698423446564367,0.37244282297105913,0.37415138197736153,0.36449103943060934,0.36521389044169617,0.35816916476809113,0.3664994665188748,0.3654628490333613,0.3697916759853145,0.37576704753540213,0.3609990343406429,0.36027525213362405,0.3607601255411562,0.3656283525745806,0.3844694184431586,0.37522563963949923,0.37775888565846655,0.3652480159724092,0.37390721445806946,0.3491976710286866,0.36969369076172415,0.381069406001766,0.3786157877900095,0.3652116305657917,0.3615900048688171,0.3667262321069821,0.35866214450713874,0.3675128312807515,0.3706858268663099,0.36793931325133966,0.37128389981944454,0.3589947755842067,0.3653965460508264,0.3634608169831235,0.3642596683154307,0.36604865896616984,0.3798112005121054,0.375222060893543,0.35347980070377333,0.34899443625283083,0.3469127501578342,0.38768128589012735,0.37091463083604614,0.3745338227630824,0.3743299770540724,0.362620321856139,0.35943547967689526,0.3625271239926495,0.37639689103937907,7.12,0.38031588770035235
8,14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.0104820766210767,0.31608849298620134,0.312237427718592,0.309707165644821,0.3121315600059762,0.32698809282559593,0.33185171916680256,0.3353233211823442,0.31137867664105895,0.3054830266947146,0.31519089281400303,0.30603079589034154,0.3232734736117597,0.3356950807768111,0.3307217285689419,0.33043307044322257,0.3115548309933769,0.3152011062421886,0.31203113964265045,0.33617476167244503,0.3237318046417623,0.3377810730537219,0.32348863843831294,0.3155661794618062,0.2995238972385325,0.30854270888954943,0.33035760695218813,0.33133781371978344,0.33438643348874,0.31423515763025966,0.3028332929838229,0.30829882452521207,0.30667134679813124,0.32657788940090066,0.3398769634850112,0.3283060799054776,0.3129057132514311,0.31727730521367936,0.30964626017166297,0.3040809735482749,0.3125624316679849,0.3242053172860502,0.35601920162365736,0.31797425300399823,0.3114276200131388,0.3118801093013522,0.31291408431748485,0.3253377616598619,0.33721124985159917,0.3414912285956903,7.14,0.33428855320524
9,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.0104820760060615,0.29311294871721977,0.2817353805168708,0.2649362978053411,0.2562397739850363,0.2675917475740877,0.28328990982874536,0.29992837766044966,0.2896621660723349,0.2791618339331886,0.2709959698613406,0.2534047471886878,0.26947061279140905,0.2891371837725328,0.2945659829783338,0.3091740710842134,0.28332901413919304,0.27012516025594685,0.25965292623152314,0.28077358814424785,0.27325036974454536,0.299742424978246,0.3030513099691672,0.2884645374143067,0.2530148598962522,0.25592806372090043,0.2758724488306594,0.28207367681234197,0.30045802879281297,0.2912080733035912,0.27502511285306613,0.2643816225108081,0.255349413353678,0.270146801905225,0.2927940023137723,0.29394673775837504,0.2933900444458827,0.2883167614438232,0.26435366874162564,0.250093664438159,0.2569339082220009,0.27796640244788656,0.317350488039475,0.29595384159414834,0.2839096944189724,0.26661810003525116,0.25715046173142586,0.2706989995035079,0.2887891965619653,0.3079789405012326,7.16,0.2940196284965973
