,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0158719014784727,0.9948151378906281,0.9815023240419464,0.9816881334216965,0.966454742870366,0.9609585338225173,0.9451520134529988,0.9792133134134275,0.998083095319025,0.9849852582336092,0.965741711498284,0.9759152809559695,0.9646687146070281,0.9341514957705798,0.9870213150721326,0.9932463349691351,0.9803120083672658,0.9757259515139043,0.967105013978895,0.9558194841142778,0.9542284814153825,0.9821069371153781,0.9816678744536302,0.9923595078563244,0.978473706392085,0.9677333275526564,0.9583694751386257,0.9581713604826004,0.9799311385412334,0.9855503980816387,0.9885100281625651,0.9824697703686435,0.9589639626388324,0.955150730820321,0.9585537586615237,0.9863274643934576,0.9994558873890366,0.9843035564818109,0.9837984741734229,0.961123044683958,0.9576924017252915,0.9459060302774849,0.9949883469545054,0.9869104840357155,0.9870288195624556,0.9729284718676706,0.9594155229925306,0.954565692194586,0.9541881838445241,0.9940221337735763,1.0,0.9742665347364725
1,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1.0158773159886036,0.8425823166890557,0.8158389154286572,0.80705881438694,0.8379559706440171,0.8643549765283265,0.8773109930550277,0.8894356122238081,0.8504244169436825,0.8143317916039657,0.8005383156579126,0.8360605640429332,0.8667479010796282,0.8684142989677416,0.8938716043366415,0.8542445221937147,0.8115125560957904,0.8045846496197019,0.8258642280993507,0.8576485531181072,0.8872538625054694,0.8887933475662169,0.8336450628685265,0.8193188670152936,0.8180401846320062,0.8260205624146013,0.8621753080675754,0.8923560540168551,0.890687466837816,0.8374698009617699,0.8212361446039625,0.8162021291345988,0.8206771072121868,0.8617493032546182,0.8914811272039566,0.892948676163257,0.8476434003041728,0.8171742986208295,0.8151993522384383,0.8306072613716491,0.8622226594526154,0.8797565594581581,0.9048437425052801,0.8372651332793525,0.8168833778136352,0.8055724471807157,0.8180695682117951,0.8626509344936202,0.8857447171826663,0.9005770760189599,5.94,0.851578476985884
2,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.0158847347166793,0.7824637843907769,0.7380254952576015,0.686042122293034,0.6968762717670927,0.7181120756946711,0.7515793656652124,0.7967177524998789,0.7933857312627142,0.7373109403937991,0.6827034400974614,0.6950743198967778,0.7253902862343624,0.7478539776569719,0.8026231793418154,0.7983610532672353,0.7350268646057191,0.6818698725619982,0.6832532314467256,0.7042685297821595,0.762056107736775,0.79829437834609,0.7749050057545511,0.7437629904749038,0.6976709199651927,0.6796234281864887,0.7146546245180755,0.767113817014708,0.7976291547001375,0.7787607666500442,0.7434082850241438,0.6987626691460257,0.6721261547480616,0.714569833797998,0.767375003723577,0.7975744793492673,0.7880600269019367,0.742476922082636,0.6982391554047349,0.6880173829149553,0.7162878493469694,0.7565472154501452,0.8129531377997401,0.7767154377618054,0.7388189209933606,0.6881692297317015,0.6745301327496652,0.7196880547574682,0.755405169910519,0.8063808646828733,6.94,0.7448680029691448
3,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.0158935179384232,0.6671930109069696,0.6599990583163095,0.6370562278975531,0.6287779320015933,0.6094619113776186,0.618950684551712,0.6577938372862786,0.6770780816909243,0.6602373099599277,0.6319956140789136,0.6281082398139011,0.61817818349809,0.618804638568173,0.6671990564344311,0.683656664517752,0.6552602736463901,0.6327993809627733,0.6184091044768025,0.5931519989067873,0.6282108977643062,0.6618758448184983,0.6612543066279711,0.6649848400853652,0.64807937553565,0.6118702435913501,0.6114748157472264,0.6344354096592606,0.6654397584029929,0.6622668639670206,0.6627351273853093,0.6490544286016532,0.6059480902552802,0.6061379242504499,0.6346297895196311,0.6574322623775999,0.6719531198185112,0.6638728968295894,0.6500766647882023,0.6257148486838939,0.6130760621949549,0.6290898830378578,0.6773615435408068,0.6625566849084259,0.6599564417889576,0.6355841544953553,0.6101657993798262,0.6151966729954551,0.6249124612531773,0.6699521751371778,6.96,0.6491060822854615
4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.01589395064518,0.5494839291465098,0.5478723461315113,0.5437827363178509,0.5667512382847605,0.5616447372543454,0.5535976329914791,0.5553416497403457,0.5605238313630491,0.5467717489152447,0.5465257202386894,0.5638724812083563,0.5716353473504526,0.5581192898007417,0.5643436897841329,0.5693285190840713,0.5425480000027736,0.5411183905096625,0.5564914926689287,0.5471236600693733,0.5653018821503344,0.5621136215699212,0.547807713157737,0.5490698694634095,0.557540030963256,0.545288973124161,0.5660113208035334,0.5723621738802804,0.5633441187389437,0.551940309950428,0.5476083966445106,0.5581434145341169,0.54370896643858,0.5620131621960514,0.5721009968654475,0.5556985045641969,0.5566831562390607,0.5476763798069433,0.5563728185778751,0.5647903106206233,0.5670725419622376,0.5665439183727737,0.5771815031872074,0.5493157141401573,0.5434061348403678,0.5442467532828745,0.5460683459019774,0.571857089012269,0.5639132795282851,0.5668277002707114,6.96,0.5660955898459146
5,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.015943738677518,0.5028630847755737,0.46929712643263316,0.44947771929180713,0.4752529863386353,0.4833597571041346,0.5002916680992854,0.5182916522189552,0.5101160793118923,0.46665361422832946,0.4527540789731712,0.47428071573859126,0.4913173231990055,0.5060656338018162,0.5266946577995802,0.515248114106852,0.45871318601318883,0.4461043122439821,0.46157610537321553,0.4693018431659596,0.510948888350531,0.5246992496815853,0.4970876279612483,0.4676236195463504,0.4680650153400622,0.4500921206953093,0.48606072689802277,0.5183664181384968,0.5276875067920056,0.5010928864651981,0.4646856306132811,0.4608016321658521,0.4483858158679134,0.4849148809562262,0.5167370921530585,0.5182825109579007,0.5042249538178523,0.46761597257492526,0.4648758552004584,0.46786979246307103,0.4901996155134707,0.516104424769043,0.540339014874723,0.49982786473891677,0.46384376208007566,0.44933601745050844,0.44992880843661226,0.4990331910586143,0.5041578352639451,0.5264330585592194,7.02,0.4976585037255721
6,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.0159644505832723,0.44853427558977954,0.437237975182191,0.4075369132002767,0.4062848958910065,0.39988891712554664,0.4120552790975158,0.4400258853014411,0.4585093819085623,0.43362188314344285,0.4110083862694861,0.405362850686935,0.405951930832301,0.41602712583080537,0.4507867332401204,0.4592816513742863,0.4264646251778952,0.40469744795501866,0.39192291972123194,0.3902614654623308,0.4252274111284872,0.44954954939692676,0.44674641828706696,0.4348423148649107,0.42345779036193876,0.38327706658432037,0.4024378160957916,0.4312819422849599,0.4529388462977556,0.44952411367241235,0.4306080176924927,0.4177073098581286,0.38169950935835883,0.40708603127391385,0.42804249795485944,0.44152646866665746,0.44973647780597487,0.4336661973287184,0.419161587331821,0.3981267924003344,0.40672157162659806,0.4286303012676342,0.46854111305909973,0.44568884013128396,0.42923974090494765,0.40735072386837545,0.381662195433525,0.4162257708420297,0.41574180744876654,0.45056551521940624,7.08,0.4355687346404188
7,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.015984805122523,0.370582165103159,0.3760799616001448,0.3629497677889099,0.3794147128080404,0.3608720921237664,0.3516829844598496,0.36236603993463407,0.3833722419130592,0.369566597933934,0.36843557794956355,0.37871781193879345,0.36896946607001396,0.35451548280369893,0.37504526208398864,0.3783976709965369,0.3638867672732857,0.361779718687805,0.36317839476149705,0.3506036416945307,0.3604649386158554,0.3681423993994089,0.36729253521398525,0.37195366167664345,0.38146352454335647,0.3566342607010152,0.36329859844263024,0.36638183629250876,0.3735672381764015,0.37032439397645583,0.36755342882231146,0.3742060264576274,0.35459854392544743,0.36870397919628445,0.3674273174989367,0.36211007653137484,0.3686974118063934,0.3693202450095606,0.3761610358576727,0.37100670028800153,0.36919961080591046,0.36630057778422825,0.3901193566352136,0.36844426309180073,0.36641349186450284,0.3650382288682293,0.35455624772628297,0.38030798773239183,0.3545979083869468,0.37096777822365107,7.08,0.38083309533197524
8,12,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.015987627109554,0.316724154799054,0.3107770871882547,0.3013455603830505,0.32695977325307296,0.3237959854073239,0.32670296660269493,0.3270482064821039,0.3243389189783069,0.3030052300027529,0.3066573672598257,0.3280292972655834,0.33290082027435586,0.3308439563368257,0.34197731235485007,0.32157912030766556,0.29786567167546585,0.2987208763569659,0.3110038511011925,0.31575593190518253,0.33549325898668286,0.33377515311683953,0.3137746656513473,0.30948349218901233,0.3232895152922919,0.30362247175684487,0.3272953284736009,0.3411539150610411,0.3380334827882935,0.3146155686465323,0.3059326561841691,0.30897975714525805,0.30211894741685646,0.33255515993209855,0.34245044355536025,0.3299662663437898,0.3135989809250875,0.30710370015680755,0.30637359342380144,0.3177601995371505,0.3321438944038198,0.3404863476222218,0.3521391803432954,0.31637879762753696,0.30337723492118,0.29834550926479275,0.3000557525442925,0.3443343801570082,0.32959524036568877,0.33442309744295445,7.1,0.33441351412639475
9,14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1.015982461418391,0.2947961408235941,0.28141517073597744,0.2569192670380085,0.27603253028469565,0.26868501092721553,0.28083546815796645,0.2951099396374752,0.30310535004175565,0.2753878953408178,0.26141697145022924,0.2730794971520399,0.2756015928789736,0.28362564977283045,0.30796446563690283,0.3003648850612686,0.2692470325423865,0.25488454443544484,0.25530667294978787,0.26052414745243363,0.2884004347597661,0.30056452330745675,0.29034669218312964,0.2807784574586266,0.2802145555805426,0.250664645330564,0.27575363128473784,0.29307849258568125,0.30478638227962757,0.29332425052976757,0.2766003088197151,0.2637260410023674,0.24874932976009106,0.2780527363801876,0.29316302775097597,0.2963453160553123,0.29196342663942226,0.2772091471111933,0.2591547409189002,0.2652488795379267,0.27728611187567337,0.29326938189585405,0.3188629006371996,0.29552769306041954,0.2726991419116891,0.2525219160987411,0.24628895739700407,0.2875076201693842,0.28454191241380733,0.3013521608572585,7.14,0.29456535018662433
