,eta,epsilon,sigma,TMSE,TMSE_std,CB_mean,CB_median,CB_mode,CB_std
0,0.05,0.35,0.2,0.6450406308433131,0.11746098179248515,183,186,190,14.75837389416598
1,0.05,0.35,0.4,0.36389952623279015,0.11459790771865093,183,186,190,14.75837389416598
2,0.05,0.35,0.6,0.22341358689274673,0.1003341160674767,183,186,190,14.75837389416598
3,0.05,0.5,0.2,0.6485634974138071,0.11390099634161269,103,104,103,9.391677166512913
4,0.05,0.5,0.4,0.3611768081732749,0.1113122034188577,103,104,103,9.391677166512913
5,0.05,0.5,0.6,0.22281770321567596,0.0993613949449878,103,104,103,9.391677166512913
6,0.05,1.0,0.2,0.8163141937013944,0.07988200559055511,30,31,31,3.941370320079046
7,0.05,1.0,0.4,0.39646718314070917,0.09120593888796102,30,31,31,3.941370320079046
8,0.05,1.0,0.6,0.24027091723437174,0.09215679326564538,30,31,31,3.941370320079046
9,0.1,0.35,0.2,0.5189763250781015,0.13021273202263794,183,186,190,14.75837389416598
10,0.1,0.35,0.4,0.25213011792921625,0.10140484689102253,183,186,190,14.75837389416598
11,0.1,0.35,0.6,0.14952841775681835,0.098375902395219,183,186,190,14.75837389416598
12,0.1,0.5,0.2,0.5481389574368744,0.11575588601143674,103,104,103,9.391677166512913
13,0.1,0.5,0.4,0.260432087040374,0.0984701983652453,103,104,103,9.391677166512913
14,0.1,0.5,0.6,0.1555433120464323,0.0981072410004288,103,104,103,9.391677166512913
15,0.1,1.0,0.2,1.028382953953702,0.1667700945543582,30,31,31,3.941370320079046
16,0.1,1.0,0.4,0.38053820401657107,0.0835330250664079,30,31,31,3.941370320079046
17,0.1,1.0,0.6,0.20467303179261,0.09523880266311886,30,31,31,3.941370320079046
18,0.2,0.35,0.2,0.4401633421056041,0.1098162434531036,183,186,190,14.75837389416598
19,0.2,0.35,0.4,0.2501299769163083,0.08987950791032785,183,186,190,14.75837389416598
20,0.2,0.35,0.6,0.1726107585630481,0.09445126405907897,183,186,190,14.75837389416598
21,0.2,0.5,0.2,0.5505201404929119,0.080080286053212,103,104,103,9.391677166512913
22,0.2,0.5,0.4,0.28583936832042683,0.08925283774795972,103,104,103,9.391677166512913
23,0.2,0.5,0.6,0.18952521428348465,0.09327202881851182,103,104,103,9.391677166512913
24,0.2,1.0,0.2,1.8718267727239684,0.5403089682204368,30,31,31,3.941370320079046
25,0.2,1.0,0.4,0.6069489227981469,0.13871660773894076,30,31,31,3.941370320079046
26,0.2,1.0,0.6,0.3063128177007556,0.09448361551582017,30,31,31,3.941370320079046
