,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.997803380712357,0.972627905123393,0.9734813686984691,0.9862173271701109,1.0004586363025953,1.0019792881072374,0.9952290496828515,0.9770822669640838,0.9808152838051706,0.9691038526777469,0.9874738025159723,0.9975664827272526,0.9989394198759295,0.9943497301920672,0.9773867838906917,0.9773564572467036,0.9724012411682063,0.9823387582664762,0.9945292615532487,0.9995345167617179,0.9989974582906571,0.976099066497516,0.98381249315347,0.9741360546114817,0.9904470816480935,0.9995265524077773,1.0013679210807551,0.9989776253705992,0.9731501674822121,0.9769253426725998,0.9738461727388197,0.988032637833182,0.9987148022807273,0.9997991111347846,0.9968162091278377,0.981359869346402,0.9733747484295356,0.9730460089214064,0.9880088046542033,0.9995340992391172,1.002177980662679,0.9941870917263728,0.979972854611131,0.9752781935438256,0.9747542640361364,0.9865498780049026,0.9945337255605391,1.0020788225599342,0.9947911104530385,0.9796697355443189,1.0,0.9873328139413267
1,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9612266370925096,0.8433185628479084,0.8687374976468137,0.8896234015328607,0.8852200665543528,0.8688735668885952,0.8434096501673111,0.8381819956714021,0.8560877585255353,0.8638094974735627,0.8902147566663091,0.8832188934180257,0.8632016194619004,0.8437498469060288,0.8286020468092722,0.8488217956689387,0.8701091460799055,0.8876159800359565,0.8790581655556212,0.8679568133567691,0.8444936706050749,0.8423430008540593,0.8560228299681034,0.8726685069133344,0.897464791570503,0.8825513346376563,0.8676558209986219,0.8440690717221124,0.8378088447762987,0.8513882358201679,0.8752722351821302,0.8895464964870966,0.8857728109087515,0.8657128700286173,0.8434151082933479,0.8397034644487872,0.841330253808381,0.8676757742379666,0.8918858465342406,0.8902549794568986,0.8654832557728083,0.8382618000060178,0.8354429755903016,0.8509133796265128,0.8726824305869925,0.8926149703538013,0.8835561912822818,0.8620875013244492,0.8418315088351194,0.8333053273409091,6.9,0.8648850597266186
2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9370328728538029,0.747584892750503,0.74423286540099,0.7484339042599868,0.7557176468797797,0.7570384445818088,0.7550021132285909,0.760635060828909,0.7609328844193592,0.7397117712988472,0.7495166156362895,0.7483444595082877,0.7506953522576157,0.7548364344426507,0.7487463127797893,0.7511457108373606,0.7523324651888582,0.7510416597829165,0.7491873082603897,0.7582690524356802,0.7552001972154954,0.7633992064296015,0.7607642293381448,0.7546854045487674,0.7625876026799796,0.7458872885679815,0.7568657367173064,0.7574521939513373,0.7578905553677323,0.7526148513687211,0.7585920395414567,0.7494890865931043,0.7529541506941465,0.7532791407512531,0.7549182717527699,0.7576026655993578,0.741536689899828,0.7502647184349535,0.7508105928725599,0.7629485419709487,0.7529615505139912,0.749536832616048,0.7536411290036035,0.7540178446375849,0.7552733785325701,0.756016961913939,0.7509326330789109,0.7476382037659459,0.7533910307495507,0.7502822034148041,6.9,0.7568774552030962
3,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.8926322153091075,0.6363587567312102,0.646958689490778,0.6694118978574254,0.6855632228166808,0.6728087518313375,0.6544622751305981,0.6493077143218756,0.6497686814148008,0.6411186271163299,0.6729090440995876,0.6744164182595103,0.6685846017168513,0.657146651091645,0.6309402780101827,0.6409580566858565,0.6550714682239895,0.6733766993266507,0.676985269121466,0.6773711821767946,0.6583256061081098,0.652398451349154,0.6486557484390787,0.6597920125391372,0.6855902986903247,0.6725611951642981,0.671124032934919,0.6556037210941512,0.645672485044093,0.6398542421247694,0.6637704797473782,0.6744478442154856,0.6817813080787275,0.6710616825287954,0.6508365807685851,0.6387517589360469,0.6273150520231182,0.6532675254317023,0.67328566069368,0.6934925252530347,0.670913880490235,0.6483608373192223,0.6383358889431799,0.6424597951273168,0.6626107488513858,0.6775781280929919,0.681072293635985,0.6655715455560026,0.6536637907191537,0.6381735674648147,6.98,0.6644495837619508
4,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.8445718398134084,0.5737840056409496,0.5755222805601221,0.5834497620797751,0.5816696904967475,0.5715654175507214,0.5674907496913784,0.5846950134093762,0.5899739150964376,0.569841713759589,0.5838737507089139,0.5714457872453449,0.5646474738545585,0.5744552551039467,0.5656966886029222,0.579286546886734,0.5830114020506778,0.5838503565046617,0.5750217731155524,0.5812877249199836,0.5720746925596759,0.5861489906770871,0.587574364066632,0.5862449735858623,0.5977397475886281,0.5670149502723697,0.576161277451617,0.5699802750672813,0.579921895843505,0.575501286066368,0.5920080929952073,0.5835724620750002,0.5759871144447961,0.5731981170102884,0.5687703767020194,0.574650340353759,0.5668490304489769,0.5798503757547375,0.5852071804512424,0.5883766868858433,0.5710764670076685,0.5661685387961584,0.5714775464821785,0.581197877081237,0.590841060972654,0.5865696402574615,0.577566208053363,0.5655365863450388,0.5688346803448935,0.5725545686940652,7.02,0.5828759310285484
5,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.8162747663872999,0.48541647252049996,0.48967943394062097,0.5072747874499094,0.5232806651937885,0.5178015685269325,0.5069895591901903,0.5139048646050951,0.5035744547308917,0.4850812902758598,0.506829009261667,0.5132663088513292,0.5107332098309618,0.5117590928125475,0.4902954027790382,0.48932905852918385,0.49832736135336514,0.5077753866910029,0.51483788594371,0.5295808417868197,0.512826183079879,0.5155354944329422,0.4977345308239226,0.49980933025780006,0.5201251538518589,0.5088674069313357,0.5251561902110095,0.5066431503076714,0.5119683306576189,0.48735659936461695,0.5062280976379191,0.5091372685077302,0.5205401998154886,0.5190171274603558,0.5091634438215334,0.5016725352636962,0.47764103097661054,0.49534315093154907,0.5105091808531506,0.5277257817859379,0.5167638176574733,0.5055411895624863,0.49780850134460514,0.49339014769407263,0.5061118107754741,0.5133586770249932,0.5175560139001264,0.5109934646615765,0.5064340352382511,0.4972729523234924,7.02,0.5130048443563178
6,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.7790465100143241,0.43568696041566707,0.4423558441836936,0.45391418918355336,0.4591673652069467,0.4394079035015398,0.43269139006748114,0.44892666737777503,0.4542186705919759,0.4370885261651242,0.45090451586095054,0.44466748511667104,0.43254915449042064,0.4369577523694205,0.4253669315673663,0.4406011596026835,0.4533108829180278,0.45361168251362166,0.44824464801524266,0.454193782370559,0.4358005098536648,0.45082348923165905,0.4486818664756038,0.454385220803342,0.46574690941592733,0.44313670501334534,0.4469817248574864,0.4330577576970217,0.4462567200909896,0.4374348770690986,0.4617173627074999,0.45491654431818535,0.45389628139393934,0.44205908260400373,0.4348713893396973,0.43530920065907763,0.427219934324404,0.44962439924490083,0.45577067188254855,0.4611356408588441,0.43757295546136094,0.42705173267454255,0.43444445214190064,0.4423318743325764,0.45915774920159325,0.46018676124882457,0.4529838535840604,0.42906573324527436,0.42922046412018544,0.4352964716353652,7.04,0.4513810071403993
7,13,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.743321949358232,0.3793998103237949,0.372538045118163,0.38479713560658874,0.3977657913238843,0.3964650327000341,0.3912961902228347,0.40361055201078,0.3992341666626964,0.3662650033990604,0.3840777506612558,0.38959736407412515,0.38895293904937017,0.3941469344389399,0.3818361635695769,0.384430940066501,0.38623880434605606,0.38440332111919906,0.38777691422280075,0.41143072593747726,0.39651534004432487,0.4045813792182895,0.3915310570439174,0.3845730908089581,0.3989796838960545,0.3867355411499095,0.4032978766755256,0.3932622958279084,0.40007970721958236,0.381761047136518,0.3927218670824462,0.3887630518313805,0.39865379591929523,0.39985989157224217,0.395890275958794,0.3924572624323813,0.36976446193356133,0.3816063773111513,0.3858318799258058,0.4052867477184385,0.39207466856799694,0.387773872192656,0.3895310087816534,0.3837807754433781,0.3910440687667849,0.392370911179912,0.3957964856635484,0.38705615440058905,0.3899620670276324,0.38916710900726753,7.12,0.3975659057189855
8,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.7041651863624496,0.3289477626531353,0.33399571933561567,0.3486524858774968,0.3546066369951802,0.34683201863677804,0.331912981919412,0.34486649909782735,0.35054395521146475,0.32802123822240187,0.3483783251929078,0.3503588253917061,0.3416549941197735,0.3373182648999225,0.32628268567004254,0.3353387278502475,0.34898964072494026,0.35052952370903234,0.3486767460778963,0.3638254421528775,0.3354407729983869,0.3479997387112355,0.34238997348072703,0.34605718554679865,0.3626097187803858,0.3461770509565479,0.3543731327733747,0.3345313966726176,0.34306864910417734,0.33243640220162984,0.3534284480639159,0.3525538560395647,0.3571761055994648,0.3499193599636691,0.3338208145023661,0.3341289375648703,0.31949383598543213,0.34392208412437186,0.35110686195621305,0.36418745574180333,0.3438668861194691,0.32993419760231224,0.33282008890892417,0.33410019704912164,0.35414734672328096,0.3581502648693621,0.3566548352717023,0.33757083044529396,0.3308522188231766,0.3316474078026027,7.16,0.35076927428967813
9,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.679264961899741,0.2956469427248515,0.2890612617063675,0.2956691629558597,0.3016819125466344,0.2997640264584795,0.2979520762171877,0.31464985324521855,0.31617327414901375,0.2848769162188397,0.29518161413671307,0.2995136680412044,0.2984355167161355,0.3032504798182801,0.29568506316022886,0.3011899826811546,0.3056498912215801,0.2965988826663265,0.29801091751088304,0.31861746881559716,0.3041681492498758,0.3177371771585464,0.30681549392185997,0.2990224778281183,0.3113594271040122,0.2942897544237173,0.3078447377247605,0.30240453784063637,0.31249722138567604,0.29864735860361663,0.30846838051597825,0.29977549713428286,0.3014042266185096,0.30484699698643997,0.30290367747135555,0.30518327739218465,0.2866683167549014,0.3017353519653063,0.29706629021488035,0.312551413734025,0.2975937625843664,0.2981975384294409,0.3021719743563973,0.29933720083152365,0.31087153084761415,0.3038581788671789,0.30261823582126124,0.2939240545044837,0.2986618592052855,0.30193068028318826,7.18,0.3094285730529944
10,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.6355725441448065,0.2504238676685736,0.2526572450609956,0.266160074163612,0.27496149620883364,0.2727716500338995,0.2595338156994012,0.26989041223030075,0.27188338586057936,0.24763928470252125,0.26554692142625275,0.27186523431204307,0.2691404547870432,0.26798460234113775,0.2515812221277231,0.2564120184832705,0.2685827440843123,0.2676388736577401,0.2710436341462878,0.2863971538007156,0.2682723823031694,0.27245735357303724,0.2620394882042022,0.26039959650939065,0.2813824741844458,0.26913984513727074,0.2771686572271086,0.2670710141345329,0.26860959194317413,0.25479798815144594,0.2713810583021481,0.27136181252328556,0.27530632526680554,0.2736802361609767,0.26659738227034985,0.2616395519654211,0.24233342478529432,0.2646503500020706,0.26796677892541765,0.2857807040206814,0.26783154297581596,0.262025447422206,0.2564307122620681,0.25559429819962903,0.2742672387854492,0.2743339872666968,0.2746016796874989,0.2649784921078557,0.26212820134262593,0.2576575856342756,7.18,0.273791436724288
11,17,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.5927009626478511,0.227030490762576,0.22831362367131122,0.23324780227547184,0.23431850427952378,0.2335842620721548,0.22765164370267704,0.24394703386249122,0.24785997024302964,0.22329071107591636,0.23353272000452394,0.23261672030017957,0.2293447803483156,0.23321871032751834,0.2246329111951802,0.23297511825994469,0.24339099262241506,0.23655872734604766,0.23086951345978582,0.24621372321089757,0.23544241088305382,0.24681443277682402,0.23975961199114762,0.23533516259599246,0.2499635378940366,0.22941482102719263,0.23773626052317734,0.23240014026075967,0.24263841330795388,0.23246493072393498,0.24699082838192937,0.2368530702603378,0.23533608210160925,0.2330174768137025,0.2322541403919073,0.23434392945750482,0.21917198270819477,0.23987811333518844,0.2332587162989632,0.24370276250556527,0.22820296234905207,0.2300740784698819,0.23248339143739166,0.23353803997740955,0.2476495544830305,0.24137798269957528,0.23519571956419083,0.2257933907813065,0.22664963696036722,0.23309792980885488,7.2,0.24212276864875693
