,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9973611255252725,0.9758469525071967,0.973680244396695,0.988190395376525,1.0023017071523177,0.9969273264559161,0.9962440106622176,0.9766086512843962,0.9850874756322583,0.9738048101346266,0.9856670842021648,0.9960339657462016,1.0052679210124449,0.9991330960625312,0.9838580109120381,0.9792784534733316,0.974468405471571,0.9864741998925677,0.9990074618695372,1.0045875970130718,0.9971429114497892,0.9789387269474543,0.9823721932986116,0.9738458599323934,0.9885156312753234,0.9938976562308022,1.0013733215355358,0.9944205652743688,0.9802923348498418,0.9810562947628736,0.9797903932402581,0.9899626826909413,0.9993074564323535,0.9996183123434821,0.9976424321609642,0.9786576077748771,0.988065124424494,0.9775754716739615,0.9866057098574756,0.9950962230043376,1.0039143580058245,0.9956678930345074,0.9829350246389055,0.9790719344807375,0.9795665751983859,0.9851168884945672,0.9975738508911297,0.9969210177360887,0.993027126527522,0.9852586480959071,1.0,0.9888611824209318
1,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,[0.95407163],[0.85022166],[0.87109823],[0.89173368],[0.8911686],[0.86464092],[0.84657536],[0.8370405],[0.86386851],[0.87371432],[0.89165367],[0.8822811],[0.87657554],[0.84242066],[0.83921997],[0.84714987],[0.87225979],[0.89017312],[0.88359298],[0.86822022],[0.844649],[0.83370391],[0.85781601],[0.87472679],[0.8905372],[0.8785722],[0.87008731],[0.84308535],[0.8359866],[0.85435693],[0.87957667],[0.89787819],[0.88376906],[0.86252334],[0.84062176],[0.83780318],[0.86482335],[0.87602919],[0.88676127],[0.88102595],[0.86912866],[0.84318638],[0.83431833],[0.85134993],[0.88196086],[0.8893114],[0.88186206],[0.866643],[0.8452242],[0.83406478],6.9,0.8665812636681346
2,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,[0.92091012],[0.75444205],[0.75691509],[0.75240913],[0.7607343],[0.7537667],[0.75581747],[0.75774826],[0.77027429],[0.76018862],[0.75576239],[0.75319075],[0.77051261],[0.75366402],[0.75688256],[0.74944188],[0.75288821],[0.74903666],[0.75408459],[0.75539516],[0.75667121],[0.75224116],[0.76430791],[0.76184165],[0.74988825],[0.74844704],[0.75674207],[0.75360871],[0.75433242],[0.75923259],[0.76099109],[0.76219658],[0.75370297],[0.74770702],[0.74926349],[0.75977441],[0.76695836],[0.75755546],[0.74616056],[0.7465115],[0.75568814],[0.75566793],[0.75293589],[0.75593913],[0.76549285],[0.75350647],[0.74849335],[0.75728966],[0.75881544],[0.7516753],6.94,0.7591540694773922
3,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,[0.87045795],[0.64327052],[0.66168479],[0.67208303],[0.68626389],[0.67096113],[0.65794958],[0.64357193],[0.66489209],[0.66502889],[0.67845872],[0.68281752],[0.691216],[0.65387724],[0.63951346],[0.63666859],[0.65641241],[0.67083429],[0.68317392],[0.67490397],[0.66012015],[0.63839339],[0.65749149],[0.66668308],[0.67270738],[0.67832725],[0.67521938],[0.65789571],[0.64067174],[0.64470704],[0.67046846],[0.68653958],[0.68258076],[0.66363222],[0.64805716],[0.64567793],[0.6608716],[0.66465137],[0.66836535],[0.67550624],[0.67267453],[0.65676257],[0.63764726],[0.64443617],[0.67129596],[0.67556628],[0.67595848],[0.67518494],[0.66340779],[0.63548127],6.98,0.6674204483920847
4,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,[0.83265269],[0.5801983],[0.58838547],[0.58230797],[0.58178731],[0.57436346],[0.57177386],[0.57961154],[0.60582085],[0.59286262],[0.59502959],[0.57905625],[0.59538808],[0.56963198],[0.57245591],[0.57598059],[0.58518926],[0.58307112],[0.58176485],[0.57632151],[0.57493815],[0.56954499],[0.59629883],[0.59668902],[0.58501281],[0.57421177],[0.57678406],[0.56945946],[0.57228458],[0.58316667],[0.59707952],[0.59878104],[0.57857823],[0.56229492],[0.56229559],[0.5787197],[0.60013175],[0.59154596],[0.58270691],[0.57064574],[0.57472898],[0.57355126],[0.57344613],[0.58376628],[0.60032922],[0.58591564],[0.5722795],[0.57693047],[0.5797227],[0.5678617],7.02,0.586267096391891
5,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,[0.80218182],[0.49270733],[0.50197391],[0.50575829],[0.52242877],[0.52161825],[0.51114691],[0.50851948],[0.51995772],[0.51122339],[0.51995643],[0.51982255],[0.54407189],[0.50843585],[0.49883582],[0.48694781],[0.4994053],[0.50648967],[0.522006],[0.52056512],[0.51471171],[0.49833806],[0.50900881],[0.51142413],[0.50783925],[0.51481572],[0.52349618],[0.50789078],[0.49633486],[0.49436312],[0.51425692],[0.52597308],[0.51896043],[0.50619447],[0.50028237],[0.50580381],[0.51046598],[0.50508805],[0.50755375],[0.509906],[0.5211385],[0.51514207],[0.49920738],[0.49520186],[0.51802865],[0.51065236],[0.51265176],[0.52334878],[0.5187931],[0.49391423],7.04,0.5162967690262957
6,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,[0.76683386],[0.44026338],[0.4573692],[0.45402218],[0.45401544],[0.44245831],[0.43731259],[0.4437807],[0.46839061],[0.46417782],[0.46784832],[0.45479961],[0.46977729],[0.43167279],[0.43369698],[0.43728403],[0.45409615],[0.45270876],[0.45851432],[0.4448357],[0.44031091],[0.4314093],[0.45999005],[0.46432981],[0.45446956],[0.4525105],[0.44600514],[0.43728872],[0.43482841],[0.44335174],[0.46972763],[0.4717807],[0.45270185],[0.42607818],[0.42639915],[0.44226457],[0.46065231],[0.45744631],[0.45355433],[0.44721867],[0.44388657],[0.43664177],[0.43566799],[0.44334997],[0.47292003],[0.45731264],[0.44782219],[0.44388539],[0.44318455],[0.42902171],7.08,0.45519737364313284
7,14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,[0.73161882],[0.38517038],[0.39209048],[0.3877646],[0.39832698],[0.39618978],[0.39694131],[0.39594753],[0.41420938],[0.39650252],[0.40053035],[0.39255058],[0.42530725],[0.39305178],[0.38814103],[0.38120953],[0.38429212],[0.3851154],[0.39994858],[0.39808282],[0.40018096],[0.38606225],[0.40386215],[0.39776723],[0.38615572],[0.39210074],[0.40110855],[0.3962548],[0.39111925],[0.38427789],[0.40134419],[0.40466885],[0.39351031],[0.38192826],[0.38676653],[0.39712201],[0.40789068],[0.38896791],[0.38332744],[0.38905024],[0.39840199],[0.39693252],[0.39030688],[0.38669367],[0.4041948],[0.39316671],[0.38896834],[0.40002553],[0.40281471],[0.38395251],7.14,0.4012382968142515
8,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,[0.67399411],[0.33788591],[0.35465009],[0.35338261],[0.35805734],[0.3469566],[0.33830455],[0.33859074],[0.36247116],[0.35790842],[0.36542547],[0.35105665],[0.37323781],[0.33371876],[0.33162805],[0.33250795],[0.34565658],[0.34905199],[0.36045509],[0.35142042],[0.34118845],[0.33046718],[0.35477962],[0.35792548],[0.35162019],[0.35099813],[0.3527881],[0.33901442],[0.33311441],[0.33749091],[0.3630992],[0.37038824],[0.35315999],[0.33121268],[0.33002122],[0.34138096],[0.3554996],[0.35019327],[0.34761953],[0.34969803],[0.35087557],[0.33985543],[0.33360755],[0.3360287],[0.36201488],[0.35849778],[0.34880024],[0.35139797],[0.34437905],[0.32731916],7.18,0.3542159251053347
9,17,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,[0.6586076],[0.30164513],[0.31391284],[0.2989513],[0.30413214],[0.30284588],[0.30287123],[0.30781592],[0.32694314],[0.31598697],[0.31104772],[0.29856635],[0.33180419],[0.29884023],[0.30367716],[0.29926572],[0.30389141],[0.29641399],[0.30793832],[0.30672561],[0.30699903],[0.30155364],[0.31888104],[0.31587395],[0.29890923],[0.29901801],[0.30693196],[0.305414],[0.30401125],[0.30363156],[0.31850524],[0.31683597],[0.30129362],[0.28857972],[0.29613665],[0.31151038],[0.32057993],[0.30568689],[0.29589535],[0.29844671],[0.30488871],[0.30633],[0.30454794],[0.30211459],[0.31793554],[0.30803967],[0.29680089],[0.30648021],[0.31163812],[0.29613295],7.2,0.3132297123330598
