,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9347675726454693,1.0567237870117119,1.2949826842519592,0.8918207058405395,1.009879762785807,1.003864332470839,0.9170888216746653,0.7991363773903771,1.0603284165827978,1.3788812090762186,0.8862922810740105,1.0177643124588553,1.0113259224668254,0.8868534693170173,0.7965273297207022,1.0433513446917566,1.3967822247049766,0.8922073477288478,1.0130568127162678,1.0021616949269443,0.9062652386398511,0.7946941460773669,1.0168456591789847,1.2898448497132529,0.8900933232188021,1.003109735732569,1.0205749094295509,0.9073026134392457,0.7942636546688228,1.0035627732150767,1.3517908733540023,0.88512449832012,1.0047093215728484,1.0120179120026014,0.8865498233592196,0.7997041634229738,1.020621199053381,1.3941798876748412,0.8906691786955293,1.010745541323055,1.0201675250289182,0.9094732043837651,0.8037357268663077,1.0388338704119855,1.352645050144346,0.8893059831236327,0.997887852597061,1.0118759981950465,0.912876344606489,0.8001235168233948,1.0,0.9982678156761925
1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.9408553902598218,0.7429108225744312,0.7204131296814035,0.7665053010889801,0.7538105924885771,0.5616742675433744,0.781743220954906,0.40967270544711926,0.7925815697639355,0.714705182345896,0.7640055797145371,0.6713507441321687,0.5797753031575003,0.7813089100237312,0.4113446816600885,0.7613293793193315,0.7686505584509757,0.734185205803368,0.7576996580562457,0.5540289502032107,0.7819148393434293,0.40683400267829267,0.7245057766183274,0.6462678304427714,0.7295683974602218,0.6636985483018507,0.5706234240227822,0.7973439619289282,0.4583693057773467,0.774529973551976,0.724682550844193,0.7705491541509882,0.7331864180927388,0.49637224516459244,0.7785663462785459,0.42812328204212063,0.7357343046004637,0.7496891164216165,0.7739259752879819,0.7234295099058372,0.567584467513507,0.7559414415331105,0.4147179213264926,0.7877837327508508,0.7273093767794397,0.7307616551764586,0.724516892027495,0.564486061514031,0.8369505442821267,0.41915128355173803,3.94,0.6793133898407971
2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.9404625794196507,0.7050958151264952,0.6433755067682939,0.7057788286151452,0.6958059560453712,0.3818146408591065,0.7962875623390191,0.4107793436634698,0.7350577651234326,0.651397666899335,0.6901855474089463,0.7509537781913722,0.38542521470543684,0.6435907583304045,0.4101755615769278,0.707176798600957,0.6252025949713168,0.7037267925207652,0.7420848342339977,0.39613601088803224,0.7658160292882892,0.41911123822999485,0.6851157681610937,0.6163752599740149,0.6835774065639733,0.7202991770282179,0.41570996470045635,0.7116837077695998,0.4193739905607598,0.7216470871407829,0.6254507038971799,0.7139000854326064,0.744510881909245,0.2855986188038336,0.653781040085737,0.3991624570010854,0.6409868712756883,0.6711803478111473,0.7360249512899035,0.7457210550533885,0.4075611777659381,0.741579071804801,0.4197715495291846,0.7084142099782957,0.6220340242552218,0.7046555250742641,0.7204093430327839,0.41497566205742836,0.7710859500237354,0.42496824702368335,3.94,0.6206198991761963
3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.9641559940539439,0.6892109471544937,0.5464950070515016,0.6640150603813023,0.7476753267090794,0.32930195365797965,0.7388652942859691,0.38153505897881235,0.7202620765491206,0.5907914263759498,0.7362323682833455,0.7242465597508101,0.3285361203082595,0.6711751016036024,0.3809354667361206,0.7144232707311657,0.5788560385260886,0.7025265671276985,0.7380584433940546,0.3387375380929285,0.7113274391548349,0.36108317265485235,0.7033135598951376,0.5635277977438131,0.7025468379207088,0.7407593075564208,0.37171219473679734,0.6610780149999335,0.41247124477465513,0.7247363867236657,0.5683257143938814,0.7106426528870267,0.7812284501743844,0.28527349388304857,0.6820878483706869,0.3764018162383313,0.6559126553352016,0.6098637591351604,0.7136202481085023,0.7466097349926065,0.3380380610433094,0.6931292343245689,0.3657732322805023,0.6915785071659112,0.5686292163856186,0.6894647919034871,0.7225070300254067,0.34909574438292673,0.6988364229178767,0.3413302706159515,3.94,0.5965388092095487
4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.049460779728523,0.7276178365921346,0.5314727948457587,0.6380557692851763,0.720643328172018,0.3221617091570544,0.7369210244960908,0.39329963090580883,0.7318304093052651,0.5862641423817886,0.6867095205952118,0.6553364459391743,0.32557830624365375,0.662711559018292,0.3810012843499868,0.7118389138150787,0.5799025147796131,0.6492244251419859,0.6941472242454213,0.33891003373711376,0.7186944985636924,0.36009107199803814,0.7735615481698037,0.5565663895235445,0.6423562276860045,0.6909836894176578,0.3489496391847241,0.6744507556761639,0.3992795359221138,0.7759871506141416,0.563602980354925,0.678598184926122,0.7067880539945212,0.313024763270933,0.6555259794189742,0.3635302126605959,0.7127270538381163,0.6078582461731648,0.6878773466315544,0.7119142572567289,0.32882986826630595,0.6807537581509577,0.3773153303917032,0.7000648905500221,0.5485534823410216,0.6664619716040855,0.6756050441481262,0.3372469717898999,0.7082246789176082,0.3525384988243751,3.94,0.5888209946600156
5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.9243185735650236,0.6894348739490729,0.5277936364172129,0.678730625002178,0.763675114610282,0.3444061206060273,0.7324422382746554,0.40039970867290986,0.7097731227266549,0.592969673582716,0.6928548361868427,0.694954102921589,0.3407064666633124,0.6392878321692163,0.41981586141049515,0.6788081137464417,0.5838436854187762,0.6777753018449756,0.7431350646667108,0.3490044387330775,0.6624935580035802,0.3965838394072531,0.6854850782070885,0.5586582797434488,0.6700525726700415,0.702413008014189,0.365154249536548,0.6739056129910949,0.4413173222887792,0.6962053843667665,0.5685872190043776,0.7055314503209206,0.6890034565044081,0.2622832055151834,0.651123736261484,0.424188990421197,0.6683420720761547,0.5847260899666625,0.6975088552439201,0.7401876383983101,0.35736365811212734,0.6946513986302429,0.4142896020853668,0.6955903285791856,0.5497107656075493,0.6595472654989071,0.718851134689331,0.31700251253750994,0.7299619470578251,0.39089749696749454,3.96,0.5911149423975024
6,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.7929311467860694,0.7188729702402598,0.5582098593132379,0.6786292921171341,0.6896642977309096,0.3229676719012507,0.7056117618713099,0.3788078912809909,0.718217128270838,0.6368350342003202,0.6750784365966144,0.6514614002653644,0.3077195850759813,0.649120015063285,0.3818501220774484,0.6993270408406336,0.5806643851595082,0.6844512363465199,0.6602197225957238,0.33358668966694754,0.7050380661762261,0.3695404133242415,0.66502034240482,0.5627332785406661,0.7028155227467039,0.6799877834933646,0.34285710880274733,0.6793175628112711,0.4124406114524445,0.7391800006820842,0.5960410310074992,0.7087483288062832,0.6710755427987046,0.257805032754968,0.6594832679581841,0.3727938277338698,0.7037889580367207,0.6385795109643552,0.7049285700107732,0.6737625726569141,0.3159846395324216,0.7040595001014489,0.35545167989275817,0.7179743054176081,0.608298561865319,0.6681187250225369,0.6679617420565913,0.3216018163257902,0.7015322283504033,0.3602320119689479,3.98,0.5818275646219402
7,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.0312683595098262,0.7273330284397332,0.5452417666135358,0.6813213305571819,0.7196992191737223,0.3085247714069164,0.7467217377187076,0.3781672352841447,0.7125076112868112,0.5861588200755595,0.6975213788315776,0.6949755034041234,0.31588466447819874,0.7216368495311017,0.37303140865400974,0.6470694750233423,0.5638837367157261,0.6569262870598355,0.7036272134587241,0.32150387770581956,0.7710533993776205,0.37321855990357866,0.6623730906006902,0.5405049281260483,0.6954331360125141,0.675499306050928,0.34947165403607644,0.6699907655246012,0.4028261724294272,0.6784535216961936,0.5501588409846337,0.7032956458323063,0.7285357360141216,0.24325361058370776,0.725685757379374,0.37103258102701536,0.7024037506616612,0.5877887947417434,0.6932641239836513,0.6965738158292688,0.31185174974961993,0.7744823500767622,0.3630747166179175,0.6845396427652687,0.5468952552292528,0.669159680870938,0.686118194016932,0.3160013753965859,0.746286277721337,0.37104135798534504,4.04,0.5884654413230743
8,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.6068429340505445,0.6984301017908019,0.5495055264454566,0.7214242092714069,0.6028461355427088,0.3721143523521221,0.7144214158183277,0.3872380915751573,0.6887809036618145,0.6040072400308965,0.7262563070535006,0.6592924913358995,0.33361114666780123,0.6446506380468723,0.3813431073321309,0.6940686883716817,0.5825467602175339,0.7040093267237099,0.6179860148547243,0.34445009546735983,0.715755695148178,0.36097732860326753,0.6649275456407273,0.5637393829465414,0.7375551250118623,0.6868092139534147,0.4019608997091368,0.6794347866586341,0.41026820988434726,0.6752745772339019,0.5784791037141368,0.7470744513397495,0.689729677878034,0.2760259039173817,0.6447482933245381,0.3593944175262509,0.6761296443309041,0.6055585286555069,0.7481862358509216,0.7040453353240382,0.31620166709471154,0.6897910519363439,0.37183385938935815,0.6933987016913163,0.5698924721348896,0.6897940535071521,0.6575239258322253,0.35800737079693407,0.7285766629575469,0.3697544244508799,4.06,0.5800934806610656
9,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.668095241331821,0.6993075912367629,0.5780910253547574,0.6768877997755045,0.7024457200467837,0.30734186261194746,0.7653844884895493,0.4175388266097407,0.6892112339250746,0.6169574264616833,0.6695591731047106,0.6560305310249402,0.316416973860849,0.6778435288814231,0.4060251065478329,0.6771105487162887,0.6055694067389205,0.6789365359422058,0.6964622328904834,0.31945903265842507,0.7464285585164288,0.4029538211498137,0.6650642545176891,0.5951686752095143,0.7086842510567792,0.6832506524636135,0.356355822751339,0.7183864466341476,0.42239984266976416,0.6874170847254751,0.5896938161799016,0.6937512556123339,0.709632269634327,0.24333466419332775,0.694213292035418,0.39985659401367946,0.6446043666215607,0.6208112093495807,0.7066297935214053,0.7047467280872266,0.30020450289237377,0.6986042960041967,0.40381824717803694,0.670265965829165,0.5845800727848238,0.6454559359744253,0.6702579409629403,0.3201724257549549,0.7342679859649238,0.4080369567297499,4.06,0.5850744403045723
