,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9941580859787961,0.9758009581303866,0.9718926803283157,0.9902062481303797,0.9958992190210062,0.998496160584966,0.9940558222791896,0.9777550391310885,0.9779805513775175,0.9728510549755534,0.9850648702553921,0.9962941489793334,1.0029446434223412,0.9952710215693025,0.9845856930257255,0.9820821948520987,0.975984325855589,0.9895349201383059,1.001197568972933,0.9977465462804685,0.9951588205495855,0.97863818045657,0.9775419816078661,0.9799876674337765,0.9935684448306615,0.9953438914455728,1.0041412954306779,0.9960099344712837,0.9754788744438212,0.9750561462007308,0.9761562929034708,0.9875546776453413,1.0002607423248604,0.9941634307108418,0.997646943261607,0.9807449048383985,0.9748303589551591,0.9725591060321226,0.9882132183658737,0.9931887983088943,0.9980133652993974,0.9944663379048008,0.9806689586566777,0.9729713201227985,0.9747660736199197,0.9897783200543133,0.9956419642394081,1.0026564579782324,0.9962900851969553,0.9763821018215563,1.0,0.9875536089679973
1,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.947991303011562,0.8472636949114035,0.8653707591125788,0.8938033558598922,0.8814041728824392,0.8622757773487933,0.8443804991194566,0.8294016968397,0.8531007593409153,0.868701923839985,0.8915789368824362,0.8847061597804979,0.870149688284595,0.8501492740579223,0.8411846749180135,0.8516161604719723,0.8764012182088836,0.889997712050364,0.8873897259355508,0.8680574835520171,0.8464646096355213,0.8377198899763925,0.8504189862432227,0.8771341183347201,0.8976114219670315,0.8836175691901043,0.8697005116962475,0.8459417901338739,0.8391032341301686,0.846557030026269,0.8751833458707504,0.8901890195876667,0.8879598984719091,0.8567891144731109,0.8408300067129565,0.8330714637670126,0.842702191407012,0.869379643227543,0.892672446913512,0.8782453294736365,0.8615834865470674,0.8454198054251952,0.8354252550839747,0.8481996135094466,0.8694233062988592,0.8967721906171421,0.881163742185094,0.872483305378091,0.8413537843713264,0.833823317411556,6.9,0.8650372880895079
2,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9177983015816443,0.7476725652976728,0.7478528570840949,0.75731611125797,0.7523044456848067,0.7506763003099783,0.7574413497586163,0.7478933808754882,0.7570474816248879,0.74651698189224,0.7553194538159569,0.7564361079226882,0.7585276574725213,0.7652860886875819,0.7598721154534245,0.7518716573923226,0.7613683930547984,0.7496557981203892,0.7541992475030781,0.7554923842042746,0.7579792902575825,0.7552828551744477,0.7515379026487671,0.7580477280728875,0.7625683296217088,0.7619843051746759,0.7537953794635387,0.7587243939617552,0.7615067478161368,0.7502811225525892,0.7552332257979458,0.7505691762749066,0.7569143853203805,0.7447287421394897,0.752437681026196,0.7522859882416235,0.7432015628021736,0.7536151426700107,0.7570723084120182,0.7512871897123701,0.7496773251562177,0.7575337116512698,0.7557701523233923,0.7527362885566425,0.7506348127216581,0.7650342562530608,0.7483981836183636,0.759663879022925,0.7515154700563221,0.7501612994231253,6.92,0.7576145502983723
3,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.873891476583165,0.6344761503447519,0.6553383188483723,0.6810775925304108,0.6801577295012082,0.6631804115584979,0.6638333397720603,0.631407367886481,0.6459997357838229,0.645833841903625,0.6794618350367284,0.6859318285204042,0.676012931968369,0.6694097930151479,0.6442219202785404,0.6366200987782747,0.6653131321091712,0.6709608486494619,0.6822875593964232,0.6739558759392185,0.6602443545095402,0.6423876551850155,0.6381883322879632,0.6570296260144723,0.6863840160373472,0.693763882065911,0.670871657655477,0.6581931165732199,0.6508980190908887,0.6404262441910071,0.6562567939520365,0.6745385519275718,0.6843282716664479,0.6601981301025152,0.6490731963740535,0.6355993989616473,0.6308214363747919,0.6548110278566193,0.6783437959247823,0.6820351912679568,0.6671876467485589,0.6592058033426704,0.6395423609904324,0.642800681628621,0.6537116234836264,0.6913693293136368,0.6781785033537561,0.6788815486417261,0.6480476718898416,0.6375763531453235,6.96,0.6652053201792317
4,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.8279562369489156,0.5732681768862607,0.581659293350654,0.5934712557075356,0.5755898742691574,0.5609471502167365,0.5789134851894279,0.5664874834622994,0.5841690873578511,0.5729485878440559,0.5932566561239798,0.5831746751083347,0.5814856396147615,0.5835733228562737,0.5750332697295464,0.5740830245721941,0.5942086679683405,0.5835335973921041,0.5790741553377187,0.578529054906268,0.5764022289784955,0.5751134604047554,0.5780672818735487,0.5859829884842394,0.5993376595000663,0.5957712038832299,0.5706499259289535,0.5763229905164026,0.5866003390906367,0.5774100117097997,0.5843322503280635,0.5818723538330342,0.5829435046566055,0.5623618601598446,0.5667672845354522,0.5686302446902038,0.5702335237739087,0.5804366268077402,0.5890192826400669,0.5802572013560074,0.5698451546053892,0.5722113021734497,0.5718662248948533,0.5782053495990545,0.5815497438901275,0.6068915545018129,0.5719944557054066,0.5823526277944882,0.5646794344471239,0.5723748352220884,7.02,0.5840369120165454
5,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.7979204310649761,0.48397964471228294,0.49812087452269826,0.5203020234537428,0.517397633790843,0.5099114389758921,0.517303552422001,0.4920172224370579,0.49740415774086566,0.4856082340927214,0.520504657071671,0.5238738294943207,0.5276749346332767,0.5219823050008395,0.5018076418523179,0.48488215479941094,0.5080597102272362,0.506490932477198,0.5202079340019107,0.5269126586288503,0.5175991731906113,0.5000331735289142,0.4921634503516907,0.5011958039557706,0.5225467051399237,0.5376474312144366,0.5184309386560135,0.5148443614933995,0.5128773191691022,0.4908716452248194,0.4974817101178027,0.5063000666020178,0.5223661794944512,0.5093250636312446,0.5059648495035416,0.4926398564345231,0.48012463527599614,0.4931900523721364,0.512880575132842,0.5216229210652296,0.5160380644081989,0.5115410667387735,0.5000612684407562,0.48958053343635277,0.49425745021356604,0.530753035614088,0.513328858069526,0.5288405907629543,0.5053536211658787,0.5017988777478807,7.04,0.5140804249910511
6,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.7641714438138792,0.43534821155110287,0.44945994066953593,0.46437379906209475,0.45591713913628157,0.4313603563820077,0.44240341110159154,0.4258490547074084,0.44651442527090124,0.43780368396412894,0.468206650332448,0.45851871763534985,0.4495521338773927,0.44868903082011435,0.4374684833390659,0.4304572277756585,0.46165855889817753,0.4511889085015475,0.45360771692888624,0.4487002690572972,0.4415488842109181,0.43778891803094766,0.4392837267776399,0.45334562372506226,0.4693094694883294,0.47299229814390437,0.4401036616670091,0.43735732707119157,0.4481724469345621,0.4405361502383501,0.4491599925874416,0.45262410816736337,0.45788117271681344,0.43146728954118874,0.42892366382504227,0.42806692642985106,0.4284473361879258,0.44679741522328287,0.4586523400534169,0.4568518837775383,0.43823209884452957,0.43384575294863686,0.4344752198463639,0.43864527894439936,0.44871355602057594,0.4782130577647288,0.4478561387651285,0.45216714425072213,0.42964841462774184,0.43522021136238714,7.08,0.4523515334199573
7,14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.7252593727761278,0.38199162298897943,0.38092651286551893,0.39866048599945114,0.3947176471131963,0.3853366384456575,0.4016235551270233,0.38039567922354955,0.38990848451279775,0.3688624316734146,0.403477426160426,0.4021543990498128,0.40537394591875736,0.4105684061159097,0.3921121729013652,0.37455063807985994,0.3915351321798165,0.3858210636413179,0.3946322979107882,0.4048376137538324,0.40158247013791254,0.39306340412389834,0.385817128656804,0.3866892237196708,0.4028747931381059,0.41670958642446826,0.393229585351266,0.3981362000896926,0.4030518012688528,0.385506295019944,0.3797534470518692,0.3855738941377268,0.39924897421595223,0.3871525600440425,0.3906587794634011,0.3840239101067893,0.3737353370579351,0.3773456199851771,0.3932805400317678,0.3980812891048663,0.39307185275198686,0.39397150486441973,0.3877553075691504,0.3820100278973221,0.38120628104184046,0.41211379187042896,0.38945244023952075,0.40985362264135766,0.39054075907325875,0.39007938810787274,7.14,0.3987663068324979
8,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.6699948570422994,0.3329935999223469,0.3398678203319885,0.3625404071438372,0.35447760025014713,0.33601509294458526,0.3460698891511936,0.3245119848276212,0.33948185763771505,0.33174339239068557,0.36528107068520405,0.3607652747419803,0.35615451240108853,0.3512588268982402,0.3351270225635661,0.3259979463693055,0.3548683058063102,0.3495262911526352,0.3534393114495798,0.35439545881820195,0.3432284012161341,0.33663875110223124,0.3364374222893709,0.3480417704898,0.36748439170138475,0.37704210863899335,0.3453001985642055,0.33760919290165614,0.3469699180467038,0.33522015763676416,0.3403777419841846,0.350782061276562,0.3597057361799989,0.3381089992203935,0.33140482726400244,0.32666392007676565,0.32313218753321543,0.3375525222536942,0.35563927559756087,0.35781842124803176,0.34441688164783213,0.33338546150631143,0.3298040001320934,0.3319470761572237,0.34465027779557056,0.3762830605811204,0.3481378437930555,0.3623739821638484,0.3328705972186597,0.3334455900361379,7.18,0.35153966597564074
9,17,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.6521499717392498,0.2982895617470751,0.2965470583414443,0.3096142362282941,0.3031177815701795,0.2949106141932958,0.3115300502631674,0.2948444350845364,0.3054727029809622,0.2910220328516461,0.3130176911641263,0.3081941991185325,0.3096601361894245,0.3175831695168315,0.3062919926881169,0.29115847288863433,0.30825217020452,0.29621749539353787,0.3013308654308217,0.31168492332815084,0.3094777469206185,0.308388358721612,0.3028883713081302,0.3055315738170423,0.313598698542204,0.3259387204071971,0.30031087897415887,0.3039651950109002,0.317212327527561,0.3015597733330829,0.29831181529364,0.2965679512854646,0.30721101369523257,0.2955439307262131,0.2998486882859963,0.2973110564958183,0.2894376026912782,0.29550286679535065,0.30349764052111844,0.3071291817375692,0.3024409129861737,0.30196938041661053,0.299917196644182,0.29785916705644944,0.3009849068336598,0.3239502568193242,0.29498142933353333,0.3168381423748587,0.2986847997238424,0.30251723788056234,7.2,0.31080532766163865
