,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9981359294069844,0.9788453017503905,0.9744152311917541,0.9899208872517558,0.9955126917169081,1.0051468194957245,0.9957456806789029,0.9779305266687197,0.9746870594748045,0.9734988518083459,0.9866884274323697,0.9990767549350864,1.0027565240695804,1.0008212016947442,0.9817697722045216,0.9752213728501099,0.9783502995340833,0.9844558094588205,0.9943989724932198,0.9987044811571603,0.9974862447597443,0.9828064766325472,0.978741986273902,0.973496439335069,0.9849531241850559,0.9966249086366794,1.0009217042697538,0.9986168416909036,0.9743740185208133,0.978145045581825,0.9737296295904042,0.9857661340509143,0.9949056346064288,1.0018166672377629,0.9990365686655527,0.9800516498704994,0.9780642206559871,0.9724378414142761,0.9832926603714505,1.0011505408002468,0.998224576712885,0.9969154783582042,0.982516599896965,0.9785393330202276,0.9757788809038334,0.9858953799644324,1.000000517092248,1.0026396285811543,0.9943193204596689,0.9758208015938253,1.0,0.9878630289801449
1,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,[0.95933592],[0.84696766],[0.87056374],[0.89687473],[0.88271333],[0.87057377],[0.84351723],[0.8278389],[0.84998199],[0.86718717],[0.89183784],[0.88622215],[0.86963218],[0.85065668],[0.83927663],[0.84844107],[0.87603534],[0.88822543],[0.88150578],[0.86496121],[0.84145301],[0.84386955],[0.85476565],[0.86946101],[0.89058176],[0.88333401],[0.86747491],[0.85075534],[0.83609088],[0.84839684],[0.87236935],[0.89047381],[0.88108554],[0.86880891],[0.84290763],[0.83763113],[0.85103099],[0.86926877],[0.88781766],[0.88821652],[0.86060849],[0.84616765],[0.83982744],[0.85332351],[0.87169974],[0.89216426],[0.88658991],[0.86759267],[0.83829985],[0.83264185],6.92,0.8655411477356768
2,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,[0.91445835],[0.74826183],[0.7543395],[0.76000359],[0.75458276],[0.76344169],[0.75541153],[0.74555642],[0.75266403],[0.74140468],[0.75407176],[0.75516855],[0.75960893],[0.76313558],[0.75900124],[0.75043495],[0.76442406],[0.74692002],[0.75232866],[0.75117102],[0.75140579],[0.76600002],[0.75715314],[0.75110276],[0.75330921],[0.75651353],[0.75372891],[0.76204378],[0.75723068],[0.74746382],[0.75109105],[0.75287302],[0.75082894],[0.75438915],[0.75426494],[0.76007338],[0.75474916],[0.75007002],[0.75176749],[0.75785644],[0.7459777],[0.75977602],[0.75993395],[0.7550133],[0.75137806],[0.75666911],[0.75506368],[0.75308777],[0.7517484],[0.74872938],6.94,0.7575536349382044
3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,[0.86937699],[0.63352656],[0.65788203],[0.68162267],[0.67845879],[0.68088298],[0.66075996],[0.62648789],[0.64222024],[0.6469322],[0.67614845],[0.6824277],[0.6752253],[0.66451987],[0.6465166],[0.63969642],[0.66715215],[0.66925105],[0.67877747],[0.66848589],[0.65249363],[0.65512669],[0.64568962],[0.65406154],[0.67711659],[0.68496168],[0.67054066],[0.66579828],[0.64615526],[0.63722196],[0.6566941],[0.6722066],[0.67943875],[0.67164835],[0.65494642],[0.64757547],[0.64649786],[0.65424125],[0.67622502],[0.68682426],[0.66311696],[0.65702431],[0.64491042],[0.64233516],[0.65620159],[0.67821973],[0.68126016],[0.66849158],[0.65563457],[0.63310295],7.0,0.6652422528906142
4,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,[0.8223548],[0.57116712],[0.58866609],[0.58957969],[0.57803237],[0.58149953],[0.57346902],[0.56178491],[0.58161536],[0.57434006],[0.58862988],[0.57885954],[0.57585102],[0.58241698],[0.58160797],[0.5799594],[0.5968887],[0.57828718],[0.57119191],[0.56948063],[0.56354819],[0.59077524],[0.58489479],[0.58057531],[0.59161394],[0.58149579],[0.57170146],[0.58155481],[0.58148591],[0.57486466],[0.5840305],[0.58634806],[0.57143738],[0.57419803],[0.56831392],[0.58173275],[0.58580655],[0.58277982],[0.59100595],[0.58462038],[0.55959111],[0.57698054],[0.58004928],[0.5806453],[0.58424097],[0.58978113],[0.57576896],[0.56921313],[0.56676193],[0.56685841],7.02,0.5837671271156336
5,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,[0.79435886],[0.48377049],[0.50082404],[0.51541327],[0.51680314],[0.5280339],[0.51373355],[0.48654032],[0.49213714],[0.48510787],[0.51339473],[0.52005019],[0.52101416],[0.52258516],[0.50523212],[0.49085194],[0.51097678],[0.50210986],[0.51149138],[0.51540857],[0.50357057],[0.51425357],[0.4958788],[0.4928021],[0.5177236],[0.52277741],[0.51775878],[0.51928401],[0.51199275],[0.48426389],[0.49701696],[0.51240679],[0.5112338],[0.52155992],[0.50610511],[0.51279898],[0.49895998],[0.50055436],[0.51140698],[0.52655295],[0.50668085],[0.51666203],[0.50661364],[0.49249575],[0.50114871],[0.51617332],[0.51651962],[0.51490651],[0.50530464],[0.49501538],7.02,0.5136051859100782
6,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,[0.7585723],[0.43129508],[0.45532855],[0.46191872],[0.44915337],[0.44947398],[0.43852479],[0.42364899],[0.44096654],[0.4395204],[0.45906023],[0.4545089],[0.44368719],[0.44661406],[0.44093457],[0.44055778],[0.46422488],[0.45047657],[0.4452075],[0.43758708],[0.42821485],[0.45648942],[0.44652159],[0.44735071],[0.46535458],[0.45954519],[0.43840316],[0.44430821],[0.44599474],[0.43364342],[0.44792325],[0.45891643],[0.44614382],[0.44368689],[0.43206989],[0.44692289],[0.4499751],[0.45506013],[0.45888063],[0.45863104],[0.42901905],[0.43834578],[0.44315638],[0.44270085],[0.453542],[0.4623684],[0.44831864],[0.4362222],[0.43208476],[0.43110387],7.04,0.45224318664894825
7,13,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,[0.72031771],[0.37601176],[0.3880974],[0.39308046],[0.39331993],[0.40376949],[0.39813376],[0.38033267],[0.3818403],[0.37071777],[0.39311487],[0.3964552],[0.39754612],[0.40790891],[0.39511847],[0.38106806],[0.39630315],[0.38101595],[0.38835714],[0.39204774],[0.3864546],[0.41152084],[0.39130755],[0.37726957],[0.39898142],[0.40133057],[0.39407723],[0.40476242],[0.40099],[0.37719028],[0.38061996],[0.39171699],[0.38857477],[0.39904183],[0.3920392],[0.39956805],[0.39378483],[0.38662793],[0.39213665],[0.40178584],[0.38239487],[0.39823236],[0.39972601],[0.38370275],[0.38301707],[0.39523352],[0.38811168],[0.39230866],[0.39352146],[0.38796891],7.12,0.39817109407114826
8,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,[0.66901246],[0.32520264],[0.34926122],[0.35675096],[0.35526138],[0.3526553],[0.33897544],[0.32409689],[0.3337122],[0.33183197],[0.35940311],[0.35356117],[0.34690022],[0.35038945],[0.33871133],[0.33471459],[0.35932796],[0.34708427],[0.34887724],[0.34070064],[0.32946986],[0.35258594],[0.34044492],[0.33714775],[0.36230448],[0.35989788],[0.34604091],[0.34505068],[0.34558073],[0.32892148],[0.34370379],[0.35714403],[0.35012946],[0.35352302],[0.33260664],[0.34172972],[0.34360375],[0.3481519],[0.35694087],[0.36234865],[0.33498386],[0.337952],[0.34221845],[0.33427655],[0.34476178],[0.36021681],[0.34688831],[0.34198506],[0.33361339],[0.33241521],7.18,0.3512613669989012
9,16,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,[0.64811368],[0.29048904],[0.30546288],[0.30461969],[0.30484498],[0.30918892],[0.30542071],[0.29351081],[0.30076664],[0.28866685],[0.30661666],[0.29973107],[0.30298845],[0.31723848],[0.30849339],[0.30047977],[0.31487087],[0.29425264],[0.29692724],[0.2944212],[0.29606633],[0.32364371],[0.30499125],[0.29604272],[0.30818953],[0.30838991],[0.29949765],[0.31183467],[0.31634586],[0.29210173],[0.29774987],[0.30514551],[0.2973078],[0.3066154],[0.29838247],[0.30997851],[0.30894676],[0.30476935],[0.30421549],[0.31140937],[0.28865869],[0.30478495],[0.31361992],[0.30052584],[0.3015578],[0.30609648],[0.29600265],[0.29719915],[0.30027302],[0.30349641],7.18,0.3100188554017218
