,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9446203543789224,0.9451306292354889,1.1704502561196188,0.9083587108150373,0.9985882320784781,1.002503671984321,0.9261195598788748,0.8067745869415808,0.9465794086423164,1.1470021125302008,0.9101495843976566,0.9988348327193488,1.012127229764285,0.9247319070930101,0.8060217880218782,0.9591366824939112,1.1450845694212883,0.9132626190315375,0.9975520967552935,0.9997293111036092,0.9276072873966476,0.8063234928476218,0.9321159185882195,1.1365796408488975,0.9063494799098644,0.9985771907019967,1.0096329282908607,0.9254848825294721,0.8100798366886061,0.9268264993039245,1.1249142408306068,0.9076881949897444,1.0031430258428329,1.0085432610598881,0.911622733880409,0.8091376158068524,0.9410496057980566,1.1372498140817857,0.9066612316137014,1.0025180511835114,1.004266251989659,0.9163976447562656,0.8079865387530727,0.9480004681767771,1.1160375707408494,0.9142138495106983,0.9990936450336455,1.0087744184940015,0.9185397525243723,0.8156645642593249,1.0,0.9608767555967763
1,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9340882820014806,0.4987347691114731,0.6553104634847234,0.623793595444626,0.6073578310701675,0.6336002429191606,0.6072179625988376,0.4773133454787764,0.5077132605642837,0.6412904129250958,0.6001760874031826,0.5990844430008913,0.6269260857300516,0.5902440578933087,0.4712194403373612,0.5172860025321426,0.652462886598455,0.6101040760995782,0.5963188174102386,0.7005986160440786,0.6048347113274433,0.49038417623168584,0.503274221747106,0.6362376882522113,0.6142397447178374,0.6045163156432014,0.6295540419090709,0.6120183501279083,0.4853709390205337,0.5122645519489779,0.6355945478675176,0.6105807370659783,0.5893093142824216,0.6175848174565486,0.6115728737565079,0.4864308142957874,0.5402205384386356,0.6427445400054285,0.5808193252060851,0.59929723009706,0.6225080323415139,0.5993925168938727,0.47963878649072095,0.5363826102058474,0.6272324576812754,0.6380238194172421,0.582924404731356,0.6230104078894934,0.6138580570464697,0.5019477437814008,6.92,0.591652179890501
2,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.9133350573063115,0.36716920106618606,0.443050894346092,0.4207970008651894,0.4042491638037204,0.39833643570247684,0.43248779299647,0.3698468072499258,0.3720416234817239,0.43813363822235446,0.39904164698437444,0.3894673822475532,0.38779218820667233,0.4397094486208775,0.36177586135452366,0.38736319526272733,0.4437718517595216,0.3981637506763575,0.38721788138613505,0.44350138422529917,0.4426183201255148,0.38031667943472103,0.3767090775393294,0.4395173746727115,0.4067727861217168,0.4080443413967524,0.3739712548849594,0.4576104063950275,0.37982249161593046,0.3755555345990412,0.4619221580011466,0.4029395015708298,0.3709493259327896,0.38020317678515264,0.4560968978927876,0.37704418513781673,0.3956270309018463,0.4394477493851988,0.3801370233929357,0.39757025548497993,0.39194357539153923,0.43324026993955156,0.37329170124703626,0.39748384970483674,0.4316582387329377,0.42801208733827195,0.3603621628705463,0.396917165517213,0.4531605086155466,0.3881321207034941,6.92,0.41508658914193314
3,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.8695611422363595,0.2589895826098185,0.33162082663114456,0.34971425936846545,0.34549504736677383,0.32392640442500376,0.3651351838640402,0.2720696078347035,0.2648556105718083,0.33119420611978306,0.32732034481907873,0.32645507039050403,0.31147945675850947,0.3729856049712371,0.26234469104141267,0.27931287229522717,0.3299814476193004,0.3235666223420467,0.32459106774971225,0.36134278341953896,0.3707236347941131,0.2780253056916985,0.27227857353578655,0.3244100867578459,0.3410513264282747,0.3401354451288654,0.3012921461822027,0.3941248427736977,0.2729163458565181,0.27210973710844427,0.3275633378397347,0.3255130945391273,0.30741269476602134,0.3049435948784992,0.39300155943540405,0.2765246327640279,0.2947120276584088,0.32068783901564585,0.3063609914314482,0.32611292159379535,0.31315964264838625,0.37972971007176215,0.2703002340649808,0.29360034511935473,0.3184801377167639,0.35403809516435536,0.29536285072635077,0.3215376784250816,0.39678589422090543,0.2926217714702191,6.98,0.33034916660484376
4,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.8052250661710724,0.22188576552577555,0.297248631518929,0.3087658875927743,0.2671369749143975,0.25624648677869105,0.2887290666731546,0.23467086334400483,0.23118853200752276,0.28563743746743214,0.29397783035521613,0.24715360401584144,0.2399045575182144,0.27320369785059323,0.22574821075657686,0.2432822050450698,0.28738979105289125,0.28382526086837767,0.24442811113761534,0.29060332780388715,0.294517879080591,0.24094302236019646,0.23891785672025284,0.28143543887290573,0.29829197149067105,0.25669679791277294,0.22746304681676355,0.2995712954676538,0.23346745980782949,0.235066734254997,0.2897293488156121,0.29056704924492965,0.23038008684188657,0.23382475195668595,0.3076670574174424,0.2353184076618659,0.2559241262796135,0.27956828014880225,0.28077741790761623,0.25616882782952105,0.24617460649744377,0.2835939853108987,0.23312766709617422,0.26598866267182575,0.27683466478363894,0.30530716138655317,0.2181438206340178,0.26430748805897575,0.3040828047612594,0.25465490719303757,6.98,0.27489527867360947
5,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.7251451407637194,0.17763444474982412,0.2483411468450251,0.25720401919241054,0.2424683246045447,0.2294851368632016,0.2532559708373271,0.22615608216779265,0.18269426669237773,0.24043961600112213,0.23485707573037262,0.22078300706946058,0.21383051440379797,0.2438896412445788,0.21625348723450702,0.19677666907807884,0.2410935473003376,0.2351018001648802,0.21654709505872385,0.26267771381085203,0.2661935944453073,0.22042922679428903,0.19387241199633087,0.235102283069737,0.2468366902750977,0.22995707413697652,0.20167501248011252,0.2684904397957301,0.21717235519180872,0.18812545059663124,0.2433496672626534,0.23315857762417175,0.20148776289892778,0.20693719321322013,0.28232389028282406,0.21318997191440042,0.20567029409964085,0.23565591299263902,0.21722711112966536,0.22624231167412573,0.2247002870857,0.25498664712438684,0.2121078523741445,0.2093317062925311,0.23292349882464106,0.2547270316280726,0.1917123885136739,0.2385442199155195,0.27492695470906686,0.23358779672261493,7.02,0.23850560629755146
6,10,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.5839066489680267,0.16051214295706626,0.23265767174563026,0.24005239607886011,0.21255191860332867,0.19629698361037481,0.21737109239757424,0.17606465931579682,0.16811692852112384,0.2210849886150383,0.21881942424343798,0.2078220766067352,0.1817480472192928,0.20901051477938692,0.17029304590573055,0.18131982301629473,0.22716414490883569,0.21785479206723432,0.21179637764579368,0.2235145281345282,0.22976473215567705,0.18113426638701546,0.17993707452099159,0.2174127430847191,0.2301561178366028,0.21552173756669618,0.17017849427132242,0.23628725209508253,0.17632696841973142,0.1738751772457983,0.22852327220124552,0.21518971579581067,0.18473349496835542,0.17708440243923493,0.2445026467300861,0.18388808279018087,0.18911787021248355,0.21878044805626956,0.19742604395370533,0.21405689670534195,0.19688799234005966,0.22104942708008216,0.17369924171275072,0.1937573852031847,0.21463649589748865,0.23561422192980927,0.18010955404116089,0.20436871290447034,0.24075443620812598,0.19669616141867932,7.06,0.21158858543024503
7,14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.5150531012258924,0.14682370682010293,0.2049318277726743,0.2100250929205076,0.1913244914529933,0.18328713083058382,0.20476566292433274,0.1654058841487723,0.15256488078546251,0.1959315871980243,0.1875552475556192,0.169326978469683,0.16985790392324543,0.19265053889209025,0.15694383484489824,0.16684340756878333,0.19766131563308498,0.18797068780829693,0.16860092477115593,0.20959050621692102,0.21448702679077064,0.17146787768382277,0.1662665246153777,0.19206615811769098,0.19213004940872458,0.17834342437839296,0.15288486195399148,0.22867956639749873,0.1640073298343899,0.16416056938582926,0.20200913721379862,0.18403309615114138,0.15128899448992345,0.16180512821269974,0.23475419745505105,0.16609567463821978,0.18360886555114503,0.1905794821887449,0.16841044140824996,0.1762820230251214,0.1731905216435893,0.2129680799800197,0.17146291174069553,0.1754227638281953,0.1885467158082347,0.20697252215586898,0.14231496235957233,0.1867574735354978,0.22897661643780134,0.188662830837463,7.14,0.18991501077981293
8,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.44295480911279866,0.1271878426297278,0.19202271847262306,0.19630517104291692,0.18253708616198272,0.1736099706994203,0.18045794920590708,0.14633655932036263,0.13433153150598823,0.18440566094235122,0.17764762072410287,0.16018110637975796,0.15374067120841464,0.17547442502180294,0.13572983729437543,0.14516871729764944,0.18641678246816343,0.17085902672376443,0.15929753213754327,0.21717988086649695,0.1919279899989616,0.14434017622063322,0.14175244473081972,0.1800850586323495,0.18212959037520743,0.17109446400349518,0.14633901143498945,0.19917361642006873,0.14105440882341252,0.13588342416326624,0.19372174791914593,0.1711292363752599,0.14286666758628383,0.1510224876456347,0.20583227381777675,0.14507962603471786,0.15117776022900223,0.17938078351931108,0.160035452895513,0.17163497164343158,0.15983069636678776,0.1829159242739316,0.14187082516708313,0.1558322683830532,0.17848602547074885,0.19350382428104385,0.131046228957933,0.17226367670045137,0.20226150120740483,0.16135904556103486,7.16,0.17253752216109805
9,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.4617459715458657,0.12115917782873435,0.18278716693154906,0.17723197956250247,0.15727004963131316,0.15068811986295208,0.17171189286393257,0.13594898737311442,0.1253611345782166,0.18742303489884213,0.1538754827153662,0.14008971920960875,0.13586868171167754,0.16031403443436829,0.12952618391888354,0.13939060760446675,0.18077111259951534,0.15554654365663878,0.13844432476740212,0.17571154005119194,0.1830183459675684,0.1369259834548527,0.13384548364114435,0.17705735965392033,0.15924910723897487,0.14913554528904985,0.12272345464310731,0.18885318211581067,0.13164933985885127,0.1348634423955179,0.18652365697218817,0.1539443411062384,0.12336378750762049,0.1292750715109545,0.2020782231118843,0.135831550222294,0.14700688864341846,0.17046977740541633,0.1371524546745489,0.14336378613476194,0.14291003617382844,0.17349962002821168,0.13139753772080653,0.14808576882546048,0.1702224485495394,0.18153023711196156,0.1126250518339505,0.15361560020461604,0.19163176008964025,0.15577527724307288,7.16,0.15976979730150706
