,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,CB_25,CB_26,CB_27,CB_28,CB_29,CB_30,CB_31,CB_32,CB_33,CB_34,CB_35,CB_36,CB_37,CB_38,CB_39,CB_40,CB_41,CB_42,CB_43,CB_44,CB_45,CB_46,CB_47,CB_48,CB_49,CB_50,CB_51,CB_52,CB_53,CB_54,CB_55,CB_56,CB_57,CB_58,CB_59,CB_60,CB_61,CB_62,CB_63,CB_64,CB_65,CB_66,CB_67,CB_68,CB_69,CB_70,CB_71,CB_72,CB_73,CB_74,CB_75,CB_76,CB_77,CB_78,CB_79,CB_80,CB_81,CB_82,CB_83,CB_84,CB_85,CB_86,CB_87,CB_88,CB_89,CB_90,CB_91,CB_92,CB_93,CB_94,CB_95,CB_96,CB_97,CB_98,CB_99,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,TMSE_25,TMSE_26,TMSE_27,TMSE_28,TMSE_29,TMSE_30,TMSE_31,TMSE_32,TMSE_33,TMSE_34,TMSE_35,TMSE_36,TMSE_37,TMSE_38,TMSE_39,TMSE_40,TMSE_41,TMSE_42,TMSE_43,TMSE_44,TMSE_45,TMSE_46,TMSE_47,TMSE_48,TMSE_49,TMSE_50,TMSE_51,TMSE_52,TMSE_53,TMSE_54,TMSE_55,TMSE_56,TMSE_57,TMSE_58,TMSE_59,TMSE_60,TMSE_61,TMSE_62,TMSE_63,TMSE_64,TMSE_65,TMSE_66,TMSE_67,TMSE_68,TMSE_69,TMSE_70,TMSE_71,TMSE_72,TMSE_73,TMSE_74,TMSE_75,TMSE_76,TMSE_77,TMSE_78,TMSE_79,TMSE_80,TMSE_81,TMSE_82,TMSE_83,TMSE_84,TMSE_85,TMSE_86,TMSE_87,TMSE_88,TMSE_89,TMSE_90,TMSE_91,TMSE_92,TMSE_93,TMSE_94,TMSE_95,TMSE_96,TMSE_97,TMSE_98,TMSE_99,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.07647556373120308,0.10316516499817995,0.07683311886278603,0.07642798391611698,0.08366794181071421,0.07543835527759354,0.07588002226400076,0.08449732484231973,0.10355309748799935,0.0919853005577003,0.08639238400850702,0.07483789477790433,0.09236237627743207,0.07887237424596528,0.08168451844990783,0.08333398184679443,0.08143806936180972,0.08077298993790419,0.0850073611601995,0.11184603964589221,0.07929624338512235,0.09377190794047695,0.08519675632518912,0.07604425808213401,0.077990153577817,0.08606016665038774,0.09375602826704747,0.091903503617041,0.0906305178456214,0.09319936198254891,0.08158282021740658,0.07950438892763086,0.08269774697690269,0.09492850949451025,0.08464985065458022,0.08590114071677667,0.09515412582766741,0.08936447117941639,0.0818636343570272,0.0908353925917449,0.07343109877903495,0.07393201059710473,0.08528472637788016,0.07816429458491275,0.08043711607089714,0.06658384152342596,0.0725646565203531,0.08129022923813306,0.0814373180767224,0.07645733220071266,0.08597326092599851,0.08766578198993003,0.1024641395894474,0.08258657270977074,0.0906602817027788,0.09412879729334672,0.09840043325810419,0.07682921767723092,0.08782127676909914,0.0909810910815725,0.0809237541359413,0.08137202922405502,0.08033735564087592,0.0730259032477702,0.09071117711863133,0.08364342690809122,0.08110963193859898,0.08115901890105796,0.09235978422658897,0.0894676562039326,0.07724229391632653,0.08439333118894377,0.08081006752022267,0.09466225526797152,0.08538761208937662,0.09639407454235413,0.08455601928686693,0.08826593616258353,0.10456837377496304,0.08348185902589164,0.0793061564275749,0.07213400535332798,0.0701239833400176,0.08461340926229363,0.07525552736273985,0.09458599019472608,0.08060326278596912,0.09106715222525089,0.08817186315969838,0.08605621384750814,0.08022861047905919,0.07986458882184395,0.07745634063320095,0.07937620474545376,0.09066092918607657,0.08082426145305072,0.09054049993659063,0.08082375880527283,0.077727733989525,0.07781961759733469,1.0,0.08457007988971994
1,2,4,3,3,3,3,3,2,4,3,4,3,3,3,3,2,2,3,3,2,2,2,2,3,3,2,3,3,3,3,3,2,3,2,2,2,3,3,2,3,1,3,3,2,4,2,3,2,4,2,3,3,2,3,1,3,3,3,2,2,3,3,4,3,3,1,1,3,4,3,2,3,2,3,2,2,2,4,3,2,2,4,3,2,2,3,4,3,1,3,2,3,3,3,3,1,3,2,3,3,0.0592497403954884,0.07376308995936112,0.049300438383126324,0.06531613209227168,0.07333132017061013,0.053237447993593014,0.053412366453012894,0.05790322426907727,0.0935924682552557,0.07751240158885712,0.06557430594489662,0.06683223902307013,0.07505406704623842,0.06350749389908013,0.06106796962852542,0.06232617654476859,0.05181128181443213,0.06538147758828516,0.061480114151366276,0.0901034129885819,0.06241451231205412,0.0888382780661922,0.07913741048257172,0.0534137794997426,0.0568718030130618,0.07685884784604487,0.07328494758634772,0.05854247844754157,0.07076730305246212,0.052933797897203774,0.06394877846973827,0.06063431856417744,0.06297702021604502,0.0743747219878555,0.06446692141110466,0.06422147381955544,0.08253480058183085,0.061485784287642606,0.06256022937495677,0.05685564899237763,0.052565398027305255,0.06738133641699363,0.065789874452596,0.06809985460404898,0.0637794005158632,0.0614548525256995,0.060479115867118335,0.05563049494014134,0.06859294033236513,0.06104248846561822,0.08139663454223285,0.06786860830321952,0.08336553361190166,0.058896935379495946,0.06894821729382175,0.06561306737978555,0.07792499533175284,0.05843842318178662,0.07196362805038072,0.07528127142565179,0.05913691532113091,0.05223301516432082,0.06004868473317031,0.06074677921104777,0.05568570162316822,0.0659124489367179,0.06159344945675497,0.06201867724837554,0.08649113061900851,0.07953956232158271,0.06608617878242046,0.07308341937997084,0.056541379598480976,0.06774975056619731,0.0751331818550786,0.07291590353542819,0.06809909414468168,0.06437392379285242,0.08511357271322816,0.07013306477600806,0.06713926786746674,0.058063745351309794,0.04988736320063633,0.0719708746965138,0.057897436869623106,0.06380075210854284,0.052133640246128106,0.08060220730743975,0.07080434174415991,0.06264753855251293,0.06407664872700922,0.06752210702761106,0.05456597315775814,0.060807205219093656,0.06897030300226394,0.06160496669828499,0.06391212579943903,0.056339409713652984,0.05708916661993033,0.07029273606802086,2.66,0.06584156738503205
2,3,4,4,3,3,4,3,3,5,4,5,4,3,3,3,2,2,3,4,3,3,3,2,3,3,3,4,3,3,4,4,2,4,2,3,3,4,4,2,4,2,3,3,3,4,3,4,2,4,3,3,3,3,3,3,4,5,4,4,3,4,4,4,4,4,3,2,3,5,5,4,3,3,4,3,2,2,4,4,2,3,5,4,3,4,4,5,4,3,3,3,3,3,3,4,2,3,2,4,4,0.055113651387175756,0.054299002349898956,0.047069687433655534,0.058637839172443945,0.06945010650050537,0.04770909664589248,0.04294881036540554,0.0684991130719438,0.06573108435568685,0.06805031915543347,0.04858435228222959,0.05342839409657115,0.0799876948823487,0.05357128278740879,0.05309040878916373,0.05918426373794869,0.045965069664618705,0.0478265385113064,0.056455069368233066,0.06608751600664742,0.05745668693045618,0.09187261283224372,0.06250090327700798,0.047426025104084696,0.05174380936273394,0.06161357978888657,0.06161623093072553,0.053696168150532665,0.06690380142400192,0.04691337937132578,0.048783349760235316,0.05024365114661384,0.05586130688628271,0.06203911809724401,0.05703783291809635,0.055702214093282694,0.06349732727356391,0.05641932630535039,0.04965203431597097,0.05526875323897467,0.05283619236319891,0.06339285059458244,0.0587665253893754,0.0535752935824383,0.06125682305110484,0.051366799065989406,0.05500166239963041,0.054844084072251977,0.06392786029792025,0.04297644744631998,0.0665400904616239,0.05732715618928872,0.06839373304765646,0.044618496922392885,0.052455779801937476,0.04882061375755643,0.06172109746760873,0.05799844458821105,0.059451436245279266,0.0797558304844601,0.04576124645381015,0.0478280746165165,0.05056554633524769,0.05626612329104147,0.05607298450410108,0.055654088338784644,0.05844402562339585,0.05298672863310478,0.08129785880558649,0.0689723261269317,0.05178407885299805,0.0480193624260077,0.047702246227355756,0.051979883461982034,0.05294827923309555,0.06231251073680202,0.05885099251356759,0.06659275360614776,0.06685334131115672,0.05303175176424767,0.050544049516172314,0.04334154651346346,0.04564058339813041,0.059687196608288216,0.045234759326482965,0.05495989229350945,0.05042806837037012,0.06857769346141093,0.06300566058901581,0.05404659784757439,0.049009761373170965,0.05507758186076178,0.0485166423432126,0.05289593017914213,0.06387298219047241,0.05264382275820915,0.062468156697382086,0.04966337161087699,0.0533295056136141,0.0594596331309937,3.35,0.05669292267545093
3,3,4,4,4,3,4,3,4,5,4,5,4,4,3,4,3,3,3,5,3,3,4,3,4,3,3,4,3,3,4,4,3,4,2,3,3,4,4,2,4,3,4,4,4,4,3,4,2,5,3,3,4,3,3,5,4,5,4,4,4,4,4,4,4,4,3,3,4,5,5,5,3,4,4,3,3,4,4,4,3,4,5,4,3,4,5,5,4,5,4,3,3,3,3,4,2,4,2,4,4,0.048043285792304574,0.05108897598804422,0.04960527167044587,0.05547222667985842,0.0715966947347436,0.046600558144680164,0.04234324613208881,0.0586944449486276,0.05695357591712165,0.053818454373021185,0.04752564858959374,0.04604359503085599,0.058984125703439486,0.04952237315133178,0.051570510551598815,0.05182810673873331,0.0454598934112968,0.04768950964479725,0.04985921206349029,0.05525429740637705,0.05094460817523205,0.08082226872749065,0.053684446525055,0.0473760401175568,0.0497340968797178,0.057791163311592515,0.05692953073009895,0.04494276228188568,0.05955438812103601,0.04654005726472118,0.0462973536761242,0.047135321127429214,0.04931999783207966,0.05876360813054859,0.04969710242484837,0.049591956351999894,0.05288731769745455,0.05358521214116896,0.04982837977782322,0.05390861141941029,0.043703051637408,0.05798923461741965,0.053718450808075385,0.049543285030454,0.05209524243164807,0.05102990296060284,0.0545114367713775,0.05146661497661618,0.05334369748255043,0.042791702453755104,0.04986016653341761,0.04612104713139592,0.0750491188229053,0.04541468160285851,0.04730633994713479,0.04476133633716729,0.06124392874504247,0.053237103351142755,0.04576012251381202,0.05357625738346247,0.041481475524786544,0.04612764128292975,0.0424876551015845,0.051841006098544834,0.05629372795117902,0.04984281599121479,0.04559932548947418,0.045876370209279274,0.057983168323620826,0.053422543950201816,0.045667628156680275,0.04904868241769965,0.0435618770736249,0.05245695201656881,0.049609837455859465,0.05702545606440629,0.052399723645529354,0.05043297009491624,0.06288298157090064,0.048683635329606796,0.0489716626089775,0.03501200909505964,0.04360042926331748,0.06531570886001505,0.042391403118385414,0.042931524769614655,0.045321634349094565,0.06554173788393684,0.057555933584888294,0.05221857286741407,0.05460136326943532,0.05406576299898436,0.04522737072927993,0.049979665992984916,0.05355096976458811,0.05302480176863105,0.05579803674829965,0.04879711334069899,0.051151543858634366,0.05256371992624926,3.69,0.05150157389471068
4,4,4,4,5,3,4,3,4,5,4,5,4,4,3,4,3,3,3,5,3,3,5,3,4,3,3,4,4,3,5,4,4,4,3,4,4,5,4,2,4,5,4,4,4,4,3,4,2,5,4,3,4,3,4,5,4,6,4,5,4,4,4,4,5,4,4,5,5,5,5,5,3,4,4,4,3,4,5,4,3,4,5,4,3,4,5,5,4,5,4,3,3,3,4,4,2,4,3,4,4,0.04150496639739803,0.047631492859078,0.0442614210628358,0.049333841706037426,0.06802972581954127,0.04247875024545689,0.04228820807349073,0.053586666197668865,0.05139385035216455,0.05044764376562165,0.050815306152258516,0.04699284042320868,0.052897945882318595,0.04696652890652848,0.05257980174357857,0.051246462269832975,0.045848646011223675,0.04084893641262871,0.04873880218883435,0.052175874453791786,0.04791865756832676,0.059449778993187895,0.05215068522402895,0.04626489624569923,0.04987984430146447,0.05305186364890369,0.05347513681678955,0.045699674978728316,0.05172620372616501,0.04422082692658281,0.04260047294892127,0.045437778542054066,0.04503820957394081,0.056225924399276164,0.04683940778607221,0.04436078513667142,0.04788609724637156,0.048715567714727036,0.04741565754690581,0.05913175071294406,0.042496978491283005,0.05971704145201111,0.050127844773567014,0.04832157822487986,0.04841050743599793,0.042950386845103036,0.04836106318694258,0.05328075815729194,0.04787897637605021,0.03900427521956886,0.04852596616537454,0.047288079983839694,0.06766742176281332,0.04406870955004579,0.044945305937771636,0.045417368718353376,0.057504676076778845,0.05436152026687657,0.04583890522958076,0.05198294677253949,0.0396924977236812,0.04698751777313814,0.04144229040443379,0.04942183166529446,0.048576184754054716,0.046875455436556454,0.0449571352169662,0.04437493890345096,0.04920018804203993,0.047459853536622236,0.04471218782150324,0.04645055611671076,0.04385866459060786,0.05548986052885009,0.05149720827840839,0.055558610772206814,0.04858630225383594,0.04902091200080986,0.05672620793260969,0.04863776838200729,0.049257950566269075,0.03470169213082022,0.04339323651044418,0.0647047879463961,0.043349776214333315,0.0496842669599109,0.044290942420314595,0.05944202069355588,0.05123245945718755,0.05305371414152313,0.05058334634223003,0.05381214944078295,0.041049998541349504,0.050456916212558,0.04888052354266599,0.05018008453212434,0.04869695518381576,0.050349685656850635,0.0470731048674111,0.052281310791437205,3.94,0.049017083358736974
5,5,4,4,5,3,4,3,5,5,4,5,5,5,3,4,3,3,3,5,4,4,5,3,4,3,3,4,4,3,5,4,4,4,4,5,5,5,4,3,4,5,4,4,4,4,3,4,3,5,4,3,4,3,4,5,4,6,4,5,5,4,5,4,5,4,4,5,5,5,6,5,3,4,4,4,3,4,5,4,3,5,5,4,4,5,5,5,4,5,4,4,3,4,4,4,2,4,3,4,4,0.041766855754954466,0.047209474996420385,0.03738490237510349,0.0525246426858071,0.06049932246606031,0.04213417566785806,0.04083626550506122,0.053638156747784445,0.04917515368986694,0.04798576526941964,0.0497713742353759,0.04402484648171959,0.05270171903118345,0.048359341975572644,0.052812117556249,0.0487421323367536,0.044836114423053616,0.0404956293217174,0.04505830358177038,0.05338252668855107,0.04873141235074569,0.05035107832506729,0.049489172203171325,0.04538111907827042,0.05007917457454734,0.052506930500516184,0.053564014388955854,0.04514411132491531,0.05643824474514837,0.0448978690275615,0.04473326166412597,0.042046310680265285,0.04478664981606107,0.05525711622698506,0.04696759704092478,0.04748754663943584,0.04567472116452473,0.04746202954846222,0.04713573918586264,0.05436457302602309,0.0460673159045715,0.05633471196531376,0.0520427021273459,0.05018812554605362,0.048172358979034095,0.04231604497785163,0.041156175435225865,0.05186491417412469,0.04666042522788892,0.036718391607881026,0.04689510218962548,0.04180114871565045,0.059609327758649786,0.043621068690087694,0.04492905381009829,0.04541705731201977,0.05216605972613188,0.051160545455346464,0.0455552609090298,0.048858695741170535,0.03939305036196438,0.040029192272979484,0.04107708624693885,0.04711982919147779,0.05034027274909883,0.0462973798604301,0.04335602765207485,0.044098705394147224,0.05415773959148463,0.04511447132585383,0.04558983758182103,0.042968660619579775,0.04387654939564715,0.04148675852626668,0.051163462465957196,0.053573965963137946,0.044960294946243914,0.047482555384933005,0.052197778091065246,0.04922560818070673,0.051980163187846214,0.0337887205514775,0.043331383214220635,0.05047474958985867,0.04706664570898102,0.05114927986758579,0.04432606825281312,0.060738563173527174,0.04952064281908108,0.05143443555361372,0.04755871471960414,0.05224401853811057,0.04012406417344515,0.04930953113544007,0.05406390527998882,0.04804160850618207,0.045856222085104086,0.049441461125318775,0.04743569858084015,0.04802731387432368,4.13,0.04766794394294125
6,5,4,4,5,4,4,3,5,5,4,5,5,5,3,4,3,3,3,5,4,4,5,4,4,3,3,4,4,4,6,4,4,4,4,5,5,5,4,3,4,5,4,4,4,5,3,4,3,5,4,3,4,3,4,5,4,6,4,5,5,4,5,4,5,4,4,5,5,5,6,5,3,4,4,4,3,4,5,4,3,5,5,4,4,5,5,5,4,5,4,4,3,4,4,4,2,4,3,4,4,0.0408198722248359,0.046793427900026295,0.03772262776900842,0.04938557522642154,0.056080978789818665,0.04177857480287286,0.04126443005948851,0.0518160409518488,0.04679623273640199,0.045618031827741753,0.05013035564580404,0.04359743714735216,0.05191208718621686,0.04767034341030031,0.05266191072685941,0.04840028742460138,0.044459703920533555,0.04194751722630473,0.04481795433617405,0.05509245579223298,0.04894544791024166,0.053041429607191506,0.050022637610707535,0.04493068117183462,0.050297361711296285,0.05187461156128684,0.05426741413777695,0.0452732157162824,0.0573395807441044,0.04492219690400452,0.04276661481485078,0.041833388359569214,0.042842212840863834,0.053946054751027955,0.046117516294269745,0.04863870887673296,0.04556602209459717,0.04706865713822325,0.04703168475748031,0.05435556912206221,0.044925064763838604,0.05658468219345101,0.04718788282642319,0.052651796592148074,0.05037916663773003,0.04133794812881029,0.04105018345166264,0.051628105214996944,0.04695026667262831,0.036771003631177246,0.04559845696412563,0.042112838046403596,0.05067480573617437,0.04381822992821368,0.04489703103885001,0.04455508863575405,0.05420520460201178,0.05035166621716377,0.044740382554064866,0.05813914044927683,0.03954429107059977,0.03801477734399929,0.042192801284962986,0.04569963139508037,0.04917415324802847,0.04517905841507375,0.04227532675241826,0.043781006446635254,0.045228465903994874,0.04760005592100164,0.04898268448043257,0.04210978889176357,0.04365106131079944,0.04035028867737228,0.053740101010563514,0.05367200054254456,0.042859310775991366,0.04862451608964329,0.05170670263489078,0.05220166265742385,0.050517137727374026,0.03538252196078328,0.04233098062832313,0.05029621106801021,0.043438863462412235,0.0438910442669254,0.043688196313905324,0.05800105050710323,0.048732286222258565,0.05027165066910227,0.0464186710391577,0.05129211990805409,0.040204943948799664,0.05230779607621475,0.04634086439277766,0.04652647225415289,0.0462423979046667,0.04919593735051208,0.04641264046128993,0.046125802554102646,4.18,0.04712611069083299
7,5,4,4,5,4,4,3,6,5,4,5,5,5,3,5,3,3,3,5,4,4,5,4,4,3,3,4,4,4,6,4,4,4,4,5,5,5,4,4,5,5,4,4,4,5,3,4,3,5,4,3,4,3,4,5,4,6,4,5,5,4,5,4,5,4,4,5,5,5,6,5,3,4,4,4,3,4,5,4,3,5,5,4,4,5,5,5,4,5,4,4,3,4,4,5,3,4,3,4,4,0.03985501705863481,0.04663959442444609,0.03676632116790919,0.04598320856681522,0.05201972564474015,0.04295320207446106,0.043023965572977135,0.04950469204080297,0.050352693033335005,0.04324366044262532,0.046867892705087275,0.04354527629279159,0.05021594204069035,0.04637853734481713,0.04830234984301114,0.04607282841390792,0.044611444508285934,0.04109212434213065,0.044990166230951575,0.06092446953891739,0.047740260909224154,0.045740695498733816,0.04660417998259314,0.0450388136816186,0.04754624213459717,0.05179287575212863,0.05359530163043448,0.04410151800485302,0.05601743313321489,0.045661792012454405,0.04543816947872702,0.04124745411019075,0.04325648072995702,0.05877758615502109,0.04660907635527948,0.04526728105196668,0.04564044477820794,0.049412842710108235,0.04655336252804867,0.052791641577904155,0.04243365378771061,0.056668708650665575,0.047886515125622114,0.05780121511935331,0.048295702963635355,0.040603674820611904,0.03993014302934792,0.05186971510608951,0.04687234161460779,0.03615402917930655,0.047275022979517384,0.03956381789340705,0.05054377834509889,0.04549760347243402,0.045794836492759144,0.04377002519609987,0.05396322526016846,0.05154757368209663,0.047932771965443634,0.05497486354729416,0.03974145012731189,0.03669818431994647,0.042008398303715964,0.044334748305292694,0.046861506201765254,0.045873757296051344,0.042056594448143685,0.04574909654370927,0.04451676986051466,0.04837534156090767,0.052064629848690876,0.0434101954599458,0.04363910856490357,0.0408074210118733,0.04612375539824937,0.053754770660419365,0.04339889202424206,0.05136838238085447,0.05106315394285286,0.05796464765941114,0.051034668537583774,0.03499106044083161,0.04418445092319649,0.04546488987763979,0.04828695771319532,0.04254704507618754,0.042894489898295,0.05594750562014942,0.04842757802401476,0.04889000995043442,0.04693047676167589,0.05052496444262216,0.04003719636536758,0.05198088824725687,0.047698099298495236,0.04755636406318116,0.045790887446144554,0.0491782838583508,0.04674671096296471,0.04474281287705123,4.24,0.04685221926037311
8,5,4,4,5,4,4,3,7,5,4,5,5,5,3,5,3,3,3,5,4,4,5,4,4,4,3,4,4,4,6,4,4,4,4,5,5,5,4,4,5,5,4,4,4,6,3,5,5,5,4,4,4,4,5,5,5,6,5,5,5,4,5,4,5,4,5,5,5,6,6,5,3,4,4,4,3,4,5,4,3,6,5,4,4,5,5,5,4,5,4,4,4,4,4,5,3,4,5,5,4,0.04018050716306631,0.046887510413980794,0.03693849571112533,0.04488959644274756,0.05198674284666782,0.042953029655265366,0.042444809591853774,0.04823950527540767,0.04540762134778089,0.04340687463366949,0.046944624050808396,0.04285781216720804,0.0509829437748494,0.046284608498087354,0.046859938724097716,0.04674097547251276,0.045855428804419465,0.04215850387393897,0.04494974804396132,0.05478283700199372,0.04886357562814717,0.04498774065776755,0.049696345511214,0.04518849402339917,0.04658117657002506,0.052034281514677504,0.056149027368875455,0.04449160651238819,0.05379559736584827,0.045341316435248885,0.04390521412457826,0.040754702725167,0.043516629309714346,0.06417810577660582,0.04682446853130104,0.0424324231939461,0.044565043282787056,0.049405174884708546,0.046197722602863665,0.05065513389844268,0.03933150899355268,0.05509941545825059,0.049818132086003455,0.053687643876270195,0.046777365571302326,0.03979494216372003,0.03828020908625423,0.052469814135974346,0.046571311706113054,0.03641106947448996,0.045843205355707815,0.03949365134310216,0.048371798463483794,0.04600864388682482,0.048237970680472565,0.04427273311902468,0.05167310685694639,0.04831329386671859,0.047094975635445464,0.05547157813781448,0.04037176259806305,0.039245858457257136,0.044341317303663835,0.04495459868167338,0.04582142277668762,0.04472406305299156,0.04228460301287094,0.0443712038989944,0.046543431423270866,0.04339376972347989,0.049160350180953875,0.04247880165778433,0.04311553961162009,0.040530717765958936,0.04449333185087278,0.05495307459856782,0.04264868359572027,0.04775802580776984,0.0493208469755498,0.05534417473165075,0.05025265416575036,0.0367087177615974,0.04892374057357906,0.04351678019526211,0.04645935565488811,0.04798161595533379,0.04308324709688432,0.05117347333401021,0.0510407152919623,0.0489235361580852,0.04658523080321505,0.050177112193693904,0.04125706555300684,0.054257145298645185,0.043778756851109976,0.04762839616667705,0.047844080394818946,0.05021705193207622,0.04811204452252788,0.04433522953035207,4.42,0.046524497904474965
9,5,4,4,5,4,4,4,7,6,4,5,5,5,4,5,4,3,3,5,4,4,5,4,4,4,3,4,5,4,6,4,4,4,4,5,5,5,4,5,5,5,4,4,4,6,3,5,5,5,4,4,4,4,5,5,5,6,6,5,5,4,5,4,5,4,5,5,5,6,6,5,3,4,4,4,4,4,5,4,3,6,5,5,4,5,5,5,4,5,4,4,4,4,4,5,3,4,5,5,4,0.0409801163886856,0.0478207761964835,0.04224975356009129,0.04463503951019792,0.05167175397726028,0.042982220965803924,0.040993260325707936,0.047450377062277185,0.04431164510352471,0.04591874852742832,0.046990817479794646,0.043553147855873664,0.047929794191237884,0.051005796812801575,0.046956243641502894,0.0462474584790209,0.0461085509595864,0.042752365693450145,0.04545869436351017,0.052977709724124473,0.05070652515499484,0.043028822523431244,0.05262761600686133,0.04560272298474095,0.04696617750617863,0.05195880391907774,0.05891980407210856,0.04403402034355073,0.04789027288961229,0.04645117166859561,0.04475947402523863,0.039375630305016264,0.04476510536999656,0.055342520384980436,0.048089760292753386,0.04121755563188461,0.04672244978691916,0.0488606662114912,0.0458097480576869,0.05438509132969807,0.038596951044942644,0.054310693686429705,0.04903873814040767,0.04994010873639548,0.04665471128477926,0.04018368506324324,0.038990847437170455,0.05241421132081324,0.048584030568320884,0.04071008538009769,0.0456140246791241,0.04292945434452688,0.04836500405545445,0.04276432893258146,0.05221614629095846,0.044155996843495096,0.04943927157003595,0.04679976334979706,0.045161004460158985,0.051435429949946695,0.03901925267191219,0.03683716668444841,0.040940238928847086,0.04547137731151937,0.04567892919398713,0.04473008592699628,0.04363071414591816,0.04474424168934446,0.04708574523784166,0.04242121426590787,0.04620729206693549,0.0425146253777786,0.042755358074821496,0.04253128298982678,0.04498822698258059,0.05440957846414427,0.04253415183393884,0.0464466816802545,0.050702989729196436,0.050926251059751584,0.04896213751855713,0.0365033028805487,0.05067688035158066,0.0452946084436216,0.04362282020458014,0.04797316384894229,0.04319880061840614,0.05052465812258204,0.048940617371219096,0.052370730441441846,0.04918216181610908,0.050155387527482685,0.04125499722286638,0.05862039125914473,0.04388412880486593,0.04759166613454922,0.047148543896183046,0.049692069226734796,0.04838762274253395,0.04189314833452909,4.51,0.04645265937504289
