,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.394134260527341,12.324327856103201,12.207996077529415,12.115629772457678,12.12402761659162,12.23786198182916,12.35888030847823,12.398135507143511,12.343362585060413,12.231389212219737,12.12776821032368,12.112493007975509,12.211239964786241,12.339989950066142,12.398409356912701,12.360137010509732,12.255026078344578,12.143427135603442,12.105739208703108,12.185797141359412,12.318130231411327,12.394834929798945,12.374283296220778,12.278331643317564,12.161986437001646,1.0,12.260133551211005
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.394134261288318,12.32432785912147,12.20799607752538,12.11562977244644,12.124027616583426,12.237861981818224,12.358880308476733,12.398135507772011,12.343362587252408,12.231389212233813,12.127768210314265,12.112493007964886,12.211239964778233,12.33998995004614,12.398409357379286,12.360137012270922,12.25502608349613,12.143427135596848,12.105739208691158,12.185797141350635,12.318130231391551,12.394834930086446,12.374283297794745,12.278331647286983,12.161986436997527,1.0,12.260133551998559
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.394134261737545,12.324327860903175,12.207996077522996,12.115629772439807,12.124027616578587,12.237861981811767,12.358880308475845,12.398135508143012,12.343362588546356,12.231389212242117,12.127768210308709,12.112493007958612,12.211239964773506,12.33998995003433,12.398409357654709,12.360137013310561,12.255026086537146,12.143427135592953,12.105739208684106,12.185797141345455,12.318130231379877,12.394834930256154,12.374283298723865,12.278331649630166,12.161986436995097,1.0,12.260133552463458
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.394134262002611,12.324327861954623,12.207996077521589,12.115629772435891,12.12402761657573,12.237861981807953,12.358880308475301,12.398135508361907,12.343362589309946,12.231389212247022,12.12776821030543,12.11249300795491,12.211239964770714,12.33998995002735,12.398409357817199,12.360137013924064,12.255026088331848,12.143427135590654,12.105739208679942,12.185797141342398,12.31813023137298,12.394834930356263,12.374283299272136,12.278331651013012,12.16198643699366,1.0,12.260133552737805
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.394134262159,12.324327862574814,12.207996077520761,12.115629772433579,12.124027616574045,12.237861981805702,12.358880308474948,12.398135508490942,12.343362589760318,12.231389212249915,12.127768210303495,12.112493007952725,12.211239964769065,12.339989950023211,12.398409357912959,12.36013701428589,12.255026089390599,12.143427135589299,12.105739208677488,12.185797141340593,12.318130231368903,12.394834930415236,12.374283299595461,12.27833165182876,12.161986436992812,1.0,12.260133552899623
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.3941342622512,12.324327862940338,12.20799607752027,12.115629772432216,12.124027616573049,12.237861981804372,12.35888030847469,12.398135508566874,12.343362590025718,12.23138921225162,12.127768210302355,12.112493007951434,12.211239964768092,12.339989950020742,12.398409357969276,12.360137014499074,12.255026090014816,12.1434271355885,12.105739208676036,12.185797141339526,12.318130231366482,12.394834930449884,12.374283299785928,12.27833165230966,12.161986436992313,1.0,12.260133552994978
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.394134262305661,12.324327863155501,12.207996077519983,12.115629772431411,12.124027616572462,12.237861981803585,12.358880308474477,12.39813550861143,12.343362590181899,12.231389212252624,12.127768210301682,12.112493007950675,12.211239964767515,12.339989950019254,12.398409358002278,12.360137014624483,12.25502609038254,12.143427135588029,12.10573920867518,12.185797141338893,12.31813023136504,12.394834930470143,12.374283299897925,12.278331652592891,12.16198643699202,1.0,12.260133553051105
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.394134262337582,12.324327863281937,12.207996077519812,12.115629772430937,12.124027616572114,12.237861981803114,12.358880308474282,12.398135508637447,12.34336259027362,12.231389212253216,12.127768210301284,12.112493007950224,12.211239964767174,12.339989950018335,12.398409358021494,12.360137014698083,12.255026090598943,12.143427135587752,12.105739208674674,12.18579714133852,12.318130231364167,12.394834930481888,12.374283299963599,12.278331652759503,12.161986436991844,1.0,12.260133553084065
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.39413426235648,12.32432786335607,12.207996077519713,12.115629772430657,12.124027616571906,12.237861981802835,12.35888030847409,12.398135508652517,12.343362590327338,12.231389212253566,12.12776821030105,12.112493007949956,12.21123996476697,12.339989950017747,12.398409358032573,12.360137014741133,12.255026090726178,12.143427135587585,12.105739208674374,12.185797141338298,12.31813023136363,12.394834930488605,12.374283300001956,12.278331652857382,12.161986436991743,1.0,12.260133553103374
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.394134262367588,12.324327863399441,12.207996077519654,12.115629772430491,12.124027616571784,12.237861981802661,12.358880308473896,12.398135508661143,12.343362590358703,12.23138921225377,12.12776821030091,12.112493007949798,12.211239964766847,12.339989950017355,12.398409358038856,12.360137014766213,12.255026090800984,12.14342713558749,12.105739208674194,12.185797141338162,12.318130231363291,12.394834930492353,12.374283300024238,12.278331652914847,12.161986436991683,1.0,12.260133553114658
