,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,CB_20,CB_21,CB_22,CB_23,CB_24,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,TMSE_20,TMSE_21,TMSE_22,TMSE_23,TMSE_24,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.380763107282363,12.390879696545062,12.31421134728715,12.19663587386095,12.110924225414589,12.131350813256468,12.251212018202878,12.367053482445172,12.396651187100167,12.334215116315686,12.219724219086476,12.121104616030653,12.11754089102743,12.22435677723522,12.349801310588868,12.398791500313108,12.352158334838887,12.243348822615907,12.135134974486231,12.10836648129805,12.198191726280237,12.329347499025944,12.39713866650595,12.367653018038247,12.266900742269675,1.0,12.268138257894057
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.380820330984404,12.39110123402839,12.31456215229506,12.196720673198634,12.110404698878927,12.130946922764913,12.251010752469355,12.367071798180064,12.396845822881248,12.33453196465672,12.219971574558592,12.120614967914435,12.117105694824032,12.224112282329829,12.349778757886366,12.398956687461554,12.352450613907592,12.243726549843341,12.134837414745299,12.107903776928302,12.197905194006612,12.32928264234436,12.39727187593291,12.367923888338385,12.267323828316412,1.0,12.268127283987031
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.380854175499364,12.391236036862129,12.314779929663803,12.196779397627752,12.110107728359196,12.130714819733058,12.250893804167179,12.367082626085823,12.39696366624771,12.334728377430089,12.22012718160252,12.120335912044231,12.11685596483866,12.223970593107204,12.349765469267481,12.399056209967544,12.352631162475477,12.243960683715477,12.134671366577804,12.1076385909588,12.197739543345119,12.32924457647859,12.397351747719304,12.368090454464987,12.26758573125019,1.0,12.268126629979578
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.380874213334947,12.39131698228992,12.314912174242561,12.19681707483757,12.109935834780464,12.13058001922447,12.250825409180004,12.36708900041523,12.397034225331625,12.334847552145815,12.220222357982983,12.12017469044241,12.11671105977559,12.22388786781395,12.34975761290831,12.399115628819866,12.352740499108227,12.244102748842076,12.134576710491535,12.107484838105213,12.197642974436153,12.329222164686328,12.39739929839256,12.368191069120076,12.267744528753967,1.0,12.268128261418472
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.380885960075089,12.391365197385989,12.31499147650271,12.196840355062864,12.109835578737885,12.13050122028249,12.2507852400996,12.367092721819326,12.39707617938587,12.334918981071619,12.220279671907853,12.120080769135946,12.116626405322615,12.223839339187272,12.349752938483652,12.399150894451918,12.352805956174954,12.244187912202205,12.134522023358834,12.107395061306288,12.197586382982854,12.329208925793989,12.397427466096309,12.368251214622497,12.267839679740735,1.0,12.268129902047654
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.380892835526767,12.391393757342112,12.315038668535836,12.196854449458392,12.109776839118927,12.130454968651888,12.250761569565093,12.367094858066269,12.397100998239342,12.334961471203531,12.220313872386699,12.12002578372731,12.116576740275095,12.223810772912966,12.349750122631347,12.399171726413087,12.352844863649395,12.24423859573875,12.13449017006189,12.107342412599992,12.197553099673389,12.329201066716728,12.397444076834063,12.368286929304036,12.26789628824488,1.0,12.268131077475111
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.380896711771435,12.391410594821465,12.315066608061981,12.19686288353907,12.109742327805334,12.130427739620272,12.250747569603433,12.367096043212657,12.397115610768223,12.334986616146143,12.220334166257512,12.119993497711075,12.116547516563493,12.22379390041247,12.349748387592635,12.3991839715245,12.352867872626788,12.244268619461504,12.134471526262596,12.107311446944669,12.197533461725106,12.329196361083252,12.39745381916201,12.368308032081297,12.267929810039313,1.0,12.268131803791928
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.380899004737092,12.391420470789503,12.315083084395495,12.19686789594677,12.109722008661299,12.130411660311246,12.250739243658886,12.36709665540698,12.397124165732407,12.335001434896007,12.220346165060873,12.119974500774715,12.11653027194857,12.223783888063638,12.349747277744791,12.399191122648954,12.352881421043865,12.244286348588599,12.134460580056798,12.10729318610213,12.197521827199244,12.329193501099372,12.397459487946751,12.368320445305164,12.267949594898619,1.0,12.268132209720713
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.380900423527537,12.391426226317657,12.315092768397381,12.196870863686229,12.109710014927833,12.130402122270853,12.250734246288445,12.36709692217312,12.397129135956442,12.335010135136868,12.22035324457418,12.119963297183517,12.116520054876258,12.22377790066772,12.349746528145188,12.399195259424355,12.352889364988892,12.244296796077762,12.134454135774739,12.107282378293148,12.197514888568946,12.329191719626062,12.3974627457706,12.368327712265202,12.267961244171083,1.0,12.268132405163604
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.380901295825502,12.391429552316149,12.315098445347045,12.196872619355867,12.109702903262521,12.130396419994911,12.250731200338105,12.367096982547048,12.397131992654328,12.335015225823584,12.220357420717722,12.119956662909827,12.116513958687214,12.223774273283002,12.349745986953156,12.399197618923846,12.35289400296238,12.244302949160918,12.134450326770102,12.107275940853551,12.197510703528605,12.329190568570166,12.397464581796424,12.368331943982739,12.267968095461926,1.0,12.268132466881065
