,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0.35,0.35,0.35,0.35,0.35,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
1,0.35,0.35,0.35,0.35,0.35,0.35,0.15998587196060582,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
2,0.35,0.35,0.35,0.35,0.35,0.35,0.15998587196060582,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.1,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
3,0.35,0.35,0.35,0.35,0.35,0.35,0.15998587196060582,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.1,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
4,0.35,0.35,0.35,0.35,0.35,0.35,0.15998587196060582,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.12067926406393285,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
5,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.12067926406393285,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
6,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.12067926406393285,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
7,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.1,0.35,0.35,0.35,0.35,0.12067926406393285,0.35,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
8,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.1,0.35,0.35,0.35,0.35,0.12067926406393285,0.35,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
9,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.14563484775012436,0.35,0.35,0.35,0.35,0.1,0.35,0.1,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
10,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.14563484775012436,0.35,0.35,0.35,0.35,0.1,0.35,0.1,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
11,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.14563484775012436,0.35,0.35,0.35,0.35,0.1,0.35,0.1,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
12,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.14563484775012436,0.35,0.35,0.35,0.35,0.1,0.35,0.1,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
13,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.35,0.35,0.13257113655901093,0.35,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
14,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.35,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
15,0.35,0.35,0.35,0.35,0.35,0.35,0.14563484775012436,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.35,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
16,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.35,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
17,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.35,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
18,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.35,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
19,0.35,0.35,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.35,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
20,0.35,0.35,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
21,0.35,0.35,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
22,0.35,0.35,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
23,0.35,0.35,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
24,0.35,0.35,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
25,0.35,0.35,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.13257113655901093,0.13257113655901093,0.35,0.35,0.35,0.35,0.14563484775012436,0.35,0.1,0.35,0.35,0.1,0.35,0.13257113655901093,0.1,0.14563484775012436,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
