,eta,epsilon,sigma,TMSE,CB
0,0.05,0.35,0.2,0.2523494677135806,46
1,0.05,0.35,0.4,0.0521001498701603,46
2,0.05,0.35,0.6,0.028723849537719816,46
3,0.05,0.5,0.2,0.28941949891892266,24
4,0.05,0.5,0.4,0.05491793504527613,24
5,0.05,0.5,0.6,0.032181865895862985,24
6,0.05,1.0,0.2,0.6109880899942395,10
7,0.05,1.0,0.4,0.09800995738076332,10
8,0.05,1.0,0.6,0.08401731238997263,10
9,0.1,0.35,0.2,0.1501090459195128,46
10,0.1,0.35,0.4,0.031713190400370996,46
11,0.1,0.35,0.6,0.020897247294526352,46
12,0.1,0.5,0.2,0.20553390050355047,24
13,0.1,0.5,0.4,0.03644522162268646,24
14,0.1,0.5,0.6,0.024612104775892475,24
15,0.1,1.0,0.2,0.9563478130852121,10
16,0.1,1.0,0.4,0.12498398155976025,10
17,0.1,1.0,0.6,0.07874689371176585,10
18,0.2,0.35,0.2,0.12928254108072307,46
19,0.2,0.35,0.4,0.03705637146316729,46
20,0.2,0.35,0.6,0.019675938305486824,46
21,0.2,0.5,0.2,0.19733131657644862,24
22,0.2,0.5,0.4,0.03979699211895315,24
23,0.2,0.5,0.6,0.02242445547449013,24
24,0.2,1.0,0.2,1.5880548777862715,10
25,0.2,1.0,0.4,0.12070789953605315,10
26,0.2,1.0,0.6,0.07074630265445256,10
