,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0001730191530314,1.00041082377958,1.0004971316612574,1.000721447893425,1.000337861662256,1.0010516128507168,1.000785158181358,1.0008631671916532,1.000472968208009,1.0003282271310963,1.0011661260134832,1.0009523191221155,1.0004705178410183,1.0007184213158915,1.000820172717331,1.0006388390799832,1.0003040698328465,1.0006527550543307,1.0005113449257141,1.001096413155268,1.0,1.0006486198385178
1,5,3,4,8,5,3,6,5,4,5,1,4,8,5,8,7,6,4,5,4,0.9733805411451012,0.9812267112989456,0.980798205758989,0.9882089390132432,0.9699123172141884,0.9958594278441292,0.9753148224381483,0.9790457573963938,0.9857807842841254,0.9664673936372569,1.0010240386887999,0.9861809512908921,0.9852955747405499,0.9769589857836568,0.9709987950066615,0.964601255650721,0.9649532255801849,0.9764657728454916,0.9734993010485751,0.9925227919423507,5.0,0.9794247796304202
2,9,7,6,13,7,3,11,8,7,9,2,8,15,7,10,11,9,6,9,8,0.7813521346868086,0.9297839632224705,0.9289004748915616,0.5976270966820848,0.9019531613586589,0.9854311755621992,0.7036702679409765,0.94148393911992,0.9516415066283327,0.698998009636385,1.0011704792278833,0.948198174133699,0.6150820877937266,0.9067359514257263,0.6953488747347909,0.6357354862696094,0.6269696694645946,0.9436148292602191,1.2340661229415686,0.9456326400910008,8.25,0.8486698022536109
3,11,8,7,14,8,4,12,11,8,10,2,9,20,11,14,13,10,7,13,9,0.7745290101318449,0.8832000965196594,0.8876624655567608,0.5751168983768452,0.8548431785256266,0.9760502445720509,0.7284628321819089,1.1518724348354348,0.9191356824235268,0.7012772702301995,1.0001559701271088,1.812544795679559,0.6242573660418702,0.7065934270785136,0.6302164167601415,0.6066362153603783,0.6461455224713749,0.9288754246386135,1.421302667480405,1.1929255603081765,10.05,0.901090173965
4,11,12,8,16,10,4,16,15,11,12,2,10,22,12,14,13,11,7,15,11,0.7707025029531362,1.3528475733506422,0.8640930394690203,0.576102229572462,0.7746483913517574,0.9719541346542991,0.7112528778100724,1.2358478794594971,1.5964189452044728,0.6725297049332433,0.9999832516582233,1.6427847373462119,0.6498596113445336,0.740200462910947,0.623144852934755,0.6058277591094995,0.6361583946476076,0.9239743606638752,1.5320210642127525,1.2435215108198059,11.6,0.9561936642203408
5,13,13,8,19,11,4,23,16,11,15,2,11,31,13,16,19,12,8,21,11,0.7555575648683746,1.4042239284586053,0.8599581104304972,0.576406166167864,0.7367240584850193,0.9688385311804376,0.5999891120700968,1.272583723836956,1.622606163508223,0.6289140890991387,0.9999823347379226,1.416065850996323,0.6447496632618791,0.7460663631661991,0.6107030168323445,0.5786924748809416,0.6243763459671183,0.9150052119814572,1.2796433995838057,1.304815728451944,13.85,0.9272950918982575
6,14,14,8,24,13,4,28,17,15,19,2,12,39,18,19,21,16,11,27,14,0.725143942796431,1.313739561354525,0.8549846473026061,0.5714141828054949,0.7263906123242078,0.9686462047104892,0.4926822910663965,1.1946635967830392,1.127777542166904,0.5894023699503025,0.9999337995389335,1.2701861910880587,0.5590263753160155,0.6175542362041547,0.6095016151499139,0.5662929094411401,0.5977289329641874,0.8659654437329191,0.7467703290274555,1.0623134742129872,16.75,0.8230059128968081
7,15,16,12,33,16,4,34,24,16,21,2,16,47,20,26,25,19,15,32,20,0.6664973119139127,0.857903579438656,0.8412755527742142,0.4347572338004342,0.7124586256430907,0.9687028842720251,0.4143480258025395,0.7829381960614581,0.7838116475750267,0.5608139034723906,0.9994856674489994,0.93859760942238,0.37849346280273577,0.5750526432460302,0.5184460770045581,0.5617003696651485,0.5783756771656543,0.8420704129833713,0.5126958084523262,0.6205615780657269,20.65,0.6774493133505339
8,18,20,15,38,19,4,38,29,19,23,2,20,55,23,30,30,24,17,38,24,0.6423951448885742,0.619809284464854,0.7955233478986595,0.1675467492908223,0.654528174729269,0.9686974285647066,0.3339958871364761,0.45726771118884296,0.6713503446334165,0.508975781026458,0.9999171690539891,0.7235614685476082,0.09771595575870388,0.5417318461502008,0.37234657459625814,0.5585856650248411,0.5272428989224962,0.8320858429795406,0.22555757656296568,0.3956239817927582,24.3,0.5547229416605721
9,25,24,19,41,20,4,41,33,23,25,3,23,60,28,33,33,28,20,42,29,0.5362721186476657,0.5152026466797353,0.9450984275870954,0.09048023818938034,0.6189623764683587,0.968769345849792,0.2831176396968915,0.2816726319310315,0.6029623971857134,0.44342461079184975,0.9979533594462722,0.7128579894423507,0.056226624158312484,0.3445920505241533,0.3263453195772783,0.5400167791177293,0.3417725223801237,0.8450845122092564,0.17854145276227942,0.24090690226845193,27.7,0.4935129972456861
