,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9805405062259485,0.990073763799625,1.0014627288420748,0.9966848763468068,1.0012507037105458,0.9822738085297593,0.9925871972905727,1.001209437476742,0.9958613834139447,0.998485049842596,0.9968103254144923,1.0003289260150803,0.9934071066417394,1.0002108646167374,0.9949562113850048,0.9278985472712838,0.9920079454210173,1.0099933191246222,1.0009429265350367,0.9862249424541565,1.0,0.9921605285178894
1,4,3,1,3,1,4,3,1,5,2,2,1,2,2,3,5,4,5,2,5,1.0701312350387375,1.0054361042657274,1.0228909809587317,1.154057457084342,1.0029059263413649,0.9373488068103667,1.0206725717676306,1.0018772822417785,1.113565737515277,1.0185198236101678,1.036248852586707,1.0024913672233586,1.0058276064589642,1.023167556625528,1.0619262240752665,0.9535489589906168,1.1913054365192748,1.2121229083617635,1.031027077772723,0.9432384548275135,2.9,1.040415518453792
2,5,5,2,6,1,8,5,1,8,4,7,1,5,5,6,7,7,7,5,7,1.2040680182874508,1.0989184548825912,1.04100177508743,1.3091510252665661,1.0046779227525109,1.322546214398729,1.1343994076158779,1.0042971562663132,1.301245396217699,1.0465112653524398,1.076065131745619,1.0048194756529045,1.0587903652645847,1.1729214667134098,1.230437344568825,1.169675789822093,1.216797183001379,1.397307772292906,1.0893271065002839,1.0797103628098053,5.1,1.148133431724971
3,6,5,2,6,1,10,6,1,8,4,9,1,5,7,7,10,9,9,5,9,1.2352068568798646,1.0399085904497556,1.045882651663509,1.3815500848421498,1.0037348407688174,2.103487969579437,1.2798594017100993,1.0056414984181656,1.3297682231973011,1.0569817440166196,1.506255392379843,1.0066723361044514,1.0908369947872554,1.3834934484024484,1.4242324526561212,1.9454920315371167,1.546101672503968,1.8295689441783853,1.1630751403277304,1.6563279301219391,6.0,1.351703910226249
4,6,5,2,7,1,11,7,1,8,4,9,1,5,8,7,10,9,10,5,9,1.2375850535291968,1.0471094610679812,1.038046420837651,1.2808787662686287,1.0031804174313048,1.9544661432327382,1.3952789641739094,1.0049164800734391,1.3710427921186208,1.0392891443325245,1.5619016859272217,1.008995671582619,1.115395371526991,1.6193862313861516,1.4153288293273474,1.6967249703335552,1.5660254911577398,2.1764989263229086,1.09669195398553,1.5036052026824214,6.25,1.3566173988649237
5,6,5,2,7,1,13,7,1,10,4,9,2,5,8,8,12,11,12,5,11,1.1648823048174646,1.0031259708979336,1.0301832529891222,1.129740407774415,1.0024246445729883,1.207758786003962,1.2664720809398289,1.0044936366079806,1.3683739700867554,1.0279416932064867,1.5052309367949734,1.0110445026077504,1.0879909398238814,1.459772683313861,1.1481444470082078,1.1501200067012625,1.3168014118742286,1.484427372041643,1.0065388146125027,0.8813653650566657,6.95,1.1628416613865955
6,6,5,2,9,1,17,9,1,13,4,11,2,6,8,9,14,15,13,7,13,1.0405286562724638,0.9534931263714329,1.0250223035716346,0.9321371657174132,1.0020741457602018,0.7227408301176945,0.9234007111815005,1.0022266039742291,0.9578496632784241,1.0146178370949575,1.03258825930224,1.0131380381066,0.9669413206669104,1.079463493177759,0.954796175381582,1.005536799723861,0.9887892092098142,1.1760454240666462,0.9669075606899059,0.7397763976485804,8.25,0.9749036860656923
7,6,7,2,12,1,20,11,1,16,6,13,2,8,11,12,16,19,15,9,17,0.9781831175634184,0.9464184393360949,1.0173507084262878,0.8896266028955121,1.0012374570801827,0.338059950865177,0.8764139437606522,1.001167730999061,0.6689461570018571,1.0329402122159042,0.7878726055320645,1.0183882644659406,0.873991344066566,0.8559410488333369,0.8518906605671933,0.6622893497494498,0.5502617908317803,0.8639078061958394,0.9540347955152795,0.4588308965632231,10.2,0.8313876441232411
8,8,7,3,14,1,23,14,1,20,7,15,2,11,13,16,18,21,16,10,20,0.9447303134297246,0.9460079343310361,1.0414466176926127,1.0341232079008384,1.0010670813756242,0.43529743785820935,0.8488785164070621,1.0016966532045641,0.673170871962439,1.0844548452635685,0.624676170587529,1.0218660157733488,0.8257014602870815,0.9571127528637615,0.895276262190901,0.4817994686968784,0.4418791623457332,0.7210223439046664,0.9544731414529142,0.7127306002491254,12.0,0.8323705428888809
9,11,7,3,16,1,24,15,1,23,8,18,2,13,15,18,20,22,17,10,21,1.007577552790385,0.9537455604034023,1.0562879892584243,1.432638363314587,1.0014268141143041,1.1214781704070798,0.980229246966455,1.0043755877237528,1.1062709158091915,1.1679073027403635,0.5398769898057977,1.0319026167119585,1.0318272743381638,1.498038090518245,1.6495985899486465,0.6898117528940274,0.7326937229470417,0.7153441651140076,0.9656373247662853,1.55407735094607,13.25,1.0620372690759095
