,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,mean_CB,mean_TMSE
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9908559103893341,0.9963806626573012,0.9997224045379202,1.0012223126920787,1.0012242796988153,1.0005085340016078,0.9934446264597249,1.000810131887958,0.9963093536713769,0.998102004366509,1.0004608795168235,0.9994098604903957,0.9971184016496359,1.0001742256982047,1.000204602855935,0.9977582524389965,0.9979802340750662,1.001132232184027,1.000184175047285,0.998833097045789,1.0,0.9985918090682391
1,5,6,3,1,1,9,8,3,7,4,1,6,5,5,3,6,7,2,5,3,0.8336377891399016,0.8490411832653103,0.9623424859356776,1.0016930712068206,1.0014081944090099,0.8738046456046628,0.8299615375804896,0.9890851454872979,0.8886402709913966,0.915294232165946,0.9987053792993559,0.8785001323472861,0.8944321012962468,0.9305952833656006,0.9854011174456534,0.8923452478945906,0.8441466380743657,1.001743499259968,0.9379864645583277,0.9453597573532272,4.5,0.9227062088340567
2,10,9,6,1,1,14,12,5,10,7,3,9,7,7,7,9,9,3,8,6,0.6249863383880991,0.6781866316222148,0.892885425374994,1.0033589014576878,1.0019450504123173,0.6766026560345003,0.6612231015144803,0.9627001952440655,0.7562165317917132,0.8081567168955148,0.9840852803212443,0.6512297494605398,0.7505932664608552,0.8457257088076012,0.8544496430453586,0.7642734174745428,0.6731832772697971,0.9887203094552411,0.8116725609651446,0.8432362168642561,7.15,0.8116715489430083
3,10,9,6,2,1,16,14,6,11,9,4,11,9,10,8,12,12,3,10,6,0.5493929690763507,0.6274171562716628,0.8706786924759891,1.0038308857467382,1.0027970918348061,0.6088463736681313,0.5987601376483537,0.9458370882539595,0.6926750309953044,0.7114476099956621,0.9689256809820318,0.5273972466695446,0.6898039140155401,0.7319133027237151,0.7448081607533193,0.6783695916269832,0.5913401744540842,0.9813795596665388,0.7157433625073205,0.8176033868827379,8.45,0.7529483708124387
4,12,10,6,2,1,16,14,6,12,11,5,11,10,10,11,13,12,3,11,8,0.5339008444057056,0.6298454337754018,0.8629195805777359,1.0033978392742156,1.0032489006366974,0.6006345454821151,0.5847408745573889,0.9435482680773977,0.6003959668283088,0.6220326477511549,0.9532944442838471,0.5091749978910118,0.64758024499485,0.6968173944323023,0.6702760827384279,0.6460549448562297,0.5741170708723475,0.9812931201444642,0.6881788269516159,0.7957286523688306,9.2,0.7273590340450025
5,17,14,6,2,1,22,17,6,14,12,5,14,10,12,11,14,17,3,13,10,0.5204372409037967,0.6283596020065834,0.8612912105054911,1.003378293988623,1.0028238268157428,0.5865978995961385,0.583419399861921,0.9402661327480194,0.5998589232026447,0.6035416629281831,0.951302136095052,0.509128997790954,0.6360609233329408,0.6969727429213036,0.6713411604344744,0.6334202851999388,0.5668360116679589,0.9840691906192559,0.670469658327909,0.72609246928956,11.0,0.7187833884118244
6,22,15,6,2,1,26,21,8,15,16,5,19,10,16,13,18,19,3,15,12,0.5200130582332347,0.6263090269496239,0.8629424849043728,1.0036201875066455,1.0019624893754218,0.5478683633286374,0.5724330326417503,0.9271835142627562,0.6002340875046335,0.5996151868959179,0.950244845576854,0.5095003426407848,0.6365394733709462,0.6964660426070882,0.6751863099556391,0.6305434982957836,0.5658629513102622,0.9798178872840358,0.6669112016573744,0.7167051183762464,13.1,0.7144979551339004
7,27,16,7,2,1,33,27,10,16,17,6,24,13,20,14,21,25,4,18,17,0.40133060438039225,0.6261318740372355,0.8659365262803798,1.0045712593018268,1.0012806938334506,0.5340102307366495,0.5559677550065827,0.90427403638407,0.6003037363382044,0.5986610745975888,0.9256328539265204,0.46317043863209717,0.6284280185534917,0.6834861141513829,0.6752130920963311,0.6302639570580401,0.5647737466595079,0.9739254900005941,0.6657408538120261,0.7046362207512666,15.9,0.7003869288268819
8,32,18,10,2,1,39,33,11,18,20,6,29,18,25,16,25,31,5,21,20,0.1954484702699491,0.6264289204945673,0.8574130747347708,1.0029099410504358,1.001214816136183,0.3749575763713141,0.536576795322254,0.891275459082012,0.5996621648720576,0.5975251614553868,0.9166290876703856,0.19606288830336857,0.6219995412803295,0.5761285766509862,0.6711442806560308,0.624132492256093,0.5172992829246474,0.9624485013761697,0.6545373267189801,0.6914072361466077,19.0,0.6557600796886265
9,33,18,14,2,1,48,40,12,21,23,6,32,22,27,21,29,34,6,25,24,0.14333344479158655,0.6263250416466822,0.8139650029595555,1.0016243259858546,1.00153184989888,0.2379917516395878,0.3631286215244955,0.8870207010547937,0.5989994689876524,0.5702717563486472,0.9115384481873078,0.1228852224236715,0.5311986260082424,0.44558440589477627,0.6132762790048089,0.524245652718464,0.36836939878101316,0.9545694180130159,0.5674567260323411,0.6098540145369242,21.9,0.594658507821915
