,eta,epsilon,sigma_init,mu,K,TMSE,TMSE_std,CB_mean,CB_median,CB_mode,CB_std
0,0.05,0.35,0.2,0.05,1,0.5671250837051618,0.053743760966310006,41,41,23,18.5
1,0.05,0.35,0.2,0.05,2,0.5678632069532066,0.05311906147108575,41,41,23,18.5
2,0.05,0.35,0.2,0.05,4,0.5713089354923014,0.0505301132501188,41,41,23,18.5
3,0.05,0.35,0.2,0.05,6,0.5795814284114673,0.048297250997161756,41,41,23,18.5
4,0.05,0.35,0.2,0.05,8,0.5978648348279019,0.05485906885236702,41,41,23,18.5
5,0.05,0.35,0.2,0.1,1,0.45126967334288604,0.07308952405968042,41,41,23,18.5
6,0.05,0.35,0.2,0.1,2,0.45174640375852604,0.07267526545686623,41,41,23,18.5
7,0.05,0.35,0.2,0.1,4,0.4540169189123754,0.07085742685586235,41,41,23,18.5
8,0.05,0.35,0.2,0.1,6,0.45914272485948693,0.06855424720802436,41,41,23,18.5
9,0.05,0.35,0.2,0.1,8,0.4699897285370733,0.07072592182873735,41,41,23,18.5
10,0.05,0.35,0.2,0.2,1,0.36806346999851947,0.07508266508064976,41,41,23,18.5
11,0.05,0.35,0.2,0.2,2,0.36826155674517397,0.07490928638110894,41,41,23,18.5
12,0.05,0.35,0.2,0.2,4,0.3692145725731947,0.07411782540832162,41,41,23,18.5
13,0.05,0.35,0.2,0.2,6,0.3708707195996698,0.07258340039403563,41,41,23,18.5
14,0.05,0.35,0.2,0.2,8,0.37277492901418663,0.0698841241502069,41,41,23,18.5
15,0.05,0.35,0.2,0.3,1,0.33272726052777357,0.07179495216886794,41,41,23,18.5
16,0.05,0.35,0.2,0.3,2,0.33281570867100285,0.07171681294945273,41,41,23,18.5
17,0.05,0.35,0.2,0.3,4,0.333248131487622,0.07134250471234074,41,41,23,18.5
18,0.05,0.35,0.2,0.3,6,0.333634214425205,0.07040102092004202,41,41,23,18.5
19,0.05,0.35,0.2,0.3,8,0.3293082788434575,0.06432004852270476,41,41,23,18.5
20,0.05,0.35,0.2,0.4,1,0.31272507107049075,0.06866107018153464,41,41,23,18.5
21,0.05,0.35,0.2,0.4,2,0.31275543723046223,0.06863347008549307,41,41,23,18.5
22,0.05,0.35,0.2,0.4,4,0.31291569417048803,0.0684813292811072,41,41,23,18.5
23,0.05,0.35,0.2,0.4,6,0.3127641108265736,0.06787713916712305,41,41,23,18.5
24,0.05,0.35,0.2,0.4,8,0.3036542267152825,0.05845835846357457,41,41,23,18.5
25,0.05,0.35,0.4,0.05,1,0.5002616051427776,0.06981175126162806,41,41,23,18.5
26,0.05,0.35,0.4,0.05,2,0.5006552357357044,0.06957169793352508,41,41,23,18.5
27,0.05,0.35,0.4,0.05,4,0.5025151015714423,0.06897376761367055,41,41,23,18.5
28,0.05,0.35,0.4,0.05,6,0.5078898581794113,0.06783541422824982,41,41,23,18.5
29,0.05,0.35,0.4,0.05,8,0.5176472176202132,0.07022284150119737,41,41,23,18.5
30,0.05,0.35,0.4,0.1,1,0.42773445769829344,0.07733981312889682,41,41,23,18.5
31,0.05,0.35,0.4,0.1,2,0.42805146383467174,0.07716547447778513,41,41,23,18.5
32,0.05,0.35,0.4,0.1,4,0.4295975310004938,0.0767865905862172,41,41,23,18.5
33,0.05,0.35,0.4,0.1,6,0.43416062371439257,0.07613649638581552,41,41,23,18.5
34,0.05,0.35,0.4,0.1,8,0.4430073647606061,0.07893707830658789,41,41,23,18.5
35,0.05,0.35,0.4,0.2,1,0.3622143432215984,0.07576024967556699,41,41,23,18.5
36,0.05,0.35,0.4,0.2,2,0.3623964830317722,0.07566917472108009,41,41,23,18.5
37,0.05,0.35,0.4,0.2,4,0.3633043113340581,0.07549127779736742,41,41,23,18.5
38,0.05,0.35,0.4,0.2,6,0.3659619821591324,0.07513945260300164,41,41,23,18.5
39,0.05,0.35,0.4,0.2,8,0.37081459244028725,0.0764774204033363,41,41,23,18.5
40,0.05,0.35,0.4,0.3,1,0.3307570129287679,0.07195001777048335,41,41,23,18.5
