,eta,epsilon,sigma_init,mu,K,TMSE,CB
0,0.05,0.35,0.2,0.05,1,,-2147483648
1,0.05,0.35,0.2,0.05,2,,-2147483648
2,0.05,0.35,0.2,0.05,4,,-2147483648
3,0.05,0.35,0.2,0.05,6,,-2147483648
4,0.05,0.35,0.2,0.05,8,,-2147483648
5,0.05,0.35,0.2,0.1,1,,-2147483648
6,0.05,0.35,0.2,0.1,2,,-2147483648
7,0.05,0.35,0.2,0.1,4,,-2147483648
8,0.05,0.35,0.2,0.1,6,,-2147483648
9,0.05,0.35,0.2,0.1,8,,-2147483648
10,0.05,0.35,0.2,0.2,1,,-2147483648
11,0.05,0.35,0.2,0.2,2,,-2147483648
12,0.05,0.35,0.2,0.2,4,,-2147483648
13,0.05,0.35,0.2,0.2,6,,-2147483648
14,0.05,0.35,0.2,0.2,8,,-2147483648
15,0.05,0.35,0.2,0.3,1,,-2147483648
16,0.05,0.35,0.2,0.3,2,,-2147483648
17,0.05,0.35,0.2,0.3,4,,-2147483648
18,0.05,0.35,0.2,0.3,6,,-2147483648
19,0.05,0.35,0.2,0.3,8,,-2147483648
20,0.05,0.35,0.2,0.4,1,,-2147483648
21,0.05,0.35,0.2,0.4,2,,-2147483648
22,0.05,0.35,0.2,0.4,4,,-2147483648
23,0.05,0.35,0.2,0.4,6,,-2147483648
24,0.05,0.35,0.2,0.4,8,,-2147483648
25,0.05,0.35,0.4,0.05,1,,-2147483648
26,0.05,0.35,0.4,0.05,2,,-2147483648
27,0.05,0.35,0.4,0.05,4,,-2147483648
28,0.05,0.35,0.4,0.05,6,,-2147483648
29,0.05,0.35,0.4,0.05,8,,-2147483648
30,0.05,0.35,0.4,0.1,1,,-2147483648
31,0.05,0.35,0.4,0.1,2,,-2147483648
32,0.05,0.35,0.4,0.1,4,,-2147483648
33,0.05,0.35,0.4,0.1,6,,-2147483648
34,0.05,0.35,0.4,0.1,8,,-2147483648
35,0.05,0.35,0.4,0.2,1,,-2147483648
36,0.05,0.35,0.4,0.2,2,,-2147483648
37,0.05,0.35,0.4,0.2,4,,-2147483648
38,0.05,0.35,0.4,0.2,6,,-2147483648
39,0.05,0.35,0.4,0.2,8,,-2147483648
40,0.05,0.35,0.4,0.3,1,,-2147483648
41,0.05,0.35,0.4,0.3,2,,-2147483648
42,0.05,0.35,0.4,0.3,4,,-2147483648
43,0.05,0.35,0.4,0.3,6,,-2147483648
44,0.05,0.35,0.4,0.3,8,,-2147483648
45,0.05,0.35,0.4,0.4,1,,-2147483648
46,0.05,0.35,0.4,0.4,2,,-2147483648
47,0.05,0.35,0.4,0.4,4,,-2147483648
48,0.05,0.35,0.4,0.4,6,,-2147483648
49,0.05,0.35,0.4,0.4,8,,-2147483648
50,0.05,0.35,0.6,0.05,1,,-2147483648
51,0.05,0.35,0.6,0.05,2,,-2147483648
52,0.05,0.35,0.6,0.05,4,,-2147483648
53,0.05,0.35,0.6,0.05,6,,-2147483648
54,0.05,0.35,0.6,0.05,8,,-2147483648
55,0.05,0.35,0.6,0.1,1,,-2147483648
56,0.05,0.35,0.6,0.1,2,,-2147483648
57,0.05,0.35,0.6,0.1,4,,-2147483648
58,0.05,0.35,0.6,0.1,6,,-2147483648
59,0.05,0.35,0.6,0.1,8,,-2147483648
60,0.05,0.35,0.6,0.2,1,,-2147483648
61,0.05,0.35,0.6,0.2,2,,-2147483648
62,0.05,0.35,0.6,0.2,4,,-2147483648
63,0.05,0.35,0.6,0.2,6,,-2147483648
64,0.05,0.35,0.6,0.2,8,,-2147483648
65,0.05,0.35,0.6,0.3,1,,-2147483648
66,0.05,0.35,0.6,0.3,2,,-2147483648
67,0.05,0.35,0.6,0.3,4,,-2147483648
68,0.05,0.35,0.6,0.3,6,,-2147483648
69,0.05,0.35,0.6,0.3,8,,-2147483648
70,0.05,0.35,0.6,0.4,1,,-2147483648
71,0.05,0.35,0.6,0.4,2,,-2147483648
72,0.05,0.35,0.6,0.4,4,,-2147483648
73,0.05,0.35,0.6,0.4,6,,-2147483648
74,0.05,0.35,0.6,0.4,8,,-2147483648
75,0.05,0.5,0.2,0.05,1,,-2147483648
76,0.05,0.5,0.2,0.05,2,,-2147483648
77,0.05,0.5,0.2,0.05,4,,-2147483648
78,0.05,0.5,0.2,0.05,6,,-2147483648
79,0.05,0.5,0.2,0.05,8,,-2147483648
80,0.05,0.5,0.2,0.1,1,,-2147483648
81,0.05,0.5,0.2,0.1,2,,-2147483648
82,0.05,0.5,0.2,0.1,4,,-2147483648
83,0.05,0.5,0.2,0.1,6,,-2147483648
84,0.05,0.5,0.2,0.1,8,,-2147483648
85,0.05,0.5,0.2,0.2,1,,-2147483648
86,0.05,0.5,0.2,0.2,2,,-2147483648
87,0.05,0.5,0.2,0.2,4,,-2147483648
88,0.05,0.5,0.2,0.2,6,,-2147483648
89,0.05,0.5,0.2,0.2,8,,-2147483648
90,0.05,0.5,0.2,0.3,1,,-2147483648
91,0.05,0.5,0.2,0.3,2,,-2147483648
92,0.05,0.5,0.2,0.3,4,,-2147483648
93,0.05,0.5,0.2,0.3,6,,-2147483648
94,0.05,0.5,0.2,0.3,8,,-2147483648
95,0.05,0.5,0.2,0.4,1,,-2147483648
96,0.05,0.5,0.2,0.4,2,,-2147483648
97,0.05,0.5,0.2,0.4,4,,-2147483648
98,0.05,0.5,0.2,0.4,6,,-2147483648
99,0.05,0.5,0.2,0.4,8,,-2147483648
100,0.05,0.5,0.4,0.05,1,,-2147483648
101,0.05,0.5,0.4,0.05,2,,-2147483648
102,0.05,0.5,0.4,0.05,4,,-2147483648
103,0.05,0.5,0.4,0.05,6,,-2147483648
104,0.05,0.5,0.4,0.05,8,,-2147483648
105,0.05,0.5,0.4,0.1,1,,-2147483648
106,0.05,0.5,0.4,0.1,2,,-2147483648
107,0.05,0.5,0.4,0.1,4,,-2147483648
108,0.05,0.5,0.4,0.1,6,,-2147483648
109,0.05,0.5,0.4,0.1,8,,-2147483648
110,0.05,0.5,0.4,0.2,1,,-2147483648
111,0.05,0.5,0.4,0.2,2,,-2147483648
112,0.05,0.5,0.4,0.2,4,,-2147483648
113,0.05,0.5,0.4,0.2,6,,-2147483648
114,0.05,0.5,0.4,0.2,8,,-2147483648
115,0.05,0.5,0.4,0.3,1,,-2147483648
116,0.05,0.5,0.4,0.3,2,,-2147483648
117,0.05,0.5,0.4,0.3,4,,-2147483648
118,0.05,0.5,0.4,0.3,6,,-2147483648
119,0.05,0.5,0.4,0.3,8,,-2147483648
120,0.05,0.5,0.4,0.4,1,,-2147483648
121,0.05,0.5,0.4,0.4,2,,-2147483648
122,0.05,0.5,0.4,0.4,4,,-2147483648
123,0.05,0.5,0.4,0.4,6,,-2147483648
124,0.05,0.5,0.4,0.4,8,,-2147483648
125,0.05,0.5,0.6,0.05,1,,-2147483648
126,0.05,0.5,0.6,0.05,2,,-2147483648
127,0.05,0.5,0.6,0.05,4,,-2147483648
128,0.05,0.5,0.6,0.05,6,,-2147483648
129,0.05,0.5,0.6,0.05,8,,-2147483648
130,0.05,0.5,0.6,0.1,1,,-2147483648
131,0.05,0.5,0.6,0.1,2,,-2147483648
132,0.05,0.5,0.6,0.1,4,,-2147483648
133,0.05,0.5,0.6,0.1,6,,-2147483648
134,0.05,0.5,0.6,0.1,8,,-2147483648
135,0.05,0.5,0.6,0.2,1,,-2147483648
136,0.05,0.5,0.6,0.2,2,,-2147483648
137,0.05,0.5,0.6,0.2,4,,-2147483648
138,0.05,0.5,0.6,0.2,6,,-2147483648
139,0.05,0.5,0.6,0.2,8,,-2147483648
140,0.05,0.5,0.6,0.3,1,,-2147483648
141,0.05,0.5,0.6,0.3,2,,-2147483648
142,0.05,0.5,0.6,0.3,4,,-2147483648
143,0.05,0.5,0.6,0.3,6,,-2147483648
144,0.05,0.5,0.6,0.3,8,,-2147483648
145,0.05,0.5,0.6,0.4,1,,-2147483648
146,0.05,0.5,0.6,0.4,2,,-2147483648
147,0.05,0.5,0.6,0.4,4,,-2147483648
148,0.05,0.5,0.6,0.4,6,,-2147483648
149,0.05,0.5,0.6,0.4,8,,-2147483648
150,0.05,1.0,0.2,0.05,1,,-2147483648
151,0.05,1.0,0.2,0.05,2,,-2147483648
152,0.05,1.0,0.2,0.05,4,,-2147483648
153,0.05,1.0,0.2,0.05,6,,-2147483648
154,0.05,1.0,0.2,0.05,8,,-2147483648
155,0.05,1.0,0.2,0.1,1,,-2147483648
156,0.05,1.0,0.2,0.1,2,,-2147483648
157,0.05,1.0,0.2,0.1,4,,-2147483648
158,0.05,1.0,0.2,0.1,6,,-2147483648
159,0.05,1.0,0.2,0.1,8,,-2147483648
160,0.05,1.0,0.2,0.2,1,,-2147483648
161,0.05,1.0,0.2,0.2,2,,-2147483648
162,0.05,1.0,0.2,0.2,4,,-2147483648
163,0.05,1.0,0.2,0.2,6,,-2147483648
164,0.05,1.0,0.2,0.2,8,,-2147483648
165,0.05,1.0,0.2,0.3,1,,-2147483648
166,0.05,1.0,0.2,0.3,2,,-2147483648
167,0.05,1.0,0.2,0.3,4,,-2147483648
168,0.05,1.0,0.2,0.3,6,,-2147483648
169,0.05,1.0,0.2,0.3,8,,-2147483648
170,0.05,1.0,0.2,0.4,1,,-2147483648
171,0.05,1.0,0.2,0.4,2,,-2147483648
172,0.05,1.0,0.2,0.4,4,,-2147483648
173,0.05,1.0,0.2,0.4,6,,-2147483648
174,0.05,1.0,0.2,0.4,8,,-2147483648
175,0.05,1.0,0.4,0.05,1,,-2147483648
176,0.05,1.0,0.4,0.05,2,,-2147483648
177,0.05,1.0,0.4,0.05,4,,-2147483648
178,0.05,1.0,0.4,0.05,6,,-2147483648
179,0.05,1.0,0.4,0.05,8,,-2147483648
180,0.05,1.0,0.4,0.1,1,,-2147483648
181,0.05,1.0,0.4,0.1,2,,-2147483648
182,0.05,1.0,0.4,0.1,4,,-2147483648
183,0.05,1.0,0.4,0.1,6,,-2147483648
184,0.05,1.0,0.4,0.1,8,,-2147483648
185,0.05,1.0,0.4,0.2,1,,-2147483648
186,0.05,1.0,0.4,0.2,2,,-2147483648
187,0.05,1.0,0.4,0.2,4,,-2147483648
188,0.05,1.0,0.4,0.2,6,,-2147483648
189,0.05,1.0,0.4,0.2,8,,-2147483648
190,0.05,1.0,0.4,0.3,1,,-2147483648
191,0.05,1.0,0.4,0.3,2,,-2147483648
192,0.05,1.0,0.4,0.3,4,,-2147483648
193,0.05,1.0,0.4,0.3,6,,-2147483648
194,0.05,1.0,0.4,0.3,8,,-2147483648
195,0.05,1.0,0.4,0.4,1,,-2147483648
196,0.05,1.0,0.4,0.4,2,,-2147483648
197,0.05,1.0,0.4,0.4,4,,-2147483648
198,0.05,1.0,0.4,0.4,6,,-2147483648
199,0.05,1.0,0.4,0.4,8,,-2147483648
200,0.05,1.0,0.6,0.05,1,,-2147483648
201,0.05,1.0,0.6,0.05,2,,-2147483648
202,0.05,1.0,0.6,0.05,4,,-2147483648
203,0.05,1.0,0.6,0.05,6,,-2147483648
204,0.05,1.0,0.6,0.05,8,,-2147483648
205,0.05,1.0,0.6,0.1,1,,-2147483648
206,0.05,1.0,0.6,0.1,2,,-2147483648
207,0.05,1.0,0.6,0.1,4,,-2147483648
208,0.05,1.0,0.6,0.1,6,,-2147483648
209,0.05,1.0,0.6,0.1,8,,-2147483648
210,0.05,1.0,0.6,0.2,1,,-2147483648
211,0.05,1.0,0.6,0.2,2,,-2147483648
212,0.05,1.0,0.6,0.2,4,,-2147483648
213,0.05,1.0,0.6,0.2,6,,-2147483648
214,0.05,1.0,0.6,0.2,8,,-2147483648
215,0.05,1.0,0.6,0.3,1,,-2147483648
216,0.05,1.0,0.6,0.3,2,,-2147483648
217,0.05,1.0,0.6,0.3,4,,-2147483648
218,0.05,1.0,0.6,0.3,6,,-2147483648
219,0.05,1.0,0.6,0.3,8,,-2147483648
220,0.05,1.0,0.6,0.4,1,,-2147483648
221,0.05,1.0,0.6,0.4,2,,-2147483648
222,0.05,1.0,0.6,0.4,4,,-2147483648
223,0.05,1.0,0.6,0.4,6,,-2147483648
224,0.05,1.0,0.6,0.4,8,,-2147483648
225,0.1,0.35,0.2,0.05,1,,-2147483648
226,0.1,0.35,0.2,0.05,2,,-2147483648
227,0.1,0.35,0.2,0.05,4,,-2147483648
228,0.1,0.35,0.2,0.05,6,,-2147483648
229,0.1,0.35,0.2,0.05,8,,-2147483648
230,0.1,0.35,0.2,0.1,1,,-2147483648
231,0.1,0.35,0.2,0.1,2,,-2147483648
232,0.1,0.35,0.2,0.1,4,,-2147483648
233,0.1,0.35,0.2,0.1,6,,-2147483648
234,0.1,0.35,0.2,0.1,8,,-2147483648
235,0.1,0.35,0.2,0.2,1,,-2147483648
