,eta,epsilon,mu,K,TMSE,CB
0,0.3,0.35,0.05,1,10.70740103861757,20
1,0.3,0.35,0.05,2,9.767472585772374,22
2,0.3,0.35,0.05,4,6.292727185132859,27
3,0.3,0.35,0.05,6,4.897455717923004,30
4,0.3,0.35,0.05,8,4.261410390757811,36
5,0.3,0.35,0.1,1,10.918559725085036,12
6,0.3,0.35,0.1,2,8.331992580616006,14
7,0.3,0.35,0.1,4,8.70350155071854,16
8,0.3,0.35,0.1,6,10.296450747201607,20
9,0.3,0.35,0.1,8,6.234479302529601,23
10,0.3,0.35,0.2,1,11.470192164872556,9
11,0.3,0.35,0.2,2,9.908111749394399,12
12,0.3,0.35,0.2,4,8.91818338875216,14
13,0.3,0.35,0.2,6,6.915088645473263,15
14,0.3,0.35,0.2,8,6.6041466939207485,16
15,0.3,0.35,0.3,1,7.946356133961984,11
16,0.3,0.35,0.3,2,4.704421571666279,14
17,0.3,0.35,0.3,4,5.438474356797731,16
18,0.3,0.35,0.3,6,4.6338938809241865,18
19,0.3,0.35,0.3,8,6.431123976123217,19
20,0.3,0.35,0.4,1,9.252023061624625,11
21,0.3,0.35,0.4,2,6.144142704452531,14
22,0.3,0.35,0.4,4,7.1734039780776175,14
23,0.3,0.35,0.4,6,9.864607891624596,16
24,0.3,0.35,0.4,8,8.013747470298833,17
25,0.3,0.5,0.05,1,8.005286314999363,17
26,0.3,0.5,0.05,2,5.040605910993216,21
27,0.3,0.5,0.05,4,4.699577876720923,21
28,0.3,0.5,0.05,6,3.799184459343543,23
29,0.3,0.5,0.05,8,2.5316559878656917,25
30,0.3,0.5,0.1,1,10.335824455567172,10
31,0.3,0.5,0.1,2,8.343835121007166,12
32,0.3,0.5,0.1,4,10.295364873207982,14
33,0.3,0.5,0.1,6,9.263030231584962,15
34,0.3,0.5,0.1,8,6.953096179984189,17
35,0.3,0.5,0.2,1,10.278030883688784,7
36,0.3,0.5,0.2,2,9.572543336531183,8
37,0.3,0.5,0.2,4,7.532852666609199,9
38,0.3,0.5,0.2,6,7.43941492206302,10
39,0.3,0.5,0.2,8,6.501893994148697,13
40,0.3,0.5,0.3,1,9.223353659154087,7
41,0.3,0.5,0.3,2,6.97511002661752,10
42,0.3,0.5,0.3,4,6.235965636686901,9
43,0.3,0.5,0.3,6,5.541335314352209,11
44,0.3,0.5,0.3,8,6.069213494205394,11
45,0.3,0.5,0.4,1,7.744480971186472,6
46,0.3,0.5,0.4,2,8.03324603803723,6
47,0.3,0.5,0.4,4,10.062445963183466,8
48,0.3,0.5,0.4,6,9.725755661903008,10
49,0.3,0.5,0.4,8,9.907368363210802,10
50,0.3,1.0,0.05,1,2.5315755788864975,10
51,0.3,1.0,0.05,2,1.4898631726050813,11
52,0.3,1.0,0.05,4,1.9956870650701908,11
53,0.3,1.0,0.05,6,1.4563293983328491,12
54,0.3,1.0,0.05,8,1.1248093741782854,12
55,0.3,1.0,0.1,1,11.431745244312882,7
56,0.3,1.0,0.1,2,5.732349003684269,8
57,0.3,1.0,0.1,4,6.583248987294825,9
58,0.3,1.0,0.1,6,4.027573717449979,10
59,0.3,1.0,0.1,8,2.2796681366152036,12
60,0.3,1.0,0.2,1,10.619361574358738,5
61,0.3,1.0,0.2,2,9.876815972341527,6
62,0.3,1.0,0.2,4,10.826304687368527,7
63,0.3,1.0,0.2,6,9.893746656520525,9
64,0.3,1.0,0.2,8,5.713525092960704,11
65,0.3,1.0,0.3,1,12.13079261502396,4
66,0.3,1.0,0.3,2,11.038893227142626,5
67,0.3,1.0,0.3,4,9.040188902532035,6
68,0.3,1.0,0.3,6,10.131444564791677,8
69,0.3,1.0,0.3,8,8.44251597801691,10
70,0.3,1.0,0.4,1,10.424808942867532,3
71,0.3,1.0,0.4,2,9.370375123133723,4
72,0.3,1.0,0.4,4,9.109435083362795,6
73,0.3,1.0,0.4,6,9.476113911405722,8
74,0.3,1.0,0.4,8,7.164349582620164,10
75,0.5,0.35,0.05,1,13.0716381950575,20
76,0.5,0.35,0.05,2,13.794651475217071,21
77,0.5,0.35,0.05,4,9.996029756105106,27
78,0.5,0.35,0.05,6,8.670188310954478,30
79,0.5,0.35,0.05,8,8.938381410078389,33
80,0.5,0.35,0.1,1,14.433298303374324,13
81,0.5,0.35,0.1,2,12.389180730365629,14
82,0.5,0.35,0.1,4,14.975796902382607,18
83,0.5,0.35,0.1,6,12.805022684249996,21
84,0.5,0.35,0.1,8,13.226037178894714,24
85,0.5,0.35,0.2,1,12.37553812390706,10
86,0.5,0.35,0.2,2,11.994041426018214,13
87,0.5,0.35,0.2,4,9.665691530242194,13
88,0.5,0.35,0.2,6,9.15438426764231,15
89,0.5,0.35,0.2,8,9.2230493215429,16
90,0.5,0.35,0.3,1,7.604485050774666,12
91,0.5,0.35,0.3,2,9.161780965674023,15
92,0.5,0.35,0.3,4,7.438735234387013,19
93,0.5,0.35,0.3,6,9.542710946277317,19
94,0.5,0.35,0.3,8,9.364947893354591,20
95,0.5,0.35,0.4,1,7.915684418925467,12
96,0.5,0.35,0.4,2,9.819524849658738,13
97,0.5,0.35,0.4,4,9.16661045219273,15
98,0.5,0.35,0.4,6,6.982220656167762,19
99,0.5,0.35,0.4,8,7.777252587838222,19
100,0.5,0.5,0.05,1,13.036582452641085,17
101,0.5,0.5,0.05,2,11.744232155184706,19
102,0.5,0.5,0.05,4,10.615052448581952,20
103,0.5,0.5,0.05,6,9.717744087526512,22
104,0.5,0.5,0.05,8,8.100004971463731,24
105,0.5,0.5,0.1,1,11.08615649449067,10
106,0.5,0.5,0.1,2,12.954657748446218,12
107,0.5,0.5,0.1,4,14.111509760558377,14
108,0.5,0.5,0.1,6,13.968683250344238,15
109,0.5,0.5,0.1,8,14.871573166628153,18
110,0.5,0.5,0.2,1,11.594846195592506,7
111,0.5,0.5,0.2,2,10.787447927155602,8
112,0.5,0.5,0.2,4,10.063983585816901,9
113,0.5,0.5,0.2,6,10.176552606860557,10
114,0.5,0.5,0.2,8,9.280159051933378,13
115,0.5,0.5,0.3,1,8.528700890960852,8
116,0.5,0.5,0.3,2,9.195230445761402,10
117,0.5,0.5,0.3,4,7.442258418326977,11
118,0.5,0.5,0.3,6,6.953203768778842,11
119,0.5,0.5,0.3,8,7.492702369187302,13
120,0.5,0.5,0.4,1,7.841677845440411,7
121,0.5,0.5,0.4,2,7.0546373260472794,8
122,0.5,0.5,0.4,4,14.3142941351315,9
123,0.5,0.5,0.4,6,9.407775912578153,10
124,0.5,0.5,0.4,8,9.675091081110596,11
125,0.5,1.0,0.05,1,7.780667318697006,9
