,eta,epsilon,sigma,TMSE,CB
0,0.05,0.35,0.2,0.5855207466641797,68
1,0.05,0.35,0.4,0.34512764955559566,68
2,0.05,0.35,0.6,0.23898183118086952,68
3,0.05,0.5,0.2,0.5950493863196306,37
4,0.05,0.5,0.4,0.34885210789409515,37
5,0.05,0.5,0.6,0.24435396933395856,37
6,0.05,1.0,0.2,0.7541968435169583,13
7,0.05,1.0,0.4,0.388037232762236,13
8,0.05,1.0,0.6,0.2745914599914311,13
9,0.1,0.35,0.2,0.46721457454822524,68
10,0.1,0.35,0.4,0.2458491072698817,68
11,0.1,0.35,0.6,0.1697856276829551,68
12,0.1,0.5,0.2,0.5041739862024227,37
13,0.1,0.5,0.4,0.25683981765799924,37
14,0.1,0.5,0.6,0.1815840647400442,37
15,0.1,1.0,0.2,0.9022881172234485,13
16,0.1,1.0,0.4,0.32902047393960754,13
17,0.1,1.0,0.6,0.22373310129895643,13
18,0.2,0.35,0.2,0.4145913379551299,68
19,0.2,0.35,0.4,0.2207780980920266,68
20,0.2,0.35,0.6,0.16742167523049406,68
21,0.2,0.5,0.2,0.5225893879269786,37
22,0.2,0.5,0.4,0.24742692377972503,37
23,0.2,0.5,0.6,0.19536578689374973,37
24,0.2,1.0,0.2,1.444135457374795,13
25,0.2,1.0,0.4,0.3736132995993404,13
26,0.2,1.0,0.6,0.26142746409986606,13
