,Unnamed: 0,eta,epsilon,mu,K,TMSE,CB
0,0,0.3,0.35,0.05,1,0.2628770094417637,23
1,1,0.3,0.35,0.05,2,0.6438114307431497,24
2,2,0.3,0.35,0.05,4,0.4926691893348514,26
3,3,0.3,0.35,0.05,6,0.4712018882426197,33
4,4,0.3,0.35,0.05,8,0.2376661600945927,39
5,5,0.3,0.35,0.1,1,1.7062104417923336,13
6,6,0.3,0.35,0.1,2,1.9231942964743949,13
7,7,0.3,0.35,0.1,4,2.4797161024372083,20
8,8,0.3,0.35,0.1,6,1.3569276524963412,19
9,9,0.3,0.35,0.1,8,2.7936701048290504,25
10,10,0.3,0.35,0.2,1,4.598898362180608,9
11,11,0.3,0.35,0.2,2,6.424406512291958,10
12,12,0.3,0.35,0.2,4,4.720479447448504,13
13,13,0.3,0.35,0.2,6,3.2416148216126928,17
14,14,0.3,0.35,0.2,8,2.5844659081611687,23
15,15,0.3,0.35,0.3,1,3.3415002295671337,9
16,16,0.3,0.35,0.3,2,3.366027218590042,12
17,17,0.3,0.35,0.3,4,3.3179490094333177,14
18,18,0.3,0.35,0.3,6,1.5657370753881414,23
19,19,0.3,0.35,0.3,8,3.2993870545945336,28
20,20,0.3,0.35,0.4,1,4.930425068871119,9
21,21,0.3,0.35,0.4,2,4.021672275792812,13
22,22,0.3,0.35,0.4,4,3.5659198472005182,13
23,23,0.3,0.35,0.4,6,2.9304453340887546,20
24,24,0.3,0.35,0.4,8,3.39024830226636,27
25,25,0.3,0.5,0.05,1,0.2751286956303518,17
26,26,0.3,0.5,0.05,2,0.7314403668690341,17
27,27,0.3,0.5,0.05,4,0.5301711069368811,22
28,28,0.3,0.5,0.05,6,0.19697730493435145,25
29,29,0.3,0.5,0.05,8,0.1703972670859246,28
30,30,0.3,0.5,0.1,1,1.0827394773015269,11
31,31,0.3,0.5,0.1,2,1.1818529884972755,11
32,32,0.3,0.5,0.1,4,1.043454108047034,14
33,33,0.3,0.5,0.1,6,0.5504267188043728,17
34,34,0.3,0.5,0.1,8,0.5149924587325867,22
35,35,0.3,0.5,0.2,1,2.4195461336413704,7
36,36,0.3,0.5,0.2,2,2.7676497871097356,8
37,37,0.3,0.5,0.2,4,1.92912618260676,13
38,38,0.3,0.5,0.2,6,2.3259487804073733,14
39,39,0.3,0.5,0.2,8,1.6534802010461245,20
40,40,0.3,0.5,0.3,1,3.0819303713166057,7
41,41,0.3,0.5,0.3,2,6.91951593993643,8
42,42,0.3,0.5,0.3,4,2.7698808639163928,11
43,43,0.3,0.5,0.3,6,1.803389315371367,14
44,44,0.3,0.5,0.3,8,1.1807570011219837,17
45,45,0.3,0.5,0.4,1,6.194635697878501,8
46,46,0.3,0.5,0.4,2,4.540612257017325,8
47,47,0.3,0.5,0.4,4,3.7950854774038523,109
48,48,0.3,0.5,0.4,6,4.192670014737876,16
49,49,0.3,0.5,0.4,8,2.538531628628925,20
50,50,0.3,1.0,0.05,1,0.29495745256686395,9
51,51,0.3,1.0,0.05,2,0.3517727442922537,10
52,52,0.3,1.0,0.05,4,0.3353504740058752,10
53,53,0.3,1.0,0.05,6,0.28258873220974473,11
54,54,0.3,1.0,0.05,8,0.2822890073711549,12
55,55,0.3,1.0,0.1,1,0.5241289786774603,7
56,56,0.3,1.0,0.1,2,0.5401665178396206,8
57,57,0.3,1.0,0.1,4,0.6309627168814023,9
58,58,0.3,1.0,0.1,6,0.4433373229487535,10
59,59,0.3,1.0,0.1,8,0.4215791502364729,11
60,60,0.3,1.0,0.2,1,1.5699603504288435,4
61,61,0.3,1.0,0.2,2,0.9317972426009626,6
62,62,0.3,1.0,0.2,4,1.119973423904263,7
63,63,0.3,1.0,0.2,6,0.7391551773612627,9
64,64,0.3,1.0,0.2,8,0.6554581566229097,10
65,65,0.3,1.0,0.3,1,3.133542828880707,4
66,66,0.3,1.0,0.3,2,2.111067030663794,5
67,67,0.3,1.0,0.3,4,1.2988610616228804,6
68,68,0.3,1.0,0.3,6,1.2034463543036318,8
69,69,0.3,1.0,0.3,8,0.5899728449077349,9
70,70,0.3,1.0,0.4,1,5.159630083563831,4
71,71,0.3,1.0,0.4,2,4.474354862690872,5
72,72,0.3,1.0,0.4,4,2.0137931151217443,6
73,73,0.3,1.0,0.4,6,2.609057908476959,8
74,74,0.3,1.0,0.4,8,1.7221941882454532,9
75,75,0.5,0.35,0.05,1,0.42189913281128666,23
76,76,0.5,0.35,0.05,2,0.4445622294335241,24
77,77,0.5,0.35,0.05,4,0.5290804247320187,26
78,78,0.5,0.35,0.05,6,0.5707709947433601,32
79,79,0.5,0.35,0.05,8,1.0181420483684616,37
80,80,0.5,0.35,0.1,1,2.829212528247836,13
81,81,0.5,0.35,0.1,2,2.2239497817577383,13
82,82,0.5,0.35,0.1,4,1.962739415396632,17
83,83,0.5,0.35,0.1,6,2.157862738032904,18
84,84,0.5,0.35,0.1,8,5.3831465985163724,25
85,85,0.5,0.35,0.2,1,7.0028324960131165,9
86,86,0.5,0.35,0.2,2,4.016614351553659,11
87,87,0.5,0.35,0.2,4,2.7489497840375825,16
88,88,0.5,0.35,0.2,6,5.789333922677761,17
