,eta,epsilon,sigma_init,mu,K,TMSE,CB
0,0.05,0.35,0.2,0.05,1,0.0966145436735457,95
1,0.05,0.35,0.2,0.05,2,0.09673245001944822,95
2,0.05,0.35,0.2,0.05,4,0.09735408989934728,95
3,0.05,0.35,0.2,0.05,6,0.09803857815050544,95
4,0.05,0.35,0.2,0.05,8,0.09930358416891014,95
5,0.05,0.35,0.2,0.1,1,0.08283268656029026,95
6,0.05,0.35,0.2,0.1,2,0.08292289455908698,95
7,0.05,0.35,0.2,0.1,4,0.08346278182799834,95
8,0.05,0.35,0.2,0.1,6,0.08399306629116007,95
9,0.05,0.35,0.2,0.1,8,0.0848368460730351,95
10,0.05,0.35,0.2,0.2,1,0.0750621542258172,95
11,0.05,0.35,0.2,0.2,2,0.07497305675366153,95
12,0.05,0.35,0.2,0.2,4,0.07549474698349391,95
13,0.05,0.35,0.2,0.2,6,0.07608242278630986,95
14,0.05,0.35,0.2,0.2,8,0.07629786421398163,95
15,0.05,0.35,0.2,0.3,1,0.07223078713535527,95
16,0.05,0.35,0.2,0.3,2,0.07156685159568316,95
17,0.05,0.35,0.2,0.3,4,0.07186088826940908,95
18,0.05,0.35,0.2,0.3,6,0.07242674695747792,95
19,0.05,0.35,0.2,0.3,8,0.07139739863778678,95
20,0.05,0.35,0.2,0.4,1,0.0703764887204696,95
21,0.05,0.35,0.2,0.4,2,0.06886810262904537,95
22,0.05,0.35,0.2,0.4,4,0.06870732728644711,95
23,0.05,0.35,0.2,0.4,6,0.06897579377820877,95
24,0.05,0.35,0.2,0.4,8,0.06640223042995795,95
25,0.05,0.35,0.4,0.05,1,0.0861821883309565,95
26,0.05,0.35,0.4,0.05,2,0.08634787033639904,95
27,0.05,0.35,0.4,0.05,4,0.08695782561707283,95
28,0.05,0.35,0.4,0.05,6,0.08808733137774558,95
29,0.05,0.35,0.4,0.05,8,0.08966541832384012,95
30,0.05,0.35,0.4,0.1,1,0.07886714776649757,95
31,0.05,0.35,0.4,0.1,2,0.07901920694144446,95
32,0.05,0.35,0.4,0.1,4,0.07961070441685307,95
33,0.05,0.35,0.4,0.1,6,0.0806596531646585,95
34,0.05,0.35,0.4,0.1,8,0.08207397635743739,95
35,0.05,0.35,0.4,0.2,1,0.07447810540917645,95
36,0.05,0.35,0.4,0.2,2,0.07461045455949182,95
37,0.05,0.35,0.4,0.2,4,0.07516954354704422,95
38,0.05,0.35,0.4,0.2,6,0.07611572749579829,95
39,0.05,0.35,0.4,0.2,8,0.07727669823617551,95
40,0.05,0.35,0.4,0.3,1,0.07417752464020302,95
