,eta,epsilon,mu,K,TMSE,CB
0,0.5,0.05,0.005,10,0.678780970179512,664
1,0.5,0.05,0.005,12,0.2725419538852776,701
2,0.5,0.05,0.005,16,0.24507710531363455,802
3,0.5,0.05,0.005,20,0.2335224181352961,874
4,0.5,0.05,0.01,10,4.459264829396925,397
5,0.5,0.05,0.01,12,7.1776642005428615,437
6,0.5,0.05,0.01,16,10.538598219314158,547
7,0.5,0.05,0.01,20,21.991051193206268,645
8,0.5,0.1,0.005,10,0.18490075540388504,358
9,0.5,0.1,0.005,12,0.18119557616973006,373
10,0.5,0.1,0.005,16,0.1694968311422495,388
11,0.5,0.1,0.005,20,0.17877690345606415,411
12,0.5,0.1,0.01,10,0.2773245515362852,277
13,0.5,0.1,0.01,12,0.27178615681897916,309
14,0.5,0.1,0.01,16,0.3078293708555543,325
15,0.5,0.1,0.01,20,0.262991218878336,360
16,0.5,0.2,0.005,10,0.1393985869425752,149
17,0.5,0.2,0.005,12,0.13140056536384095,155
18,0.5,0.2,0.005,16,0.12585133651462801,157
19,0.5,0.2,0.005,20,0.11696324614170381,164
20,0.5,0.2,0.01,10,0.18797550901244348,133
21,0.5,0.2,0.01,12,0.17614236974453876,142
22,0.5,0.2,0.01,16,0.1784749647667983,150
23,0.5,0.2,0.01,20,0.14775877058809633,162
