,eta,epsilon,sigma_init,mu,K,MSE,MAE,MASE,MAPE,CB
0,0.05,0.35,0.2,0.05,1,0.20133198918011497,0.27523630062516385,10.794795927890977,23669.010564086933,138
1,0.05,0.35,0.2,0.05,2,0.20193576085497905,0.27577067184880355,10.81700814785782,23673.74522858326,138
2,0.05,0.35,0.2,0.05,4,0.2034854598650634,0.277131314379063,10.871107223197617,23691.98763147542,138
3,0.05,0.35,0.2,0.05,6,0.20883664430718854,0.28179768528480786,11.067249395903167,23591.33075536526,138
4,0.05,0.35,0.2,0.05,8,0.21343839472286558,0.28573160436619754,11.209168829590531,23706.51506483885,138
5,0.05,0.35,0.2,0.1,1,0.1562443265333323,0.24117495259320842,9.44076395381844,28582.127871832345,138
6,0.05,0.35,0.2,0.1,2,0.1565071280493399,0.24144801452754644,9.451651016221922,28579.98007793197,138
7,0.05,0.35,0.2,0.1,4,0.15729898790806868,0.24225924519669254,9.481412133532091,28582.539789568513,138
8,0.05,0.35,0.2,0.1,6,0.15979964657866125,0.2448707349636711,9.591258782530803,28464.750782555377,138
9,0.05,0.35,0.2,0.1,8,0.16248559184927347,0.2475196568990878,9.681196895992038,28517.559248692098,138
10,0.05,0.35,0.2,0.2,1,0.13050173224424882,0.22145280161122669,8.670461081527263,34706.356671242975,138
11,0.05,0.35,0.2,0.2,2,0.13061017087334134,0.22157879946995487,8.674819777188729,34703.899076003494,138
12,0.05,0.35,0.2,0.2,4,0.13099170706656954,0.22201969746856237,8.688266849375399,34700.766582051285,138
13,0.05,0.35,0.2,0.2,6,0.1316580453624979,0.22288098367283415,8.72850656239106,34596.83227351372,138
14,0.05,0.35,0.2,0.2,8,0.1330906349615403,0.22444497403558045,8.775551993404685,34615.555786335026,138
15,0.05,0.35,0.2,0.3,1,0.1210087641160616,0.21481799443967464,8.418613634274998,38810.24109754066,138
16,0.05,0.35,0.2,0.3,2,0.12107005285578785,0.21489227312485948,8.420811750446068,38808.99231188048,138
17,0.05,0.35,0.2,0.3,4,0.12125592973626768,0.21513270239678983,8.425625769985762,38803.20516413486,138
18,0.05,0.35,0.2,0.3,6,0.12090322170721704,0.2148821304476283,8.427089589809313,38692.932724617,138
19,0.05,0.35,0.2,0.3,8,0.12197484405403321,0.21603855591215945,8.450319098364579,38690.640676658986,138
20,0.05,0.35,0.2,0.4,1,0.11605177751166315,0.2119267153771641,8.312264922237073,41951.8735614871,138
21,0.05,0.35,0.2,0.4,2,0.11608916525167569,0.21197116566801574,8.313421079667696,41952.27833177296,138
22,0.05,0.35,0.2,0.4,4,0.1160920317471256,0.2120242001694706,8.310003910919411,41945.481362019986,138
23,0.05,0.35,0.2,0.4,6,0.11470565059487749,0.21063574203581134,8.277962242399413,41819.18230894489,138
24,0.05,0.35,0.2,0.4,8,0.1158300901167435,0.21180548187659412,8.286468424052815,41800.10121538937,138
25,0.05,0.35,0.4,0.05,1,0.1671324660915236,0.24535980977925517,9.571479679312326,23885.694147244983,138
26,0.05,0.35,0.4,0.05,2,0.16740658934980926,0.24560962950534088,9.579465996724773,23889.348048902742,138
27,0.05,0.35,0.4,0.05,4,0.16796943157425306,0.24615413627119928,9.59346766729349,23899.93422544522,138
28,0.05,0.35,0.4,0.05,6,0.16925773257388801,0.24727331232297797,9.63289479049102,23904.506293873677,138
29,0.05,0.35,0.4,0.05,8,0.17039111829454487,0.2483077320439298,9.661104610819823,23925.127064067965,138
30,0.05,0.35,0.4,0.1,1,0.1457677552136301,0.23075694622476292,9.020292029552687,28775.11609940276,138
31,0.05,0.35,0.4,0.1,2,0.14599959844559696,0.23098708408474958,9.027519845518334,28777.631686194454,138
32,0.05,0.35,0.4,0.1,4,0.14650189358383997,0.23150607608625665,9.040734114830922,28787.648038947384,138
33,0.05,0.35,0.4,0.1,6,0.14754766561133847,0.23249471552350345,9.07629003866828,28784.519897355367,138
34,0.05,0.35,0.4,0.1,8,0.1485339200908013,0.2334478816849823,9.102322815709652,28802.068996293256,138
35,0.05,0.35,0.4,0.2,1,0.1278070308019024,0.21847828604828318,8.557174119692576,34789.599386019,138
