,eta,epsilon,mu,K,MSE,MAE,MASE,MAPE,CB
0,0.3,0.35,0.05,1,48.126614048939494,6.239964919669356,314.51308586096513,2890122.0072018984,23
1,0.3,0.35,0.05,2,18.718550041364875,3.3108903288224267,159.92405170851634,1752675.1517441717,34
2,0.3,0.35,0.05,4,30.92681084504399,4.178884681027342,208.405329875603,1583107.1025938545,37
3,0.3,0.35,0.05,6,15.892376480934233,3.134098713853144,151.97803735252103,1630376.1004710828,46
4,0.3,0.35,0.05,8,7.449771740683224,2.1128254645756637,104.16773151265791,923403.393268305,56
5,0.3,0.35,0.1,1,48.00608486161898,5.957447553587277,297.8200225012776,2770263.887949391,16
6,0.3,0.35,0.1,2,37.251676963158914,5.134078353891446,254.41821771823362,2453252.9325266583,19
7,0.3,0.35,0.1,4,42.226423380048686,5.305075483207068,256.6940257114846,3249560.391428353,23
8,0.3,0.35,0.1,6,36.05139388146757,5.00516419860565,244.36277749615618,2576397.774964248,29
9,0.3,0.35,0.1,8,41.89052873235374,5.201117459726783,252.91295005761575,2209129.4365683054,27
10,0.3,0.35,0.2,1,29.861213657490715,4.470109130845217,219.05710206172932,2529637.3703281493,15
11,0.3,0.35,0.2,2,48.52762363074102,5.894604396585366,284.8767404600849,2408660.737849228,16
12,0.3,0.35,0.2,4,40.84635975264741,5.4057805136465085,261.8165823282186,2549359.1911319275,22
13,0.3,0.35,0.2,6,33.36358370491704,4.588866554280903,218.04793403835708,2112208.496630707,26
14,0.3,0.35,0.2,8,31.610937524197734,4.436670324744187,215.64470181568214,1554308.957492312,25
15,0.3,0.35,0.3,1,29.198971123386197,4.186602542395985,198.60140315585252,2075647.8890615436,17
16,0.3,0.35,0.3,2,38.30455217644824,4.9396148051923445,235.69342470719533,2478123.6298046084,22
17,0.3,0.35,0.3,4,17.456814374950433,3.257749473511882,159.05207418548608,1638783.2084340986,26
18,0.3,0.35,0.3,6,16.515841981647874,2.9820559124820325,139.87600306942642,981113.8514122438,33
19,0.3,0.35,0.3,8,25.872774097763976,3.6299822281801912,177.9785053185733,1377698.554765136,35
20,0.3,0.35,0.4,1,45.77702147117187,5.4702024223882955,266.1391477716965,2737017.868701016,17
21,0.3,0.35,0.4,2,28.851117645524873,4.037298467690415,194.74927444510053,1502205.424854099,19
22,0.3,0.35,0.4,4,42.341883620849565,5.365883444803574,265.9118451032122,2406109.407454613,24
23,0.3,0.35,0.4,6,29.261066142127845,4.1799194331493235,206.2886542417376,2128483.218003498,26
24,0.3,0.35,0.4,8,32.562067430008554,4.1558049346207095,204.55004384934517,1853058.901901721,23
25,0.3,0.5,0.05,1,38.29917015844256,5.215010942064055,263.85670781100407,2475132.429145868,20
26,0.3,0.5,0.05,2,21.36448446263807,3.477983534285323,173.9726045010913,1124158.0632046233,27
27,0.3,0.5,0.05,4,10.562305050712705,2.5221396716459483,123.74114698254837,1218877.4458066,30
28,0.3,0.5,0.05,6,7.5040059436777735,2.0255527882689086,96.9054145408778,1090510.8947385356,34
29,0.3,0.5,0.05,8,9.281754179400716,2.432680729895037,118.88128635797118,1256918.4440090738,38
30,0.3,0.5,0.1,1,36.19536434802781,5.055630329411318,253.44386608624276,2538557.6822772664,13
