,eta,epsilon,sigma,MSE,MAE,MASE,MAPE,CB
0,0.05,0.35,0.2,0.5007167261902471,0.25884936575176415,12.103401572550498,7909.713264942806,155
1,0.05,0.35,0.4,0.23349832740713455,0.16971217277268089,7.965546587851778,8741.70886250717,155
2,0.05,0.35,0.6,0.12313080776067559,0.1266788906126936,5.926384510045889,16782.494499598728,155
3,0.05,0.5,0.2,0.5225414972028751,0.2841159895690056,13.195678128438658,25186.42077010035,88
4,0.05,0.5,0.4,0.2363997067699331,0.1758139376350586,8.23402776376769,20389.117232528926,88
5,0.05,0.5,0.6,0.12468394537502399,0.13539602483967808,6.333245042195988,25101.889105567785,88
6,0.05,1.0,0.2,0.7724224230273717,0.438519040900838,19.97830535611687,58551.02223510812,24
7,0.05,1.0,0.4,0.28855233066279024,0.22951345180837018,10.64919858660514,16848.138589599657,24
8,0.05,1.0,0.6,0.1478110320460962,0.1686512751597676,7.861256686003818,28862.625682934777,24
9,0.1,0.35,0.2,0.33316440591394225,0.23317955095108622,10.847342451872835,11543.819052128854,155
10,0.1,0.35,0.4,0.1238487282487864,0.15985541348800866,7.432832187777464,12845.534845744058,155
11,0.1,0.35,0.6,0.06026631346988761,0.12324535467822831,5.7330381023582975,22793.72306824846,155
12,0.1,0.5,0.2,0.39661419258297237,0.2862564581536961,13.23532388409247,37486.86581708301,88
13,0.1,0.5,0.4,0.13483543372379436,0.1716123125155721,7.961152693823374,29626.043624121554,88
14,0.1,0.5,0.6,0.06562192325644958,0.13594271287047413,6.3314674159023046,35701.02774346054,88
15,0.1,1.0,0.2,1.0145430155857154,0.4955219343644565,22.5682091967382,46693.349090295975,24
16,0.1,1.0,0.4,0.2541689173342138,0.2577851256525831,11.964204980081627,33349.47418318242,24
17,0.1,1.0,0.6,0.11046316235127046,0.19456442787235664,9.084241745410818,60119.55125215839,24
18,0.2,0.35,0.2,0.26263505825024924,0.2566440688565248,11.86777701414897,23430.418216276637,155
19,0.2,0.35,0.4,0.15062319460149742,0.20897041262553054,9.700363899929412,16804.780758700883,155
20,0.2,0.35,0.6,0.09231922378052547,0.165514872159058,7.698411398022728,30100.72134957345,155
21,0.2,0.5,0.2,0.44844524608625586,0.35600651850367876,16.4396082533537,64376.69333218795,88
22,0.2,0.5,0.4,0.17929797966740368,0.22966192848985553,10.651553577171363,49092.29127507733,88
23,0.2,0.5,0.6,0.10232421262597673,0.18248929835581562,8.508504084956664,51477.928839992055,88
24,0.2,1.0,0.2,2.0387391528152827,0.6437536345153559,29.507868425023236,61737.140347536035,24
25,0.2,1.0,0.4,0.46035050487903806,0.37121288774935185,17.286880832970443,62109.87813030878,24
26,0.2,1.0,0.6,0.19392923279232574,0.28999968583656466,13.655323503652953,116205.93351065415,24
